term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 315.68619491763104 1.65526364110346 
logo_asm 	 947.0585847528932 1.2309205668103833 
gif 	 40.7210332044809 1.8113753793187568 
subject 	 625.0373859741353 1.2309205668103833 
index 	 153.72307921246164 1.5239255083582175 
anthropology 	 940.2929828844746 1.2309205668103833 
ant 	 947.0585847528932 1.2309205668103833 
idx 	 49.8451886712049 1.9363254446521339 
html 	 9.260505174155597 1.9591964545506153 
architecture 	 907.4033318306053 1.2309205668103833 
arc 	 447.3321242201059 1.5239255083582175 
art 	 400.1287769273371 1.5239255083582175 
black 	 204.25628454327918 1.7298044521584772 
studies 	 189.3489865576137 1.7298044521584772 
blk 	 947.0585847528932 1.2309205668103833 
stu 	 947.0585847528932 1.2309205668103833 
business 	 642.495063075528 1.2309205668103833 
bus 	 901.0050981180233 1.2309205668103833 
ecology 	 940.2929828844746 1.2309205668103833 
eco 	 940.2929828844746 1.2309205668103833 
economics 	 894.6642484402118 1.2309205668103833 
ecn 	 940.2929828844746 1.2309205668103833 
education 	 40.41422167792364 1.9363254446521339 
edu 	 773.1661167930637 1.2309205668103833 
film 	 875.9759356930258 1.2309205668103833 
flm 	 947.0585847528932 1.2309205668103833 
gen 	 169.17725765978741 1.777840922357627 
healthcare 	 933.5915109086122 1.2309205668103833 
med 	 463.476482240638 1.5239255083582175 
history 	 259.50066372575986 1.65526364110346 
law 	 98.56072588978873 1.8113753793187568 
linguistics 	 933.5915109086122 1.2309205668103833 
lin 	 926.952964481276 1.2309205668103833 
literature 	 888.379762616219 1.2309205668103833 
lit 	 940.2929828844746 1.2309205668103833 
mass 	 800.2575538546743 1.2309205668103833 
media 	 612.2213250671978 1.2309205668103833 
mda 	 947.0585847528932 1.2309205668103833 
medicine 	 869.8546853336438 1.2309205668103833 
music 	 907.4033318306053 1.2309205668103833 
mus 	 940.2929828844746 1.2309205668103833 
philosophy 	 907.4033318306053 1.2309205668103833 
phi 	 947.0585847528932 1.2309205668103833 
political 	 669.5174605394078 1.2309205668103833 
science 	 386.58305839653184 1.5239255083582175 
psi 	 940.2929828844746 1.2309205668103833 
psychology 	 933.5915109086122 1.2309205668103833 
psy 	 933.5915109086122 1.2309205668103833 
religion 	 901.0050981180233 1.2309205668103833 
rel 	 940.2929828844746 1.2309205668103833 
sci 	 913.8599977098391 1.2309205668103833 
shakespeare 	 947.0585847528932 1.2309205668103833 
sha 	 466.7957554543061 1.5239255083582175 
sociology 	 940.2929828844746 1.2309205668103833 
soc 	 940.2929828844746 1.2309205668103833 
sports 	 894.6642484402118 1.2309205668103833 
recreation 	 913.8599977098391 1.2309205668103833 
spt 	 920.3761728690204 1.2309205668103833 
urban 	 901.0050981180233 1.2309205668103833 
urb 	 947.0585847528932 1.2309205668103833 
women's 	 901.0050981180233 1.2309205668103833 
wom 	 947.0585847528932 1.2309205668103833 
home 	 315.7476236637383 1.2309205668103833 
page 	 173.52425500203793 1.5239255083582175 
topic 	 933.5915109086122 1.2309205668103833 
search 	 428.8844604743093 1.5239255083582175 
custom 	 460.1880864345102 1.5239255083582175 
specific 	 762.6136820898739 1.2309205668103833 
paper 	 202.84791055778715 1.7298044521584772 
click 	 434.9273426668219 1.5239255083582175 
catalog 	 926.952964481276 1.2309205668103833 
button 	 845.886288298937 1.2309205668103833 
title 	 408.51256908655836 1.5239255083582175 
description 	 863.78597854383 1.2309205668103833 
written 	 259.50066372575986 1.65526364110346 
pgs 	 28.493726754074988 1.9628369412024373 
pages 	 822.7038835630825 1.2309205668103833 
footnotes 	 940.2929828844746 1.2309205668103833 
sources 	 822.7038835630825 1.2309205668103833 
price 	 811.3916422311486 1.2309205668103833 
regional 	 1737.5060595422176 1.2309205668103833 
national 	 805.8026803196195 1.2309205668103833 
accreditation 	 3453.92406235749 1.2309205668103833 
historically 	 2148.9245921751703 1.2309205668103833 
notes 	 623.725501443168 1.5239255083582175 
feasibility 	 2535.3309925773956 1.2309205668103833 
governmentally 	 4230.642950445844 1.2309205668103833 
funded 	 2270.4227238223184 1.2309205668103833 
universities 	 1083.5109457113604 1.65526364110346 
vocational 	 1380.2388902390999 1.5239255083582175 
discusses 	 136.26993653821302 1.8361136826702797 
purpose 	 1335.9413449548183 1.2309205668103833 
conditions 	 1335.9413449548183 1.2309205668103833 
personal 	 252.7629970210653 1.7298044521584772 
development 	 164.5407767126165 1.777840922357627 
propositions 	 3740.5878937899624 1.2309205668103833 
improving 	 2187.150117613255 1.2309205668103833 
learning 	 624.9247872506581 1.65526364110346 
climate 	 1677.7239862063768 1.2309205668103833 
college 	 74.18198613193486 1.949254393272079 
focuses 	 705.2156147624509 1.5239255083582175 
modern 	 395.88964318349855 1.65526364110346 
america 	 346.17982627402324 1.7298044521584772 
step 	 1697.0950609573738 1.2309205668103833 
transfer 	 1802.813996874845 1.2309205668103833 
services 	 332.10742954798394 1.65526364110346 
remedial 	 3092.7703463549346 1.2309205668103833 
link 	 1927.168698064656 1.2309205668103833 
community 	 1089.68851210719 1.2309205668103833 
librarian's 	 3740.5878937899624 1.2309205668103833 
status 	 389.60482628780255 1.65526364110346 
examines 	 315.68619491763104 1.65526364110346 
result 	 1268.5570478331608 1.2309205668103833 
shift 	 2364.829418407856 1.2309205668103833 
librarian 	 3740.5878937899624 1.2309205668103833 
faculty 	 2364.829418407856 1.2309205668103833 
civil 	 1207.0400043014927 1.2309205668103833 
service 	 1073.2459105570529 1.2309205668103833 
worker 	 1983.7588923898463 1.2309205668103833 
followed 	 2013.8485397839347 1.2309205668103833 
loss 	 1677.7239862063768 1.2309205668103833 
benefits 	 1493.7038357339648 1.2309205668103833 
privileges 	 2535.3309925773956 1.2309205668103833 
glassboro 	 3740.5878937899624 1.2309205668103833 
jersey 	 2112.660233043172 1.2309205668103833 
