term 	 tf-idf weight 	 BM25 ranking 
investigative 	 2533.3101295417996 1.2568985609024892 
officer 	 2033.4236947173817 1.2568985609024892 
effect 	 527.5790976799725 1.5436754168409856 
effective 	 699.8127961718606 1.5436754168409856 
date 	 1664.089813158655 1.2568985609024892 
gain 	 1935.3459704830173 1.2568985609024892 
willfully 	 3075.8224441905236 1.2568985609024892 
commission 	 1502.7523971481571 1.2568985609024892 
offense 	 934.8554289553872 1.6707422070399303 
prosecuted 	 2612.1069803959203 1.2568985609024892 
court 	 1231.4962398237951 1.2568985609024892 
jurisdiction 	 2462.823944566714 1.2568985609024892 
imprisoned 	 1266.6550647708998 1.5436754168409856 
fined 	 1769.7689539925636 1.5436754168409856 
amount 	 793.7746441103722 1.5436754168409856 
set 	 496.4403511643916 1.5436754168409856 
forth 	 1170.4254115357792 1.5436754168409856 
subsequent 	 1750.5324615187794 1.2568985609024892 
conforming 	 3075.8224441905236 1.2568985609024892 
amendment 	 625.7117864256517 1.6707422070399303 
table 	 2191.5677872423516 1.2568985609024892 
chapters 	 2533.3101295417996 1.2568985609024892 
item 	 1306.0534901979602 1.5436754168409856 
relating 	 2107.8336446061217 1.2568985609024892 
exports 	 799.6871447592068 1.6707422070399303 
administration 	 285.54093453949736 1.7424568960292612 
app 	 3075.8224441905236 1.2568985609024892 
adding 	 1966.4678609427604 1.2568985609024892 
computers 	 2033.4236947173817 1.2568985609024892 
related 	 1063.366887303869 1.2568985609024892 
equipment 	 832.0449065793275 1.5436754168409856 
rule 	 1399.625592343721 1.2568985609024892 
paragraphs 	 3539.5379079851273 1.2568985609024892 
secretary 	 411.0295452028796 1.7424568960292612 
exclusive 	 2612.1069803959203 1.2568985609024892 
computer 	 388.08265762974924 1.7424568960292612 
hard 	 1823.5867878433592 1.2568985609024892 
ware 	 3075.8224441905236 1.2568985609024892 
software 	 75.0854143710782 1.9537952199234139 
including 	 65.26398330447134 1.876716744846371 
specifically 	 1518.8736591545485 1.2568985609024892 
designed 	 252.82737193062903 1.7885189687002212 
modified 	 999.5542403860552 1.5436754168409856 
military 	 403.5294294065164 1.6707422070399303 
command 	 2287.3022516379624 1.2568985609024892 
intelligence 	 2107.8336446061217 1.2568985609024892 
applications 	 1569.7082309227783 1.2568985609024892 
items 	 2191.5677872423516 1.2568985609024892 
requiring 	 2191.5677872423516 1.2568985609024892 
licenses 	 2701.439482061726 1.2568985609024892 
validated 	 1769.7689539925636 1.5436754168409856 
license 	 780.2836076905195 1.6707422070399303 
pursuant 	 3539.5379079851273 1.2568985609024892 
trading 	 2148.3915166013167 1.2568985609024892 
enemy 	 2926.5394083613173 1.2568985609024892 
international 	 451.30983932705203 1.5436754168409856 
emergency 	 1877.135359276955 1.2568985609024892 
economic 	 1000.3556404289287 1.2568985609024892 
powers 	 1750.5324615187794 1.2568985609024892 
extent 	 1569.7082309227783 1.2568985609024892 
exercised 	 2926.5394083613173 1.2568985609024892 
extend 	 2340.8508230715584 1.2568985609024892 
imposed 	 2069.5946657471964 1.2568985609024892 
reexport 	 1334.4177905932436 1.6707422070399303 
capabilities 	 266.5623815864023 1.876716744846371 
available 	 261.7622512909516 1.7424568960292612 
installation 	 468.1701646143117 1.7885189687002212 
purchaser 	 1025.274148063508 1.6707422070399303 
public 	 240.54151500147367 1.6707422070399303 
domain 	 3268.281750660765 1.2568985609024892 
copyright 	 521.7728981253542 1.2568985609024892 
protection 	 1347.128081613361 1.2568985609024892 
accessible 	 2701.439482061726 1.2568985609024892 
form 	 515.5598405938543 1.5436754168409856 
computing 	 1089.427250220255 1.6707422070399303 
device 	 730.5225957474506 1.6707422070399303 
solely 	 2804.5662868661616 1.2568985609024892 
incorporates 	 1634.1408753303824 1.5436754168409856 
employs 	 2804.5662868661616 1.2568985609024892 
exempted 	 3268.281750660765 1.2568985609024892 
requirement 	 1798.3385084228341 1.2568985609024892 
subparagraph 	 4003.2533717797305 1.2568985609024892 
authorize 	 1769.7689539925636 1.5436754168409856 
nonmilitary 	 4003.2533717797305 1.2568985609024892 
similar 	 1322.3474708592073 1.2568985609024892 
capability 	 2069.5946657471964 1.2568985609024892 
permitted 	 2612.1069803959203 1.2568985609024892 
financial 	 1123.8338244261408 1.2568985609024892 
institutions 	 1487.010494380737 1.2568985609024892 
substantial 	 1034.7973328735982 1.5436754168409856 
evidence 	 1518.8736591545485 1.2568985609024892 
diverted 	 3539.5379079851273 1.2568985609024892 
supporting 	 1798.3385084228341 1.2568985609024892 
terrorism 	 2340.8508230715584 1.2568985609024892 
terrorist 	 2612.1069803959203 1.2568985609024892 
reexported 	 4003.2533717797305 1.2568985609024892 
authorization 	 2533.3101295417996 1.2568985609024892 
hardware 	 1402.2831434330808 1.5436754168409856 
determines 	 2462.823944566714 1.2568985609024892 
product 	 1727.8523234477484 1.2568985609024892 
offering 	 1905.6077413231292 1.2568985609024892 
comparable 	 2533.3101295417996 1.2568985609024892 
commercially 	 3075.8224441905236 1.2568985609024892 
outside 	 1587.5492882207443 1.2568985609024892 
supplier 	 1463.2697041806587 1.5436754168409856 
restrictions 	 2191.5677872423516 1.2568985609024892 
available' 	 4003.2533717797305 1.2568985609024892 
offered 	 1705.9159319791675 1.2568985609024892 
transfer 	 1705.9159319791675 1.2568985609024892 
restriction 	 2701.439482061726 1.2568985609024892 
consideration 	 1966.4678609427604 1.2568985609024892 
limited 	 706.7099477411757 1.5436754168409856 
counter 	 2191.5677872423516 1.2568985609024892 
retail 	 2533.3101295417996 1.2568985609024892 
sales 	 1823.5867878433592 1.2568985609024892 
mail 	 1180.402717016915 1.2568985609024892 
transactions 	 1170.4254115357792 1.5436754168409856 
phone 	 1518.8736591545485 1.2568985609024892 
distribution 	 1605.8792019525927 1.2568985609024892 
approval 	 2191.5677872423516 1.2568985609024892 
is' 	 3539.5379079851273 1.2568985609024892 
program 	 112.76618469331167 1.8442362522113787 
developed 	 1334.623044628231 1.2568985609024892 
tailored 	 3539.5379079851273 1.2568985609024892 
publisher 	 975.5131361204391 1.6707422070399303 
specific 	 360.81227250221053 1.5436754168409856 
purchasers 	 1634.1408753303824 1.5436754168409856 
supply 	 1644.1181808115184 1.2568985609024892 
parameters 	 2926.5394083613173 1.2568985609024892 
function 	 1427.5046262357012 1.2568985609024892 
properly 	 2148.3915166013167 1.2568985609024892 
purchaser's 	 4003.2533717797305 1.2568985609024892 
system 	 721.6245450044211 1.2568985609024892 
customize 	 3539.5379079851273 1.2568985609024892 
choosing 	 2462.823944566714 1.2568985609024892 
options 	 1999.1084807721104 1.2568985609024892 
contained 	 2287.3022516379624 1.2568985609024892 
purchaser' 	 4003.2533717797305 1.2568985609024892 
intends 	 2612.1069803959203 1.2568985609024892 
licensee 	 4003.2533717797305 1.2568985609024892 
transferee 	 4003.2533717797305 1.2568985609024892 
actual 	 1684.6760528067132 1.2568985609024892 
user 	 1849.8254449429041 1.2568985609024892 
install 	 3075.8224441905236 1.2568985609024892 
supplied 	 2926.5394083613173 1.2568985609024892 
instructions 	 2462.823944566714 1.2568985609024892 
provide 	 566.4680028257284 1.5436754168409856 
telephone 	 1664.089813158655 1.2568985609024892 
help 	 1151.5205340390903 1.2568985609024892 
line 	 1088.6151667243935 1.2568985609024892 
services 	 942.7717271609672 1.2568985609024892 
transmission 	 2399.0614342776207 1.2568985609024892 
basic 	 1386.1099811483007 1.2568985609024892 
operations 	 1456.5961661233864 1.2568985609024892 
support 	 929.1181920396897 1.2568985609024892 
device' 	 4003.2533717797305 1.2568985609024892 
microprocessor 	 4003.2533717797305 1.2568985609024892 
based 	 823.1015339295725 1.2568985609024892 
central 	 1170.636120204164 1.2568985609024892 
processing 	 1905.6077413231292 1.2568985609024892 
units 	 2033.4236947173817 1.2568985609024892 
accept 	 1774.0085544725189 1.2568985609024892 
store 	 2033.4236947173817 1.2568985609024892 
process 	 1047.0490051638064 1.2568985609024892 
output 	 2287.3022516379624 1.2568985609024892 
data 	 1123.8338244261408 1.2568985609024892 
hardware' 	 4003.2533717797305 1.2568985609024892 
conjunction 	 2926.5394083613173 1.2568985609024892 
includes 	 915.7377460129277 1.2568985609024892 
systems 	 1055.158195359945 1.2568985609024892 
application 	 1151.5205340390903 1.2568985609024892 
assemblies 	 3539.5379079851273 1.2568985609024892 
modules 	 3268.281750660765 1.2568985609024892 
integrated 	 2287.3022516379624 1.2568985609024892 
circuits 	 3539.5379079851273 1.2568985609024892 
continuation 	 2926.5394083613173 1.2568985609024892 
carrying 	 2462.823944566714 1.2568985609024892 
deemed 	 2804.5662868661616 1.2568985609024892 
page 	 109.46508872830115 1.6707422070399303 
crypto 	 1769.7689539925636 1.5436754168409856 
legis_105 	 4003.2533717797305 1.2568985609024892 
cdt 	 1231.411972283357 1.5436754168409856 
cryptography 	 4003.2533717797305 1.2568985609024892 
home 	 298.7767471443294 1.2568985609024892 
