term 	 tf-idf weight 	 BM25 ranking 
 nemzet 	 2821.7601813116817 0.9478012037452946 
eeeeeee 	 3643.5682699139834 0.8376318064401695 
zzzzzzz 	 7287.136539827967 0.5297497034950002 
tttttttnn 	 14574.273079655934 0.30530921877798156 
eeee 	 7287.136539827967 0.5297497034950002 
hazai 	 3726.2320924194673 0.8376318064401695 
sajtosajtokivonatok 	 19789.69076497915 0.30530921877798156 
napi 	 5338.743382541679 0.7016940071804806 
hetilapokbol 	 16016.230147625038 0.30530921877798156 
szent 	 7718.0166619410675 0.5297497034950002 
hirek 	 3124.707957085056 0.9478012037452946 
sorok 	 16016.230147625038 0.30530921877798156 
kozt 	 16883.95242362305 0.30530921877798156 
olvaso 	 8008.115073812519 0.5297497034950002 
szabad 	 2883.0503855413217 0.9478012037452946 
velemenyeivel 	 19789.69076497915 0.30530921877798156 
tarkitva 	 19789.69076497915 0.30530921877798156 
magyar 	 564.3520362623364 1.6366217980988038 
nsz 	 1712.0999423683315 1.286112784730635 
nepszabadsag 	 3813.490651195309 0.8376318064401695 
hirlap 	 7718.0166619410675 0.5297497034950002 
nszv 	 4280.249855920829 0.8376318064401695 
nepszava 	 16222.183024776245 0.30530921877798156 
esti 	 17120.999423683315 0.30530921877798156 
hvg 	 18462.45834765542 0.30530921877798156 
heti 	 8945.532304372626 0.5297497034950002 
vilaggazdasag 	 8683.672361499537 0.5297497034950002 
gazdasag 	 5272.272191170387 0.7016940071804806 
copyright 	 4898.73777746689 0.30530921877798156 
egyszer 	 8008.115073812519 0.5297497034950002 
mar 	 575.6920286814851 1.6243250415797965 
megjelent 	 5272.272191170387 0.7016940071804806 
hetilap 	 17891.06460874525 0.30530921877798156 
anyagot 	 18170.266129452662 0.30530921877798156 
szabadon 	 17367.344722999074 0.30530921877798156 
utankozolhetonek 	 18768.909368803626 0.30530921877798156 
tart 	 16016.230147625038 0.30530921877798156 
kulfold 	 16655.527250585787 0.30530921877798156 
hogyan 	 2595.752304207523 1.1154724576267427 
mukodnek 	 28877.788896802213 0.30530921877798156 
kozvelemenykutatasok 	 37585.10377899624 0.30530921877798156 
lapzartakor 	 33231.44633789923 0.30530921877798156 
kozzetett 	 25362.84213277982 0.30530921877798156 
felmeresek 	 33231.44633789923 0.30530921877798156 
adatai 	 26331.06255277483 0.30530921877798156 
szerint 	 587.8667044399336 1.6243250415797965 
izraelben 	 28877.788896802213 0.30530921877798156 
simon 	 26331.06255277483 0.30530921877798156 
peresz 	 33231.44633789923 0.30530921877798156 
munkapart 	 37585.10377899624 0.30530921877798156 
kis 	 8008.115073812519 0.5297497034950002 
kulonbseggel 	 15342.359996935924 0.5297497034950002 
vezetett 	 26331.06255277483 0.30530921877798156 
benjamin 	 24524.131455705196 0.30530921877798156 
netanjahu 	 37585.10377899624 0.30530921877798156 
likud 	 37585.10377899624 0.30530921877798156 
elott 	 2037.1653754323554 1.1154724576267427 
korulbelul 	 13165.531276387415 0.5297497034950002 
szazalekot 	 21474.65686478033 0.30530921877798156 
jelent 	 2775.9212084309643 1.0388948642082183 
elemzok 	 30684.719993871848 0.30530921877798156 
azonban 	 2914.854615931187 0.9478012037452946 
nem 	 217.05847548551398 1.8426455614394457 
lehetett 	 10085.23700730409 0.5297497034950002 
teljesen 	 8683.672361499537 0.5297497034950002 
biztosra 	 33231.44633789923 0.30530921877798156 
venni 	 4115.168093174652 0.9478012037452946 
vegeredmenyt 	 33231.44633789923 0.30530921877798156 
demokraciakban 	 13738.11212549883 0.5297497034950002 
mindenki 	 4472.766152186313 0.8376318064401695 
szivesen 	 22523.92357054968 0.30530921877798156 
uszik 	 37585.10377899624 0.30530921877798156 
arral 	 37585.10377899624 0.30530921877798156 
vagyis 	 3203.246029525008 0.9478012037452946 
bizonytalanok 	 33231.44633789923 0.30530921877798156 
oda 	 9715.339383825216 0.5297497034950002 
csapodnak 	 37585.10377899624 0.30530921877798156 
ahol 	 1863.1160462097337 1.1807476988933034 
tobbseg 	 21009.184691682804 0.30530921877798156 
latszik 	 6256.3031229345415 0.7016940071804806 
ezert 	 1619.363675517326 1.2370508520678936 
sanda 	 30684.719993871848 0.30530921877798156 
ipsek 	 37585.10377899624 0.30530921877798156 
mindig 	 8217.5593354256 0.5297497034950002 
ugy 	 1007.7714933256007 1.4321711686406247 
manipulaljak 	 37585.10377899624 0.30530921877798156 
kozvelemenykutatasokat 	 37585.10377899624 0.30530921877798156 
hogy 	 155.04176820393857 1.8850192976183815 
felelmetes 	 33231.44633789923 0.30530921877798156 
elonyben 	 28877.788896802213 0.30530921877798156 
akit 	 10737.328432390164 0.5297497034950002 
akarnak 	 19091.082550851832 0.30530921877798156 
hozni 	 11561.283404950322 0.5297497034950002 
gyoztesnek 	 30684.719993871848 0.30530921877798156 
igenam 	 37585.10377899624 0.30530921877798156 
ezzel 	 2484.1547282796446 1.0388948642082183 
oriasi 	 9894.845382489575 0.5297497034950002 
pofaraeses 	 37585.10377899624 0.30530921877798156 
volna 	 1821.7841349569917 1.1807476988933034 
amikor 	 2821.7601813116817 0.9478012037452946 
kiderul 	 19430.678767650432 0.30530921877798156 
hazudtak 	 33231.44633789923 0.30530921877798156 
behozhatatlan 	 37585.10377899624 0.30530921877798156 
szignifikans 	 37585.10377899624 0.30530921877798156 
egyeb 	 5874.582556860266 0.7016940071804806 
