term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 118.3265087032139 1.8551787981925743 
logo_asm 	 354.9795261096417 1.6204965415242545 
gif 	 15.263187834777138 1.9248692683849982 
subject 	 234.27851100869287 1.6204965415242545 
index 	 57.618975942436116 1.7903583366960092 
anthropology 	 352.4436215903618 1.6204965415242545 
ant 	 354.9795261096417 1.6204965415242545 
idx 	 18.683132953139037 1.975648611348203 
html 	 3.4710521515576143 1.9845082923449642 
architecture 	 340.11581744711515 1.6204965415242545 
arc 	 167.6704567444527 1.7903583366960092 
art 	 149.97754722170345 1.7903583366960092 
black 	 306.2399739969957 1.6204965415242545 
studies 	 94.62985655401722 1.8551787981925743 
blk 	 354.9795261096417 1.6204965415242545 
stu 	 354.9795261096417 1.6204965415242545 
business 	 240.82205334514134 1.6204965415242545 
bus 	 337.71761103433687 1.6204965415242545 
ecology 	 352.4436215903618 1.6204965415242545 
eco 	 352.4436215903618 1.6204965415242545 
economics 	 335.3409134889054 1.6204965415242545 
ecn 	 352.4436215903618 1.6204965415242545 
education 	 287.81556739511393 1.6204965415242545 
edu 	 289.8005954033407 1.6204965415242545 
film 	 328.3361003658442 1.6204965415242545 
flm 	 354.9795261096417 1.6204965415242545 
gen 	 63.41156050897265 1.910515426211695 
healthcare 	 349.9317544424077 1.6204965415242545 
med 	 173.72173662485017 1.7903583366960092 
history 	 145.90030244835862 1.7903583366960092 
law 	 31.665296860934344 1.9352547760410976 
linguistics 	 349.9317544424077 1.6204965415242545 
lin 	 347.44347324970033 1.6204965415242545 
literature 	 332.9853424233352 1.6204965415242545 
lit 	 352.4436215903618 1.6204965415242545 
mass 	 299.9550944434069 1.6204965415242545 
media 	 229.47475409166535 1.6204965415242545 
mda 	 354.9795261096417 1.6204965415242545 
medicine 	 326.0417137389188 1.6204965415242545 
music 	 340.11581744711515 1.6204965415242545 
mus 	 352.4436215903618 1.6204965415242545 
philosophy 	 340.11581744711515 1.6204965415242545 
phi 	 354.9795261096417 1.6204965415242545 
political 	 250.95067474249373 1.6204965415242545 
science 	 144.90029770167035 1.7903583366960092 
psi 	 352.4436215903618 1.6204965415242545 
psychology 	 349.9317544424077 1.6204965415242545 
psy 	 349.9317544424077 1.6204965415242545 
religion 	 337.71761103433687 1.6204965415242545 
rel 	 352.4436215903618 1.6204965415242545 
sci 	 342.5359255913824 1.6204965415242545 
shakespeare 	 354.9795261096417 1.6204965415242545 
sha 	 174.96587722120384 1.7903583366960092 
sociology 	 352.4436215903618 1.6204965415242545 
soc 	 352.4436215903618 1.6204965415242545 
sports 	 335.3409134889054 1.6204965415242545 
recreation 	 342.5359255913824 1.6204965415242545 
spt 	 344.97833919418724 1.6204965415242545 
urban 	 337.71761103433687 1.6204965415242545 
urb 	 354.9795261096417 1.6204965415242545 
women's 	 337.71761103433687 1.6204965415242545 
