term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 140.20574993512895 1.8306677497439463 
logo_asm 	 420.6172498053868 1.5655668004906882 
gif 	 18.085437660830273 1.9115912622454025 
subject 	 277.5979337989795 1.5655668004906882 
index 	 68.2730507393394 1.7563174531187995 
anthropology 	 417.61244218631543 1.5655668004906882 
ant 	 420.6172498053868 1.5655668004906882 
idx 	 22.1377499897572 1.9712107166397153 
html 	 4.1128693418456255 1.981670041035005 
architecture 	 403.0051572769591 1.5655668004906882 
arc 	 198.67367327455906 1.7563174531187995 
art 	 177.70924463250898 1.7563174531187995 
black 	 362.8654786228552 1.5655668004906882 
studies 	 112.12745267155249 1.8306677497439463 
blk 	 420.6172498053868 1.5655668004906882 
stu 	 420.6172498053868 1.5655668004906882 
business 	 142.67570707617807 1.7563174531187995 
bus 	 400.16350892370485 1.5655668004906882 
ecology 	 417.61244218631543 1.5655668004906882 
eco 	 417.61244218631543 1.5655668004906882 
economics 	 397.34734654911813 1.5655668004906882 
ecn 	 417.61244218631543 1.5655668004906882 
education 	 341.0342949511916 1.5655668004906882 
edu 	 343.3863658741471 1.5655668004906882 
film 	 389.0473038297173 1.5655668004906882 
flm 	 420.6172498053868 1.5655668004906882 
gen 	 75.13671698044305 1.894839227807566 
healthcare 	 414.63611658458876 1.5655668004906882 
med 	 205.84386905736963 1.7563174531187995 
history 	 172.8780942218287 1.7563174531187995 
law 	 131.3213632081768 1.7563174531187995 
linguistics 	 414.63611658458876 1.5655668004906882 
lin 	 411.68773811473926 1.5655668004906882 
literature 	 394.5562170601029 1.5655668004906882 
lit 	 417.61244218631543 1.5655668004906882 
mass 	 177.70924463250898 1.7563174531187995 
media 	 45.317655839486115 1.9115912622454025 
mda 	 420.6172498053868 1.5655668004906882 
medicine 	 386.3286721283793 1.5655668004906882 
music 	 403.0051572769591 1.5655668004906882 
mus 	 417.61244218631543 1.5655668004906882 
philosophy 	 403.0051572769591 1.5655668004906882 
phi 	 420.6172498053868 1.5655668004906882 
political 	 297.35287497789824 1.5655668004906882 
science 	 171.69318293707354 1.7563174531187995 
psi 	 417.61244218631543 1.5655668004906882 
psychology 	 414.63611658458876 1.5655668004906882 
psy 	 414.63611658458876 1.5655668004906882 
religion 	 400.16350892370485 1.5655668004906882 
rel 	 417.61244218631543 1.5655668004906882 
sci 	 405.8727571158267 1.5655668004906882 
shakespeare 	 420.6172498053868 1.5655668004906882 
sha 	 207.31805829229438 1.7563174531187995 
sociology 	 417.61244218631543 1.5655668004906882 
soc 	 417.61244218631543 1.5655668004906882 
sports 	 397.34734654911813 1.5655668004906882 
recreation 	 405.8727571158267 1.5655668004906882 
spt 	 408.76678681877286 1.5655668004906882 
urban 	 400.16350892370485 1.5655668004906882 
urb 	 420.6172498053868 1.5655668004906882 
women's 	 400.16350892370485 1.5655668004906882 
wom 	 420.6172498053868 1.5655668004906882 
home 	 140.23303229195733 1.5655668004906882 
page 	 77.06734946342279 1.7563174531187995 
topic 	 414.63611658458876 1.5655668004906882 
search 	 190.4805100267795 1.7563174531187995 
custom 	 204.38339340938643 1.7563174531187995 
advertising 	 85.29964165816588 1.95078824552109 
specific 	 338.6997117061109 1.5655668004906882 
paper 	 90.09086833825342 1.8702545512073931 
click 	 193.16433606418965 1.7563174531187995 
catalog 	 411.68773811473926 1.5655668004906882 
button 	 375.6835849022153 1.5655668004906882 
title 	 181.4327393114276 1.7563174531187995 
description 	 383.6333766092823 1.5655668004906882 
written 	 345.7561884436574 1.5655668004906882 
pgs 	 41.76124421863154 1.9459999419531215 
pages 	 365.3875805357962 1.5655668004906882 
footnotes 	 417.61244218631543 1.5655668004906882 
sources 	 365.3875805357962 1.5655668004906882 
price 	 360.36347335301366 1.5655668004906882 
controls 	 971.3792601563821 1.5655668004906882 
affect 	 705.3277319948002 1.5655668004906882 
freedom 	 603.9768868242022 1.5655668004906882 
press 	 510.949420555246 1.5655668004906882 
examines 	 210.3086249026934 1.7563174531187995 
restrictions 	 1028.6282289896837 1.5655668004906882 
role 	 411.68773811473926 1.5655668004906882 
fcc 	 1189.027474852205 1.5655668004906882 
degree 	 832.6437759407638 1.5655668004906882 
control 	 442.49674488571554 1.5655668004906882 
various 	 191.81668830464116 1.7563174531187995 
forms 	 568.1983893885478 1.5655668004906882 
campaign 	 697.9391558079992 1.5655668004906882 
product 	 810.9800142938609 1.5655668004906882 
herford's 	 1878.955992135778 1.5655668004906882 
