term 	 tf-idf weight 	 BM25 ranking 
 car 	 100.49202261661044 1.933515486615725 
logo 	 532.309745913232 1.6819172276427024 
images 	 90.65985579360773 1.9193370212955847 
gif 	 16.434325517697147 1.9193370212955847 
new_new 	 2561.1247281341175 1.4511278438365103 
autoshop 	 234.03566270154033 1.9097093435387418 
online 	 140.20792420623715 1.9271093402793866 
recognition 	 1238.1585580967583 1.4511278438365103 
buy 	 674.2547084390285 1.6819172276427024 
http 	 23.473597737108097 1.9097093435387418 
www 	 23.26502047487043 1.9097093435387418 
buyitonline 	 2561.1247281341175 1.4511278438365103 
com 	 41.31724280419486 1.859344902001849 
htm 	 93.59790929739226 1.7760736317594947 
netpresence 	 2561.1247281341175 1.4511278438365103 
awarded 	 1497.5846820248535 1.4511278438365103 
check 	 1134.94119777913 1.4511278438365103 
review 	 577.4607211718334 1.4511278438365103 
particularly 	 761.516287034784 1.4511278438365103 
level 	 635.2061892327641 1.4511278438365103 
confidence 	 1324.045615754559 1.4511278438365103 
instill 	 2561.1247281341175 1.4511278438365103 
visitors 	 936.1426508061613 1.6819172276427024 
forth 	 1497.5846820248535 1.4511278438365103 
credentials 	 2090.9186685841664 1.4511278438365103 
apply 	 1134.94119777913 1.4511278438365103 
extensive 	 1183.4458750905276 1.4511278438365103 
resources 	 801.6707142679403 1.4511278438365103 
guarantee 	 1431.6081910587868 1.4511278438365103 
answers 	 1324.045615754559 1.4511278438365103 
trouble 	 1534.825551376415 1.4511278438365103 
strikes 	 936.1426508061613 1.6819172276427024 
driver's 	 936.1426508061613 1.6819172276427024 
favorite 	 897.125837652255 1.6819172276427024 
web 	 439.151678664053 1.6819172276427024 
sites 	 291.6648524652308 1.8272189445383344 
cdlogo 	 2561.1247281341175 1.4511278438365103 
caranddriver 	 2561.1247281341175 1.4511278438365103 
featured 	 1728.2751843384435 1.4511278438365103 
appreciate 	 1794.25167530451 1.4511278438365103 
near 	 1039.4357578166484 1.4511278438365103 
top 	 399.7863570313156 1.4511278438365103 
list 	 982.2843217733528 1.4511278438365103 
cool 	 540.2375363447385 1.7760736317594947 
site 	 142.306592700768 1.8813972448221754 
day 	 297.2067161382565 1.6819172276427024 
coolsite2 	 2561.1247281341175 1.4511278438365103 
infi 	 2264.457734854461 1.4511278438365103 
net 	 993.1203435906289 1.4511278438365103 
selected 	 559.9610564499534 1.6819172276427024 
infinet's 	 2561.1247281341175 1.4511278438365103 
categorically 	 2561.1247281341175 1.4511278438365103 
commercial 	 982.2843217733528 1.4511278438365103 
msn 	 1280.5623640670588 1.6819172276427024 
pick 	 1045.4593342920832 1.6819172276427024 
week 	 331.04011453020956 1.7760736317594947 
msnweek 	 2561.1247281341175 1.4511278438365103 
microsoft 	 553.227834540044 1.4511278438365103 
network's 	 2264.457734854461 1.4511278438365103 
listed 	 1534.825551376415 1.4511278438365103 
fun 	 1728.2751843384435 1.4511278438365103 
whatsnew 	 2561.1247281341175 1.4511278438365103 
keep 	 1004.2378517712244 1.4511278438365103 
eye 	 1300.904845050881 1.4511278438365103 
page 	 210.09443038436277 1.4511278438365103 
information 	 50.78798938415258 1.8974719160447073 
helpful 	 1534.825551376415 1.4511278438365103 
automotive 	 170.53617237515724 1.9193370212955847 
services 	 301.5742146673348 1.6819172276427024 
internet 	 443.05549505226145 1.4511278438365103 
examples 	 1039.4357578166484 1.4511278438365103 
coming 	 1300.904845050881 1.4511278438365103 
button_new 	 2561.1247281341175 1.4511278438365103 
x34 	 2561.1247281341175 1.4511278438365103 
national 	 121.95316378246011 1.8272189445383344 
care 	 140.99768747576996 1.8813972448221754 
month 	 346.4785859388828 1.7760736317594947 
press 	 232.15111677032405 1.7760736317594947 
kit 	 458.15225167183036 1.7760736317594947 
cchtml 	 2561.1247281341175 1.4511278438365103 
mainttips 	 1967.7907415748043 1.4511278438365103 
html 	 28.030383412578466 1.8813972448221754 
produced 	 1134.94119777913 1.4511278438365103 
council 	 331.04011453020956 1.7760736317594947 
available 	 223.2869826657245 1.7760736317594947 
nationwide 	 1534.825551376415 1.4511278438365103 
effort 	 1119.9221128999068 1.4511278438365103 
businesses 	 619.0792790483791 1.6819172276427024 
civic 	 1671.1237482951478 1.4511278438365103 
government 	 505.00372098828365 1.4511278438365103 
media 	 370.6233764197463 1.4511278438365103 
focus 	 1027.3786224749024 1.4511278438365103 
motorists' 	 2561.1247281341175 1.4511278438365103 
attention 	 913.2615546022124 1.4511278438365103 
maintain 	 1077.7897617358344 1.4511278438365103 
repair 	 1497.5846820248535 1.4511278438365103 
cars 	 499.19489400828445 1.7760736317594947 
events 	 787.8630652385415 1.4511278438365103 
held 	 808.7452555030584 1.4511278438365103 
october 	 461.2331052183924 1.6819172276427024 
ideal 	 1258.0691247884924 1.4511278438365103 
time 	 102.02432444453879 1.8272189445383344 
motorists 	 2264.457734854461 1.4511278438365103 
ready 	 1219.1332037164414 1.4511278438365103 
winter 	 1671.1237482951478 1.4511278438365103 
download 	 1794.25167530451 1.4511278438365103 
official 	 485.85794179233693 1.6819172276427024 
pdf 	 2264.457734854461 1.4511278438365103 
format 	 1497.5846820248535 1.4511278438365103 
tips 	 225.08832976180943 1.8974719160447073 
department 	 274.41837320675 1.7760736317594947 
standing 	 1402.0792420623716 1.4511278438365103 
feature 	 1402.0792420623716 1.4511278438365103 
provide 	 724.8080873226061 1.4511278438365103 
series 	 971.7158835846739 1.4511278438365103 
free 	 180.53573707327234 1.7760736317594947 
autocare 	 2561.1247281341175 1.4511278438365103 
hints 	 2090.9186685841664 1.4511278438365103 
