term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 491.16663990013325 1.5105330112811661 
logo_asm 	 1473.4999197003997 1.0141433296084341 
gif 	 63.35662874813153 1.7211437766596 
subject 	 972.4768381492912 1.0141433296084341 
index 	 239.17310768558386 1.3458461907187154 
anthropology 	 1462.9735235826338 1.0141433296084341 
ant 	 1473.4999197003997 1.0141433296084341 
idx 	 77.5526273526526 1.9026534567831057 
html 	 14.408141006465566 1.937226885924563 
architecture 	 1411.8015063842515 1.0141433296084341 
arc 	 695.9905751656528 1.3458461907187154 
art 	 622.5483092221652 1.3458461907187154 
black 	 317.7961994308445 1.6089755643305488 
studies 	 392.80317814875076 1.5105330112811661 
blk 	 1473.4999197003997 1.0141433296084341 
stu 	 1473.4999197003997 1.0141433296084341 
business 	 333.21290399956666 1.5105330112811661 
bus 	 700.9233436561709 1.3458461907187154 
ecology 	 1462.9735235826338 1.0141433296084341 
eco 	 1462.9735235826338 1.0141433296084341 
economics 	 1391.9811503313056 1.0141433296084341 
ecn 	 1462.9735235826338 1.0141433296084341 
education 	 1194.7061288099069 1.0141433296084341 
edu 	 1202.9458677119803 1.0141433296084341 
film 	 1362.9045675563343 1.0141433296084341 
flm 	 1473.4999197003997 1.0141433296084341 
gen 	 263.2177983391317 1.674450677451218 
healthcare 	 1452.5469052326357 1.0141433296084341 
med 	 721.1090954239064 1.3458461907187154 
history 	 151.4059742388627 1.7833044703687349 
law 	 460.0429921305556 1.3458461907187154 
linguistics 	 1452.5469052326357 1.0141433296084341 
lin 	 1442.2181908478128 1.0141433296084341 
literature 	 691.1016540861675 1.3458461907187154 
lit 	 1462.9735235826338 1.0141433296084341 
mass 	 155.6370773055413 1.7833044703687349 
media 	 35.27913759620292 1.9304944886601925 
mda 	 1473.4999197003997 1.0141433296084341 
medicine 	 1353.3806985389083 1.0141433296084341 
music 	 1411.8015063842515 1.0141433296084341 
mus 	 1462.9735235826338 1.0141433296084341 
philosophy 	 1411.8015063842515 1.0141433296084341 
phi 	 1473.4999197003997 1.0141433296084341 
political 	 347.2273487003058 1.5105330112811661 
science 	 601.4729338559902 1.3458461907187154 
psi 	 1462.9735235826338 1.0141433296084341 
psychology 	 1452.5469052326357 1.0141433296084341 
psy 	 1452.5469052326357 1.0141433296084341 
religion 	 1401.8466873123418 1.0141433296084341 
rel 	 1462.9735235826338 1.0141433296084341 
sci 	 1421.8472383038516 1.0141433296084341 
shakespeare 	 1473.4999197003997 1.0141433296084341 
sha 	 726.2734526163179 1.3458461907187154 
sociology 	 1462.9735235826338 1.0141433296084341 
soc 	 1462.9735235826338 1.0141433296084341 
sports 	 1391.9811503313056 1.0141433296084341 
recreation 	 1421.8472383038516 1.0141433296084341 
spt 	 1431.985558919268 1.0141433296084341 
urban 	 1401.8466873123418 1.0141433296084341 
urb 	 1473.4999197003997 1.0141433296084341 
women's 	 700.9233436561709 1.3458461907187154 
wom 	 1473.4999197003997 1.0141433296084341 
home 	 491.26221503551926 1.0141433296084341 
page 	 269.9811605406531 1.3458461907187154 
topic 	 1452.5469052326357 1.0141433296084341 
search 	 667.2884109218392 1.3458461907187154 
custom 	 715.992779459634 1.3458461907187154 
television 	 67.56147355307829 1.9536783888522646 
radio 	 199.58343083404648 1.850123381370271 
specific 	 593.2638262368185 1.3458461907187154 
paper 	 315.6049527773209 1.6089755643305488 
click 	 676.6903492694541 1.3458461907187154 
catalog 	 1442.2181908478128 1.0141433296084341 
button 	 658.0444958478294 1.3458461907187154 
title 	 635.592398861689 1.3458461907187154 
description 	 1343.9385804783776 1.0141433296084341 
written 	 1211.2477939109017 1.0141433296084341 
pgs 	 24.38289205971056 1.968113031890619 
pages 	 1280.020186590369 1.0141433296084341 
footnotes 	 1462.9735235826338 1.0141433296084341 
sources 	 1280.020186590369 1.0141433296084341 
price 	 1262.4198111092835 1.0141433296084341 
public 	 118.6527652473637 1.8228038141610874 
broadcasting 	 297.52734812043343 1.8701441587173204 
discusses 	 164.90311352259002 1.8050346334744864 
divisions 	 4049.486306462459 1.0141433296084341 
administration 	 625.9990592794163 1.5105330112811661 
united 	 1516.642704169009 1.0141433296084341 
system 	 593.2638262368185 1.3458461907187154 
ownership 	 919.8417115447812 1.6089755643305488 
control 	 387.53695810054705 1.6089755643305488 
america 	 1077.2215244736226 1.3458461907187154 
analysis 	 225.56344975648474 1.7211437766596 
fair 	 3086.4706953731693 1.0141433296084341 
private 	 2115.842597154848 1.0141433296084341 
including 	 482.89494373263545 1.3458461907187154 
attempts 	 1150.66379041711 1.3458461907187154 
itt 	 2370.824372617905 1.0141433296084341 
purchase 	 3343.4470316728252 1.0141433296084341 
american 	 1219.612853234643 1.0141433296084341 
sociological 	 1499.2118584661398 1.3458461907187154 
view 	 1804.143944716857 1.0141433296084341 
responsible 	 2445.009781492991 1.0141433296084341 
shaping 	 3760.885615548219 1.0141433296084341 
opinion 	 1478.4546780755736 1.3458461907187154 
screen 	 2024.7431532312296 1.3458461907187154 
color 	 3343.4470316728252 1.0141433296084341 
evaluation 	 2324.0087967572294 1.0141433296084341 
consumer 	 2640.4590764541886 1.0141433296084341 
report 	 1734.9387367652312 1.0141433296084341 
examines 	 133.95453815458177 1.8376045650706645 
article 	 2395.001170008558 1.0141433296084341 
rating 	 4611.394492605049 1.0141433296084341 
item 	 4294.94421290809 1.0141433296084341 
service 	 1669.8309782358672 1.0141433296084341 
quality 	 1197.500585004279 1.3458461907187154 
difference 	 2956.909356151147 1.0141433296084341 
newspaper 	 1566.6431356169223 1.3458461907187154 
reporting 	 1543.2353476865846 1.3458461907187154 
analyzes 	 295.98954517369765 1.7211437766596 
coverage 	 528.0918152908376 1.674450677451218 
news 	 133.83723447068468 1.8782743217911821 
events 	 404.9763419450447 1.674450677451218 
stressing 	 1044.4287570779484 1.5105330112811661 
time 	 349.6160650747435 1.5105330112811661 
space 	 1150.66379041711 1.3458461907187154 
priority 	 3679.366846179125 1.0141433296084341 
depth 	 2703.3333316781323 1.0141433296084341 
amendment 	 3086.4706953731693 1.0141433296084341 
fairness 	 2305.6972463025245 1.3458461907187154 
doctrine 	 1616.677613630072 1.3458461907187154 
covers 	 3343.4470316728252 1.0141433296084341 
effect 	 867.4693683826156 1.3458461907187154 
relation 	 1107.5044019242878 1.3458461907187154 
fcc 	 833.0765747372136 1.674450677451218 
courts 	 3182.183210061762 1.0141433296084341 
includes 	 501.89911341017466 1.5105330112811661 
exhibits 	 4165.382873686069 1.0141433296084341 
prime 	 2470.8933286442048 1.0141433296084341 
access 	 2370.824372617905 1.0141433296084341 
rule 	 2301.32758083422 1.0141433296084341 
examination 	 841.2739414385255 1.3458461907187154 
evolution 	 2524.5625092305795 1.0141433296084341 
inception 	 4294.94421290809 1.0141433296084341 
william 	 2580.985133056885 1.0141433296084341 
paley 	 5819.86801013997 1.0141433296084341 
overview 	 1908.9851425016145 1.0141433296084341 
life 	 454.30152251877814 1.5105330112811661 
impact 	 343.39477636087787 1.7211437766596 
invasion 	 1643.5122039232597 1.3458461907187154 
privacy 	 1801.7373437717392 1.3458461907187154 
issue 	 1561.5468981412896 1.0141433296084341 
conflicts 	 2998.4237169322796 1.0141433296084341 
free 	 1391.9811503313056 1.0141433296084341 
press 	 596.6500664657862 1.5105330112811661 
controversy 	 3182.183210061762 1.0141433296084341 
televise 	 5819.86801013997 1.0141433296084341 
trials 	 3944.645108677702 1.0141433296084341 
live 	 2804.9439838222484 1.0141433296084341 
print 	 1616.677613630072 1.3458461907187154 
reliable 	 3603.4746875434785 1.0141433296084341 
factual 	 4611.394492605049 1.0141433296084341 
times 	 894.9750996986793 1.3458461907187154 
regulation 	 2998.4237169322796 1.0141433296084341 
god 	 3343.4470316728252 1.0141433296084341 
tony 	 5057.40611152403 1.0141433296084341 
schwartz 	 4811.948205078399 1.0141433296084341 
effects 	 573.8684133932172 1.5105330112811661 
communication 	 901.1111105593774 1.5105330112811661 
persuasion 	 2305.6972463025245 1.3458461907187154 
considerations 	 3041.5665014008887 1.0141433296084341 
satellite 	 1924.4662969945548 1.3458461907187154 
communications 	 392.80317814875076 1.5105330112811661 
future 	 556.6103260786224 1.5105330112811661 
directions 	 3848.9325939891096 1.0141433296084341 
role 	 206.0311701211161 1.7561227595488802 
civil 	 938.9985889191244 1.3458461907187154 
rights 	 337.825124142082 1.5105330112811661 
movement 	 916.5464919329839 1.3458461907187154 
newspapers 	 3343.4470316728252 1.0141433296084341 
magazines 	 4611.394492605049 1.0141433296084341 
professional 	 1107.5044019242878 1.3458461907187154 
journals 	 4049.486306462459 1.0141433296084341 
movies 	 4611.394492605049 1.0141433296084341 
influencial 	 5373.856391220988 1.0141433296084341 
agents 	 3343.4470316728252 1.0141433296084341 
socialization 	 4811.948205078399 1.0141433296084341 
sensationalism 	 2686.928195610494 1.3458461907187154 
journalism 	 1282.9775313297032 1.5105330112811661 
focuses 	 731.4824858450693 1.5105330112811661 
geraldo 	 6582.32990875591 1.0141433296084341 
rivera's 	 6582.32990875591 1.0141433296084341 
defense 	 2279.104602784949 1.0141433296084341 
charges 	 2804.9439838222484 1.0141433296084341 
yellow 	 3182.183210061762 1.0141433296084341 
leveled 	 5819.86801013997 1.0141433296084341 
writers 	 3182.183210061762 1.0141433296084341 
newsweek 	 5819.86801013997 1.0141433296084341 
abc 	 2405.9741025391995 1.3458461907187154 
york 	 1818.5232344409453 1.0141433296084341 
minority 	 1420.506394463769 1.3458461907187154 
stations 	 2082.6914368430344 1.3458461907187154 
metro 	 3848.9325939891096 1.0141433296084341 
versus 	 3465.7952302940716 1.0141433296084341 
supreme 	 2998.4237169322796 1.0141433296084341 
court 	 2024.8817097252236 1.0141433296084341 
decision 	 1957.1680274258467 1.0141433296084341 
upholding 	 5373.856391220988 1.0141433296084341 
affirmative 	 2220.9143723975326 1.3458461907187154 
action 	 1107.5044019242878 1.3458461907187154 
policies 	 1030.1843290826334 1.3458461907187154 
looks 	 636.3283808338715 1.5105330112811661 
pro 	 2841.012788927538 1.0141433296084341 
anti 	 2134.973514137904 1.0141433296084341 
views 	 1957.1680274258467 1.0141433296084341 
regarding 	 2097.038720459618 1.0141433296084341 
station 	 1013.855500466963 1.5105330112811661 
conclusion 	 2610.3202048472626 1.0141433296084341 
john 	 2347.167546874845 1.0141433296084341 
kennedy 	 821.7561019616298 1.6089755643305488 
enhance 	 4165.382873686069 1.0141433296084341 
career 	 2640.4590764541886 1.0141433296084341 
particularly 	 978.5840137129234 1.3458461907187154 
televised 	 2528.703055762015 1.3458461907187154 
nixon 	 1839.6834230895624 1.3458461907187154 
debates 	 4294.94421290809 1.0141433296084341 
presidential 	 1197.500585004279 1.3458461907187154 
campaign 	 1222.5048907464954 1.3458461907187154 
afn 	 319.2940932574656 1.674450677451218 
late 	 2552.4120980132984 1.0141433296084341 
night 	 1478.4546780755736 1.3458461907187154 
audiences 	 5057.40611152403 1.0141433296084341 
compares 	 2395.001170008558 1.0141433296084341 
overly 	 4811.948205078399 1.0141433296084341 
commercialized 	 6582.32990875591 1.0141433296084341 
counterpart 	 3679.366846179125 1.0141433296084341 
jazz 	 4294.94421290809 1.0141433296084341 
classical 	 3086.4706953731693 1.0141433296084341 
rock 	 962.2331484972774 1.6089755643305488 
talk 	 3402.9209750701284 1.0141433296084341 
depicting 	 4441.828744795065 1.0141433296084341 
disc 	 5819.86801013997 1.0141433296084341 
jockey 	 5819.86801013997 1.0141433296084341 
audience 	 986.1612771694255 1.6089755643305488 
licensing 	 4049.486306462459 1.0141433296084341 
establishment 	 3182.183210061762 1.0141433296084341 
set 	 544.1797571308728 1.5105330112811661 
fcc's 	 2909.934005069985 1.3458461907187154 
form 	 1695.4135266165615 1.0141433296084341 
development 	 1280.020186590369 1.0141433296084341 
influence 	 473.34551100261564 1.6089755643305488 
expansion 	 2610.3202048472626 1.0141433296084341 
period 	 2115.842597154848 1.0141433296084341 
financing 	 3182.183210061762 1.0141433296084341 
canada 	 2878.3044957707884 1.0141433296084341 
west 	 1957.1680274258467 1.0141433296084341 
germany 	 2497.400635381171 1.0141433296084341 
japan 	 2804.9439838222484 1.0141433296084341 
foreign 	 1669.8309782358672 1.0141433296084341 
governments 	 2770.02041567621 1.0141433296084341 
finance 	 2916.904947563185 1.0141433296084341 
operations 	 2395.001170008558 1.0141433296084341 
focusing 	 1117.9809091581699 1.3458461907187154 
methods 	 1833.0929838659679 1.0141433296084341 
countries 	 1957.1680274258467 1.0141433296084341 
bantu 	 6582.32990875591 1.0141433296084341 
apartheid 	 4294.94421290809 1.0141433296084341 
dialect 	 5373.856391220988 1.0141433296084341 
south 	 1957.1680274258467 1.0141433296084341 
africa 	 2998.4237169322796 1.0141433296084341 
operated 	 4611.394492605049 1.0141433296084341 
solely 	 4611.394492605049 1.0141433296084341 
maintaining 	 3287.0244078465194 1.0141433296084341 
current 	 1550.1478324021882 1.0141433296084341 
racist 	 4611.394492605049 1.0141433296084341 
regime 	 3679.366846179125 1.0141433296084341 
developments 	 2916.904947563185 1.0141433296084341 
programming 	 600.5791145905797 1.7211437766596 
networks 	 1282.9775313297032 1.5105330112811661 
changes 	 1818.5232344409453 1.0141433296084341 
wnet 	 6582.32990875591 1.0141433296084341 
wbai 	 6582.32990875591 1.0141433296084341 
examples 	 1335.7235205587772 1.3458461907187154 
look 	 587.36687020488 1.5105330112811661 
forms 	 1990.5039118707086 1.0141433296084341 
montgomery 	 4294.94421290809 1.0141433296084341 
boycott 	 2405.9741025391995 1.3458461907187154 
comparison 	 1789.9501993973586 1.0141433296084341 
southern 	 1351.6666658390661 1.3458461907187154 
northern 	 1643.5122039232597 1.3458461907187154 
introduction 	 2257.321712759151 1.0141433296084341 
negative 	 972.3016491877285 1.5105330112811661 
unsympathetic 	 5373.856391220988 1.0141433296084341 
positive 	 947.0042629758461 1.5105330112811661 
giving 	 2552.4120980132984 1.0141433296084341 
favorable 	 4441.828744795065 1.0141433296084341 
publicity 	 4811.948205078399 1.0141433296084341 
martin 	 3679.366846179125 1.0141433296084341 
luther 	 4611.394492605049 1.0141433296084341 
king 	 959.4348319235961 1.5105330112811661 
leaders 	 2279.104602784949 1.0141433296084341 
electronic 	 3086.4706953731693 1.0141433296084341 
attitude 	 2671.4470411175544 1.0141433296084341 
formation 	 2956.909356151147 1.0141433296084341 
phenomenon 	 3465.7952302940716 1.0141433296084341 
televisionwith 	 6582.32990875591 1.0141433296084341 
attention 	 2347.167546874845 1.0141433296084341 
manner 	 2703.3333316781323 1.0141433296084341 
depict 	 4811.948205078399 1.0141433296084341 
create 	 2347.167546874845 1.0141433296084341 
reality 	 2841.012788927538 1.0141433296084341 
social 	 705.9007531921258 1.3458461907187154 
cultural 	 731.4824858450693 1.5105330112811661 
values 	 2470.8933286442048 1.0141433296084341 
production 	 1209.8606557229111 1.3458461907187154 
notes 	 1940.871433062192 1.0141433296084341 
roles 	 880.1530254847295 1.5105330112811661 
involved 	 2060.368658165267 1.0141433296084341 
outlines 	 3679.366846179125 1.0141433296084341 
program 	 648.9533797746636 1.3458461907187154 
community 	 1695.4135266165615 1.0141433296084341 
antenna 	 5057.40611152403 1.0141433296084341 
rules 	 2552.4120980132984 1.0141433296084341 
standards 	 2370.824372617905 1.0141433296084341 
cable 	 1349.8287688208197 1.5105330112811661 
funding 	 1591.091605030881 1.3458461907187154 
grants 	 4049.486306462459 1.0141433296084341 
congressional 	 3944.645108677702 1.0141433296084341 
franchises 	 5373.856391220988 1.0141433296084341 
utopian 	 4611.394492605049 1.0141433296084341 
dreams 	 4611.394492605049 1.0141433296084341 
push 	 5373.856391220988 1.0141433296084341 
receipt 	 4441.828744795065 1.0141433296084341 
desired 	 4811.948205078399 1.0141433296084341 
beginnings 	 3532.48231429215 1.0141433296084341 
regulations 	 2841.012788927538 1.0141433296084341 
concerts 	 5819.86801013997 1.0141433296084341 
commentary 	 3944.645108677702 1.0141433296084341 
kirschner 	 6582.32990875591 1.0141433296084341 
created 	 2042.4820852063087 1.0141433296084341 
speculation 	 4611.394492605049 1.0141433296084341 
increase 	 1150.66379041711 1.3458461907187154 
performance 	 2470.8933286442048 1.0141433296084341 
creative 	 3679.366846179125 1.0141433296084341 
efforts 	 2078.550890311599 1.0141433296084341 
crisis 	 2215.0088038485756 1.0141433296084341 
aimonson 	 5819.86801013997 1.0141433296084341 
observes 	 427.1078575070661 1.6089755643305488 
programs 	 894.9750996986793 1.3458461907187154 
commercials 	 5819.86801013997 1.0141433296084341 
passive 	 4294.94421290809 1.0141433296084341 
viewing 	 900.8686718858696 1.6089755643305488 
campaigns 	 1591.091605030881 1.3458461907187154 
package 	 3603.4746875434785 1.0141433296084341 
politicians 	 3760.885615548219 1.0141433296084341 
image 	 1990.5039118707086 1.0141433296084341 
appeals 	 3603.4746875434785 1.0141433296084341 
senses 	 5819.86801013997 1.0141433296084341 
regardless 	 3402.9209750701284 1.0141433296084341 
issues 	 1527.6980736078606 1.0141433296084341 
hand 	 2671.4470411175544 1.0141433296084341 
survey 	 2671.4470411175544 1.0141433296084341 
study 	 667.2884109218392 1.3458461907187154 
people 	 1288.92711784625 1.0141433296084341 
watch 	 4441.828744795065 1.0141433296084341 
status 	 909.2616172204727 1.3458461907187154 
violence 	 667.8617602793886 1.6089755643305488 
behavior 	 2395.001170008558 1.0141433296084341 
children 	 692.850296770533 1.5105330112811661 
cool 	 4165.382873686069 1.0141433296084341 
fire 	 3086.4706953731693 1.0141433296084341 
shanks 	 6582.32990875591 1.0141433296084341 
book 	 1775.937271042186 1.0141433296084341 
review 	 742.0640108516551 1.3458461907187154 
supports 	 3679.366846179125 1.0141433296084341 
stereotypes 	 4441.828744795065 1.0141433296084341 
sexes 	 5373.856391220988 1.0141433296084341 
able 	 2257.321712759151 1.0141433296084341 
keep 	 2580.985133056885 1.0141433296084341 
alive 	 4049.486306462459 1.0141433296084341 
traditional 	 2324.0087967572294 1.0141433296084341 
dependent 	 3287.0244078465194 1.0141433296084341 
female 	 2916.904947563185 1.0141433296084341 
independent 	 2078.550890311599 1.0141433296084341 
male 	 3343.4470316728252 1.0141433296084341 
war 	 363.7046468881891 1.674450677451218 
efficacy 	 4611.394492605049 1.0141433296084341 
reportage 	 6582.32990875591 1.0141433296084341 
shock 	 5057.40611152403 1.0141433296084341 
elements 	 2419.7213114458223 1.0141433296084341 
economic 	 1644.8299020505556 1.0141433296084341 
psychological 	 2524.5625092305795 1.0141433296084341 
tv's 	 6582.32990875591 1.0141433296084341 
technological 	 3343.4470316728252 1.0141433296084341 
industrial 	 2174.263405000191 1.0141433296084341 
contribution 	 3287.0244078465194 1.0141433296084341 
video 	 1766.241157146075 1.3458461907187154 
beam 	 4811.948205078399 1.0141433296084341 
today's 	 3465.7952302940716 1.0141433296084341 
competitive 	 3287.0244078465194 1.0141433296084341 
