term 	 tf-idf weight 	 BM25 ranking 
 nemzet 	 2100.0347026813333 1.0951683312706846 
eeeeeee 	 5423.295614619619 0.6524203713079831 
zzzzzzz 	 10846.591229239239 0.38978631947458714 
tttttttnn 	 21693.182458478477 0.21593531794376203 
eeee 	 10846.591229239239 0.38978631947458714 
hazai 	 2773.168590354211 0.9838868353831204 
sajto 	 5813.742773998604 0.6524203713079831 
sajtokivonatok 	 15982.054372618317 0.38978631947458714 
napi 	 3973.245652235485 0.8413947828079363 
hetilapokbol 	 11919.736956706454 0.38978631947458714 
szent 	 11487.937871754026 0.38978631947458714 
hirek 	 5813.742773998604 0.6524203713079831 
sorok 	 11919.736956706454 0.38978631947458714 
kozt 	 12565.520713935035 0.38978631947458714 
olvaso 	 11919.736956706454 0.38978631947458714 
szabad 	 3576.0810452722253 0.8413947828079363 
velemenyeivel 	 14728.05436728149 0.38978631947458714 
tarkitva 	 14728.05436728149 0.38978631947458714 
magyar 	 338.71527462602154 1.7648222665620277 
nsz 	 4247.312625696952 0.8413947828079363 
nepszabadsag 	 11352.435630640008 0.38978631947458714 
hirlap 	 5743.968935877013 0.6524203713079831 
nszv 	 12741.937877090855 0.38978631947458714 
nepszava 	 12073.012983492525 0.38978631947458714 
esti 	 12741.937877090855 0.38978631947458714 
hvg 	 13740.290008934131 0.38978631947458714 
heti 	 4438.347477237154 0.8413947828079363 
vilaggazdasag 	 6462.637550362933 0.6524203713079831 
gazdasag 	 5885.663833217474 0.6524203713079831 
copyright 	 3645.780885331791 0.38978631947458714 
egyszer 	 3973.245652235485 0.8413947828079363 
mar 	 790.9781307939508 1.517714967053639 
megjelent 	 5885.663833217474 0.6524203713079831 
hetilap 	 13315.042431711461 0.38978631947458714 
anyagot 	 13522.832195848825 0.38978631947458714 
szabadon 	 6462.637550362933 0.6524203713079831 
utankozolhetonek 	 13968.359631344141 0.38978631947458714 
tart 	 3973.245652235485 0.8413947828079363 
kulfold 	 12395.52016125828 0.38978631947458714 
emigracio 	 9125.780328744939 0.6524203713079831 
ujabb 	 2414.602596698505 1.0951683312706846 
elarulasa 	 24731.793648544808 0.38978631947458714 
tiszteletbeli 	 4899.0826262914325 0.9838868353831204 
konzulok 	 7612.149000231065 0.8413947828079363 
kulon 	 13968.359631344141 0.38978631947458714 
cikkben 	 10745.838576508671 0.6524203713079831 
fogja 	 4131.8400537527605 0.8413947828079363 
targyalni 	 20448.592622399072 0.38978631947458714 
kerdest 	 7656.564739509995 0.6524203713079831 
horn 	 1768.8029197104977 1.1844813510587913 
gyula 	 2742.0034101078204 0.9838868353831204 
volt 	 1500.024787629524 1.2577467761742016 
munkasor 	 19596.33050516573 0.38978631947458714 
szabadsagharcosokat 	 24731.793648544808 0.38978631947458714 
gyilkolo 	 27971.910144072273 0.38978631947458714 
testulet 	 15635.636656785746 0.38978631947458714 
tagja 	 6462.637550362933 0.6524203713079831 
hetfon 	 7230.433680893325 0.6524203713079831 
haromnapos 	 20448.592622399072 0.38978631947458714 
budapesti 	 2513.104142787007 1.0951683312706846 
konferenciajan 	 22836.44700069319 0.38978631947458714 
megnyito 	 20448.592622399072 0.38978631947458714 
beszedet 	 18251.560657489877 0.38978631947458714 
tartott 	 6657.521215855731 0.6524203713079831 
nem 	 161.5411309754872 1.880487323328276 
szol 	 6984.179815672071 0.6524203713079831 
hiradas 	 10745.838576508671 0.6524203713079831 
arrol 	 1386.5842951771056 1.3189331763069934 
hogy 	 134.61760914623935 1.8994042302986582 
kik 	 3828.2823697549975 0.9838868353831204 
ultek 	 22836.44700069319 0.38978631947458714 
egy 	 388.89531531135805 1.7346044631505364 
asztalhoz 	 27971.910144072273 0.38978631947458714 
pufajkassal 	 24731.793648544808 0.38978631947458714 
tartottak 	 7817.818328392873 0.6524203713079831 
meltosagukon 	 27971.910144072273 0.38978631947458714 
alulinak 	 27971.910144072273 0.38978631947458714 
kormanyfo 	 3185.484469272714 0.9838868353831204 
arcaba 	 27971.910144072273 0.38978631947458714 
mondta 	 2270.4871261280014 1.0951683312706846 
szocialista 	 4131.8400537527605 0.8413947828079363 
szamara 	 3740.250288753062 0.8413947828079363 
elfogadhatatlan 	 17208.476126871607 0.38978631947458714 
kulfoldon 	 15011.444161962414 0.38978631947458714 
elo 	 5743.968935877013 0.6524203713079831 
allampolgarok 	 17700.983857314113 0.38978631947458714 
szavazati 	 22836.44700069319 0.38978631947458714 
joggal 	 17700.983857314113 0.38978631947458714 
rendelkezzenek 	 24731.793648544808 0.38978631947458714 
mely 	 12231.4857868005 0.38978631947458714 
kepviseloi 	 4507.610731949609 0.8413947828079363 
tiltakoztak 	 22836.44700069319 0.38978631947458714 
legalapvetobb 	 18875.75315231321 0.38978631947458714 
politikai 	 1179.2019464736652 1.3708002064471418 
jog 	 18251.560657489877 0.38978631947458714 
sarba 	 24731.793648544808 0.38978631947458714 
tiprasa 	 27971.910144072273 0.38978631947458714 
ellen 	 1532.6061622595253 1.2577467761742016 
beszedeben 	 8178.107004819133 0.6524203713079831 
biralta 	 18251.560657489877 0.38978631947458714 
alkotmanykoncepcio 	 5372.919288254336 0.9838868353831204 
tobb 	 2625.043378351667 0.9838868353831204 
pontjat 	 20448.592622399072 0.38978631947458714 
lelkiismereti 	 24731.793648544808 0.38978631947458714 
okokra 	 27971.910144072273 0.38978631947458714 
hivatkozva 	 15635.636656785746 0.38978631947458714 
