term 	 tf-idf weight 	 BM25 ranking 
 jpg 	 318.2078124614384 1.808239579769356 
england 	 156.998427042043 1.8992918296163195 
leicester 	 359.03617684123145 1.8992918296163195 
leicester_ 	 359.03617684123145 1.8992918296163195 
situated 	 503.06121737509625 1.808239579769356 
miles 	 364.73967618249003 1.808239579769356 
north 	 211.73142906133003 1.808239579769356 
london 	 385.3617070136891 1.808239579769356 
largest 	 302.1840453464956 1.808239579769356 
city 	 199.9737800581056 1.808239579769356 
population 	 248.62959303108534 1.808239579769356 
university 	 96.01669368924321 1.931715078153555 
http 	 52.65106034491536 1.808239579769356 
www 	 52.18322349503648 1.808239579769356 
enrollment 	 551.717030348076 1.808239579769356 
established 	 288.05008106772965 1.808239579769356 
medical 	 228.76786041377653 1.808239579769356 
school 	 222.81622747705185 1.808239579769356 
excellent 	 410.27843078707843 1.808239579769356 
library 	 313.996854084086 1.808239579769356 
extensive 	 331.80725469827877 1.808239579769356 
resources 	 224.7674899816655 1.808239579769356 
technology 	 224.7674899816655 1.808239579769356 
campus 	 410.27843078707843 1.808239579769356 
center 	 186.37433782126521 1.808239579769356 
recreational 	 454.4054044021165 1.808239579769356 
cultural 	 239.39426809474992 1.808239579769356 
activities 	 215.31378463929178 1.808239579769356 
prerequisites_ 	 586.2388790422897 1.808239579769356 
undergraduate 	 503.06121737509625 1.808239579769356 
junior 	 410.27843078707843 1.808239579769356 
senior 	 322.57192976194335 1.808239579769356 
isu 	 167.6870724583654 1.931715078153555 
cum 	 524.9398041903709 1.808239579769356 
gpa 	 524.9398041903709 1.808239579769356 
academic 	 327.10076911988506 1.808239579769356 
program_ 	 586.2388790422897 1.808239579769356 
majors 	 634.8946920152695 1.808239579769356 
studies 	 64.2768836970683 1.8992918296163195 
available 	 62.6038269156237 1.931715078153555 
full 	 103.2753842187525 1.8992918296163195 
exchange 	 284.76220416515594 1.808239579769356 
receive 	 272.44370567794596 1.808239579769356 
credit 	 96.01669368924321 1.931715078153555 
hours 	 156.998427042043 1.8992918296163195 
extra 	 401.3854741286318 1.808239579769356 
introductory 	 586.2388790422897 1.808239579769356 
course 	 284.76220416515594 1.808239579769356 
students 	 298.4914463064852 1.808239579769356 
earned 	 524.9398041903709 1.808239579769356 
psy 	 158.4596623890148 1.808239579769356 
eng 	 524.9398041903709 1.808239579769356 
duration_ 	 586.2388790422897 1.808239579769356 
terms 	 215.31378463929178 1.808239579769356 
starting 	 352.7296611556521 1.808239579769356 
september 	 284.76220416515594 1.808239579769356 
june 	 251.05391790918765 1.808239579769356 
breaks 	 484.56313579582525 1.808239579769356 
inbetween 	 718.0723536824629 1.808239579769356 
housing_ 	 586.2388790422897 1.808239579769356 
residence 	 352.7296611556521 1.808239579769356 
hall 	 117.57655371855068 1.931715078153555 
cost_ 	 586.2388790422897 1.808239579769356 
estimated 	 161.28596488097168 1.8992918296163195 
cost 	 121.9615537263458 1.8992918296163195 
includes 	 164.2578916615117 1.808239579769356 
board 	 263.9695976122715 1.808239579769356 
airfare 	 551.717030348076 1.808239579769356 
oisp 	 275.858515174038 1.8992918296163195 
administration 	 204.87241940053622 1.808239579769356 
fee 	 385.3617070136891 1.808239579769356 
reduced 	 364.73967618249003 1.808239579769356 
tuition 	 454.4054044021165 1.808239579769356 
international 	 80.95243754745329 1.8992918296163195 
student 	 281.56201451529654 1.808239579769356 
card 	 385.3617070136891 1.808239579769356 
local 	 187.8114807468711 1.808239579769356 
transportation 	 309.9286678830042 1.808239579769356 
books 	 281.56201451529654 1.808239579769356 
supplies 	 484.56313579582525 1.808239579769356 
financial 	 201.5845424979625 1.808239579769356 
aid 	 269.5519994884587 1.808239579769356 
qualify 	 419.8835557079029 1.808239579769356 
apply_ 	 586.2388790422897 1.808239579769356 
contact 	 193.73861138642027 1.808239579769356 
advisor 	 454.4054044021165 1.808239579769356 
fell 	 220.8810712615887 1.8992918296163195 
phone 	 272.44370567794596 1.808239579769356 
application 	 206.550768437505 1.808239579769356 
deadline_ 	 586.2388790422897 1.808239579769356 
monday 	 503.06121737509625 1.808239579769356 
february 	 358.58448085598394 1.808239579769356 
illinois 	 294.9090907285235 1.808239579769356 
office 	 196.81570306002078 1.808239579769356 
programs 	 195.26729447971184 1.808239579769356 
original 	 294.9090907285235 1.808239579769356 
design 	 224.7674899816655 1.808239579769356 
produced 	 318.2078124614384 1.808239579769356 
graphics 	 364.73967618249003 1.808239579769356 
