term 	 tf-idf weight 	 BM25 ranking 
 law 	 113.51710195429294 1.7858173186134205 
leading 	 1464.2207729870304 1.0872237953483868 
attorneys 	 2706.0199615201386 1.0872237953483868 
web 	 3899.0102311294427 0.7465206517494369 
header 	 5253.61486605608 0.7465206517494369 
gif 	 164.15126539288622 1.4086750652628937 
webhead 	 5677.587613553079 0.7465206517494369 
illinois 	 389.116161377913 1.7545019902165315 
estate 	 77.00059830519233 1.9562046126535169 
planning 	 375.7279082734696 1.7545019902165315 
wills 	 383.61248250502837 1.8450954419903687 
trusts 	 415.97712605608905 1.851925721403241 
requirements 	 1393.1728762869886 1.2822991546106308 
valid 	 577.5044872889425 1.712461403575649 
personal 	 123.50512905748336 1.8581790970691978 
representative 	 269.16129137688245 1.8293523851753986 
appointing 	 4367.7598235889345 1.0872237953483868 
guardian 	 663.7613284810298 1.7545019902165315 
children 	 224.38901656772939 1.8100473685403389 
incapacity 	 3350.8330967472557 1.2822991546106308 
restrictions 	 2074.727850403821 1.2822991546106308 
changing 	 1299.6700770431476 1.2822991546106308 
updating 	 3350.8330967472557 1.2822991546106308 
election 	 1520.264316746351 1.2822991546106308 
dying 	 2398.2507454556153 1.2822991546106308 
mechanics 	 3836.1248250502836 1.0872237953483868 
trust 	 129.6704906502388 1.9324023382714963 
advantages 	 945.2229133038699 1.4972087520205302 
disadvantages 	 3112.091775605731 1.0872237953483868 
revocable 	 1421.184866663208 1.6530470500029897 
irrevocable 	 1256.5624112802207 1.6530470500029897 
probate 	 548.0178321500405 1.7858173186134205 
avoiding 	 3497.2836283084876 1.0872237953483868 
death 	 149.4844835001718 1.8639256976220824 
taxes 	 516.1443285048254 1.7351395670165717 
resources 	 1186.2728637921236 1.2822991546106308 
likes 	 10052.499290241765 0.7465206517494369 
reasons 	 4179.518628860966 0.7465206517494369 
prepare 	 6813.477914988758 0.7465206517494369 
inevitable 	 7418.540004113974 0.7465206517494369 
event 	 1832.1660906416207 1.2822991546106308 
setting 	 4408.711805659334 0.7465206517494369 
plan 	 573.0238534173252 1.5626840750446418 
distribute 	 1593.0271883544715 1.4972087520205302 
person's 	 622.4183551211462 1.712461403575649 
consists 	 6496.075154128742 0.7465206517494369 
property 	 187.551826372499 1.8639256976220824 
possessions 	 1256.5624112802207 1.6530470500029897 
includes 	 2600.7499513072685 0.7465206517494369 
bank 	 3825.924297556631 0.7465206517494369 
accounts 	 5775.044872889425 0.7465206517494369 
real 	 1895.2046224167702 1.0872237953483868 
furniture 	 4367.7598235889345 1.0872237953483868 
automobiles 	 11369.478933305663 0.7465206517494369 
stocks 	 7418.540004113974 0.7465206517494369 
bonds 	 7194.752236366845 0.7465206517494369 
life 	 261.5675432683874 1.6855360332849039 
insurance 	 881.7423611318667 1.4972087520205302 
policies 	 3558.8185913763705 0.7465206517494369 
retirement 	 3324.078149354231 1.0872237953483868 
funds 	 2392.2903589930906 1.0872237953483868 
pensions 	 8311.546899680872 0.7465206517494369 
benefits 	 2007.0985062903346 1.0872237953483868 
person 	 101.5177003685407 1.9108739036473994 
plans 	 3297.33797341188 0.7465206517494369 
passed 	 5107.388887897437 0.7465206517494369 
quickly 	 5877.772593302949 0.7465206517494369 
easily 	 5775.044872889425 0.7465206517494369 
subject 	 839.8663602198424 1.0872237953483868 
fewer 	 7418.540004113974 0.7465206517494369 
chapter 	 1635.7346360491888 1.2822991546106308 
discusses 	 2563.4938556693537 0.7465206517494369 
common 	 1136.3783078184845 1.2822991546106308 
tools 	 5986.3735795988505 0.7465206517494369 
living 	 219.97466467689293 1.8376045650706647 
guardianship 	 5026.249645120883 1.0872237953483868 
conservatorship 	 11369.478933305663 0.7465206517494369 
discussed 	 1251.8486271213224 1.2822991546106308 
elder 	 3709.270002056987 1.0872237953483868 
c14 	 4641.057792418127 1.0872237953483868 
html 	 186.65091758375848 1.4086750652628937 
document 	 719.755766281825 1.613071345581201 
specify 	 2655.045313924119 1.2822991546106308 
handled 	 6648.156298708462 0.7465206517494369 
designated 	 7965.135941772357 0.7465206517494369 
receive 	 539.2115008209347 1.6530470500029897 
called 	 332.4676574570869 1.712461403575649 
beneficiary 	 1247.9313781682672 1.613071345581201 
simple 	 2485.8084281656807 1.0872237953483868 
elaborate 	 9282.115584836254 0.7465206517494369 
depending 	 5496.498271924862 0.7465206517494369 
size 	 2626.80743302804 1.0872237953483868 
wishes 	 2216.0520995694874 1.2822991546106308 
testator 	 1263.2754370339626 1.6855360332849039 
types 	 3755.5458813639666 0.7465206517494369 
post 	 3755.5458813639666 0.7465206517494369 
instructions 	 3497.2836283084876 1.0872237953483868 
described 	 778.232322755826 1.5626840750446418 
describe 	 5775.044872889425 0.7465206517494369 
specific 	 683.1522847575486 1.2822991546106308 
items 	 3112.091775605731 1.0872237953483868 
art 	 2150.621431858389 0.7465206517494369 
jewelry 	 10052.499290241765 0.7465206517494369 
name 	 413.47896898987534 1.6855360332849039 
care 	 469.4432351704958 1.6530470500029897 
minor 	 2838.7938067765394 1.0872237953483868 
surviving 	 360.89306411826345 1.8293523851753986 
parent 	 1135.5175227106158 1.4972087520205302 
disinherit 	 5026.249645120883 1.0872237953483868 
child 	 517.1025253427567 1.6530470500029897 
options 	 5677.587613553079 0.7465206517494369 
varied 	 7194.752236366845 0.7465206517494369 
limited 	 4014.1970125806693 0.7465206517494369 
sets 	 6355.270007036671 0.7465206517494369 
slightly 	 6355.270007036671 0.7465206517494369 
formal 	 5877.772593302949 0.7465206517494369 
creation 	 1469.5706018864446 1.2822991546106308 
legal 	 648.7626614350314 1.4972087520205302 
sound 	 2519.1451819863873 1.0872237953483868 
