term 	 tf-idf weight 	 BM25 ranking 
supports 	 6306.769262246127 0.7501084303501454 
assertion 	 18422.556773903954 0.46162058904073683 
newly 	 3756.1724369664316 0.9474837570748075 
coined 	 9211.278386951977 0.7501084303501454 
event 	 2181.8205245714375 1.2001110268999797 
difference 	 10136.822892769069 0.46162058904073683 
attempting 	 12353.366406114961 0.46162058904073683 
justify 	 5269.566252004133 0.9474837570748075 
act's 	 2820.6779643089244 1.4118607475612985 
survive 	 6597.420369060424 0.7501084303501454 
facially 	 22565.423714471395 0.46162058904073683 
unconstitutional 	 3070.4261289839924 1.2858204966192934 
attempts 	 7889.369370296222 0.46162058904073683 
separate 	 1947.9016776446813 1.2001110268999797 
defend 	 15808.6987560124 0.46162058904073683 
individually 	 16496.233346682402 0.46162058904073683 
substantive 	 8248.116673341201 0.7501084303501454 
tried 	 11665.831815444959 0.46162058904073683 
contrary 	 2749.3722244470673 1.2858204966192934 
distinguish 	 15227.396542383809 0.46162058904073683 
conceding 	 22565.423714471395 0.46162058904073683 
analysis 	 1159.9087759523236 1.0910237895669315 
applies 	 5832.9159077224795 0.7501084303501454 
entire 	 5068.411446384534 0.7501084303501454 
focus 	 4525.986898776702 0.7501084303501454 
perspective 	 4147.622302482816 0.7501084303501454 
parties 	 2073.811151241408 1.0910237895669315 
feasibility 	 13522.96064074874 0.46162058904073683 
patent 	 17337.70767868829 0.46162058904073683 
overbreadth 	 22565.423714471395 0.46162058904073683 
extent 	 1769.6172612286389 1.2001110268999797 
provision 	 807.3327761936787 1.6364324512172066 
attention 	 8046.517108422764 0.46162058904073683 
criminalizes 	 19951.56569657984 0.46162058904073683 
criminalized 	 5641.355928617849 1.0910237895669315 
issue 	 2676.6333422230923 0.7501084303501454 
litigation 	 7139.844916668256 0.7501084303501454 
unquestionably 	 19951.56569657984 0.46162058904073683 
shea 	 2850.223670939977 1.3549397989571486 
imposes 	 6650.521898859947 0.9474837570748075 
criminal 	 9267.51817614385 0.46162058904073683 
precedent 	 16496.233346682402 0.46162058904073683 
concedes 	 9975.78284828992 0.7501084303501454 
enable 	 4507.653546916247 0.9474837570748075 
repeatedly 	 16496.233346682402 0.46162058904073683 
advance 	 5730.972162017374 0.7501084303501454 
population 	 3906.592480500928 0.7501084303501454 
fit 	 5832.9159077224795 0.7501084303501454 
reaching 	 11881.376194035403 0.46162058904073683 
mailbox 	 22565.423714471395 0.46162058904073683 
suitable 	 7139.844916668256 0.7501084303501454 
sandbox 	 22565.423714471395 0.46162058904073683 
bolger 	 4513.08474289428 1.2001110268999797 
youngs 	 11282.711857235698 0.7501084303501454 
drug 	 4933.675569796201 0.7501084303501454 
products 	 1694.134316784963 1.2001110268999797 
corp 	 3680.9624151991834 1.0910237895669315 
quarantin 	 22565.423714471395 0.46162058904073683 
reading 	 10741.475026202572 0.46162058904073683 
books 	 4424.043153071597 0.7501084303501454 
rugged 	 22565.423714471395 0.46162058904073683 
grown 	 15808.6987560124 0.46162058904073683 
women 	 7738.5092534679625 0.46162058904073683 
juvenile 	 7613.6982711919045 0.7501084303501454 
innocence 	 14723.849660796734 0.46162058904073683 
surely 	 22565.423714471395 0.46162058904073683 
burn 	 18422.556773903954 0.46162058904073683 
house 	 6766.235682289745 0.46162058904073683 
roast 	 22565.423714471395 0.46162058904073683 
pig 	 22565.423714471395 0.46162058904073683 
butler 	 3806.8491355959522 1.0910237895669315 
michigan 	 5940.688097017702 0.7501084303501454 
cited 	 13522.96064074874 0.46162058904073683 
reiterate 	 22565.423714471395 0.46162058904073683 
stressed 	 12109.99164290518 0.46162058904073683 
federal 	 2236.509282249354 0.9474837570748075 
limiting 	 6941.187664395425 0.7501084303501454 
denver 	 2889.617946448048 1.2858204966192934 
educ 	 11282.711857235698 0.7501084303501454 
telecomm 	 9975.78284828992 0.7501084303501454 
consortium 	 7521.807904823799 0.9474837570748075 
concede 	 18422.556773903954 0.46162058904073683 
short 	 7453.770272959747 0.46162058904073683 
absolute 	 13522.96064074874 0.46162058904073683 
protection 	 7593.4529084663445 0.46162058904073683 
assault 	 12353.366406114961 0.46162058904073683 
determined 	 5542.264800908183 0.7501084303501454 
child 	 2052.62486638688 1.0910237895669315 
affirming 	 11282.711857235698 0.7501084303501454 
allowed 	 9267.51817614385 0.46162058904073683 
reduc 	 22565.423714471395 0.46162058904073683 
ing 	 22565.423714471395 0.46162058904073683 
internal 	 8381.938078190971 0.46162058904073683 
quotations 	 18422.556773903954 0.46162058904073683 
omitted 	 22565.423714471395 0.46162058904073683 
kennedy 	 5634.258655449647 0.7501084303501454 
ginsburg 	 9975.78284828992 0.7501084303501454 
concurring 	 6650.521898859947 0.9474837570748075 
dissenting 	 8668.853839344145 0.7501084303501454 
reason 	 1474.6810510238656 1.2858204966192934 
hinges 	 19951.56569657984 0.46162058904073683 
result 	 6766.235682289745 0.46162058904073683 
arguments 	 2685.368756550643 1.0910237895669315 
argues 	 11268.517310899295 0.46162058904073683 
subset 	 6650.521898859947 0.9474837570748075 
pornographers 	 4513.08474289428 1.2001110268999797 
cards 	 3952.1746890031 1.0910237895669315 
explained 	 4117.78880203832 0.9474837570748075 
unaffected 	 19951.56569657984 0.46162058904073683 
obtain 	 5068.411446384534 0.7501084303501454 
virtually 	 4398.280246040283 0.9474837570748075 
struck 	 15227.396542383809 0.46162058904073683 
continue 	 4375.0663734582495 0.7501084303501454 
enacted 	 7613.6982711919045 0.7501084303501454 
advertising 	 11268.517310899295 0.46162058904073683 
teasers 	 22565.423714471395 0.46162058904073683 
burden 	 6446.49984374197 0.7501084303501454 
minuscule 	 22565.423714471395 0.46162058904073683 
applications 	 4424.043153071597 0.7501084303501454 
advancing 	 15808.6987560124 0.46162058904073683 
narrow 	 7139.844916668256 0.7501084303501454 
provides 	 2236.509282249354 0.9474837570748075 
incremental 	 11282.711857235698 0.7501084303501454 
asserted 	 5498.744448894135 0.9474837570748075 
suggestion 	 17337.70767868829 0.46162058904073683 
rewritten 	 19951.56569657984 0.46162058904073683 
section 	 686.8469975969933 1.6154564673599434 
apply 	 2499.9201266501755 1.0910237895669315 
contradicts 	 17337.70767868829 0.46162058904073683 
statutory 	 14279.689833336512 0.46162058904073683 
text 	 4933.675569796201 0.7501084303501454 
expressed 	 9999.680506600702 0.46162058904073683 
congressional 	 13522.96064074874 0.46162058904073683 
intent 	 13194.840738120847 0.46162058904073683 
legislative 	 11461.944324034748 0.46162058904073683 
history 	 4152.377664398191 0.46162058904073683 
intend 	 14723.849660796734 0.46162058904073683 
purveyors 	 22565.423714471395 0.46162058904073683 
supp 	 4987.89142414496 1.0910237895669315 
purportedly 	 22565.423714471395 0.46162058904073683 
modeled 	 17337.70767868829 0.46162058904073683 
terms 	 2255.4118940965814 0.9474837570748075 
conference 	 8470.671583924814 0.46162058904073683 
report 	 5947.6854330378965 0.46162058904073683 
confirms 	 22565.423714471395 0.46162058904073683 
intended 	 5832.9159077224795 0.7501084303501454 
regulation 	 10279.141669592387 0.46162058904073683 
conf 	 22565.423714471395 0.46162058904073683 
rep 	 16496.233346682402 0.46162058904073683 
cong 	 11282.711857235698 0.7501084303501454 
sess 	 22565.423714471395 0.46162058904073683 
expressly 	 7521.807904823799 0.9474837570748075 
applicable 	 3470.5938321977123 1.0910237895669315 
educational 	 7813.184961001856 0.46162058904073683 
institutions 	 8381.938078190971 0.46162058904073683 
senator 	 12353.366406114961 0.46162058904073683 
exon 	 19951.56569657984 0.46162058904073683 
main 	 6766.235682289745 0.46162058904073683 
sponsor 	 14723.849660796734 0.46162058904073683 
referred 	 6446.49984374197 0.7501084303501454 
primarily 	 4869.754194111703 0.7501084303501454 
principal 	 12353.366406114961 0.46162058904073683 
target 	 14279.689833336512 0.46162058904073683 
legislation 	 8848.086306143194 0.46162058904073683 
rec 	 22565.423714471395 0.46162058904073683 
s8089 	 22565.423714471395 0.46162058904073683 
daily 	 4280.771725464726 0.7501084303501454 
june 	 7889.369370296222 0.46162058904073683 
declined 	 17337.70767868829 0.46162058904073683 
perform 	 11268.517310899295 0.46162058904073683 
radical 	 12109.99164290518 0.46162058904073683 
surgery 	 13194.840738120847 0.46162058904073683 
suggests 	 4036.663880968393 0.9474837570748075 
impose 	 8248.116673341201 0.7501084303501454 
significant 	 4023.258554211382 0.7501084303501454 
economic 	 5638.775964211495 0.46162058904073683 
cost 	 3832.6418258504164 0.7501084303501454 
forcing 	 16496.233346682402 0.46162058904073683 
providing 	 7738.5092534679625 0.46162058904073683 
cause 	 9496.133625013626 0.46162058904073683 
shut 	 16496.233346682402 0.46162058904073683 
significantly 	 4907.949886932244 0.9474837570748075 
delay 	 12892.99968748394 0.46162058904073683 
retrieval 	 17337.70767868829 0.46162058904073683 
acknowledged 	 17337.70767868829 0.46162058904073683 
deter 	 22565.423714471395 0.46162058904073683 
seeking 	 9867.351139592402 0.46162058904073683 
completely 	 6446.49984374197 0.7501084303501454 
bar 	 7253.493121700848 0.46162058904073683 
lack 	 8210.49946554752 0.46162058904073683 
resources 	 7063.318372673838 0.46162058904073683 
blocked 	 9211.278386951977 0.7501084303501454 
time 	 1198.5474376335071 0.9474837570748075 
ignoring 	 15808.6987560124 0.46162058904073683 
express 	 12892.99968748394 0.46162058904073683 
contends 	 3636.3675409523953 0.9474837570748075 
noncommercial 	 11282.711857235698 0.7501084303501454 
advantage 	 9739.508388223407 0.46162058904073683 
complains 	 19951.56569657984 0.46162058904073683 
adequately 	 15227.396542383809 0.46162058904073683 
discuss 	 10580.982720229293 0.46162058904073683 
adultcheck 	 22565.423714471395 0.46162058904073683 
simple 	 9867.351139592402 0.46162058904073683 
offered 	 3205.2859887859695 0.9474837570748075 
knowledge 	 8210.49946554752 0.46162058904073683 
persons 	 2289.551543648704 1.0910237895669315 
registered 	 11084.529601816366 0.46162058904073683 
reliable 	 6176.683203057481 0.7501084303501454 
pornographic 	 9975.78284828992 0.7501084303501454 
obviously 	 7613.6982711919045 0.7501084303501454 
associated 	 9267.51817614385 0.46162058904073683 
exclusively 	 13522.96064074874 0.46162058904073683 
written 	 4152.377664398191 0.46162058904073683 
notice 	 11461.944324034748 0.46162058904073683 
requirement 	 5068.411446384534 0.7501084303501454 
cable 	 3470.5938321977123 1.0910237895669315 
viewing 	 12353.366406114961 0.46162058904073683 
fear 	 9739.508388223407 0.46162058904073683 
reputations 	 22565.423714471395 0.46162058904073683 
disclosed 	 16496.233346682402 0.46162058904073683 
view 	 6184.933468661153 0.46162058904073683 
contention 	 7904.3493780062 0.7501084303501454 
huge 	 12892.99968748394 0.46162058904073683 
unsupported 	 19951.56569657984 0.46162058904073683 
design 	 7063.318372673838 0.46162058904073683 
code 	 8470.671583924814 0.46162058904073683 
administrative 	 10741.475026202572 0.46162058904073683 
creating 	 9999.680506600702 0.46162058904073683 
maintaining 	 11268.517310899295 0.46162058904073683 
ongoing 	 12109.99164290518 0.46162058904073683 
costs 	 8046.517108422764 0.46162058904073683 
involved 	 7063.318372673838 0.46162058904073683 
reach 	 1267.1028615961336 1.4118607475612985 
afford 	 7904.3493780062 0.7501084303501454 
retrieve 	 18422.556773903954 0.46162058904073683 
requiring 	 6176.683203057481 0.7501084303501454 
ids 	 15227.396542383809 0.46162058904073683 
importantly 	 15227.396542383809 0.46162058904073683 
overnment 	 22565.423714471395 0.46162058904073683 
testimony 	 12892.99968748394 0.46162058904073683 
basis 	 2484.5900909865823 0.9474837570748075 
overturning 	 22565.423714471395 0.46162058904073683 
single 	 2031.9042520777543 1.0910237895669315 
baldly 	 22565.423714471395 0.46162058904073683 
exploder 	 22565.423714471395 0.46162058904073683 
disseminate 	 9975.78284828992 0.7501084303501454 
fatally 	 22565.423714471395 0.46162058904073683 
undermined 	 9211.278386951977 0.7501084303501454 
despite 	 9739.508388223407 0.46162058904073683 
speculation 	 15808.6987560124 0.46162058904073683 
fora 	 22565.423714471395 0.46162058904073683 
screened 	 19951.56569657984 0.46162058904073683 
surprising 	 8668.853839344145 0.7501084303501454 
ultimately 	 11461.944324034748 0.46162058904073683 
forced 	 10909.102622857186 0.46162058904073683 
switch 	 7904.3493780062 0.7501084303501454 
alternative 	 2095.484519547743 1.0910237895669315 
realistic 	 14279.689833336512 0.46162058904073683 
special 	 6234.228288251641 0.46162058904073683 
press 	 3068.1373645124722 0.7501084303501454 
arkansas 	 18422.556773903954 0.46162058904073683 
writers 	 5454.551311428593 0.7501084303501454 
project 	 8295.244604965632 0.46162058904073683 
ragland 	 22565.423714471395 0.46162058904073683 
occur 	 10909.102622857186 0.46162058904073683 
restriction 	 5075.798847461269 0.9474837570748075 
southeastern 	 13882.37532879085 0.46162058904073683 
promotions 	 16496.233346682402 0.46162058904073683 
conrad 	 15808.6987560124 0.46162058904073683 
schneider 	 22565.423714471395 0.46162058904073683 
option 	 10136.822892769069 0.46162058904073683 
tone 	 13882.37532879085 0.46162058904073683 
self 	 6823.809319694948 0.46162058904073683 
censor 	 19951.56569657984 0.46162058904073683 
avoid 	 10279.141669592387 0.46162058904073683 
clearer 	 19951.56569657984 0.46162058904073683 
admission 	 14279.689833336512 0.46162058904073683 
utilize 	 13882.37532879085 0.46162058904073683 
independent 	 3562.8251851659265 0.7501084303501454 
addressed 	 12353.366406114961 0.46162058904073683 
conceded 	 22565.423714471395 0.46162058904073683 
troubling 	 19951.56569657984 0.46162058904073683 
visual 	 13194.840738120847 0.46162058904073683 
generic 	 19951.56569657984 0.46162058904073683 
fungible 	 22565.423714471395 0.46162058904073683 
country 	 3068.1373645124722 0.7501084303501454 
origin 	 5542.264800908183 0.7501084303501454 
irrelevant 	 19951.56569657984 0.46162058904073683 
photo 	 7904.3493780062 0.7501084303501454 
nude 	 11282.711857235698 0.7501084303501454 
woman 	 5213.521489446705 0.7501084303501454 
denmark 	 16496.233346682402 0.46162058904073683 
equally 	 13194.840738120847 0.46162058904073683 
home 	 842.0680967722469 0.7501084303501454 
connected 	 12353.366406114961 0.46162058904073683 
ornography 	 22565.423714471395 0.46162058904073683 
amsterdam 	 22565.423714471395 0.46162058904073683 
appealing 	 15227.396542383809 0.46162058904073683 
york 	 6234.228288251641 0.46162058904073683 
city 	 6284.176038325968 0.46162058904073683 
incentive 	 16496.233346682402 0.46162058904073683 
concluding 	 5454.551311428593 0.7501084303501454 
criminalizing 	 19951.56569657984 0.46162058904073683 
encourage 	 6176.683203057481 0.7501084303501454 
relocate 	 22565.423714471395 0.46162058904073683 
countries 	 6709.527846748062 0.46162058904073683 
anonymous 	 16496.233346682402 0.46162058904073683 
remailers 	 22565.423714471395 0.46162058904073683 
intermediate 	 7904.3493780062 0.7501084303501454 
demonstrate 	 11881.376194035403 0.46162058904073683 
alleviate 	 13882.37532879085 0.46162058904073683 
harms 	 19951.56569657984 0.46162058904073683 
meant 	 13882.37532879085 0.46162058904073683 
inability 	 11461.944324034748 0.46162058904073683 
precludes 	 22565.423714471395 0.46162058904073683 
partial 	 14723.849660796734 0.46162058904073683 
tailoring 	 22565.423714471395 0.46162058904073683 
florida 	 4907.949886932244 0.9474837570748075 
star 	 6446.49984374197 0.7501084303501454 
bjf 	 22565.423714471395 0.46162058904073683 
law 	 788.555510601966 1.0910237895669315 
prohibiting 	 16496.233346682402 0.46162058904073683 
disclosure 	 15808.6987560124 0.46162058904073683 
rape 	 12892.99968748394 0.46162058904073683 
victims' 	 18422.556773903954 0.46162058904073683 
names 	 5940.688097017702 0.7501084303501454 
instrument 	 11881.376194035403 0.46162058904073683 
law's 	 19951.56569657984 0.46162058904073683 
purpose 	 7125.650370331853 0.46162058904073683 
smith 	 10909.102622857186 0.46162058904073683 
publishing 	 12353.366406114961 0.46162058904073683 
invalidating 	 19951.56569657984 0.46162058904073683 
crime 	 9158.206174594816 0.46162058904073683 
offenders 	 15808.6987560124 0.46162058904073683 
pass 	 6597.420369060424 0.7501084303501454 
muster 	 19951.56569657984 0.46162058904073683 
standards 	 4063.8085041555087 0.7501084303501454 
justice 	 4023.258554211382 0.7501084303501454 
scalia 	 11282.711857235698 0.7501084303501454 
regarded 	 12353.366406114961 0.46162058904073683 
justifying 	 19951.56569657984 0.46162058904073683 
truthful 	 19951.56569657984 0.46162058904073683 
leaves 	 12109.99164290518 0.46162058904073683 
appreciable 	 22565.423714471395 0.46162058904073683 
damage 	 11881.376194035403 0.46162058904073683 
supposedly 	 17337.70767868829 0.46162058904073683 
vital 	 12613.538524492255 0.46162058904073683 
unprohibited 	 22565.423714471395 0.46162058904073683 
fundamental 	 11084.529601816366 0.46162058904073683 
shortcoming 	 19951.56569657984 0.46162058904073683 
intentionally 	 15808.6987560124 0.46162058904073683 
directed 	 5634.258655449647 0.7501084303501454 
displayed 	 15227.396542383809 0.46162058904073683 
originating 	 22565.423714471395 0.46162058904073683 
broadly 	 17337.70767868829 0.46162058904073683 
narrowly 	 4334.4269196720725 1.0910237895669315 
construed 	 11282.711857235698 0.7501084303501454 
infra 	 11282.711857235698 0.7501084303501454 
achieve 	 9867.351139592402 0.46162058904073683 
goals 	 10580.982720229293 0.46162058904073683 
underlying 	 11084.529601816366 0.46162058904073683 
premise 	 7904.3493780062 0.7501084303501454 
left 	 8210.49946554752 0.46162058904073683 
wholly 	 16496.233346682402 0.46162058904073683 
unprotected 	 18422.556773903954 0.46162058904073683 
arguing 	 14279.689833336512 0.46162058904073683 
vindicate 	 22565.423714471395 0.46162058904073683 
true 	 9999.680506600702 0.46162058904073683 
stipulations 	 22565.423714471395 0.46162058904073683 
market 	 3562.8251851659265 0.7501084303501454 
forces 	 8046.517108422764 0.46162058904073683 
line 	 6136.2747290249445 0.46162058904073683 
consider 	 5370.737513101286 0.7501084303501454 
type 	 9267.51817614385 0.46162058904073683 
growing 	 7889.369370296222 0.46162058904073683 
increasing 	 4474.326132945012 0.7501084303501454 
competition 	 9867.351139592402 0.46162058904073683 
went 	 11881.376194035403 0.46162058904073683 
cyber 	 17337.70767868829 0.46162058904073683 
patrol 	 22565.423714471395 0.46162058904073683 
surfwatch 	 22565.423714471395 0.46162058904073683 
america 	 1846.4556221772868 1.0910237895669315 
aol 	 14279.689833336512 0.46162058904073683 
microsoft 	 1624.7836168617648 0.9474837570748075 
network 	 4690.046850090649 0.7501084303501454 
compuserve 	 6941.187664395425 0.7501084303501454 
prodigy 	 9211.278386951977 0.7501084303501454 
parental 	 6446.49984374197 0.7501084303501454 
mechanisms 	 6446.49984374197 0.7501084303501454 
discussed 	 7453.770272959747 0.46162058904073683 
pics 	 11282.711857235698 0.7501084303501454 
platform 	 13522.96064074874 0.46162058904073683 
selection 	 11461.944324034748 0.46162058904073683 
technical 	 9615.857966357908 0.46162058904073683 
parents' 	 18422.556773903954 0.46162058904073683 
third 	 7665.283651700833 0.46162058904073683 
individual 	 6334.794247998471 0.46162058904073683 
rate 	 8127.617008311017 0.46162058904073683 
children's 	 4036.663880968393 0.9474837570748075 
rating 	 3952.1746890031 1.0910237895669315 
affirmatively 	 22565.423714471395 0.46162058904073683 
bureau 	 11881.376194035403 0.46162058904073683 
trust 	 12353.366406114961 0.46162058904073683 
additional 	 9380.093700181298 0.46162058904073683 
heard 	 13194.840738120847 0.46162058904073683 
trial 	 9496.133625013626 0.46162058904073683 
reasonably 	 12613.538524492255 0.46162058904073683 
soon 	 9867.351139592402 0.46162058904073683 
widely 	 11461.944324034748 0.46162058904073683 
tools 	 5940.688097017702 0.7501084303501454 
protect 	 4235.335791962407 0.7501084303501454 
deem 	 18422.556773903954 0.46162058904073683 
supervise 	 16496.233346682402 0.46162058904073683 
deny 	 16496.233346682402 0.46162058904073683 
opportunity 	 4375.0663734582495 0.7501084303501454 
educating 	 14723.849660796734 0.46162058904073683 
benefits 	 7967.124702337739 0.46162058904073683 
dangers 	 12892.99968748394 0.46162058904073683 
informational 	 17337.70767868829 0.46162058904073683 
requirements 	 8295.244604965632 0.46162058904073683 
blocking 	 1926.4119642986986 1.4595506950434798 
tailored 	 6650.521898859947 0.9474837570748075 
minors' 	 22565.423714471395 0.46162058904073683 
regulating 	 12613.538524492255 0.46162058904073683 
indecency 	 9211.278386951977 0.7501084303501454 
broadcast 	 2776.47506575817 1.2001110268999797 
television 	 2374.0334062534066 1.0910237895669315 
manufacturers 	 13522.96064074874 0.46162058904073683 
equip 	 17337.70767868829 0.46162058904073683 
feature 	 12353.366406114961 0.46162058904073683 
designed 	 7125.650370331853 0.46162058904073683 
viewers 	 18422.556773903954 0.46162058904073683 
chip 	 22565.423714471395 0.46162058904073683 
sec 	 4759.896611112171 0.9474837570748075 
encouraged 	 15808.6987560124 0.46162058904073683 
industry 	 5947.6854330378965 0.46162058904073683 
develop 	 8470.671583924814 0.46162058904073683 
policy 	 5993.955952201628 0.46162058904073683 
establishment 	 10909.102622857186 0.46162058904073683 
fund 	 10427.04297889341 0.46162058904073683 
development 	 4388.1419305748 0.46162058904073683 
education 	 4095.669828856508 0.46162058904073683 
chosen 	 12353.366406114961 0.46162058904073683 
unexplained 	 19951.56569657984 0.46162058904073683 
regular 	 11461.944324034748 0.46162058904073683 
channels 	 6054.99582145259 0.7501084303501454 
leased 	 17337.70767868829 0.46162058904073683 
pose 	 14723.849660796734 0.46162058904073683 
construes 	 22565.423714471395 0.46162058904073683 
transmission 	 13522.96064074874 0.46162058904073683 
recipient 	 3569.922458334128 1.0910237895669315 
situations 	 5290.491360114646 0.7501084303501454 
person 	 1813.373280425212 1.0910237895669315 
transmits 	 22565.423714471395 0.46162058904073683 
knowing 	 12613.538524492255 0.46162058904073683 
interpreting 	 9975.78284828992 0.7501084303501454 
assumed 	 4807.928983178954 0.7501084303501454 
interpreted 	 6941.187664395425 0.7501084303501454 
telecommunications 	 6054.99582145259 0.7501084303501454 
device 	 12353.366406114961 0.46162058904073683 
knew 	 14279.689833336512 0.46162058904073683 
sense 	 9051.973797553404 0.46162058904073683 
creates 	 13882.37532879085 0.46162058904073683 
barring 	 22565.423714471395 0.46162058904073683 
applied 	 4579.103087297408 0.7501084303501454 
laintiffs 	 22565.423714471395 0.46162058904073683 
reasonable 	 11665.831815444959 0.46162058904073683 
probability 	 17337.70767868829 0.46162058904073683 
eventual 	 13522.96064074874 0.46162058904073683 
urge 	 13882.37532879085 0.46162058904073683 
note 	 2569.785417398097 1.0910237895669315 
supra 	 22565.423714471395 0.46162058904073683 
interprets 	 16496.233346682402 0.46162058904073683 
applying 	 12613.538524492255 0.46162058904073683 
sends 	 14723.849660796734 0.46162058904073683 
tenable 	 22565.423714471395 0.46162058904073683 
interpretation 	 3333.226835533567 0.9474837570748075 
scienter 	 22565.423714471395 0.46162058904073683 
receiving 	 12353.366406114961 0.46162058904073683 
knowingly 	 17337.70767868829 0.46162058904073683 
sent 	 10741.475026202572 0.46162058904073683 
opposed 	 10136.822892769069 0.46162058904073683 
merely 	 12353.366406114961 0.46162058904073683 
summary 	 1934.6273133669906 1.0910237895669315 
understood 	 6597.420369060424 0.7501084303501454 
suffer 	 14723.849660796734 0.46162058904073683 
infirmity 	 22565.423714471395 0.46162058904073683 
definitively 	 19951.56569657984 0.46162058904073683 
officially 	 15227.396542383809 0.46162058904073683 
construing 	 22565.423714471395 0.46162058904073683 
undertake 	 18422.556773903954 0.46162058904073683 
initio 	 22565.423714471395 0.46162058904073683 
constitutionality 	 17337.70767868829 0.46162058904073683 
reassess 	 22565.423714471395 0.46162058904073683 
remand 	 19951.56569657984 0.46162058904073683 
light 	 7593.4529084663445 0.46162058904073683 
position 	 5472.991025790467 0.46162058904073683 
warrant 	 15808.6987560124 0.46162058904073683 
affirmance 	 11282.711857235698 0.7501084303501454 
involving 	 9999.680506600702 0.46162058904073683 
submitted 	 12892.99968748394 0.46162058904073683 
title 	 4357.8526111044175 0.46162058904073683 
pub 	 11084.529601816366 0.46162058904073683 
stat 	 18422.556773903954 0.46162058904073683 
codified 	 22565.423714471395 0.46162058904073683 
challenge 	 3636.3675409523953 0.9474837570748075 
obscenity 	 17337.70767868829 0.46162058904073683 
unlawful 	 13882.37532879085 0.46162058904073683 
solicitation 	 18422.556773903954 0.46162058904073683 
subsequently 	 12353.366406114961 0.46162058904073683 
addressing 	 12613.538524492255 0.46162058904073683 
somewhat 	 11665.831815444959 0.46162058904073683 
narrower 	 22565.423714471395 0.46162058904073683 
filed 	 11881.376194035403 0.46162058904073683 
urging 	 17337.70767868829 0.46162058904073683 
hold 	 9615.857966357908 0.46162058904073683 
pending 	 16496.233346682402 0.46162058904073683 
resolution 	 4807.928983178954 0.7501084303501454 
proper 	 10909.102622857186 0.46162058904073683 
approach 	 7665.283651700833 0.46162058904073683 
urged 	 4627.458442930283 0.9474837570748075 
reversal 	 16496.233346682402 0.46162058904073683 
aclu 	 17337.70767868829 0.46162058904073683 
moved 	 14279.689833336512 0.46162058904073683 
welcome 	 10909.102622857186 0.46162058904073683 
belief 	 10427.04297889341 0.46162058904073683 
probably 	 11461.944324034748 0.46162058904073683 
casting 	 15808.6987560124 0.46162058904073683 
doubt 	 14279.689833336512 0.46162058904073683 
motion 	 6054.99582145259 0.7501084303501454 
department 	 7253.493121700848 0.46162058904073683 
freedom 	 7253.493121700848 0.46162058904073683 
read 	 10279.141669592387 0.46162058904073683 
society 	 2862.24209951248 0.7501084303501454 
professional 	 7593.4529084663445 0.46162058904073683 
journalists 	 10279.141669592387 0.46162058904073683 
llc 	 22565.423714471395 0.46162058904073683 
publishers 	 5498.744448894135 0.9474837570748075 
editors 	 7139.844916668256 0.7501084303501454 
exchange 	 8948.652265890025 0.46162058904073683 
netcom 	 17337.70767868829 0.46162058904073683 
booksellers 	 11282.711857235698 0.7501084303501454 
wired 	 22565.423714471395 0.46162058904073683 
ventures 	 13522.96064074874 0.46162058904073683 
opnet 	 22565.423714471395 0.46162058904073683 
hotwired 	 22565.423714471395 0.46162058904073683 
health 	 6040.801275116188 0.46162058904073683 
sciences 	 13522.96064074874 0.46162058904073683 
apple 	 16496.233346682402 0.46162058904073683 
empowerment 	 8668.853839344145 0.7501084303501454 
coalition 	 5139.570834796194 0.7501084303501454 
families 	 11268.517310899295 0.46162058904073683 
censorship 	 12892.99968748394 0.46162058904073683 
digital 	 12353.366406114961 0.46162058904073683 
magazine 	 11665.831815444959 0.46162058904073683 
photographers 	 22565.423714471395 0.46162058904073683 
ass'n 	 22565.423714471395 0.46162058904073683 
required 	 7813.184961001856 0.46162058904073683 
prohibits 	 15808.6987560124 0.46162058904073683 
gaining 	 9211.278386951977 0.7501084303501454 
denying 	 15227.396542383809 0.46162058904073683 
unconstitutionally 	 9975.78284828992 0.7501084303501454 
vague 	 9975.78284828992 0.7501084303501454 
buckwalter 	 11282.711857235698 0.7501084303501454 
fifth 	 13194.840738120847 0.46162058904073683 
amendments 	 14279.689833336512 0.46162058904073683 
notwithstanding 	 19951.56569657984 0.46162058904073683 
distinguishable 	 22565.423714471395 0.46162058904073683 
vagueness 	 22565.423714471395 0.46162058904073683 
wisely 	 22565.423714471395 0.46162058904073683 
resurrected 	 22565.423714471395 0.46162058904073683 
suggested 	 5454.551311428593 0.7501084303501454 
seriously 	 13194.840738120847 0.46162058904073683 
standard 	 2011.629277105691 1.0910237895669315 
drawn 	 12613.538524492255 0.46162058904073683 
plausible 	 22565.423714471395 0.46162058904073683 
analogy 	 22565.423714471395 0.46162058904073683 
scarcity 	 8668.853839344145 0.7501084303501454 
internet's 	 19951.56569657984 0.46162058904073683 
characteristics 	 9051.973797553404 0.46162058904073683 
antithesis 	 18422.556773903954 0.46162058904073683 
underlies 	 22565.423714471395 0.46162058904073683 
refusing 	 15808.6987560124 0.46162058904073683 
extend 	 13194.840738120847 0.46162058904073683 
pervasiveness 	 22565.423714471395 0.46162058904073683 
intrusiveness 	 22565.423714471395 0.46162058904073683 
noteworthy 	 18422.556773903954 0.46162058904073683 
requires 	 9615.857966357908 0.46162058904073683 
