term 	 tf-idf weight 	 BM25 ranking 
 menu 	 412.88549644610447 1.8111337778888716 
image 	 30.503826181914757 1.9706428664534308 
gif 	 5.825518591386639 1.9706428664534308 
index 	 51.31350310345254 1.8111337778888716 
html 	 7.133541141662673 1.968420282718218 
contact 	 95.25481726498997 1.9008871201494542 
lynden 	 128.1040513462781 1.9547027361013276 
tribune 	 129.04770186346616 1.9491844409756989 
flag 	 893.6639619908292 1.6548601824939864 
link 	 214.43272642303575 1.8699969890008339 
scbut 	 470.73632074739237 1.8699969890008339 
view 	 387.0708826847075 1.6548601824939864 
staff 	 159.9051482189867 1.8699969890008339 
roster 	 1152.936462116503 1.6548601824939864 
interactive 	 423.15283893088076 1.8111337778888716 
mail 	 138.8017146068719 1.8699969890008339 
form 	 181.87163285523116 1.8111337778888716 
information 	 98.01607297035054 1.8111337778888716 
line 	 76.80513582868666 1.9199159601374793 
top 	 22.044294453128618 1.9591399199998605 
cont 	 271.2608732544707 1.9008871201494542 
meet 	 488.97153296113447 1.6548601824939864 
award 	 717.321363158897 1.6548601824939864 
winning 	 743.5706130449099 1.6548601824939864 
michael 	 326.2771337866408 1.8111337778888716 
lewis 	 386.5545573910277 1.8111337778888716 
publisher_ 	 1412.208962242177 1.6548601824939864 
david 	 297.14764459072074 1.8111337778888716 
brumbaugh 	 706.1044811210885 1.8111337778888716 
editor_ 	 282.4417924484354 1.9199159601374793 
roy 	 476.48708353256154 1.8111337778888716 
neese 	 706.1044811210885 1.8111337778888716 
sports 	 298.64322861653466 1.6548601824939864 
ashley 	 624.313113815015 1.8111337778888716 
groen 	 706.1044811210885 1.8111337778888716 
feature 	 773.1091147820554 1.6548601824939864 
writer_ 	 1412.208962242177 1.6548601824939864 
mary 	 446.8319809954146 1.8111337778888716 
beth 	 706.1044811210885 1.8111337778888716 
neal 	 706.1044811210885 1.8111337778888716 
community 	 181.87163285523116 1.8111337778888716 
news 	 215.3562772846472 1.8111337778888716 
ric 	 706.1044811210885 1.8111337778888716 
hallock 	 706.1044811210885 1.8111337778888716 
presentation 	 730.0812273786821 1.6548601824939864 
calvin 	 1248.62622763003 1.6548601824939864 
bratt 	 1412.208962242177 1.6548601824939864 
farm 	 705.2161456834351 1.6548601824939864 
review 	 318.4129210199829 1.6548601824939864 
maggy 	 706.1044811210885 1.8111337778888716 
jones 	 371.78530652245496 1.8111337778888716 
advertising 	 176.30403642085878 1.9008871201494542 
manager_ 	 470.73632074739237 1.8699969890008339 
marlene 	 624.313113815015 1.8111337778888716 
martin 	 394.69571622648795 1.8111337778888716 
sales_ 	 470.73632074739237 1.8699969890008339 
dee 	 706.1044811210885 1.8111337778888716 
mann 	 446.8319809954146 1.8111337778888716 
sarah 	 576.4682310582515 1.8111337778888716 
newman 	 624.313113815015 1.8111337778888716 
howard 	 446.8319809954146 1.8111337778888716 
urie 	 706.1044811210885 1.8111337778888716 
production 	 519.1402086374674 1.6548601824939864 
manage_ 	 1412.208962242177 1.6548601824939864 
agnes 	 446.8319809954146 1.8111337778888716 
roorda 	 706.1044811210885 1.8111337778888716 
office 	 387.0708826847075 1.6548601824939864 
carol 	 516.1908074538646 1.8111337778888716 
weidkamp 	 706.1044811210885 1.8111337778888716 
circulation 	 921.4607584057356 1.6548601824939864 
please 	 139.96716802196966 1.8699969890008339 
enter 	 235.07204856114504 1.8699969890008339 
name 	 462.2259632286817 1.6548601824939864 
email 	 789.3914324529759 1.6548601824939864 
address 	 503.5741282386031 1.6548601824939864 
select 	 893.6639619908292 1.6548601824939864 
direct 	 524.5657349384962 1.6548601824939864 
message 	 378.9390118967943 1.8111337778888716 
thanks 	 952.9741670651231 1.6548601824939864 
input 	 846.3056778617615 1.6548601824939864 
north 	 416.4051438206157 1.6548601824939864 
street 	 503.5741282386031 1.6548601824939864 
box 	 609.5263801699082 1.6548601824939864 
fax 	 560.03233485814 1.6548601824939864 
phone 	 535.8059544999603 1.6548601824939864 
home 	 105.39807522580232 1.6548601824939864 
story 	 541.6334110712879 1.6548601824939864 
spotlight 	 989.3537275043559 1.6548601824939864 
spot 	 846.3056778617615 1.6548601824939864 
local 	 369.3625788021798 1.6548601824939864 
history 	 259.86770851179347 1.6548601824939864 
hist 	 1085.0434930178828 1.6548601824939864 
info 	 488.97153296113447 1.6548601824939864 
commun 	 1085.0434930178828 1.6548601824939864 
subscribe 	 494.67686375217795 1.8111337778888716 
copyright 	 184.0633840920532 1.6548601824939864 
mailto 	 171.4400544436205 1.6548601824939864 
lyndentrib 	 576.4682310582515 1.8111337778888716 
nas 	 576.4682310582515 1.8111337778888716 
com 	 56.956012276810675 1.8111337778888716 
washington 	 498.6055236679147 1.6548601824939864 
usa 	 508.64959267075045 1.6548601824939864 
