term 	 tf-idf weight 	 BM25 ranking 
readily 	 4411.4475647932295 1.1123395330813486 
country 	 489.7954636532772 1.579773775466964 
failed 	 2362.826326982747 1.1123395330813486 
enable 	 1079.3983433745348 1.579773775466964 
full 	 1554.2945324922252 1.1123395330813486 
architectural 	 1215.445865621195 1.579773775466964 
limitations 	 2958.1251298652373 1.1123395330813486 
example 	 531.0930012288361 1.579773775466964 
online 	 493.0208549775395 1.76522191015927 
discussions 	 2845.1028117777696 1.1123395330813486 
political 	 427.5631307405129 1.429586356190496 
issues 	 627.0506183944991 1.429586356190496 
users 	 299.8164687156977 1.8371073353294434 
exchange 	 714.2785287809328 1.579773775466964 
views 	 803.3285130752453 1.429586356190496 
pose 	 3525.758749323641 1.1123395330813486 
questions 	 1457.8830506828126 1.1123395330813486 
figures 	 2362.826326982747 1.1123395330813486 
broadcast 	 1108.0867074956366 1.579773775466964 
support 	 418.0337455963328 1.579773775466964 
internet's 	 2388.791278707451 1.429586356190496 
allows 	 899.449406147093 1.579773775466964 
simply 	 2394.513788772324 1.1123395330813486 
impossible 	 3020.4256928179543 1.1123395330813486 
supports 	 3020.4256928179543 1.1123395330813486 
ideas 	 611.8404611938347 1.579773775466964 
decentralized_ 	 5403.494461460533 1.1123395330813486 
network 	 320.8783047794716 1.795329338206349 
user 	 624.2123979011369 1.6673571768910895 
create 	 963.405588558175 1.429586356190496 
web 	 154.42132625920556 1.8752912335885144 
site 	 360.2883734825986 1.7247290509517434 
participate 	 2654.2907001962817 1.1123395330813486 
usenet 	 4777.582557414902 1.1123395330813486 
newsgroup 	 2388.791278707451 1.429586356190496 
obtaining 	 3324.26012248691 1.1123395330813486 
permission 	 2142.8355863427983 1.1123395330813486 
central 	 790.0481439046039 1.429586356190496 
authority 	 1966.0782331979342 1.1123395330813486 
page 	 55.40749726550221 1.8185926229356804 
publicly 	 3525.758749323641 1.1123395330813486 
accessible 	 3646.337596863585 1.1123395330813486 
millions 	 2793.4887640802963 1.1123395330813486 
world 	 250.2978196524733 1.6673571768910895 
connected 	 2958.1251298652373 1.1123395330813486 
computer 	 698.4327650018207 1.579773775466964 
pay 	 983.0391165989671 1.429586356190496 
operator 	 1709.7003340629635 1.429586356190496 
hosting 	 2388.791278707451 1.429586356190496 
guaranteed 	 3238.1950301236047 1.1123395330813486 
numerous 	 2246.1481334563014 1.1123395330813486 
hosts 	 4777.582557414902 1.1123395330813486 
chose 	 3950.1720265325407 1.1123395330813486 
control 	 636.2652239359891 1.429586356190496 
content 	 623.6458958529723 1.579773775466964 
publish 	 3525.758749323641 1.1123395330813486 
equally 	 3159.623756701969 1.1123395330813486 
resources 	 1691.375362112033 1.1123395330813486 
establish 	 2572.1431844765107 1.1123395330813486 
post 	 1784.8725951956117 1.1123395330813486 
idea 	 2394.513788772324 1.1123395330813486 
essentially 	 2845.1028117777696 1.1123395330813486 
unlimited 	 3419.400668125927 1.1123395330813486 
adding 	 2654.2907001962817 1.1123395330813486 
posting 	 4151.670653369272 1.1123395330813486 
require 	 2461.433287627135 1.1123395330813486 
eliminated 	 4151.670653369272 1.1123395330813486 
marginal 	 4151.670653369272 1.1123395330813486 
added 	 2219.1909077321393 1.1123395330813486 
equal 	 2654.2907001962817 1.1123395330813486 
environment 	 329.60460743734984 1.7247290509517434 
characterized 	 3087.345191672765 1.1123395330813486 
abundance_ 	 5403.494461460533 1.1123395330813486 
abundance 	 3950.1720265325407 1.1123395330813486 
stands 	 3419.400668125927 1.1123395330813486 
sharp 	 3646.337596863585 1.1123395330813486 
contrast 	 2302.6040158104456 1.1123395330813486 
scarcity 	 4151.670653369272 1.1123395330813486 
channels 	 1449.9234226390051 1.429586356190496 
spectrum 	 3419.400668125927 1.1123395330813486 
prominent 	 2698.348218441279 1.1123395330813486 
feature 	 2958.1251298652373 1.1123395330813486 
cable 	 1662.130061243455 1.429586356190496 
broadcasting 	 3419.400668125927 1.1123395330813486 
program 	 1065.4634580664022 1.1123395330813486 
today's 	 2845.1028117777696 1.1123395330813486 
systems 	 712.1134905904562 1.429586356190496 
requires 	 2302.6040158104456 1.1123395330813486 
compete 	 1975.0860132662704 1.429586356190496 
usually 	 2273.93494123238 1.1123395330813486 
price 	 518.1659497416741 1.429586356190496 
channel 	 3159.623756701969 1.1123395330813486 
slot 	 4777.582557414902 1.1123395330813486 
broadcaster 	 5403.494461460533 1.1123395330813486 
demand 	 2167.5768600346655 1.1123395330813486 
raised 	 1372.3330316366187 1.429586356190496 
wealthiest 	 5403.494461460533 1.1123395330813486 
develop 	 676.1262653835505 1.579773775466964 
continue 	 1047.649147502731 1.429586356190496 
manner 	 1109.5954538660696 1.429586356190496 
able 	 926.5279575552333 1.429586356190496 
speakers 	 3087.345191672765 1.1123395330813486 
listeners 	 4777.582557414902 1.1123395330813486 
publishers 	 3950.1720265325407 1.1123395330813486 
readers 	 3525.758749323641 1.1123395330813486 
providers 	 631.9247513403938 1.7247290509517434 
consumers 	 2899.8468452780103 1.1123395330813486 
nature 	 1529.209586103536 1.1123395330813486 
key 	 1580.0962878092078 1.1123395330813486 
attribute 	 5403.494461460533 1.1123395330813486 
effective 	 1889.180732266637 1.1123395330813486 
proverbial 	 5403.494461460533 1.1123395330813486 
town 	 2496.8495916045476 1.1123395330813486 
square 	 2845.1028117777696 1.1123395330813486 
degree 	 2394.513788772324 1.1123395330813486 
forth 	 3159.623756701969 1.1123395330813486 
telecommunications 	 579.9693690556021 1.7247290509517434 
services 	 141.39227198577535 1.8371073353294434 
assure 	 1975.0860132662704 1.429586356190496 
continued 	 2072.4363143956484 1.1123395330813486 
stream 	 1892.7678303737996 1.429586356190496 
paths 	 3419.400668125927 1.1123395330813486 
designed 	 1706.301321773976 1.1123395330813486 
initially 	 3646.337596863585 1.1123395330813486 
meet 	 623.6458958529723 1.579773775466964 
military 	 1634.0227567447726 1.1123395330813486 
planners 	 3646.337596863585 1.1123395330813486 
disaster 	 4151.670653369272 1.1123395330813486 
proof 	 3419.400668125927 1.1123395330813486 
reap 	 4777.582557414902 1.1123395330813486 
benefit 	 1784.8725951956117 1.1123395330813486 
connect 	 4411.4475647932295 1.1123395330813486 
day 	 1254.1012367889982 1.1123395330813486 
variety 	 944.5903661333185 1.429586356190496 
including 	 792.8256985283087 1.1123395330813486 
commercial 	 2072.4363143956484 1.1123395330813486 
schools 	 2427.3537714586237 1.1123395330813486 
libraries 	 2075.835326684636 1.429586356190496 
freenets 	 5403.494461460533 1.1123395330813486 
networks 	 3159.623756701969 1.1123395330813486 
bulletin 	 3950.1720265325407 1.1123395330813486 
board 	 1986.3712220323432 1.1123395330813486 
bbss 	 5403.494461460533 1.1123395330813486 
linked 	 2958.1251298652373 1.1123395330813486 
technical 	 767.5346719368152 1.579773775466964 
advances 	 1543.6725958363825 1.429586356190496 
increasingly 	 1286.0715922382553 1.429586356190496 
wide 	 642.2703923721167 1.579773775466964 
reach 	 2427.3537714586237 1.1123395330813486 
spurred 	 5403.494461460533 1.1123395330813486 
vibrant 	 5403.494461460533 1.1123395330813486 
market 	 341.2602643547952 1.7247290509517434 
citizens 	 2273.93494123238 1.1123395330813486 
rely 	 3324.26012248691 1.1123395330813486 
beneficiaries 	 3646.337596863585 1.1123395330813486 
prices 	 2496.8495916045476 1.1123395330813486 
reliable 	 2958.1251298652373 1.1123395330813486 
innovative 	 1422.5514058888848 1.429586356190496 
server 	 3525.758749323641 1.1123395330813486 
features 	 1230.7166438135675 1.429586356190496 
benefits 	 1907.7999486107076 1.1123395330813486 
mere 	 3525.758749323641 1.1123395330813486 
competition 	 2362.826326982747 1.1123395330813486 
interconnection 	 4777.582557414902 1.1123395330813486 
varying 	 3646.337596863585 1.1123395330813486 
diverse 	 3419.400668125927 1.1123395330813486 
corporations 	 2845.1028117777696 1.1123395330813486 
exist 	 2654.2907001962817 1.1123395330813486 
breadth 	 4777.582557414902 1.1123395330813486 
creates 	 3324.26012248691 1.1123395330813486 
true 	 2394.513788772324 1.1123395330813486 
forums 	 4777.582557414902 1.1123395330813486 
evolve 	 4151.670653369272 1.1123395330813486 
changing 	 1853.0559151104667 1.1123395330813486 
changes 	 746.421127590988 1.429586356190496 
people 	 1058.0919885592398 1.1123395330813486 
primarily 	 2332.2132258196066 1.1123395330813486 
ago 	 2654.2907001962817 1.1123395330813486 
little 	 2095.298295005462 1.1123395330813486 
experimental 	 3159.623756701969 1.1123395330813486 
developed 	 600.4806224709977 1.579773775466964 
physics 	 3020.4256928179543 1.1123395330813486 
laboratory 	 2899.8468452780103 1.1123395330813486 
switzerland 	 3419.400668125927 1.1123395330813486 
year's 	 3324.26012248691 1.1123395330813486 
vastly 	 3646.337596863585 1.1123395330813486 
powerful 	 2698.348218441279 1.1123395330813486 
flexible 	 3324.26012248691 1.1123395330813486 
easy 	 2496.8495916045476 1.1123395330813486 
level 	 1340.1663291523037 1.1123395330813486 
routing 	 5403.494461460533 1.1123395330813486 
addressing 	 3020.4256928179543 1.1123395330813486 
protocols 	 4151.670653369272 1.1123395330813486 
evolving 	 3087.345191672765 1.1123395330813486 
meeting 	 2072.4363143956484 1.1123395330813486 
increasing 	 2142.8355863427983 1.1123395330813486 
usage 	 2744.6660632732373 1.1123395330813486 
levels 	 2072.4363143956484 1.1123395330813486 
public 	 487.0156682653155 1.429586356190496 
built 	 2394.513788772324 1.1123395330813486 
technologies 	 3087.345191672765 1.1123395330813486 
deployed 	 3525.758749323641 1.1123395330813486 
various 	 1103.251398338159 1.1123395330813486 
gain 	 2612.283126077974 1.1123395330813486 
popularity 	 3419.400668125927 1.1123395330813486 
adopted 	 3020.4256928179543 1.1123395330813486 
process 	 1413.281392620205 1.1123395330813486 
proceed 	 3324.26012248691 1.1123395330813486 
relatively 	 2793.4887640802963 1.1123395330813486 
easily 	 2744.6660632732373 1.1123395330813486 
building 	 1784.8725951956117 1.1123395330813486 
blocks 	 3785.535660747599 1.1123395330813486 
expensive 	 3020.4256928179543 1.1123395330813486 
reasons 	 1986.3712220323432 1.1123395330813486 
believe 	 2332.2132258196066 1.1123395330813486 
inherently 	 4151.670653369272 1.1123395330813486 
multimedia 	 4777.582557414902 1.1123395330813486 
applications 	 2118.7541592276066 1.1123395330813486 
popular 	 2050.138885226543 1.1123395330813486 
ability 	 1926.81117711635 1.1123395330813486 
voice 	 2533.711852656338 1.1123395330813486 
call 	 1706.301321773976 1.1123395330813486 
oriented 	 1579.8118783509844 1.429586356190496 
maintain 	 1136.96747061619 1.429586356190496 
called 	 1580.0962878092078 1.1123395330813486 
question 	 589.5339615755644 1.579773775466964 
separate 	 2332.2132258196066 1.1123395330813486 
elements 	 1986.3712220323432 1.1123395330813486 
ought 	 4151.670653369272 1.1123395330813486 
distinguished 	 3785.535660747599 1.1123395330813486 
discussion 	 1340.1663291523037 1.1123395330813486 
personal 	 1291.3436283452445 1.1123395330813486 
hardware 	 1892.7678303737996 1.429586356190496 
underlying 	 2654.2907001962817 1.1123395330813486 
connects 	 4777.582557414902 1.1123395330813486 
costs 	 963.405588558175 1.429586356190496 
remain 	 2273.93494123238 1.1123395330813486 
substantial 	 2793.4887640802963 1.1123395330813486 
webtv 	 5403.494461460533 1.1123395330813486 
computers 	 2744.6660632732373 1.1123395330813486 
consumer 	 2167.5768600346655 1.1123395330813486 
pcs 	 4151.670653369272 1.1123395330813486 
suggest 	 3419.400668125927 1.1123395330813486 
barrier 	 4151.670653369272 1.1123395330813486 
easing 	 5403.494461460533 1.1123395330813486 
decrease 	 3238.1950301236047 1.1123395330813486 
finally 	 2427.3537714586237 1.1123395330813486 
low 	 1784.8725951956117 1.1123395330813486 
telephone 	 2246.1481334563014 1.1123395330813486 
especially 	 1567.1032578899617 1.1123395330813486 
flat 	 3785.535660747599 1.1123395330813486 
rate 	 1946.23128043088 1.1123395330813486 
local 	 1413.281392620205 1.1123395330813486 
calling 	 2793.4887640802963 1.1123395330813486 
viewed 	 2698.348218441279 1.1123395330813486 
significant 	 1926.81117711635 1.1123395330813486 
boon 	 5403.494461460533 1.1123395330813486 
viable 	 2793.4887640802963 1.1123395330813486 
option 	 2427.3537714586237 1.1123395330813486 
slow 	 2899.8468452780103 1.1123395330813486 
analog 	 4411.4475647932295 1.1123395330813486 
phone 	 2050.138885226543 1.1123395330813486 
lines 	 2193.0151619355925 1.1123395330813486 
choices 	 1662.130061243455 1.429586356190496 
particularly 	 1606.6570261504905 1.1123395330813486 
components 	 2533.711852656338 1.1123395330813486 
methods 	 1504.8026949372445 1.1123395330813486 
directly 	 2167.5768600346655 1.1123395330813486 
commission's 	 2205.7237823966148 1.429586356190496 
ongoing 	 2899.8468452780103 1.1123395330813486 
proceedings 	 1510.2128464089772 1.429586356190496 
fees 	 3020.4256928179543 1.1123395330813486 
filing 	 3159.623756701969 1.1123395330813486 
comments 	 1022.1111331411186 1.1123395330813486 
seek 	 2612.283126077974 1.1123395330813486 
address 	 1926.81117711635 1.1123395330813486 
fully 	 2332.2132258196066 1.1123395330813486 
time 	 861.0090184431638 1.1123395330813486 
iii 	 2496.8495916045476 1.1123395330813486 
conclusion 	 2142.8355863427983 1.1123395330813486 
capacity 	 1248.4247958022738 1.429586356190496 
inquiry 	 2899.8468452780103 1.1123395330813486 
availability 	 3238.1950301236047 1.1123395330813486 
challenge 	 1306.141563038987 1.429586356190496 
facing 	 2612.283126077974 1.1123395330813486 
makers 	 2958.1251298652373 1.1123395330813486 
forward 	 2654.2907001962817 1.1123395330813486 
consistent 	 3324.26012248691 1.1123395330813486 
fundamental 	 2654.2907001962817 1.1123395330813486 
useful 	 2744.6660632732373 1.1123395330813486 
maintains 	 3324.26012248691 1.1123395330813486 
helped 	 3087.345191672765 1.1123395330813486 
grow 	 2958.1251298652373 1.1123395330813486 
serve 	 1151.3020079052228 1.429586356190496 
values 	 2028.3787961506516 1.1123395330813486 
achieving 	 3525.758749323641 1.1123395330813486 
context 	 2219.1909077321393 1.1123395330813486 
occurring 	 3238.1950301236047 1.1123395330813486 
fixed 	 2793.4887640802963 1.1123395330813486 
prescription 	 3419.400668125927 1.1123395330813486 
activities 	 1620.2362294106706 1.1123395330813486 
guided 	 3646.337596863585 1.1123395330813486 
stunning 	 4411.4475647932295 1.1123395330813486 
success 	 1109.5954538660696 1.429586356190496 
manifest 	 3785.535660747599 1.1123395330813486 
sitting 	 3525.758749323641 1.1123395330813486 
consider 	 2572.1431844765107 1.1123395330813486 
application 	 1554.2945324922252 1.1123395330813486 
amendment 	 2533.711852656338 1.1123395330813486 
court 	 1662.243803528979 1.1123395330813486 
philadelphia 	 3087.345191672765 1.1123395330813486 
found 	 1691.375362112033 1.1123395330813486 
participatory 	 4411.4475647932295 1.1123395330813486 
form 	 1391.7803768497772 1.1123395330813486 
mass 	 1022.1111331411186 1.1123395330813486 
extraordinary 	 3525.758749323641 1.1123395330813486 
holds 	 2899.8468452780103 1.1123395330813486 
model 	 1889.180732266637 1.1123395330813486 
advancing 	 3785.535660747599 1.1123395330813486 
objectives 	 2142.8355863427983 1.1123395330813486 
images 	 860.7390748068342 1.429586356190496 
back_1 	 4411.4475647932295 1.1123395330813486 
gif 	 156.03009752608028 1.429586356190496 
digi_infra 	 2701.7472307302664 1.429586356190496 
home 	 201.64080917139722 1.429586356190496 
s_home 	 4777.582557414902 1.1123395330813486 
