term 	 tf-idf weight 	 BM25 ranking 
 nemzet 	 413.2109628521941 1.720331019409613 
subject 	 3577.8306945365284 0.4370177572816431 
subscribe__ 	 12093.261616868058 0.4370177572816431 
subs 	 5853.770659599978 0.7172992580392389 
magyar 	 324.6657565267239 1.7734722894778527 
siliconvalley 	 938.1494464899703 1.5092814211685093 
com 	 162.78317915554575 1.5407852523909173 
mailto 	 587.9812714689256 1.1659804573753851 
unsubscribe 	 12093.261616868058 0.4370177572816431 
unsubs 	 6046.630808434029 0.7172992580392389 
www_page___ 	 12093.261616868058 0.4370177572816431 
http 	 1775.6570101322704 0.4370177572816431 
www 	 1759.8792123701053 0.4370177572816431 
htmlx 	 12093.261616868058 0.4370177572816431 
disclaimer_ 	 6046.630808434029 0.7172992580392389 
dissemination 	 11707.541319199956 0.4370177572816431 
information 	 3361.619045008548 0.4370177572816431 
public 	 873.0686199201471 1.1659804573753851 
benefit 	 7999.31272730525 0.4370177572816431 
responsibility 	 7323.244846673416 0.4370177572816431 
content 	 8385.033024973352 0.4370177572816431 
assumed 	 10319.643911389672 0.4370177572816431 
eeeeeee 	 2347.6390365135953 1.0559002743876371 
zzzzzzz 	 4695.278073027191 0.7172992580392389 
tttttttnn 	 9390.556146054381 0.4370177572816431 
eeee 	 4695.278073027191 0.7172992580392389 
vitacikk 	 12093.261616868058 0.4370177572816431 
level 	 3003.1301960572387 0.7172992580392389 
szerkesztosegnek 	 6046.630808434029 0.7172992580392389 
alairassal 	 12093.261616868058 0.4370177572816431 
signed 	 4405.713515920288 0.7172992580392389 
alairas 	 11190.199664699452 0.4370177572816431 
nelkul 	 3130.185382018127 0.9123431253382724 
noname 	 6046.630808434029 0.7172992580392389 
editor 	 5095.578464655283 0.7172992580392389 
hazai 	 2400.901333867471 1.0559002743876371 
hetilapokbol 	 10319.643911389672 0.4370177572816431 
demokrata 	 5365.779237631004 0.7172992580392389 
bankvilag 	 6202.218949496288 0.9123431253382724 
helyett 	 4972.904542409728 0.7172992580392389 
munka 	 8482.86977798756 0.7172992580392389 
vilagatbanhidai 	 24216.990127941062 0.4370177572816431 
karoly 	 14512.707958926056 0.4370177572816431 
riportja 	 24216.990127941062 0.4370177572816431 
magas 	 2460.169115850895 1.1659804573753851 
istvannal 	 18606.656848488863 0.4370177572816431 
meglatasom 	 12108.495063970531 0.7172992580392389 
volt 	 826.4219257043882 1.5092814211685093 
sokan 	 2926.885329799989 1.0559002743876371 
masok 	 6046.630808434029 0.7172992580392389 
valljak 	 6202.218949496288 0.9123431253382724 
ilyentortenelmi 	 24216.990127941062 0.4370177572816431 
idoben 	 6046.630808434029 0.7172992580392389 
amikor 	 1136.3301478435337 1.382113524106052 
gazdasagnak 	 9303.328424244432 0.7172992580392389 
ennyire 	 5901.198298773419 0.9123431253382724 
szuksegevan 	 24216.990127941062 0.4370177572816431 
komoly 	 4100.2818597514915 0.9123431253382724 
lokesre 	 12108.495063970531 0.7172992580392389 
hogy 	 82.64219257043881 1.9370208815384764 
novekedesnek 	 12108.495063970531 0.7172992580392389 
induljon 	 10705.911744107481 0.7172992580392389 
olyanszerkezetben 	 24216.990127941062 0.4370177572816431 
ami 	 826.4219257043882 1.5092814211685093 
tarthato 	 7900.745104381382 0.7172992580392389 
