term 	 tf-idf weight 	 BM25 ranking 
 law 	 97.82567097123302 1.8126503444757553 
leading 	 1982.8631836292784 0.935924593516155 
attorneys 	 3664.520716311219 0.935924593516155 
web 	 5280.08069720845 0.6109018019175759 
header 	 7114.500552822261 0.6109018019175759 
gif 	 222.2953715031033 1.27513437583935 
webhead 	 7688.648910353722 0.6109018019175759 
illinois 	 129.0478044973624 1.911305718291389 
employment 	 156.21473745399663 1.8972825422676627 
relationship 	 473.77831749253573 1.5573521321702217 
independent 	 540.2132768456307 1.5966153761705628 
contractor 	 1944.7429078039145 1.5096213692883809 
versus 	 4053.405057975748 0.935924593516155 
employee 	 128.9202775843371 1.921959896572593 
government 	 607.1843804218944 1.3747880345118528 
administered 	 1674.3774939109871 1.4503528649578232 
benefits 	 143.05441708268785 1.8870806409008603 
unemployment 	 537.8983463192551 1.7511363219700526 
insurance 	 663.369326079618 1.5966153761705628 
application 	 2214.3963632904183 0.935924593516155 
eligibility 	 3348.7549878219743 1.137689090403352 
workers' 	 974.3209212722049 1.6294807501422346 
compensation 	 630.2593181621478 1.6813965663486448 
social 	 412.79150862803175 1.5573521321702217 
security 	 405.93543567410364 1.6573942258365781 
civil 	 439.2806125979831 1.6294807501422346 
rights 	 59.265275755743886 1.8924229204839995 
workplace 	 382.48058058520024 1.8200631314476925 
age 	 293.758655180579 1.7640483087446615 
discrimination 	 200.38816165368198 1.8779922829728706 
persons 	 2082.9191626652932 1.137689090403352 
disabilities 	 936.5394314191283 1.5966153761705628 
sexual 	 215.5909258430988 1.8710745395498987 
harassment 	 384.4534797207472 1.8269116473005467 
pregnancy 	 2250.750810075904 1.27513437583935 
responsibilities 	 2562.8829701179075 1.137689090403352 
wages 	 1303.4377594688149 1.4503528649578232 
hours 	 673.2615879652944 1.6294807501422346 
substance 	 4398.5266767298035 0.935924593516155 
abuse 	 3280.5094865339297 0.935924593516155 
parenting 	 4189.979543821698 1.137689090403352 
family 	 488.08956955331456 1.5966153761705628 
medical 	 545.0182452265251 1.5966153761705628 
leave 	 256.7658553916551 1.8633251828670148 
privacy 	 842.8854882772155 1.6294807501422346 
whistleblowing 	 5132.222683402713 1.137689090403352 
access 	 1848.5245790138995 1.137689090403352 
