term 	 tf-idf weight 	 BM25 ranking 
 law 	 154.35139420816702 1.7195744579861603 
leading 	 2133.1384734884737 0.8996493364227509 
attorneys 	 3942.243817625128 0.8996493364227509 
web 	 5680.242273561209 0.5803532787382939 
header 	 7653.687341706964 0.5803532787382939 
gif 	 239.14247505658372 1.241045701798733 
webhead 	 8271.348691744695 0.5803532787382939 
illinois 	 194.3591340801317 1.869349717327591 
elder 	 1200.8490486191508 1.5725774927333243 
age 	 124.93883059479322 1.8923484013792073 
discrimination 	 377.25622038493407 1.7820406731950904 
employment 	 282.3303617170903 1.8217473559257096 
human 	 426.6276946976948 1.6069191636279607 
rights 	 196.17481334796148 1.6832644317834304 
act 	 297.1616029530924 1.748415658497911 
relationship 	 815.4953021807005 1.3429710682603468 
ihra 	 2070.441953117768 1.5316608477442584 
adea 	 976.3269486101476 1.7195744579861603 
health 	 96.39317174271389 1.8990146610771184 
care 	 121.5830526270814 1.8968862421875023 
decisions 	 425.16060580028807 1.7347768245895532 
protective 	 3493.872664958496 1.1016902737120216 
arrangements 	 2481.5403774590636 1.241045701798733 
living 	 253.70411326068316 1.815007151264737 
power 	 306.74582058605944 1.6832644317834304 
attorney 	 554.7630444670737 1.7025233496604548 
guardianship 	 2092.129175593174 1.482081090494511 
commitment 	 862.96473583767 1.5725774927333243 
institution 	 1553.3365245078062 1.3429710682603468 
voluntary 	 1455.711441076375 1.482081090494511 
emergency 	 1941.6706556347576 1.241045701798733 
hold 	 3529.129521463629 0.8996493364227509 
judicial 	 2034.074379330927 1.241045701798733 
social 	 161.48208965585158 1.7998724453093786 
security 	 192.14803179798068 1.8217473559257096 
retirement 	 461.2054294442361 1.791336829610872 
survivors 	 1801.2735729287263 1.4207611676114231 
insurance 	 214.09323294850938 1.8492163309640175 
railroad 	 525.7642113049227 1.7607203717002309 
system 	 331.7483375805078 1.5725774927333243 
disability 	 431.792984204344 1.791336829610872 
benefits 	 121.83440055727294 1.9030183475939568 
rsdhi 	 1220.4086857626846 1.661339214281928 
supplemental 	 2545.2545666724573 1.3429710682603468 
income 	 415.2722002059769 1.7347768245895532 
medicare 	 400.13604876272024 1.844421354772278 
costs 	 1181.2654126817401 1.3429710682603468 
covered 	 580.3941852075909 1.6832644317834304 
issues 	 1922.121939884799 0.8996493364227509 
