term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 289.7883175410786 1.6790056704392768 
logo_asm 	 869.3649526232358 1.271016561439446 
gif 	 37.3804109613976 1.825499410267342 
subject 	 286.88066725404093 1.5542771338095842 
index 	 141.1121335344945 1.5542771338095842 
anthropology 	 863.1543789137539 1.271016561439446 
ant 	 869.3649526232358 1.271016561439446 
idx 	 45.756050138065035 1.9413960363802072 
html 	 8.500803193814685 1.9624810505300025 
architecture 	 832.9628887667085 1.271016561439446 
arc 	 410.6344393477351 1.5542771338095842 
art 	 367.3035024410775 1.5542771338095842 
black 	 374.99951532839657 1.5542771338095842 
studies 	 139.05232506465777 1.7941906771419316 
blk 	 869.3649526232358 1.271016561439446 
stu 	 869.3649526232358 1.271016561439446 
business 	 589.786840079233 1.271016561439446 
bus 	 827.0895455142817 1.271016561439446 
ecology 	 863.1543789137539 1.271016561439446 
eco 	 863.1543789137539 1.271016561439446 
economics 	 410.6344393477351 1.5542771338095842 
ecn 	 863.1543789137539 1.271016561439446 
education 	 234.95887199928168 1.6790056704392768 
edu 	 709.7380619500683 1.271016561439446 
film 	 804.1136948582373 1.271016561439446 
flm 	 869.3649526232358 1.271016561439446 
gen 	 155.29850102008774 1.7941906771419316 
healthcare 	 428.50133704362753 1.5542771338095842 
med 	 425.45436630010477 1.5542771338095842 
history 	 357.318099203716 1.5542771338095842 
law 	 271.42536535702783 1.5542771338095842 
linguistics 	 857.0026740872551 1.271016561439446 
lin 	 850.9087326002095 1.271016561439446 
literature 	 271.83331727389253 1.6790056704392768 
lit 	 863.1543789137539 1.271016561439446 
mass 	 734.607004882155 1.271016561439446 
media 	 280.99833095375624 1.5542771338095842 
mda 	 869.3649526232358 1.271016561439446 
medicine 	 399.247306068978 1.5542771338095842 
music 	 832.9628887667085 1.271016561439446 
mus 	 863.1543789137539 1.271016561439446 
philosophy 	 832.9628887667085 1.271016561439446 
phi 	 869.3649526232358 1.271016561439446 
political 	 614.5924071995412 1.271016561439446 
science 	 354.86903097503415 1.5542771338095842 
psi 	 863.1543789137539 1.271016561439446 
psychology 	 857.0026740872551 1.271016561439446 
psy 	 857.0026740872551 1.271016561439446 
religion 	 827.0895455142817 1.271016561439446 
rel 	 863.1543789137539 1.271016561439446 
sci 	 838.8898705992724 1.271016561439446 
shakespeare 	 869.3649526232358 1.271016561439446 
sha 	 428.50133704362753 1.5542771338095842 
sociology 	 863.1543789137539 1.271016561439446 
soc 	 863.1543789137539 1.271016561439446 
sports 	 821.2688786954702 1.271016561439446 
recreation 	 838.8898705992724 1.271016561439446 
spt 	 844.871479762368 1.271016561439446 
urban 	 827.0895455142817 1.271016561439446 
urb 	 869.3649526232358 1.271016561439446 
women's 	 827.0895455142817 1.271016561439446 
wom 	 869.3649526232358 1.271016561439446 
home 	 289.8447068709564 1.271016561439446 
page 	 159.28888471898532 1.5542771338095842 
topic 	 857.0026740872551 1.271016561439446 
search 	 393.70016244388506 1.5542771338095842 
custom 	 422.435739881184 1.5542771338095842 
nutrition 	 142.0890288475799 1.9468289837582131 
specific 	 700.0513149594458 1.271016561439446 
paper 	 186.20692213861932 1.7491907077529003 
click 	 399.247306068978 1.5542771338095842 
catalog 	 850.9087326002095 1.271016561439446 
button 	 776.4925051004386 1.271016561439446 
title 	 374.99951532839657 1.5542771338095842 
description 	 396.46188124112143 1.5542771338095842 
written 	 714.636198407432 1.271016561439446 
pgs 	 25.38689349746335 1.9668218204416283 
pages 	 755.2119100883176 1.271016561439446 
footnotes 	 863.1543789137539 1.271016561439446 
sources 	 755.2119100883176 1.271016561439446 
price 	 744.8276885544773 1.271016561439446 
food 	 99.91331284604027 1.921289751611189 
falacies 	 3883.574646165987 1.271016561439446 
leads 	 2389.196920812851 1.271016561439446 
