term 	 tf-idf weight 	 BM25 ranking 
 pictures 	 2883.790107485773 1.115079877279903 
newsalert 	 3928.299534691275 1.115079877279903 
gif 	 310.3322869953933 1.115079877279903 
index 	 78.10089116423792 1.7260444714937355 
html 	 117.62282385278253 1.5816138519278298 
news 	 327.7795542400223 1.7260444714937355 
alert 	 1073.4216083613867 1.5816138519278298 
cpj 	 191.89064106603982 1.9054885444234808 
website 	 1364.7342883828167 1.4318475560294064 
http 	 131.3351449714833 1.5816138519278298 
www 	 130.16815194039654 1.5816138519278298 
org 	 572.4635676073589 1.6688941249896676 
embargoed 	 5373.574780057097 1.115079877279903 
release 	 1130.6719696714713 1.4318475560294064 
march 	 1955.1918642433498 1.115079877279903 
contact 	 724.9053042708559 1.4318475560294064 
sarah 	 4387.020944833134 1.115079877279903 
silver 	 3400.467109609172 1.115079877279903 
avner 	 4751.128611914266 1.115079877279903 
gidron 	 4751.128611914266 1.115079877279903 
mailto 	 652.3439359761492 1.115079877279903 
research 	 515.2968138073348 1.4318475560294064 
report 	 354.08522400344947 1.6688941249896676 
record 	 679.5956880522095 1.5816138519278298 
journalists 	 67.99455802538351 1.9568624096167742 
imprisoned 	 261.5743930468594 1.884933033120654 
worldwide 	 2639.593630981463 1.115079877279903 
consecutive 	 1700.233554804586 1.4318475560294064 
turkey 	 357.8072027871289 1.8379362011248357 
biggest 	 1470.872849733656 1.4318475560294064 
offender 	 1753.1181378143021 1.4318475560294064 
jailed 	 982.0748836728187 1.6688941249896676 
ethiopia 	 941.1436941725759 1.6688941249896676 
china 	 436.1744441679207 1.7260444714937355 
kuwait 	 1376.227481257145 1.5816138519278298 
top 	 838.8040855470127 1.115079877279903 
list 	 1030.480515131391 1.4318475560294064 
countries 	 159.77608078440093 1.8529510151571336 
washington 	 632.4120907539369 1.5816138519278298 
prison 	 284.21121935030226 1.8379362011248357 
committee 	 469.6800380884386 1.6688941249896676 
protect 	 504.2868657096581 1.6688941249896676 
reported 	 921.3976809353262 1.4318475560294064 
attacks 	 375.4626622578244 1.8195064432330736 
press 	 76.90790808893914 1.9198130968088176 
annual 	 879.8645436604876 1.5816138519278298 
book 	 483.2702028472372 1.5816138519278298 
length 	 3070.250257056637 1.115079877279903 
survey 	 2180.8722208396034 1.115079877279903 
freedom 	 246.7567080837732 1.7963472218572591 
violations 	 2729.4685767656333 1.115079877279903 
world 	 199.1295167644926 1.7260444714937355 
held 	 848.4266815908253 1.4318475560294064 
jail 	 471.5581995157691 1.7663700413449257 
country 	 487.0834178966145 1.5816138519278298 
government 	 264.89097047165814 1.6688941249896676 
continued 	 2060.961030262782 1.115079877279903 
suppress 	 5373.574780057097 1.115079877279903 
independent 	 565.6177877272168 1.5816138519278298 
reporting 	 629.9206101011605 1.6688941249896676 
kurdish 	 1096.7552362082836 1.6688941249896676 
conflict 	 939.3600761768772 1.4318475560294064 
called 	 1571.347138928758 1.115079877279903 
prime 	 1008.5737314193162 1.4318475560294064 
minister 	 1019.3935320783144 1.4318475560294064 
mesut 	 5373.574780057097 1.115079877279903 
yilmaz 	 5373.574780057097 1.115079877279903 
turkey's 	 2686.7873900285485 1.4318475560294064 
rescind 	 5373.574780057097 1.115079877279903 
laws 	 354.9979159436676 1.7260444714937355 
punish 	 3305.8533665484442 1.115079877279903 
censor 	 4751.128611914266 1.115079877279903 
local 	 702.727957127876 1.4318475560294064 
surpasses 	 5373.574780057097 1.115079877279903 
totalitarian 	 3928.299534691275 1.115079877279903 
regimes 	 4387.020944833134 1.115079877279903 
syria 	 1462.3403149443782 1.5816138519278298 
willingness 	 3928.299534691275 1.115079877279903 
throw 	 4128.682443771435 1.115079877279903 
chair 	 3305.8533665484442 1.115079877279903 
kati 	 3928.299534691275 1.115079877279903 
marton 	 3506.2362756286043 1.115079877279903 
turkish 	 1133.4890365363906 1.5816138519278298 
demonstrate 	 2829.3491970946147 1.115079877279903 
commitment 	 2519.682440404642 1.115079877279903 
democracy 	 998.0085380821389 1.4318475560294064 
releasing 	 3928.299534691275 1.115079877279903 
colleagues 	 3070.250257056637 1.115079877279903 
abolishing 	 4751.128611914266 1.115079877279903 
article 	 391.03837284866995 1.7260444714937355 
anti 	 290.48579025694517 1.7663700413449257 
terror 	 614.0500514113273 1.7260444714937355 
law 	 250.37491329287207 1.5816138519278298 
penal 	 1652.9266832742221 1.4318475560294064 
code 	 1008.5737314193162 1.4318475560294064 
inherently 	 4128.682443771435 1.115079877279903 
incompatible 	 4387.020944833134 1.115079877279903 
confirmed 	 644.0529650168321 1.7260444714937355 
exceeds 	 4128.682443771435 1.115079877279903 
cpj's 	 688.1137406285725 1.7663700413449257 
accounting 	 2683.407198405613 1.115079877279903 
year's 	 1652.9266832742221 1.4318475560294064 
increase 	 1878.7201523537544 1.115079877279903 
attributable 	 4751.128611914266 1.115079877279903 
crackdown 	 4128.682443771435 1.115079877279903 
journalism 	 3142.128608547473 1.115079877279903 
nigeria 	 584.3727126047673 1.7663700413449257 
documented 	 3305.8533665484442 1.115079877279903 
staff 	 608.4526402569918 1.5816138519278298 
researchers 	 3626.1474662054256 1.115079877279903 
verified 	 4387.020944833134 1.115079877279903 
direct 	 1996.0170761642778 1.115079877279903 
reprisal 	 2193.510472416567 1.4318475560294064 
remained 	 3305.8533665484442 1.115079877279903 
incarcerated 	 4387.020944833134 1.115079877279903 
dec 	 750.9253245156488 1.6688941249896676 
imprisonment 	 1501.8506490312975 1.4318475560294064 
effective 	 1878.7201523537544 1.115079877279903 
form 	 1384.073951728793 1.115079877279903 
censorship 	 1023.4167523522123 1.5816138519278298 
william 	 2107.0224086228027 1.115079877279903 
orme 	 4128.682443771435 1.115079877279903 
executive 	 2155.5747733235103 1.115079877279903 
director 	 2130.9704945025833 1.115079877279903 
documents 	 744.5703299533992 1.5816138519278298 
vietnam 	 879.8645436604876 1.5816138519278298 
peru 	 1254.8582588967677 1.5816138519278298 
myanmar 	 1462.3403149443782 1.5816138519278298 
burma 	 1376.227481257145 1.5816138519278298 
indonesia 	 1813.0737331027128 1.4318475560294064 
algeria 	 688.1137406285725 1.7663700413449257 
zaire 	 2064.3412218857175 1.4318475560294064 
legal 	 511.0428683935598 1.5816138519278298 
tools 	 2829.3491970946147 1.115079877279903 
imprison 	 1791.1915933523655 1.5816138519278298 
political 	 283.463781029886 1.5816138519278298 
contexts 	 4751.128611914266 1.115079877279903 
imprisonments 	 5373.574780057097 1.115079877279903 
vary 	 3305.8533665484442 1.115079877279903 
widely 	 2729.4685767656333 1.115079877279903 
incarcerations 	 5373.574780057097 1.115079877279903 
fall 	 1860.5781211826218 1.115079877279903 
broad 	 2319.2995313244814 1.115079877279903 
categories 	 3003.701298062595 1.115079877279903 
representative 	 2289.8542704294355 1.115079877279903 
isik 	 5373.574780057097 1.115079877279903 
ocak 	 5373.574780057097 1.115079877279903 
yurtcu 	 5373.574780057097 1.115079877279903 
editor 	 1130.6719696714713 1.4318475560294064 
ozgur 	 5373.574780057097 1.115079877279903 
gundem 	 5373.574780057097 1.115079877279903 
leading 	 1384.073951728793 1.115079877279903 
pro 	 1159.6497656622407 1.4318475560294064 
daily 	 1019.3935320783144 1.4318475560294064 
charged 	 865.9395523137764 1.5816138519278298 
convicted 	 3142.128608547473 1.115079877279903 
publishing 	 1470.872849733656 1.4318475560294064 
separatist 	 4751.128611914266 1.115079877279903 
propaganda 	 1610.1324125420801 1.4318475560294064 
remains 	 894.4690661352043 1.5816138519278298 
serving 	 2883.790107485773 1.115079877279903 
sentence 	 3626.1474662054256 1.115079877279903 
defines 	 2447.8040889138065 1.115079877279903 
nongovernmental 	 5373.574780057097 1.115079877279903 
accounts 	 2729.4685767656333 1.115079877279903 
proscribed 	 5373.574780057097 1.115079877279903 
reports 	 457.9708540858871 1.7260444714937355 
criminal 	 735.634342983928 1.5816138519278298 
offense 	 1882.2873883451518 1.4318475560294064 
category 	 2639.593630981463 1.115079877279903 
unique 	 1116.8554949300988 1.4318475560294064 
writing 	 1916.1422337214644 1.115079877279903 
broadcasting 	 3400.467109609172 1.115079877279903 
civil 	 1533.1286051806794 1.115079877279903 
war 	 1484.5762404799718 1.115079877279903 
ethnic 	 2060.961030262782 1.115079877279903 
strife 	 3928.299534691275 1.115079877279903 
accused 	 1174.8715623646217 1.4318475560294064 
violating 	 3305.8533665484442 1.115079877279903 
broadly 	 4128.682443771435 1.115079877279903 
drafted 	 3506.2362756286043 1.115079877279903 
hate 	 3506.2362756286043 1.115079877279903 
speech 	 2233.7109898601975 1.115079877279903 
cause 	 2261.3439393429426 1.115079877279903 
consequence 	 3400.467109609172 1.115079877279903 
conflicts 	 1223.9020444569032 1.4318475560294064 
eduardo 	 4387.020944833134 1.115079877279903 
sihue 	 1791.1915933523655 1.5816138519278298 
cano 	 5373.574780057097 1.115079877279903 
graphic 	 3070.250257056637 1.115079877279903 
