term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 250.048471221886 1.7167916127922753 
logo_asm 	 750.145413665658 1.3378899560717743 
gif 	 32.2542837263215 1.8476059910203242 
subject 	 495.0791176032755 1.3378899560717743 
index 	 121.76085482175179 1.6032762897267974 
anthropology 	 744.7865210966136 1.3378899560717743 
ant 	 750.145413665658 1.3378899560717743 
idx 	 39.48133756135042 1.949228620789272 
html 	 7.335053603291563 1.967542677612302 
architecture 	 718.7353123410735 1.3378899560717743 
arc 	 354.3224746297869 1.6032762897267974 
art 	 316.9336846949205 1.6032762897267974 
black 	 647.148624295538 1.3378899560717743 
studies 	 199.97252705754582 1.7167916127922753 
blk 	 750.145413665658 1.3378899560717743 
stu 	 750.145413665658 1.3378899560717743 
business 	 508.90698065388364 1.3378899560717743 
bus 	 713.6674044499194 1.3378899560717743 
ecology 	 744.7865210966136 1.3378899560717743 
eco 	 744.7865210966136 1.3378899560717743 
economics 	 708.6449492595738 1.3378899560717743 
ecn 	 744.7865210966136 1.3378899560717743 
education 	 608.2140292123162 1.3378899560717743 
edu 	 612.4088053806445 1.3378899560717743 
film 	 693.8423253014066 1.3378899560717743 
flm 	 750.145413665658 1.3378899560717743 
gen 	 134.00178824537616 1.8198722285464275 
healthcare 	 739.478424482069 1.3378899560717743 
med 	 367.1100849430796 1.6032762897267974 
history 	 308.3176202682295 1.6032762897267974 
law 	 234.2037050846465 1.6032762897267974 
linguistics 	 739.478424482069 1.3378899560717743 
lin 	 734.2201698861592 1.3378899560717743 
literature 	 703.6671387059159 1.3378899560717743 
lit 	 744.7865210966136 1.3378899560717743 
mass 	 633.867369389841 1.3378899560717743 
media 	 484.92778223144376 1.3378899560717743 
mda 	 750.145413665658 1.3378899560717743 
medicine 	 688.9938101652624 1.3378899560717743 
music 	 718.7353123410735 1.3378899560717743 
mus 	 744.7865210966136 1.3378899560717743 
philosophy 	 718.7353123410735 1.3378899560717743 
phi 	 750.145413665658 1.3378899560717743 
political 	 176.77028661106476 1.7167916127922753 
science 	 204.1362684602148 1.7167916127922753 
psi 	 744.7865210966136 1.3378899560717743 
psychology 	 739.478424482069 1.3378899560717743 
psy 	 739.478424482069 1.3378899560717743 
religion 	 713.6674044499194 1.3378899560717743 
rel 	 744.7865210966136 1.3378899560717743 
sci 	 723.8495031365062 1.3378899560717743 
shakespeare 	 750.145413665658 1.3378899560717743 
sha 	 369.7392122410345 1.6032762897267974 
sociology 	 744.7865210966136 1.3378899560717743 
soc 	 744.7865210966136 1.3378899560717743 
sports 	 708.6449492595738 1.3378899560717743 
recreation 	 723.8495031365062 1.3378899560717743 
spt 	 729.0108299952636 1.3378899560717743 
urban 	 713.6674044499194 1.3378899560717743 
urb 	 750.145413665658 1.3378899560717743 
women's 	 713.6674044499194 1.3378899560717743 
wom 	 750.145413665658 1.3378899560717743 
home 	 250.09712765444618 1.3378899560717743 
page 	 137.44495445705974 1.6032762897267974 
topic 	 739.478424482069 1.3378899560717743 
search 	 339.7104637420272 1.6032762897267974 
custom 	 364.5054149976318 1.6032762897267974 
cold 	 128.72263415343014 1.9266550209408624 
war 	 61.71957644163209 1.9361220094903293 
specific 	 302.02522062965306 1.6032762897267974 
paper 	 128.5372898583998 1.8198722285464275 
click 	 344.4969050826312 1.6032762897267974 
catalog 	 734.2201698861592 1.3378899560717743 
button 	 670.0089412268808 1.3378899560717743 
title 	 323.574312147769 1.6032762897267974 
description 	 342.09345684904156 1.6032762897267974 
written 	 616.635240536459 1.3378899560717743 
pgs 	 31.032771712358894 1.9595922877831737 
pages 	 651.6466404460059 1.3378899560717743 
footnotes 	 744.7865210966136 1.3378899560717743 
sources 	 651.6466404460059 1.3378899560717743 
price 	 642.6864492919989 1.3378899560717743 
divergent 	 2261.2946337138515 1.3378899560717743 
opinions 	 1764.4048445133456 1.3378899560717743 
scholarship 	 2449.7190862217303 1.3378899560717743 
study 	 679.4209274840543 1.3378899560717743 
american 	 310.4469080960909 1.6032762897267974 
diplomacy 	 2261.2946337138515 1.3378899560717743 
