term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 335.33286051363643 1.6376955919693141 
logo_asm 	 1005.9985815409092 1.2021509893935725 
gif 	 43.25529835440616 1.8008055380826697 
subject 	 663.936459500107 1.2021509893935725 
index 	 163.29000351988498 1.5016793316435555 
anthropology 	 998.8119238277799 1.2021509893935725 
ant 	 1005.9985815409092 1.2021509893935725 
idx 	 52.94729376531101 1.932496422432877 
html 	 9.83683081441422 1.9567120170261487 
architecture 	 963.8753920859754 1.2021509893935725 
arc 	 475.171747226732 1.5016793316435555 
art 	 425.03070929622373 1.5016793316435555 
black 	 867.8725300820519 1.2021509893935725 
studies 	 268.17744253610164 1.6376955919693141 
blk 	 1005.9985815409092 1.2021509893935725 
stu 	 1005.9985815409092 1.2021509893935725 
business 	 341.240305777738 1.5016793316435555 
bus 	 957.078965610517 1.2021509893935725 
ecology 	 998.8119238277799 1.2021509893935725 
eco 	 998.8119238277799 1.2021509893935725 
economics 	 950.343494453464 1.2021509893935725 
ecn 	 998.8119238277799 1.2021509893935725 
education 	 815.6584570329455 1.2021509893935725 
edu 	 821.2839515015429 1.2021509893935725 
film 	 930.4921183952792 1.2021509893935725 
flm 	 1005.9985815409092 1.2021509893935725 
gen 	 179.70596959335265 1.765635065403135 
healthcare 	 991.6933871179176 1.2021509893935725 
med 	 492.3208460575943 1.5016793316435555 
history 	 826.9519029337156 1.2021509893935725 
law 	 314.08389735458843 1.5016793316435555 
linguistics 	 991.6933871179176 1.2021509893935725 
lin 	 984.6416921151886 1.2021509893935725 
literature 	 471.83394747155614 1.5016793316435555 
lit 	 998.8119238277799 1.2021509893935725 
mass 	 850.0614185924475 1.2021509893935725 
media 	 216.77426455703232 1.6376955919693141 
mda 	 1005.9985815409092 1.2021509893935725 
medicine 	 923.9899132752001 1.2021509893935725 
music 	 963.8753920859754 1.2021509893935725 
mus 	 998.8119238277799 1.2021509893935725 
philosophy 	 50.73028379399871 1.932496422432877 
phi 	 1005.9985815409092 1.2021509893935725 
political 	 711.1847423834445 1.2021509893935725 
science 	 273.76131716718095 1.6376955919693141 
psi 	 998.8119238277799 1.2021509893935725 
psychology 	 495.8466935589588 1.5016793316435555 
psy 	 991.6933871179176 1.2021509893935725 
religion 	 957.078965610517 1.2021509893935725 
rel 	 998.8119238277799 1.2021509893935725 
sci 	 970.7338872419932 1.2021509893935725 
shakespeare 	 1005.9985815409092 1.2021509893935725 
sha 	 495.8466935589588 1.5016793316435555 
sociology 	 998.8119238277799 1.2021509893935725 
soc 	 998.8119238277799 1.2021509893935725 
sports 	 950.343494453464 1.2021509893935725 
recreation 	 970.7338872419932 1.2021509893935725 
spt 	 977.6555952257911 1.2021509893935725 
urban 	 957.078965610517 1.2021509893935725 
urb 	 1005.9985815409092 1.2021509893935725 
women's 	 957.078965610517 1.2021509893935725 
wom 	 1005.9985815409092 1.2021509893935725 
home 	 335.39811226515906 1.2021509893935725 
page 	 184.32350142366406 1.5016793316435555 
topic 	 991.6933871179176 1.2021509893935725 
search 	 455.57599691118287 1.5016793316435555 
custom 	 488.82779761289555 1.5016793316435555 
modern 	 420.5277539332495 1.6376955919693141 
specific 	 810.0747881888194 1.2021509893935725 
paper 	 215.47210866888 1.715381894707902 
click 	 461.99495663760007 1.5016793316435555 
catalog 	 984.6416921151886 1.2021509893935725 
button 	 898.5298479667633 1.2021509893935725 
title 	 433.93626504102593 1.5016793316435555 
description 	 917.5435217629652 1.2021509893935725 
written 	 826.9519029337156 1.2021509893935725 
pgs 	 27.744775661882777 1.9637960813037816 
pages 	 873.9046910266973 1.2021509893935725 
footnotes 	 998.8119238277799 1.2021509893935725 
sources 	 873.9046910266973 1.2021509893935725 
price 	 861.88843467552 1.2021509893935725 
discussion 	 371.52636145935037 1.6376955919693141 
malroux 	 2246.96807339804 1.5016793316435555 
silone 	 2246.96807339804 1.5016793316435555 
koestler 	 4493.93614679608 1.2021509893935725 
orwell 	 3452.829081595042 1.2021509893935725 
response 	 1635.1326169785698 1.2021509893935725 
marxism 	 3668.8783180063297 1.2021509893935725 
communism 	 2460.19044576832 1.2021509893935725 
soviet 	 1723.5876767565137 1.2021509893935725 
union 	 1406.6698748019232 1.2021509893935725 
contemporary 	 392.79477572874987 1.715381894707902 
human 	 289.37626329296313 1.715381894707902 
conditions 	 709.5416902836412 1.5016793316435555 
discussed 	 1484.4289246864942 1.2021509893935725 
afn 	 272.4884818594962 1.715381894707902 
existentialism 	 2932.2755489945234 1.2021509893935725 
versus 	 2366.192925409862 1.2021509893935725 
mode 	 2512.004092255021 1.2021509893935725 
kierkegaard 	 3452.829081595042 1.2021509893935725 
kafka 	 3148.3247854058104 1.2021509893935725 
quine 	 4493.93614679608 1.2021509893935725 
ullian 	 4493.93614679608 1.2021509893935725 
observations 	 2323.2669566160603 1.2021509893935725 
hypothesis 	 2764.6947419575517 1.2021509893935725 
advocates 	 2627.771252805292 1.2021509893935725 
verification 	 2932.2755489945234 1.2021509893935725 
obvious 	 2764.6947419575517 1.2021509893935725 
disclose 	 3285.248274558071 1.2021509893935725 
trickery 	 4493.93614679608 1.2021509893935725 
john 	 228.9250425588323 1.8267975346502818 
dewey 	 333.53439254602995 1.8861964201228434 
philosophical 	 534.7949976583221 1.715381894707902 
approach 	 1526.552114141428 1.2021509893935725 
discusses 	 202.6509353271247 1.765635065403135 
role 	 984.6416921151886 1.2021509893935725 
educational 	 778.0034348597711 1.5016793316435555 
reform 	 1526.552114141428 1.2021509893935725 
shift 	 2512.004092255021 1.2021509893935725 
traditional 	 1586.664187604254 1.2021509893935725 
rote 	 3973.3826141955615 1.2021509893935725 
learning 	 995.7252798272509 1.5016793316435555 
experience 	 673.7527177671172 1.5016793316435555 
concepts 	 615.2131309364477 1.6376955919693141 
william 	 587.3696469471881 1.6376955919693141 
james 	 315.19474729891425 1.8008055380826697 
combination 	 2411.722016394004 1.2021509893935725 
intellect 	 3452.829081595042 1.2021509893935725 
spiritual 	 2282.6624734420834 1.2021509893935725 
sense 	 901.3567120077707 1.5016793316435555 
constitutes 	 2843.8204892165795 1.2021509893935725 
stressing 	 1069.5899953166443 1.5016793316435555 
acceptance 	 2512.004092255021 1.2021509893935725 
emotional 	 1891.1684837934854 1.2021509893935725 
element 	 2366.192925409862 1.2021509893935725 
striving 	 3285.248274558071 1.2021509893935725 
rationality 	 3452.829081595042 1.2021509893935725 
ideals 	 602.930504098501 1.715381894707902 
evil 	 2512.004092255021 1.2021509893935725 
critical 	 1470.8970270539828 1.2021509893935725 
evaluation 	 1586.664187604254 1.2021509893935725 
husserl's 	 4493.93614679608 1.2021509893935725 
sixth 	 2764.6947419575517 1.2021509893935725 
logical 	 1421.9102446082898 1.5016793316435555 
investigation 	 1526.552114141428 1.2021509893935725 
examines 	 201.19971630818182 1.765635065403135 
ideas 	 508.8507047138094 1.6376955919693141 
linking 	 2932.2755489945234 1.2021509893935725 
psychologism 	 4493.93614679608 1.2021509893935725 
attempt 	 778.0034348597711 1.5016793316435555 
reach 	 2018.7626604268287 1.2021509893935725 
scientifically 	 3668.8783180063297 1.2021509893935725 
rigorous 	 3973.3826141955615 1.2021509893935725 
method 	 1618.6264580327695 1.2021509893935725 
development 	 291.3015636755658 1.6376955919693141 
pure 	 3032.55762485554 1.2021509893935725 
phenomenology 	 3973.3826141955615 1.2021509893935725 
bertrand 	 1986.6913070977807 1.5016793316435555 
russell's 	 1986.6913070977807 1.5016793316435555 
overview 	 651.6581100085057 1.5016793316435555 
western 	 1325.0858602088238 1.2021509893935725 
comprehensive 	 843.4731317326352 1.5016793316435555 
study 	 455.57599691118287 1.5016793316435555 
views 	 334.05299740836614 1.715381894707902 
ancient 	 1965.096978476238 1.2021509893935725 
greek 	 2282.6624734420834 1.2021509893935725 
influence 	 646.3317795690261 1.5016793316435555 
including 	 329.685547948372 1.5016793316435555 
conflict 	 1571.1791029149995 1.2021509893935725 
magic 	 2764.6947419575517 1.2021509893935725 
logic 	 1466.1377744972617 1.5016793316435555 
astrology 	 4493.93614679608 1.2021509893935725 
mysticism 	 3452.829081595042 1.2021509893935725 
empiricism 	 3973.3826141955615 1.2021509893935725 
compared 	 1586.664187604254 1.2021509893935725 
subjectivity 	 3285.248274558071 1.2021509893935725 
alfred 	 1256.0020461275105 1.5016793316435555 
north 	 662.5429301044119 1.5016793316435555 
whitehead 	 1222.9594393354432 1.6376955919693141 
mathematician 	 1986.6913070977807 1.5016793316435555 
logician 	 3973.3826141955615 1.2021509893935725 
philosopher 	 977.4251829981745 1.6376955919693141 
attempts 	 523.7263676383332 1.6376955919693141 
reconcile 	 3285.248274558071 1.2021509893935725 
aristotleian 	 3973.3826141955615 1.2021509893935725 
platonian 	 3973.3826141955615 1.2021509893935725 
physics 	 2512.004092255021 1.2021509893935725 
metaphysics 	 3285.248274558071 1.2021509893935725 
life 	 310.1640394650931 1.6376955919693141 
affected 	 1891.1684837934854 1.2021509893935725 
investigates 	 1230.09522288416 1.5016793316435555 
significance 	 1802.7134240155415 1.2021509893935725 
personal 	 1073.974601204074 1.2021509893935725 
contributions 	 1802.7134240155415 1.2021509893935725 
material 	 1444.5434458757193 1.2021509893935725 
values 	 843.4731317326352 1.5016793316435555 
relation 	 504.08230657281223 1.6376955919693141 
formation 	 2018.7626604268287 1.2021509893935725 
noting 	 1484.4289246864942 1.2021509893935725 
rise 	 1723.5876767565137 1.2021509893935725 
self 	 1358.9713071044564 1.2021509893935725 
moral 	 2018.7626604268287 1.2021509893935725 
irresponsibility 	 3973.3826141955615 1.2021509893935725 
animal 	 2411.722016394004 1.2021509893935725 
rene 	 4493.93614679608 1.2021509893935725 
dubos 	 3973.3826141955615 1.2021509893935725 
critique 	 1915.011756227735 1.2021509893935725 
thesis 	 2567.659179342466 1.2021509893935725 
continuing 	 2018.7626604268287 1.2021509893935725 
