term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 1680.2364235856373 0.9485427405184611 
logo_asm 	 5040.709270756913 0.46237509269785354 
gif 	 216.73726725383537 1.2867953073682394 
subject 	 1663.3774281617195 0.7511042392672372 
index 	 818.1894583825928 0.7511042392672372 
anthropology 	 5004.699426583137 0.46237509269785354 
ant 	 5040.709270756913 0.46237509269785354 
idx 	 265.30048793457433 1.7020901099490582 
html 	 49.28894055211812 1.800423504110766 
architecture 	 4829.6446077490355 0.46237509269785354 
arc 	 2380.9204857712284 0.7511042392672372 
art 	 1419.7874470321258 0.9485427405184611 
black 	 621.2296615367626 1.3558675276020091 
studies 	 1343.7439630670444 0.9485427405184611 
blk 	 5040.709270756913 0.46237509269785354 
stu 	 5040.709270756913 0.46237509269785354 
business 	 1139.8910525003357 0.9485427405184611 
bus 	 4795.590076687584 0.46237509269785354 
ecology 	 5004.699426583137 0.46237509269785354 
eco 	 5004.699426583137 0.46237509269785354 
economics 	 1190.4602428856142 1.0920767429260267 
ecn 	 5004.699426583137 0.46237509269785354 
education 	 2043.490528505309 0.7511042392672372 
edu 	 4115.168454727438 0.46237509269785354 
film 	 4662.372625194987 0.46237509269785354 
flm 	 5040.709270756913 0.46237509269785354 
gen 	 900.4441592274115 1.20113014199501 
healthcare 	 4969.03091308219 0.46237509269785354 
med 	 2466.8486600728725 0.7511042392672372 
history 	 345.2973824611154 1.5660181873614585 
law 	 629.5061015953748 1.20113014199501 
linguistics 	 4969.03091308219 0.46237509269785354 
lin 	 4933.697320145745 0.46237509269785354 
literature 	 945.678372482272 1.20113014199501 
lit 	 5004.699426583137 0.46237509269785354 
mass 	 851.8724682192756 1.20113014199501 
media 	 271.54512567513734 1.5660181873614585 
mda 	 5040.709270756913 0.46237509269785354 
medicine 	 2314.896167546324 0.7511042392672372 
music 	 4829.6446077490355 0.46237509269785354 
mus 	 5004.699426583137 0.46237509269785354 
philosophy 	 2414.8223038745177 0.7511042392672372 
phi 	 5040.709270756913 0.46237509269785354 
political 	 68.5288381027579 1.8797844408221158 
science 	 1028.7921136818595 1.0920767429260267 
psi 	 5004.699426583137 0.46237509269785354 
psychology 	 4969.03091308219 0.46237509269785354 
psy 	 4969.03091308219 0.46237509269785354 
religion 	 1598.5300255625277 0.9485427405184611 
rel 	 5004.699426583137 0.46237509269785354 
sci 	 4864.010143397631 0.46237509269785354 
shakespeare 	 5040.709270756913 0.46237509269785354 
sha 	 2484.515456541095 0.7511042392672372 
sociology 	 5004.699426583137 0.46237509269785354 
soc 	 5004.699426583137 0.46237509269785354 
sports 	 1587.2803238474855 0.9485427405184611 
recreation 	 4864.010143397631 0.46237509269785354 
spt 	 4898.692416557459 0.46237509269785354 
urban 	 2397.795038343792 0.7511042392672372 
urb 	 5040.709270756913 0.46237509269785354 
women's 	 4795.590076687584 0.46237509269785354 
