term 	 tf-idf weight 	 BM25 ranking 
 cmu 	 983.8953707874022 1.6819172276427024 
robotics 	 374.39617050621337 1.8272189445383344 
institute 	 219.5758393320265 1.8272189445383344 
gif 	 73.95446482963716 1.6819172276427024 
damn 	 182.9374805810084 1.9473873905116723 
distributed 	 168.56367710975712 1.9097093435387418 
archicture 	 640.2811820335294 1.8272189445383344 
mobile 	 270.11876817236924 1.8813972448221754 
navigation 	 224.28145941306374 1.9097093435387418 
investigators 	 897.125837652255 1.6819172276427024 
julio 	 1280.5623640670588 1.6819172276427024 
rosenblatt 	 1132.2288674272304 1.6819172276427024 
chuck 	 1280.5623640670588 1.6819172276427024 
thorpe 	 1045.4593342920832 1.6819172276427024 
table 	 701.0396210311858 1.6819172276427024 
contents 	 525.9212117992003 1.6819172276427024 
architecture 	 54.93191315749633 1.9271093402793866 
behavior 	 66.56237017945863 1.9473873905116723 
based 	 131.64703158514837 1.8272189445383344 
similar 	 422.99306242730995 1.6819172276427024 
spirit 	 662.0228078772795 1.6819172276427024 
subsumption 	 1280.5623640670588 1.6819172276427024 
contrast 	 545.6891023072375 1.6819172276427024 
traditional 	 452.12534773277014 1.6819172276427024 
centralized 	 393.9045770831665 1.8272189445383344 
planners 	 864.1375921692218 1.6819172276427024 
build 	 662.0228078772795 1.6819172276427024 
world 	 237.27013690201233 1.6819172276427024 
model 	 447.71282027138466 1.6819172276427024 
plan 	 387.2434883093924 1.6819172276427024 
optimal 	 787.809154166333 1.6819172276427024 
path 	 787.809154166333 1.6819172276427024 
consists 	 731.6632015702899 1.6819172276427024 
specialized 	 767.4127756882075 1.6819172276427024 
task 	 233.67987367706192 1.8813972448221754 
achieving 	 835.5618741475739 1.6819172276427024 
modules 	 522.7296671460416 1.8272189445383344 
operate 	 650.4524225254405 1.6819172276427024 
independently 	 432.0687960846109 1.8272189445383344 
responsible 	 475.66553930863637 1.6819172276427024 
narrow 	 810.3563045171078 1.6819172276427024 
portion 	 748.7923410124267 1.6819172276427024 
vehicle 	 82.17903924887605 1.9473873905116723 
control 	 301.5742146673348 1.6819172276427024 
avoiding 	 787.809154166333 1.6819172276427024 
sensor 	 936.1426508061613 1.6819172276427024 
fusion 	 468.07132540308066 1.8272189445383344 
advantages 	 532.309745913232 1.6819172276427024 
including 	 187.89003265233453 1.6819172276427024 
reactivity 	 1280.5623640670588 1.6819172276427024 
flexibility 	 864.1375921692218 1.6819172276427024 
robustness 	 1132.2288674272304 1.6819172276427024 
figure 	 600.4588443725984 1.6819172276427024 
organization 	 312.8996085785641 1.6819172276427024 
system 	 46.16671229624696 1.9271093402793866 
individual 	 359.49243412136644 1.6819172276427024 
behaviors 	 179.42516753045098 1.9271093402793866 
road 	 283.7352994447825 1.8272189445383344 
following 	 157.6192148362264 1.8272189445383344 
obstacle 	 491.9476853937011 1.8272189445383344 
avoidance 	 983.8953707874022 1.6819172276427024 
send 	 226.13007544341693 1.6819172276427024 
steering 	 348.48644476402774 1.8813972448221754 
speed 	 337.12735421951425 1.8272189445383344 
commands 	 262.60305138877766 1.8813972448221754 
