term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 572.8789081744281 1.4514380673340006 
logo_asm 	 1718.6367245232843 0.9372812521842181 
gif 	 73.89686789441159 1.682125582459183 
subject 	 1134.2616212232188 0.9372812521842181 
index 	 278.96281560054916 1.2763929249025614 
anthropology 	 1706.3591188695627 0.9372812521842181 
ant 	 1718.6367245232843 0.9372812521842181 
idx 	 90.45456444859391 1.8873705446525104 
html 	 16.805131737541203 1.9271640413145739 
architecture 	 1646.6739388099952 0.9372812521842181 
arc 	 811.7780981250295 1.2763929249025614 
art 	 726.1177097563982 1.2763929249025614 
black 	 1482.6637231628129 0.9372812521842181 
studies 	 343.6135074305776 1.5582904177349495 
blk 	 1718.6367245232843 0.9372812521842181 
stu 	 1718.6367245232843 0.9372812521842181 
business 	 1165.9422431766654 0.9372812521842181 
bus 	 1635.0629998379404 0.9372812521842181 
ecology 	 1706.3591188695627 0.9372812521842181 
eco 	 1706.3591188695627 0.9372812521842181 
economics 	 811.7780981250295 1.2763929249025614 
ecn 	 1706.3591188695627 0.9372812521842181 
education 	 696.730892392323 1.2763929249025614 
edu 	 1403.0723166131552 0.9372812521842181 
film 	 1589.6423274316155 0.9372812521842181 
flm 	 1718.6367245232843 0.9372812521842181 
gen 	 307.00766842646004 1.6303024386490876 
healthcare 	 1694.1978903758834 0.9372812521842181 
med 	 841.0754267535199 1.2763929249025614 
history 	 141.27553814433517 1.796326852873181 
law 	 536.5774171850026 1.2763929249025614 
linguistics 	 1694.1978903758834 0.9372812521842181 
lin 	 1682.1508535070398 0.9372812521842181 
literature 	 1612.1516767137325 0.9372812521842181 
lit 	 1706.3591188695627 0.9372812521842181 
mass 	 1452.2354195127964 0.9372812521842181 
media 	 370.33472893032285 1.4514380673340006 
mda 	 1718.6367245232843 0.9372812521842181 
medicine 	 1578.5340329321996 0.9372812521842181 
music 	 1646.6739388099952 0.9372812521842181 
mus 	 1706.3591188695627 0.9372812521842181 
philosophy 	 823.3369694049976 1.2763929249025614 
phi 	 1718.6367245232843 0.9372812521842181 
political 	 57.85619329642758 1.897547676141066 
science 	 467.69077220438504 1.4514380673340006 
psi 	 1706.3591188695627 0.9372812521842181 
psychology 	 1694.1978903758834 0.9372812521842181 
psy 	 1694.1978903758834 0.9372812521842181 
religion 	 1635.0629998379404 0.9372812521842181 
rel 	 1706.3591188695627 0.9372812521842181 
sci 	 1658.390915221674 0.9372812521842181 
shakespeare 	 1718.6367245232843 0.9372812521842181 
sha 	 847.0989451879417 1.2763929249025614 
sociology 	 1706.3591188695627 0.9372812521842181 
soc 	 1706.3591188695627 0.9372812521842181 
sports 	 1623.556196250059 0.9372812521842181 
recreation 	 1658.390915221674 0.9372812521842181 
spt 	 1670.2158837212917 0.9372812521842181 
urban 	 1635.0629998379404 0.9372812521842181 
urb 	 1718.6367245232843 0.9372812521842181 
women's 	 1635.0629998379404 0.9372812521842181 
wom 	 1718.6367245232843 0.9372812521842181 
home 	 572.990383536883 0.9372812521842181 
page 	 314.89620815787083 1.2763929249025614 
topic 	 1694.1978903758834 0.9372812521842181 
search 	 778.3009374661087 1.2763929249025614 
custom 	 835.1079418606458 1.2763929249025614 
middle 	 273.66974592661023 1.813112412470571 
east 	 230.54379740621863 1.813112412470571 
specific 	 1383.9227073851603 0.9372812521842181 
paper 	 245.40676025048649 1.682125582459183 
click 	 789.2670164660998 1.2763929249025614 
catalog 	 1682.1508535070398 0.9372812521842181 
button 	 1535.0383421323002 0.9372812521842181 
title 	 741.3318615814064 1.2763929249025614 
description 	 522.5070299253814 1.4514380673340006 
written 	 706.3776907216759 1.2763929249025614 
pgs 	 27.973100309337095 1.9635035792897781 
pages 	 1492.9689994504029 0.9372812521842181 
footnotes 	 1706.3591188695627 0.9372812521842181 
sources 	 746.4844997252014 1.2763929249025614 
price 	 1472.4405615029189 0.9372812521842181 
israel's 	 1697.0206038658139 1.5582904177349495 
democratic 	 894.7282685485771 1.4514380673340006 
system 	 345.98067684629007 1.5582904177349495 
analysis 	 112.75243092372853 1.8501593937902536 
uniqueness 	 6267.870681760481 0.9372812521842181 
democracy 	 950.5901665622749 1.4514380673340006 
constitution 	 3497.252389840104 0.9372812521842181 
tradition 	 3271.5846647672224 0.9372812521842181 
formal 	 3969.0432827408863 0.9372812521842181 
arab 	 441.66828321811784 1.813112412470571 
israeli 	 740.1125038405283 1.721206110300575 
treaty 	 1799.9735918926256 1.2763929249025614 
hypothetical 	 4120.1589174880255 0.9372812521842181 
recognizing 	 5378.562849102071 0.9372812521842181 
considering 	 3833.865741151895 0.9372812521842181 
claims 	 1595.6855233800854 1.2763929249025614 
counterclaims 	 7677.3902481216655 0.9372812521842181 
attempt 	 2658.264732157354 0.9372812521842181 
equitable 	 6788.0824154632555 0.9372812521842181 
solution 	 1773.786282407882 1.2763929249025614 
cyprus 	 1131.347069243876 1.682125582459183 
geopolitical 	 5898.7745828048455 0.9372812521842181 
discusses 	 432.75823905576067 1.5582904177349495 
effects 	 669.3392494395434 1.4514380673340006 
island's 	 6788.0824154632555 0.9372812521842181 
location 	 1984.5216413704431 1.2763929249025614 
shaping 	 4386.560222498513 0.9372812521842181 
military 	 232.1651380845563 1.796326852873181 
egypt 	 647.5984408604623 1.7517293248108605 
depicts 	 4202.9618401075295 0.9372812521842181 
ongoing 	 4120.1589174880255 0.9372812521842181 
regime 	 4291.479694225289 0.9372812521842181 
nasser's 	 3838.6951240608328 1.2763929249025614 
control 	 452.0090156754562 1.5582904177349495 
appearance 	 4600.890613121356 0.9372812521842181 
british 	 3153.0696950391302 0.9372812521842181 
troops 	 3711.582780462946 0.9372812521842181 
communist 	 2737.65087512766 0.9372812521842181 
party 	 1170.7716260856032 1.2763929249025614 
internal 	 1425.8852498434123 1.2763929249025614 
revolutionary 	 3771.2679605225135 0.9372812521842181 
forces 	 2737.65087512766 0.9372812521842181 
securing 	 5898.7745828048455 0.9372812521842181 
position 	 465.5162746015095 1.5582904177349495 
alongside 	 5612.481406468714 0.9372812521842181 
government 	 756.9156238644485 1.2763929249025614 
social 	 274.4456564683326 1.682125582459183 
justice 	 1368.82543756383 1.2763929249025614 
discussion 	 634.7114803626451 1.4514380673340006 
achieved 	 4600.890613121356 0.9372812521842181 
light 	 861.1685743447645 1.4514380673340006 
religious 	 1522.2912830995626 1.2763929249025614 
traditions 	 4858.351115399296 0.9372812521842181 
nationalism 	 2101.4809200537647 1.2763929249025614 
historically 	 3899.6750378511224 0.9372812521842181 
examines 	 190.95963605814268 1.7762285166508105 
nationalistic 	 5009.4667501464355 0.9372812521842181 
feeling 	 4489.255016443662 0.9372812521842181 
cypriot 	 7677.3902481216655 0.9372812521842181 
rules 	 2977.040656137329 0.9372812521842181 
despite 	 3313.6540074491195 0.9372812521842181 
continued 	 2944.557908493485 0.9372812521842181 
attempts 	 1342.0924028228658 1.2763929249025614 
turkey 	 4600.890613121356 0.9372812521842181 
greece 	 1323.0144275802954 1.4514380673340006 
dominate 	 6267.870681760481 0.9372812521842181 
cyprian 	 7677.3902481216655 0.9372812521842181 
life 	 794.8211637158078 1.2763929249025614 
palestinian 	 2089.2902272534934 1.4514380673340006 
nationalists 	 5612.481406468714 0.9372812521842181 
precise 	 4489.255016443662 0.9372812521842181 
events 	 393.6247323602215 1.682125582459183 
leading 	 494.3671715111474 1.5582904177349495 
current 	 452.0090156754562 1.5582904177349495 
situation 	 622.5388678724844 1.5582904177349495 
wars 	 4202.9618401075295 0.9372812521842181 
role 	 210.26885668837997 1.7517293248108605 
plo 	 6788.0824154632555 0.9372812521842181 
summit 	 1462.1867408328378 1.4514380673340006 
conference 	 2881.960127864104 0.9372812521842181 
lebanon 	 2689.2814245510353 1.2763929249025614 
egyptian 	 1075.7125698204143 1.6303024386490876 
focusing 	 2607.944557181694 0.9372812521842181 
developing 	 1505.1836025963562 1.2763929249025614 
socialistic 	 6788.0824154632555 0.9372812521842181 
tendencies 	 5378.562849102071 0.9372812521842181 
changing 	 1316.4289806681777 1.2763929249025614 
patterns 	 3044.5825661991253 0.9372812521842181 
rondot 	 7677.3902481216655 0.9372812521842181 
review 	 346.20659124460855 1.6303024386490876 
cronology 	 7677.3902481216655 0.9372812521842181 
crucial 	 4723.173573810305 0.9372812521842181 
dates 	 5378.562849102071 0.9372812521842181 
consciousness 	 4042.37752769754 0.9372812521842181 
formation 	 3448.831549038111 0.9372812521842181 
united 	 353.79137989978886 1.6303024386490876 
republic 	 1267.9908857342025 1.2763929249025614 
fedayeen 	 7677.3902481216655 0.9372812521842181 
outgrowth 	 5612.481406468714 0.9372812521842181 
palestinian's 	 7677.3902481216655 0.9372812521842181 
relegated 	 6788.0824154632555 0.9372812521842181 
camps 	 4386.560222498513 0.9372812521842181 
establishment 	 3711.582780462946 0.9372812521842181 
jewish 	 1347.45917589918 1.4514380673340006 
umbrella 	 6267.870681760481 0.9372812521842181 
palestine 	 1697.0206038658139 1.5582904177349495 
liberation 	 1150.222653280339 1.5582904177349495 
organization 	 937.9677518838732 1.2763929249025614 
strategies 	 662.730801489824 1.6303024386490876 
response 	 931.147424582115 1.4514380673340006 
harkabi 	 7677.3902481216655 0.9372812521842181 
book 	 1035.6943267032384 1.2763929249025614 
examining 	 3711.582780462946 0.9372812521842181 
pros 	 3833.865741151895 0.9372812521842181 
cons 	 3833.865741151895 0.9372812521842181 
questions 	 2071.388653406477 0.9372812521842181 
especially 	 742.1902841907793 1.4514380673340006 
regards 	 4202.9618401075295 0.9372812521842181 
politics 	 903.5464503756139 1.4514380673340006 
sovereignty 	 4489.255016443662 0.9372812521842181 
implication 	 5378.562849102071 0.9372812521842181 
statehood 	 6788.0824154632555 0.9372812521842181 
approving 	 6788.0824154632555 0.9372812521842181 
manner 	 1051.0232316797103 1.4514380673340006 
cultural 	 639.8809290949254 1.5582904177349495 
pluralism 	 5898.7745828048455 0.9372812521842181 
individualism 	 5180.787526883699 0.9372812521842181 
maintained 	 4489.255016443662 0.9372812521842181 
israel 	 328.63504379438257 1.8501593937902536 
theoretically 	 6788.0824154632555 0.9372812521842181 
committed 	 4042.37752769754 0.9372812521842181 
statist 	 6788.0824154632555 0.9372812521842181 
zionism 	 6267.870681760481 0.9372812521842181 
peace 	 496.17344268955486 1.682125582459183 
palestinians 	 3838.6951240608328 1.2763929249025614 
foreign 	 194.76301318878345 1.796326852873181 
policy 	 107.33220961457508 1.8873705446525104 
soviet 	 490.75965141558083 1.682125582459183 
positions 	 3271.5846647672224 0.9372812521842181 
historic 	 4489.255016443662 0.9372812521842181 
differences 	 2559.5237163797015 0.9372812521842181 
camp 	 808.475505539508 1.6303024386490876 
david 	 646.1702169659233 1.6303024386490876 
accords 	 6267.870681760481 0.9372812521842181 
orchestrated 	 6788.0824154632555 0.9372812521842181 
carter 	 4600.890613121356 0.9372812521842181 
kibbutz 	 7677.3902481216655 0.9372812521842181 
movement 	 1069.0264992272894 1.2763929249025614 
research 	 1472.4405615029189 0.9372812521842181 
observes 	 498.1630738014235 1.5582904177349495 
communal 	 5612.481406468714 0.9372812521842181 
style 	 3153.0696950391302 0.9372812521842181 
suited 	 4858.351115399296 0.9372812521842181 
citizens 	 3230.851084829616 0.9372812521842181 
leadership 	 1748.626194920052 1.2763929249025614 
suez 	 1697.0206038658139 1.5582904177349495 
crisis 	 234.86415663948122 1.813112412470571 
examination 	 490.6156667571037 1.5582904177349495 
politically 	 5009.4667501464355 0.9372812521842181 
catastrophe 	 5898.7745828048455 0.9372812521842181 
west 	 570.6924043607639 1.5582904177349495 
future 	 973.8150659439171 1.2763929249025614 
jersusalem 	 7677.3902481216655 0.9372812521842181 
critical 	 2512.8640289084688 0.9372812521842181 
larry 	 4600.890613121356 0.9372812521842181 
collins 	 5009.4667501464355 0.9372812521842181 
dominique 	 6788.0824154632555 0.9372812521842181 
lapierre 	 7677.3902481216655 0.9372812521842181 
parties 	 1411.137473902268 1.2763929249025614 
iran 	 299.9750029116248 1.8395578375771595 
shah 	 1357.6164830926514 1.6303024386490876 
