term 	 tf-idf weight 	 BM25 ranking 
 law 	 86.81071007346719 1.8319732376394557 
leading 	 319.92673430829404 1.6899913501481008 
attorneys 	 591.2551885847762 1.6899913501481008 
web 	 2981.7167714900424 0.8756314134207087 
header 	 4017.632842304992 0.8756314134207087 
gif 	 125.53252032413877 1.513985611862357 
webhead 	 4341.860422364539 0.8756314134207087 
illinois 	 123.13301977831743 1.9151985690628646 
business 	 15.534492497691026 1.9702363106628449 
sole 	 323.65247676288004 1.859542613356553 
proprietorship 	 698.8651420440807 1.7909379416498092 
partnership 	 81.00181859845861 1.9580946190101423 
limited 	 74.87327675583713 1.9392647780597603 
liability 	 355.91402615219613 1.8066757479261766 
corporation 	 111.36674647364626 1.9151985690628646 
subchapter 	 1738.9318831676978 1.5913263627124565 
nonprofit 	 487.0352465365785 1.6899913501481008 
franchise 	 1183.062626733954 1.6474315151696661 
issues 	 224.21669706588096 1.7502804707709736 
name 	 203.27310065716543 1.8319732376394557 
registration 	 1783.0010919060464 1.4005386247350653 
tax 	 156.72707676211044 1.8897043098209054 
identification 	 736.0649298516083 1.6474315151696661 
licenses 	 838.1788527515882 1.6899913501481008 
resources 	 1360.7798455973332 1.2180022924135483 
organize 	 3178.07306453587 1.2180022924135483 
option 	 488.22605619177466 1.7233828240519953 
selected 	 1900.9892874340705 1.2180022924135483 
depends 	 4967.787999446875 0.8756314134207087 
various 	 1775.220688577348 0.8756314134207087 
factors 	 2721.5596911946664 0.8756314134207087 
chosen 	 4759.862473636977 0.8756314134207087 
family 	 2480.6635449081596 0.8756314134207087 
owned 	 2247.4746258076802 1.2180022924135483 
operated 	 6091.232907050124 0.8756314134207087 
venture 	 1783.0010919060464 1.4005386247350653 
choice 	 3371.5043440121112 0.8756314134207087 
company 	 1348.9665771839848 1.2180022924135483 
owners 	 898.9898503230721 1.5913263627124565 
employees 	 722.8467858055384 1.5913263627124565 
benefits 	 306.98043469893224 1.772410749671394 
drawbacks 	 891.5005459530232 1.6474315151696661 
change 	 1163.787357828669 1.2180022924135483 
time 	 692.7165580276395 1.2180022924135483 
business' 	 6356.14612907174 0.8756314134207087 
identity 	 4270.968313826354 0.8756314134207087 
size 	 4017.632842304992 0.8756314134207087 
budget 	 3960.6451460932744 0.8756314134207087 
liabilities 	 908.0208755816772 1.6899913501481008 
person 	 310.5373023905045 1.7502804707709736 
start 	 522.4317209224831 1.4005386247350653 
proprietor 	 2562.5055208282956 1.4005386247350653 
decide 	 2170.9302111822694 1.2180022924135483 
incorporate 	 3045.616453525062 1.2180022924135483 
persons 	 882.1846706235924 1.513985611862357 
meet 	 1505.2449944756956 1.2180022924135483 
attorney 	 2038.4736001714614 1.2180022924135483 
experienced 	 1762.8546564898768 0.8756314134207087 
matters 	 4967.787999446875 0.8756314134207087 
consulted 	 8694.659415838489 0.8756314134207087 
guide 	 689.7977200155722 1.6474315151696661 
contains 	 4203.374731108855 0.8756314134207087 
information 	 402.3089096777382 1.4005386247350653 
concern 	 3263.825460472754 0.8756314134207087 
businesspersons 	 8694.659415838489 0.8756314134207087 
listings 	 7687.516562484888 0.8756314134207087 
following 	 1070.1902764347521 1.2180022924135483 
brief 	 2820.105923674886 0.8756314134207087 
summary 	 2981.7167714900424 0.8756314134207087 
common 	 869.0303585580305 1.4005386247350653 
forms 	 876.4249042267089 1.4005386247350653 
organizations 	 1565.8217333699163 1.2180022924135483 
chapter 	 3752.7196202833757 0.8756314134207087 
affect 	 3263.825460472754 0.8756314134207087 
outlined 	 5502.092104968961 0.8756314134207087 
including 	 1275.7206422609443 0.8756314134207087 
registering 	 2562.5055208282956 1.4005386247350653 
assumed 	 926.2690019303925 1.513985611862357 
obtaining 	 2674.50163785907 1.2180022924135483 
simplest 	 7098.375760403725 0.8756314134207087 
form 	 447.89742803161164 1.5913263627124565 
organization 	 531.125153346558 1.513985611862357 
owns 	 5673.230855777686 0.8756314134207087 
manages 	 3340.1868545656434 1.2180022924135483 
controls 	 2247.4746258076802 1.2180022924135483 
owner 	 424.1898184021896 1.7909379416498092 
charge 	 4017.632842304992 0.8756314134207087 
receives 	 2333.0440012120425 1.2180022924135483 
profits 	 432.7147703306342 1.7909379416498092 
losses 	 1189.9656184092441 1.513985611862357 
responsible 	 1076.5452159119138 1.4005386247350653 
debts 	 435.08806478929455 1.8319732376394557 
incur 	 6680.373709131287 0.8756314134207087 
income 	 581.30106637696 1.6474315151696661 
expenses 	 700.5624551848091 1.6474315151696661 
reported 	 2981.7167714900424 0.8756314134207087 
owner's 	 7687.516562484888 0.8756314134207087 
individual 	 271.2058706014255 1.7502804707709736 
return 	 735.2316398111258 1.4005386247350653 
relatively 	 4494.9492516153605 0.8756314134207087 
easy 	 4017.632842304992 0.8756314134207087 
acquire 	 6356.14612907174 0.8756314134207087 
appropriate 	 1743.90319913088 1.2180022924135483 
register 	 972.0218231815035 1.5913263627124565 
specific 	 391.82379069186237 1.513985611862357 
filing 	 1271.022513424131 1.513985611862357 
requirements 	 245.86399059655804 1.820210007089169 
include 	 310.08294311351995 1.7233828240519953 
complete 	 1614.8178238678706 1.2180022924135483 
control 	 204.76043640730725 1.772410749671394 
ease 	 6356.14612907174 0.8756314134207087 
initial 	 4138.7863200934335 0.8756314134207087 
set 	 1078.2179824243065 1.2180022924135483 
taxed 	 1921.879140621222 1.513985611862357 
taxpayer 	 2366.125253467908 1.4005386247350653 
rate 	 521.940577789972 1.6474315151696661 
lower 	 1087.9418201575845 1.4005386247350653 
charged 	 1401.1249103696182 1.4005386247350653 
corporations 	 352.1538789942158 1.820210007089169 
personally 	 1891.0769519258954 1.4005386247350653 
example 	 2563.7147202176043 0.8756314134207087 
paid 	 3852.9662625539163 0.8756314134207087 
creditors 	 4347.329707919244 1.2180022924135483 
reach 	 3905.8084495341973 0.8756314134207087 
personal 	 346.3127153904836 1.6474315151696661 
assets 	 4578.000426924806 0.8756314134207087 
checking 	 7098.375760403725 0.8756314134207087 
account 	 2794.8357215145406 0.8756314134207087 
obtain 	 650.9680749223662 1.6474315151696661 
insurance 	 481.6434777160159 1.6899913501481008 
minimize 	 3178.07306453587 1.2180022924135483 
drawback 	 3549.1878802018623 1.2180022924135483 
lack 	 3163.578818202213 0.8756314134207087 
continuity 	 3178.07306453587 1.2180022924135483 
dies 	 3045.616453525062 1.2180022924135483 
ceases 	 8694.659415838489 0.8756314134207087 
exist 	 4270.968313826354 0.8756314134207087 
able 	 2981.7167714900424 0.8756314134207087 
deduct 	 6356.14612907174 0.8756314134207087 
health 	 775.8582385524459 1.4005386247350653 
dental 	 1955.7506564203725 1.4005386247350653 
life 	 600.091011108895 1.4005386247350653 
parties 	 1598.115938877627 1.2180022924135483 
types 	 478.6673829492845 1.6474315151696661 
partnerships 	 960.939570310611 1.7233828240519953 
occurs 	 5210.5175844624555 0.8756314134207087 
manage 	 2605.2587922312277 1.2180022924135483 
share 	 1785.4287867856026 1.2180022924135483 
rights 	 669.3544164251525 1.2180022924135483 
duties 	 4666.088002424085 0.8756314134207087 
responsibilities 	 1085.4651055911347 1.513985611862357 
partners 	 310.4867499654297 1.851416204554022 
activities 	 2607.0910756740914 0.8756314134207087 
address 	 1550.1974752768863 1.2180022924135483 
agree 	 1423.6561046087845 1.4005386247350653 
treatment 	 794.3700459616949 1.4005386247350653 
concerns 	 4076.9472003429228 0.8756314134207087 
typically 	 4578.000426924806 0.8756314134207087 
written 	 1599.9482223204911 0.8756314134207087 
agreement 	 376.3112486189239 1.7233828240519953 
registered 	 1423.6561046087845 1.4005386247350653 
formal 	 4494.9492516153605 0.8756314134207087 
formation 	 1952.9042247670986 1.2180022924135483 
governs 	 7687.516562484888 0.8756314134207087 
conduct 	 4138.7863200934335 0.8756314134207087 
dissolution 	 5867.251969261118 0.8756314134207087 
relationship 	 2140.3805528695043 0.8756314134207087 
owners' 	 7098.375760403725 0.8756314134207087 
exclusive 	 5673.230855777686 0.8756314134207087 
advantage 	 3752.7196202833757 0.8756314134207087 
resource 	 4017.632842304992 0.8756314134207087 
finances 	 7098.375760403725 0.8756314134207087 
ideas 	 2953.502292739674 0.8756314134207087 
sharing 	 4759.862473636977 0.8756314134207087 
load 	 5673.230855777686 0.8756314134207087 
complicated 	 2674.50163785907 1.2180022924135483 
formats 	 7098.375760403725 0.8756314134207087 
finally 	 3905.8084495341973 0.8756314134207087 
included 	 833.6793922527345 1.513985611862357 
partners' 	 1738.9318831676978 1.5913263627124565 
returns 	 679.9803533767109 1.6899913501481008 
responsibility 	 1314.6373563400634 1.2180022924135483 
partner 	 185.6942745141893 1.894246205311862 
liable 	 917.0153508281602 1.6474315151696661 
incurred 	 7098.375760403725 0.8756314134207087 
furtherance 	 7098.375760403725 0.8756314134207087 
treated 	 1069.8006551436279 1.5913263627124565 
proprietors 	 2562.5055208282956 1.4005386247350653 
regard 	 1704.6233628780246 1.2180022924135483 
deducting 	 4347.329707919244 1.2180022924135483 
provided 	 1667.358784505469 1.2180022924135483 
deducted 	 4347.329707919244 1.2180022924135483 
dissolves 	 8694.659415838489 0.8756314134207087 
death 	 657.3186781700317 1.513985611862357 
retirement 	 5084.090053696524 0.8756314134207087 
withdrawal 	 5867.251969261118 0.8756314134207087 
express 	 4967.787999446875 0.8756314134207087 
continue 	 1685.7521720060556 1.2180022924135483 
circumstances 	 3131.6434667398325 0.8756314134207087 
continued 	 3334.717569010938 0.8756314134207087 
partner's 	 1449.109902639748 1.6474315151696661 
legal 	 620.1658862270399 1.513985611862357 
representative 	 3705.07600772157 0.8756314134207087 
entitled 	 1166.5220006060213 1.513985611862357 
value 	 1372.7883834648876 1.2180022924135483 
attributable 	 7687.516562484888 0.8756314134207087 
property 	 3298.8392029171287 0.8756314134207087 
assigned 	 2605.2587922312277 1.2180022924135483 
participate 	 2135.484156913177 1.2180022924135483 
management 	 605.3372967175571 1.513985611862357 
operation 	 3447.9956887664293 0.8756314134207087 
modified 	 2170.9302111822694 1.2180022924135483 
detail 	 2208.194789554825 1.2180022924135483 
sold 	 2289.000213462403 1.2180022924135483 
transferred 	 2605.2587922312277 1.2180022924135483 
handled 	 2542.045026848262 1.2180022924135483 
addressing 	 4860.109115907517 0.8756314134207087 
potential 	 2981.7167714900424 0.8756314134207087 
prevent 	 3658.945149070485 0.8756314134207087 
disputes 	 4967.787999446875 0.8756314134207087 
occurring 	 5210.5175844624555 0.8756314134207087 
similar 	 1436.0021488478535 1.2180022924135483 
respects 	 4347.329707919244 1.2180022924135483 
requires 	 3705.07600772157 0.8756314134207087 
principal 	 2379.9312368184883 1.2180022924135483 
difference 	 3905.8084495341973 0.8756314134207087 
limit 	 4270.968313826354 0.8756314134207087 
amount 	 1723.9978443832147 1.2180022924135483 
invests 	 8694.659415838489 0.8756314134207087 
exchange 	 3447.9956887664293 0.8756314134207087 
reduction 	 4341.860422364539 0.8756314134207087 
statutory 	 5502.092104968961 0.8756314134207087 
establish 	 4138.7863200934335 0.8756314134207087 
apply 	 1926.4831312769581 1.2180022924135483 
certificate 	 891.5005459530232 1.6474315151696661 
secretary 	 892.7143933928013 1.513985611862357 
certification 	 6356.14612907174 0.8756314134207087 
renewed 	 2674.50163785907 1.2180022924135483 
maintain 	 3658.945149070485 0.8756314134207087 
records 	 4416.38957910965 0.8756314134207087 
follow 	 3801.978574868141 0.8756314134207087 
permitted 	 2836.615427888843 1.2180022924135483 
engage 	 2674.50163785907 1.2180022924135483 
businesses 	 700.5624551848091 1.6474315151696661 
banking 	 4494.9492516153605 0.8756314134207087 
operating 	 1900.9892874340705 1.2180022924135483 
railroad 	 4967.787999446875 0.8756314134207087 
depend 	 3178.07306453587 1.2180022924135483 
enjoys 	 6356.14612907174 0.8756314134207087 
invested 	 6356.14612907174 0.8756314134207087 
wishes 	 5084.090053696524 0.8756314134207087 
dissolve 	 6091.232907050124 0.8756314134207087 
file 	 2038.4736001714614 1.2180022924135483 
cancellation 	 6091.232907050124 0.8756314134207087 
cancel 	 7098.375760403725 0.8756314134207087 
mentioned 	 2674.50163785907 1.2180022924135483 
previously 	 1123.7373129038401 1.513985611862357 
laws 	 1436.0021488478535 1.2180022924135483 
specifically 	 3298.8392029171287 0.8756314134207087 
format 	 5084.090053696524 0.8756314134207087 
consuming 	 7098.375760403725 0.8756314134207087 
complex 	 3298.8392029171287 0.8756314134207087 
departure 	 2933.625984630559 1.2180022924135483 
departing 	 8694.659415838489 0.8756314134207087 
beneficiaries 	 2933.625984630559 1.2180022924135483 
fair 	 4076.9472003429228 0.8756314134207087 
market 	 2745.576766929775 0.8756314134207087 
party 	 1325.9011478584423 1.2180022924135483 
receiving 	 2379.9312368184883 1.2180022924135483 
assignment 	 3549.1878802018623 1.2180022924135483 
assigning 	 8694.659415838489 0.8756314134207087 
received 	 2925.825265447255 0.8756314134207087 
requirement 	 3905.8084495341973 0.8756314134207087 
conditions 	 2745.576766929775 0.8756314134207087 
arising 	 5084.090053696524 0.8756314134207087 
negligence 	 2933.625984630559 1.2180022924135483 
wrongful 	 3178.07306453587 1.2180022924135483 
acts 	 2069.3931600467167 1.2180022924135483 
employee 	 4076.9472003429228 0.8756314134207087 
agent 	 3960.6451460932744 0.8756314134207087 
remains 	 4341.860422364539 0.8756314134207087 
arise 	 5502.092104968961 0.8756314134207087 
causes 	 3196.231877755254 0.8756314134207087 
owed 	 6680.373709131287 0.8756314134207087 
loans 	 5502.092104968961 0.8756314134207087 
application 	 833.6618514991521 1.4005386247350653 
paying 	 2483.8939997234374 1.2180022924135483 
fee 	 1555.3626674746952 1.4005386247350653 
annually 	 6356.14612907174 0.8756314134207087 
restrictions 	 4759.862473636977 0.8756314134207087 
creation 	 1685.7521720060556 1.2180022924135483 
artificial 	 5084.090053696524 0.8756314134207087 
purposes 	 1176.2462274981233 1.4005386247350653 
separate 	 3752.7196202833757 0.8756314134207087 
entity 	 6356.14612907174 0.8756314134207087 
purchases 	 6091.232907050124 0.8756314134207087 
enter 	 4341.860422364539 0.8756314134207087 
contracts 	 4416.38957910965 0.8756314134207087 
pay 	 1581.7894091011065 1.2180022924135483 
taxes 	 2170.9302111822694 1.2180022924135483 
sue 	 5502.092104968961 0.8756314134207087 
sued 	 5673.230855777686 0.8756314134207087 
established 	 3487.80639826176 0.8756314134207087 
compliance 	 4860.109115907517 0.8756314134207087 
forth 	 5084.090053696524 0.8756314134207087 
shareholders 	 546.0289046464403 1.820210007089169 
board 	 3196.231877755254 0.8756314134207087 
directors 	 5502.092104968961 0.8756314134207087 
filed 	 1526.0001423082683 1.4005386247350653 
corporation's 	 3340.1868545656434 1.2180022924135483 
incorporated 	 2751.0460524844807 1.2180022924135483 
discussion 	 2156.435964848613 0.8756314134207087 
incorporation 	 3843.758281242444 1.2180022924135483 
found 	 1360.7798455973332 1.2180022924135483 
protecting 	 4759.862473636977 0.8756314134207087 
options 	 2170.9302111822694 1.2180022924135483 
discussed 	 957.334765898569 1.4005386247350653 
seek 	 4203.374731108855 0.8756314134207087 
collect 	 4666.088002424085 0.8756314134207087 
required 	 1505.2449944756956 1.2180022924135483 
financial 	 610.2132088532073 1.513985611862357 
institutions 	 3229.6356477357413 0.8756314134207087 
assurances 	 6356.14612907174 0.8756314134207087 
receive 	 824.7098007292822 1.513985611862357 
funding 	 4203.374731108855 0.8756314134207087 
corporate 	 3614.233929027692 0.8756314134207087 
regardless 	 4494.9492516153605 0.8756314134207087 
shareholder 	 8694.659415838489 0.8756314134207087 
status 	 800.7012908008162 1.4005386247350653 
sell 	 2069.3931600467167 1.2180022924135483 
shares 	 993.557599889375 1.5913263627124565 
stockholder 	 8694.659415838489 0.8756314134207087 
existence 	 4341.860422364539 0.8756314134207087 
affected 	 3658.945149070485 0.8756314134207087 
stock 	 1952.9042247670986 1.2180022924135483 
raise 	 5084.090053696524 0.8756314134207087 
capital 	 3409.2467257560493 0.8756314134207087 
stocks 	 5673.230855777686 0.8756314134207087 
available 	 568.5210031775077 1.513985611862357 
voting 	 4759.862473636977 0.8756314134207087 
nonvoting 	 8694.659415838489 0.8756314134207087 
double 	 4759.862473636977 0.8756314134207087 
taxation 	 2605.2587922312277 1.2180022924135483 
files 	 4416.38957910965 0.8756314134207087 
pays 	 2751.0460524844807 1.2180022924135483 
dividends 	 2898.219805279496 1.4005386247350653 
shareholders' 	 8694.659415838489 0.8756314134207087 
derives 	 6680.373709131287 0.8756314134207087 
section 	 3705.07600772157 0.8756314134207087 
internal 	 538.2726079559569 1.6474315151696661 
revenue 	 528.8736081818863 1.7502804707709736 
code 	 1631.912730236377 1.2180022924135483 
meets 	 5673.230855777686 0.8756314134207087 
protection 	 2925.825265447255 0.8756314134207087 
natural 	 3263.825460472754 0.8756314134207087 
nonresident 	 8694.659415838489 0.8756314134207087 
aliens 	 5673.230855777686 0.8756314134207087 
class 	 2953.502292739674 0.8756314134207087 
