term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 230.40180562588066 1.7361076222092542 
logo_asm 	 691.2054168776419 1.373619821367963 
gif 	 29.720018576396242 1.858734059895898 
subject 	 456.1800440773039 1.373619821367963 
index 	 112.19393051432843 1.6286598894963529 
anthropology 	 686.2675801533081 1.373619821367963 
ant 	 691.2054168776419 1.373619821367963 
idx 	 36.379232467244314 1.953124302792309 
html 	 6.758727963032939 1.9700547122912329 
architecture 	 662.2632520857035 1.373619821367963 
arc 	 326.48285162316074 1.6286598894963529 
art 	 292.0317523260339 1.6286598894963529 
black 	 596.3012323866028 1.373619821367963 
studies 	 138.19529994869686 1.795329338206349 
blk 	 691.2054168776419 1.373619821367963 
stu 	 691.2054168776419 1.373619821367963 
business 	 468.9214321739356 1.373619821367963 
bus 	 657.5935369574258 1.373619821367963 
ecology 	 686.2675801533081 1.373619821367963 
eco 	 686.2675801533081 1.373619821367963 
economics 	 652.9657032463215 1.373619821367963 
ecn 	 686.2675801533081 1.373619821367963 
education 	 186.80859468664 1.7361076222092542 
edu 	 564.2909706721653 1.373619821367963 
film 	 639.3261425991532 1.373619821367963 
flm 	 691.2054168776419 1.373619821367963 
gen 	 123.47307631181089 1.8328422416627974 
healthcare 	 340.68827413638184 1.6286598894963529 
med 	 338.26572112612337 1.6286598894963529 
history 	 568.1853287800229 1.373619821367963 
law 	 215.80198539942427 1.6286598894963529 
linguistics 	 681.3765482727637 1.373619821367963 
lin 	 676.5314422522467 1.373619821367963 
literature 	 648.3790063790226 1.373619821367963 
lit 	 686.2675801533081 1.373619821367963 
mass 	 584.0635046520678 1.373619821367963 
media 	 446.8263136275446 1.373619821367963 
mda 	 691.2054168776419 1.373619821367963 
medicine 	 211.61952740790204 1.7361076222092542 
music 	 662.2632520857035 1.373619821367963 
mus 	 686.2675801533081 1.373619821367963 
philosophy 	 331.13162604285174 1.6286598894963529 
phi 	 691.2054168776419 1.373619821367963 
political 	 488.6435779891576 1.373619821367963 
science 	 282.14548533608263 1.6286598894963529 
psi 	 686.2675801533081 1.373619821367963 
psychology 	 681.3765482727637 1.373619821367963 
psy 	 681.3765482727637 1.373619821367963 
religion 	 657.5935369574258 1.373619821367963 
rel 	 686.2675801533081 1.373619821367963 
sci 	 666.9756136043521 1.373619821367963 
shakespeare 	 691.2054168776419 1.373619821367963 
sha 	 340.68827413638184 1.6286598894963529 
sociology 	 686.2675801533081 1.373619821367963 
soc 	 686.2675801533081 1.373619821367963 
sports 	 652.9657032463215 1.373619821367963 
recreation 	 666.9756136043521 1.373619821367963 
spt 	 671.7314076384929 1.373619821367963 
urban 	 657.5935369574258 1.373619821367963 
urb 	 691.2054168776419 1.373619821367963 
women's 	 657.5935369574258 1.373619821367963 
wom 	 691.2054168776419 1.373619821367963 
home 	 230.4466390530254 1.373619821367963 
page 	 126.64570803543363 1.6286598894963529 
topic 	 681.3765482727637 1.373619821367963 
search 	 313.0189273051536 1.6286598894963529 
custom 	 335.86570381924645 1.6286598894963529 
mental 	 138.70592979763563 1.9127760821876747 
health 	 165.31707546857348 1.8328422416627974 
specific 	 556.5893351603606 1.373619821367963 
paper 	 148.0474142119069 1.795329338206349 
click 	 317.42929111185305 1.6286598894963529 
catalog 	 676.5314422522467 1.373619821367963 
button 	 617.3653815590544 1.373619821367963 
title 	 298.1506161933014 1.6286598894963529 
description 	 315.214685239474 1.6286598894963529 
written 	 568.1853287800229 1.373619821367963 
pgs 	 32.67940857872896 1.9574937735262976 
pages 	 600.4458329823912 1.373619821367963 
footnotes 	 686.2675801533081 1.373619821367963 
sources 	 600.4458329823912 1.373619821367963 
price 	 592.1896568476276 1.373619821367963 
role 	 135.30628845044933 1.8328422416627974 
