term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 153.15468862340515 1.816463941029517 
logo_asm 	 459.4640658702155 1.5347770160966585 
gif 	 19.75574878237192 1.9038187904791404 
subject 	 303.23595953200623 1.5347770160966585 
index 	 74.57852357832297 1.736773786982992 
anthropology 	 456.1817441716758 1.5347770160966585 
ant 	 459.4640658702155 1.5347770160966585 
idx 	 24.182319256327133 1.9685935867684878 
html 	 4.492720332016082 1.9799940806890672 
architecture 	 440.2253788089075 1.5347770160966585 
arc 	 217.02251571074444 1.736773786982992 
art 	 194.1218818756388 1.736773786982992 
black 	 396.378532381017 1.5347770160966585 
studies 	 122.48317282274682 1.816463941029517 
blk 	 459.4640658702155 1.5347770160966585 
stu 	 459.4640658702155 1.5347770160966585 
business 	 155.85276282525186 1.736773786982992 
bus 	 437.12128522557566 1.5347770160966585 
ecology 	 456.1817441716758 1.5347770160966585 
eco 	 456.1817441716758 1.5347770160966585 
economics 	 434.0450314214889 1.5347770160966585 
ecn 	 456.1817441716758 1.5347770160966585 
education 	 372.53109289254365 1.5347770160966585 
edu 	 375.1003932956447 1.5347770160966585 
film 	 424.97842424711155 1.5347770160966585 
flm 	 459.4640658702155 1.5347770160966585 
gen 	 82.07609530029289 1.8856820722312402 
healthcare 	 452.9305349952673 1.5347770160966585 
med 	 224.85492702763625 1.736773786982992 
history 	 377.68908482858114 1.5347770160966585 
law 	 71.72488468217298 1.859115789168746 
linguistics 	 452.9305349952673 1.5347770160966585 
lin 	 449.7098540552725 1.5347770160966585 
literature 	 430.99612245737353 1.5347770160966585 
lit 	 456.1817441716758 1.5347770160966585 
mass 	 388.2437637512776 1.5347770160966585 
media 	 297.0182666167593 1.5347770160966585 
mda 	 459.4640658702155 1.5347770160966585 
medicine 	 422.00870872622323 1.5347770160966585 
music 	 440.2253788089075 1.5347770160966585 
mus 	 456.1817441716758 1.5347770160966585 
philosophy 	 440.2253788089075 1.5347770160966585 
phi 	 459.4640658702155 1.5347770160966585 
political 	 324.8154016478315 1.5347770160966585 
science 	 187.55019664782236 1.736773786982992 
psi 	 456.1817441716758 1.5347770160966585 
psychology 	 452.9305349952673 1.5347770160966585 
psy 	 452.9305349952673 1.5347770160966585 
religion 	 437.12128522557566 1.5347770160966585 
rel 	 456.1817441716758 1.5347770160966585 
sci 	 443.35782067111006 1.5347770160966585 
shakespeare 	 459.4640658702155 1.5347770160966585 
sha 	 226.46526749763365 1.736773786982992 
sociology 	 456.1817441716758 1.5347770160966585 
soc 	 456.1817441716758 1.5347770160966585 
sports 	 434.0450314214889 1.5347770160966585 
recreation 	 443.35782067111006 1.5347770160966585 
spt 	 446.519133372099 1.5347770160966585 
urban 	 437.12128522557566 1.5347770160966585 
urb 	 459.4640658702155 1.5347770160966585 
women's 	 437.12128522557566 1.5347770160966585 
wom 	 459.4640658702155 1.5347770160966585 
home 	 153.1844906883483 1.5347770160966585 
page 	 84.1850346049491 1.736773786982992 
topic 	 452.9305349952673 1.5347770160966585 
search 	 208.07265904199164 1.736773786982992 
custom 	 223.2595666860495 1.736773786982992 
tax 	 38.75930001136844 1.9715421137364564 
specific 	 369.980895271325 1.5347770160966585 
paper 	 98.41136254783733 1.859115789168746 
click 	 211.00435436311162 1.736773786982992 
catalog 	 449.7098540552725 1.5347770160966585 
button 	 410.3804765014645 1.5347770160966585 
title 	 198.1892661905085 1.736773786982992 
description 	 419.06448464007593 1.5347770160966585 
written 	 377.68908482858114 1.5347770160966585 
pgs 	 41.47106765197053 1.9463650971177704 
pages 	 399.13356727317864 1.5347770160966585 
footnotes 	 456.1817441716758 1.5347770160966585 
sources 	 399.13356727317864 1.5347770160966585 
price 	 393.6454501913493 1.5347770160966585 
consequences 	 842.948484332363 1.5347770160966585 
gift 	 420.9011524595829 1.816463941029517 
joint 	 863.7427296154001 1.5347770160966585 
donees 	 1026.2450721378532 1.736773786982992 
look 	 274.72750429128246 1.736773786982992 
involved 	 642.4604088642606 1.5347770160966585 
amount 	 813.9453002387373 1.5347770160966585 
liability 	 1008.2189481365722 1.5347770160966585 
code 	 256.82315506817037 1.816463941029517 
change 	 549.4550085825649 1.5347770160966585 
income 	 411.67157419263026 1.736773786982992 
discussion 	 509.05542735242545 1.5347770160966585 
recommending 	 1500.45294031081 1.5347770160966585 
reduction 	 1024.9539744466874 1.5347770160966585 
shelters 	 418.9165323156362 1.859115789168746 
examination 	 262.3245108303766 1.736773786982992 
known 	 625.9932466833388 1.5347770160966585 
preferred 	 1339.2416954795226 1.5347770160966585 
items 	 1123.6289252976483 1.5347770160966585 
including 	 150.5754233639036 1.736773786982992 
capital 	 804.798091489556 1.5347770160966585 
gains 	 1061.0926313173218 1.5347770160966585 
accelerated 	 1675.6661292625447 1.5347770160966585 
depreciation 	 750.226470155405 1.736773786982992 
exempt 	 1437.9166463304834 1.5347770160966585 
bond 	 1437.9166463304834 1.5347770160966585 
stock 	 922.0180992362214 1.5347770160966585 
options 	 1024.9539744466874 1.5347770160966585 
provide 	 580.8625559618082 1.5347770160966585 
opportunities 	 863.7427296154001 1.5347770160966585 
payment 	 1123.6289252976483 1.5347770160966585 
lower 	 770.469465204511 1.5347770160966585 
taxes 	 512.4769872233437 1.736773786982992 
irs 	 1814.7406613436451 1.5347770160966585 
codes 	 615.0060328529327 1.736773786982992 
comparison 	 279.06950836058815 1.736773786982992 
dealing 	 690.6800179273285 1.5347770160966585 
term 	 671.7945143535501 1.5347770160966585 
assets 	 1080.697967264424 1.5347770160966585 
depreciable 	 2052.4901442757064 1.5347770160966585 
real 	 228.0895387680534 1.816463941029517 
personal 	 490.5103704567208 1.5347770160966585 
property 	 778.7349253961288 1.5347770160966585 
jersey's 	 1814.7406613436451 1.5347770160966585 
structure 	 200.0638710662821 1.816463941029517 
analysis 	 140.66956957540773 1.816463941029517 
examining 	 992.2625827738041 1.5347770160966585 
revenue 	 561.8144626488241 1.736773786982992 
gathering 	 1230.0120657058653 1.5347770160966585 
priding 	 2052.4901442757064 1.5347770160966585 
handful 	 1814.7406613436451 1.5347770160966585 
sales 	 934.9630317343381 1.5347770160966585 
suggestion 	 1576.9911784115839 1.5347770160966585 
physicians 	 1262.7034573787487 1.5347770160966585 
incorporate 	 1437.9166463304834 1.5347770160966585 
fiscal 	 1230.0120657058653 1.5347770160966585 
policy 	 545.1940842230598 1.5347770160966585 
processes 	 885.8794423655869 1.5347770160966585 
various 	 209.53224232003797 1.736773786982992 
