term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 936.7887368277086 1.2360749079609428 
logo_asm 	 2810.366210483126 0.7007524942751783 
gif 	 120.83837010325449 1.5278693393902876 
subject 	 927.3892756532786 1.037862589423611 
index 	 456.16834538577723 1.037862589423611 
anthropology 	 2790.289502251241 0.7007524942751783 
ant 	 2810.366210483126 0.7007524942751783 
idx 	 147.91401107805925 1.8221858536191717 
html 	 27.480254392331602 1.8835894770341401 
architecture 	 2692.6905094492363 0.7007524942751783 
arc 	 1327.4438424523087 1.037862589423611 
art 	 1187.3694115891842 1.037862589423611 
black 	 1212.2480480107488 1.037862589423611 
studies 	 449.5096733214977 1.4589861308141197 
blk 	 2810.366210483126 0.7007524942751783 
stu 	 2810.366210483126 0.7007524942751783 
business 	 953.2918262605784 1.037862589423611 
bus 	 2673.7039545284483 0.7007524942751783 
ecology 	 2790.289502251241 0.7007524942751783 
eco 	 2790.289502251241 0.7007524942751783 
economics 	 663.7219212261543 1.366569499274857 
ecn 	 2790.289502251241 0.7007524942751783 
education 	 2278.630416584713 0.7007524942751783 
edu 	 2294.345845872486 0.7007524942751783 
film 	 2599.430711575627 0.7007524942751783 
flm 	 2810.366210483126 0.7007524942751783 
gen 	 502.0281281049986 1.4589861308141197 
healthcare 	 2770.4030974346088 0.7007524942751783 
med 	 1375.3517110903233 1.037862589423611 
history 	 330.0256976136457 1.581192885207753 
law 	 438.7137261317753 1.366569499274857 
linguistics 	 2770.4030974346088 0.7007524942751783 
lin 	 2750.7034221806466 0.7007524942751783 
literature 	 2636.2386732232353 0.7007524942751783 
lit 	 2790.289502251241 0.7007524942751783 
mass 	 2374.7388231783684 0.7007524942751783 
media 	 908.3736492156867 1.037862589423611 
mda 	 2810.366210483126 0.7007524942751783 
medicine 	 2581.2660959405725 0.7007524942751783 
music 	 2692.6905094492363 0.7007524942751783 
mus 	 2790.289502251241 0.7007524942751783 
philosophy 	 897.5635031497454 1.2360749079609428 
phi 	 2810.366210483126 0.7007524942751783 
political 	 45.15390356858935 1.919131516218291 
science 	 458.8691691744972 1.4589861308141197 
psi 	 2790.289502251241 0.7007524942751783 
psychology 	 1385.2015487173044 1.037862589423611 
psy 	 2770.4030974346088 0.7007524942751783 
religion 	 1336.8519772642242 1.037862589423611 
