term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 844.8066206282291 1.2842395753030043 
logo_asm 	 2534.419861884687 0.7484958603878522 
gif 	 108.97340144678621 1.564124109532442 
subject 	 1672.660161616781 0.7484958603878522 
index 	 411.37774521920426 1.0893170641810297 
anthropology 	 2516.31446056213 0.7484958603878522 
ant 	 2534.419861884687 0.7484958603878522 
idx 	 133.3905190465625 1.8382330296019143 
html 	 24.782002531120778 1.8944162590673168 
architecture 	 2428.2985909809126 0.7484958603878522 
arc 	 1197.1037892849226 1.0893170641810297 
art 	 713.8553945747494 1.2842395753030043 
black 	 546.6094630210526 1.4104309030770268 
studies 	 337.81073320792564 1.564124109532442 
blk 	 2534.419861884687 0.7484958603878522 
stu 	 2534.419861884687 0.7484958603878522 
business 	 573.1261948792546 1.2842395753030043 
bus 	 2411.176302177228 0.7484958603878522 
ecology 	 2516.31446056213 0.7484958603878522 
eco 	 2516.31446056213 0.7484958603878522 
economics 	 598.5518946424613 1.4104309030770268 
ecn 	 2516.31446056213 0.7484958603878522 
education 	 410.97890831060795 1.498795238606814 
edu 	 2069.066892464606 0.7484958603878522 
film 	 2344.195856196895 0.7484958603878522 
flm 	 2534.419861884687 0.7484958603878522 
gen 	 452.73461314330655 1.498795238606814 
healthcare 	 2498.3806770001333 0.7484958603878522 
med 	 1240.307644129119 1.0893170641810297 
history 	 520.8365513816877 1.4104309030770268 
law 	 105.50319286194076 1.7994214357185068 
linguistics 	 2498.3806770001333 0.7484958603878522 
lin 	 2480.615288258238 0.7484958603878522 
literature 	 594.347422514104 1.4104309030770268 
lit 	 2516.31446056213 0.7484958603878522 
mass 	 1070.7830918621241 1.0893170641810297 
media 	 819.1815749838318 1.0893170641810297 
mda 	 2534.419861884687 0.7484958603878522 
medicine 	 2327.8148014869225 0.7484958603878522 
music 	 2428.2985909809126 0.7484958603878522 
mus 	 2516.31446056213 0.7484958603878522 
philosophy 	 2428.2985909809126 0.7484958603878522 
phi 	 2534.419861884687 0.7484958603878522 
political 	 597.2310397645259 1.2842395753030043 
science 	 517.2667231161515 1.4104309030770268 
psi 	 2516.31446056213 0.7484958603878522 
psychology 	 1249.1903385000667 1.0893170641810297 
psy 	 2498.3806770001333 0.7484958603878522 
religion 	 2411.176302177228 0.7484958603878522 
rel 	 2516.31446056213 0.7484958603878522 
