term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 506.79466935150106 1.498861415181687 
logo_asm 	 1520.3840080545033 0.9984830383685717 
gif 	 65.37252148102661 1.7135419067220814 
subject 	 1003.419282999496 0.9984830383685717 
index 	 246.78316111194334 1.331984240820426 
anthropology 	 1509.522681151172 0.9984830383685717 
ant 	 1520.3840080545033 0.9984830383685717 
idx 	 80.02021095023701 1.8997113832515482 
html 	 14.866581856671292 1.935294178888594 
architecture 	 1456.7224634055688 0.9984830383685717 
arc 	 718.1357298300144 1.331984240820426 
art 	 642.3566645155978 1.331984240820426 
black 	 1311.6315867418493 0.9984830383685717 
studies 	 405.30146108984735 1.498861415181687 
blk 	 1520.3840080545033 0.9984830383685717 
stu 	 1520.3840080545033 0.9984830383685717 
business 	 343.8151327631892 1.498861415181687 
bus 	 1446.4509000904618 0.9984830383685717 
ecology 	 1509.522681151172 0.9984830383685717 
eco 	 1509.522681151172 0.9984830383685717 
economics 	 718.1357298300144 1.331984240820426 
ecn 	 1509.522681151172 0.9984830383685717 
education 	 616.3597528178383 1.331984240820426 
edu 	 1241.2214180482706 0.9984830383685717 
film 	 1406.2697128876723 0.9984830383685717 
flm 	 1520.3840080545033 0.9984830383685717 
gen 	 271.59291010446776 1.665823057055821 
healthcare 	 1498.764306762765 0.9984830383685717 
med 	 744.0534757328488 1.331984240820426 
history 	 624.8937482222152 1.331984240820426 
law 	 237.340361849173 1.5990282601006 
linguistics 	 1498.764306762765 0.9984830383685717 
lin 	 1488.1069514656976 0.9984830383685717 
literature 	 1426.1825043414547 0.9984830383685717 
lit 	 1509.522681151172 0.9984830383685717 
mass 	 1284.7133290311956 0.9984830383685717 
media 	 327.614900495648 1.498861415181687 
mda 	 1520.3840080545033 0.9984830383685717 
medicine 	 1396.4428116742372 0.9984830383685717 
music 	 1456.7224634055688 0.9984830383685717 
mus 	 1509.522681151172 0.9984830383685717 
philosophy 	 1456.7224634055688 0.9984830383685717 
phi 	 1520.3840080545033 0.9984830383685717 
political 	 59.71258193558289 1.8944338789947208 
science 	 413.74047268275683 1.498861415181687 
psi 	 1509.522681151172 0.9984830383685717 
psychology 	 1498.764306762765 0.9984830383685717 
psy 	 1498.764306762765 0.9984830383685717 
religion 	 1446.4509000904618 0.9984830383685717 
rel 	 1509.522681151172 0.9984830383685717 
sci 	 1467.0878322498831 0.9984830383685717 
shakespeare 	 1520.3840080545033 0.9984830383685717 
sha 	 749.3821533813825 1.331984240820426 
sociology 	 1509.522681151172 0.9984830383685717 
soc 	 1509.522681151172 0.9984830383685717 
sports 	 1436.2714596600288 0.9984830383685717 
recreation 	 1467.0878322498831 0.9984830383685717 
spt 	 1477.548735793972 0.9984830383685717 
urban 	 723.2254500452309 1.331984240820426 
urb 	 1520.3840080545033 0.9984830383685717 
women's 	 1446.4509000904618 0.9984830383685717 
wom 	 1520.3840080545033 0.9984830383685717 
home 	 168.9644285046407 1.498861415181687 
page 	 278.57147019421933 1.331984240820426 
topic 	 1498.764306762765 0.9984830383685717 
search 	 688.5203149057158 1.331984240820426 
custom 	 738.774367896986 1.331984240820426 
asia 	 1265.4792031555476 1.498861415181687 
specific 	 408.0936016841145 1.498861415181687 
paper 	 325.64692854750837 1.5990282601006 
click 	 698.2214058371186 1.331984240820426 
catalog 	 1488.1069514656976 0.9984830383685717 
button 	 1357.9645505223386 0.9984830383685717 
title 	 655.8157933709247 1.331984240820426 
description 	 1386.7002625845078 0.9984830383685717 
written 	 1249.7874964444304 0.9984830383685717 
