term 	 tf-idf weight 	 BM25 ranking 
bulkhead 	 4003.2533717797305 1.2568985609024892 
sand 	 3075.8224441905236 1.2568985609024892 
media 	 579.3155112729212 1.2568985609024892 
fiberglass 	 3268.281750660765 1.2568985609024892 
reinforced 	 4003.2533717797305 1.2568985609024892 
sluice 	 4003.2533717797305 1.2568985609024892 
gates 	 2804.5662868661616 1.2568985609024892 
hydroelectric 	 3539.5379079851273 1.2568985609024892 
unit 	 875.2662307593897 1.5436754168409856 
start 	 721.6245450044211 1.2568985609024892 
testing 	 1935.3459704830173 1.2568985609024892 
installation 	 468.1701646143117 1.7885189687002212 
multi 	 1999.1084807721104 1.2568985609024892 
ton 	 1179.8459693283758 1.6707422070399303 
cylinder 	 4003.2533717797305 1.2568985609024892 
complete 	 743.5052471903686 1.5436754168409856 
scales 	 2399.0614342776207 1.2568985609024892 
cylinders 	 3539.5379079851273 1.2568985609024892 
scale 	 1966.4678609427604 1.2568985609024892 
evaporator 	 4003.2533717797305 1.2568985609024892 
implementation 	 1664.089813158655 1.2568985609024892 
liquid 	 2926.5394083613173 1.2568985609024892 
gas 	 2069.5946657471964 1.2568985609024892 
chlorination 	 4003.2533717797305 1.2568985609024892 
metering 	 2001.6266858898653 1.5436754168409856 
pumps 	 817.0704376651912 1.7424568960292612 
designed 	 632.0684298265725 1.5436754168409856 
correct 	 1849.8254449429041 1.2568985609024892 
pennsylvania 	 999.5542403860552 1.5436754168409856 
department 	 1286.816997724176 1.2568985609024892 
environmental 	 1502.7523971481571 1.2568985609024892 
protection's 	 4003.2533717797305 1.2568985609024892 
code 	 1502.7523971481571 1.2568985609024892 
violations 	 2033.4236947173817 1.2568985609024892 
pertaining 	 2533.3101295417996 1.2568985609024892 
separation 	 2399.0614342776207 1.2568985609024892 
adequate 	 2287.3022516379624 1.2568985609024892 
ventilation 	 3539.5379079851273 1.2568985609024892 
sensors 	 2926.5394083613173 1.2568985609024892 
personnel 	 1569.7082309227783 1.2568985609024892 
safety 	 759.4368295772742 1.5436754168409856 
lime 	 1179.8459693283758 1.6707422070399303 
silo 	 2001.6266858898653 1.5436754168409856 
layout 	 2926.5394083613173 1.2568985609024892 
hydrated 	 4003.2533717797305 1.2568985609024892 
slurry 	 4003.2533717797305 1.2568985609024892 
trenching 	 4003.2533717797305 1.2568985609024892 
foundation 	 1705.9159319791675 1.2568985609024892 
clearwater 	 1769.7689539925636 1.5436754168409856 
basin 	 3539.5379079851273 1.2568985609024892 
repair 	 2340.8508230715584 1.2568985609024892 
partial 	 2612.1069803959203 1.2568985609024892 
floor 	 2148.3915166013167 1.2568985609024892 
slab 	 4003.2533717797305 1.2568985609024892 
removal 	 1170.4254115357792 1.5436754168409856 
joint 	 1684.6760528067132 1.2568985609024892 
protection 	 673.5640408066805 1.5436754168409856 
involving 	 1774.0085544725189 1.2568985609024892 
flexible 	 2462.823944566714 1.2568985609024892 
hypalon 	 4003.2533717797305 1.2568985609024892 
liner 	 4003.2533717797305 1.2568985609024892 
emergency 	 625.7117864256517 1.6707422070399303 
discharge 	 934.8554289553872 1.6707422070399303 
pipe 	 768.9556110476309 1.7424568960292612 
lines 	 812.3627593216563 1.5436754168409856 
valving 	 4003.2533717797305 1.2568985609024892 
coordination 	 3075.8224441905236 1.2568985609024892 
sludge 	 3268.281750660765 1.2568985609024892 
drying 	 4003.2533717797305 1.2568985609024892 
operations 	 1456.5961661233864 1.2568985609024892 
analyses 	 2191.5677872423516 1.2568985609024892 
column 	 2612.1069803959203 1.2568985609024892 
supports 	 1118.8620091335613 1.5436754168409856 
ceiling 	 3268.281750660765 1.2568985609024892 
arches 	 4003.2533717797305 1.2568985609024892 
foundations 	 2340.8508230715584 1.2568985609024892 
evaluated 	 2804.5662868661616 1.2568985609024892 
flow 	 410.4706574277856 1.8206042405655167 
rates 	 1750.5324615187794 1.2568985609024892 
capacity 	 1849.8254449429041 1.2568985609024892 
contact 	 1080.092758479293 1.2568985609024892 
time 	 637.8904023681911 1.2568985609024892 
quality 	 1456.5961661233864 1.2568985609024892 
developed 	 444.87434820941024 1.6707422070399303 
multitude 	 3268.281750660765 1.2568985609024892 
improvements 	 2462.823944566714 1.2568985609024892 
mile 	 2804.5662868661616 1.2568985609024892 
inspected 	 3539.5379079851273 1.2568985609024892 
ranging 	 1074.1957583006583 1.5436754168409856 
size 	 924.9127224714521 1.5436754168409856 
elimination 	 2701.439482061726 1.2568985609024892 
dead 	 2237.7240182671226 1.2568985609024892 
looping 	 4003.2533717797305 1.2568985609024892 
replacing 	 2612.1069803959203 1.2568985609024892 
deteriorated 	 4003.2533717797305 1.2568985609024892 
undersized 	 4003.2533717797305 1.2568985609024892 
mains 	 2001.6266858898653 1.5436754168409856 
larger 	 2148.3915166013167 1.2568985609024892 
fire 	 938.5676796384774 1.5436754168409856 
hydrant 	 2001.6266858898653 1.5436754168409856 
replacements 	 1634.1408753303824 1.5436754168409856 
line 	 362.8717222414645 1.6707422070399303 
sizes 	 4003.2533717797305 1.2568985609024892 
extensively 	 2701.439482061726 1.2568985609024892 
padot 	 4003.2533717797305 1.2568985609024892 
conrail 	 4003.2533717797305 1.2568985609024892 
dep 	 3075.8224441905236 1.2568985609024892 
ensure 	 1798.3385084228341 1.2568985609024892 
proper 	 1935.3459704830173 1.2568985609024892 
permitting 	 2612.1069803959203 1.2568985609024892 
examples 	 1624.7255186433126 1.2568985609024892 
transferring 	 2926.5394083613173 1.2568985609024892 
low 	 1322.3474708592073 1.2568985609024892 
pressure 	 336.93521056134267 1.7885189687002212 
intermediate 	 2804.5662868661616 1.2568985609024892 
reducing 	 2191.5677872423516 1.2568985609024892 
aerial 	 3075.8224441905236 1.2568985609024892 
stream 	 2804.5662868661616 1.2568985609024892 
crossings 	 3268.281750660765 1.2568985609024892 
cathodic 	 4003.2533717797305 1.2568985609024892 
development 	 778.4850043899606 1.2568985609024892 
operational 	 1095.7838936211758 1.5436754168409856 
model 	 466.54186411457374 1.6707422070399303 
excess 	 2612.1069803959203 1.2568985609024892 
upgrade 	 2701.439482061726 1.2568985609024892 
roof 	 3075.8224441905236 1.2568985609024892 
fuel 	 2237.7240182671226 1.2568985609024892 
tanks 	 1463.2697041806587 1.5436754168409856 
diesel 	 3075.8224441905236 1.2568985609024892 
engine 	 2612.1069803959203 1.2568985609024892 
speed 	 2107.8336446061217 1.2568985609024892 
reducer 	 4003.2533717797305 1.2568985609024892 
mgd 	 2001.6266858898653 1.5436754168409856 
pump 	 571.8933388256758 1.8442362522113787 
operators 	 2926.5394083613173 1.2568985609024892 
surge 	 2926.5394083613173 1.2568985609024892 
anticipator 	 4003.2533717797305 1.2568985609024892 
relief 	 2533.3101295417996 1.2568985609024892 
vacuum 	 3539.5379079851273 1.2568985609024892 
switchgear 	 4003.2533717797305 1.2568985609024892 
power 	 963.7891624410979 1.2568985609024892 
electrification 	 4003.2533717797305 1.2568985609024892 
crane 	 1143.6511258189812 1.5436754168409856 
automated 	 2612.1069803959203 1.2568985609024892 
scada 	 1334.4177905932436 1.6707422070399303 
provide 	 1132.9360056514568 1.2568985609024892 
heating 	 2804.5662868661616 1.2568985609024892 
systems 	 1055.158195359945 1.2568985609024892 
tests 	 1999.1084807721104 1.2568985609024892 
calibration 	 2804.5662868661616 1.2568985609024892 
energy 	 1427.5046262357012 1.2568985609024892 
study 	 811.6653580122006 1.2568985609024892 
reduce 	 1684.6760528067132 1.2568985609024892 
consumption 	 2237.7240182671226 1.2568985609024892 
peak 	 2701.439482061726 1.2568985609024892 
hours 	 1750.5324615187794 1.2568985609024892 
hydraulic 	 1769.7689539925636 1.5436754168409856 
simulate 	 2701.439482061726 1.2568985609024892 
network 	 1664.089813158655 1.2568985609024892 
consisting 	 2701.439482061726 1.2568985609024892 
miles 	 2033.4236947173817 1.2568985609024892 
zones 	 2926.5394083613173 1.2568985609024892 
stations 	 2533.3101295417996 1.2568985609024892 
sustaining 	 3075.8224441905236 1.2568985609024892 
eleven 	 2804.5662868661616 1.2568985609024892 
reservoirs 	 3539.5379079851273 1.2568985609024892 
gallons 	 4003.2533717797305 1.2568985609024892 
unreliable 	 3539.5379079851273 1.2568985609024892 
centralized 	 2462.823944566714 1.2568985609024892 
reservoir 	 3268.281750660765 1.2568985609024892 
track 	 1118.8620091335613 1.5436754168409856 
levels 	 511.79767232583566 1.6707422070399303 
replaced 	 2612.1069803959203 1.2568985609024892 
art 	 757.2451252175065 1.2568985609024892 
supervisory 	 2804.5662868661616 1.2568985609024892 
data 	 561.9169122130704 1.5436754168409856 
acquisition 	 2340.8508230715584 1.2568985609024892 
allows 	 1999.1084807721104 1.2568985609024892 
accurately 	 3075.8224441905236 1.2568985609024892 
record 	 1518.8736591545485 1.2568985609024892 
performance 	 1502.7523971481571 1.2568985609024892 
status 	 552.9963835640875 1.5436754168409856 
flows 	 1306.0534901979602 1.5436754168409856 
turbidities 	 4003.2533717797305 1.2568985609024892 
transmission 	 1199.5307171388104 1.5436754168409856 
pressures 	 1266.6550647708998 1.5436754168409856 
residual 	 3539.5379079851273 1.2568985609024892 
suction 	 4003.2533717797305 1.2568985609024892 
continuously 	 3268.281750660765 1.2568985609024892 
monitored 	 2926.5394083613173 1.2568985609024892 
controlled 	 2107.8336446061217 1.2568985609024892 
gis 	 2001.6266858898653 1.5436754168409856 
geographic 	 2926.5394083613173 1.2568985609024892 
information 	 277.8506475303581 1.5436754168409856 
quickly 	 2069.5946657471964 1.2568985609024892 
access 	 1441.8922775285257 1.2568985609024892 
service 	 1015.5608403998139 1.2568985609024892 
computer 	 1552.330630518997 1.2568985609024892 
contains 	 1935.3459704830173 1.2568985609024892 
details 	 1774.0085544725189 1.2568985609024892 
comprehensive 	 1502.7523971481571 1.2568985609024892 
database 	 2612.1069803959203 1.2568985609024892 
easily 	 2033.4236947173817 1.2568985609024892 
accessed 	 2926.5394083613173 1.2568985609024892 
conventional 	 2148.3915166013167 1.2568985609024892 
phone 	 1518.8736591545485 1.2568985609024892 
inventory 	 2804.5662868661616 1.2568985609024892 
tracking 	 2701.439482061726 1.2568985609024892 
integral 	 3539.5379079851273 1.2568985609024892 
return 	 1015.5608403998139 1.2568985609024892 
municipal 	 2462.823944566714 1.2568985609024892 
list 	 1535.393016977507 1.2568985609024892 
pleased 	 2804.5662868661616 1.2568985609024892 
talk 	 2069.5946657471964 1.2568985609024892 
please 	 1190.3140094071741 1.2568985609024892 
mail 	 1180.402717016915 1.2568985609024892 
marketing 	 1569.7082309227783 1.2568985609024892 
matt 	 2926.5394083613173 1.2568985609024892 
lloyd 	 2701.439482061726 1.2568985609024892 
mailto 	 242.99448394657227 1.5436754168409856 
mlloyd 	 2926.5394083613173 1.2568985609024892 
entecheng 	 1463.2697041806587 1.5436754168409856 
novell 	 1634.1408753303824 1.5436754168409856 
net 	 776.1653152594985 1.5436754168409856 
wastewater 	 3075.8224441905236 1.2568985609024892 
business 	 607.9620893883002 1.2568985609024892 
director 	 1587.5492882207443 1.2568985609024892 
ros 	 4003.2533717797305 1.2568985609024892 
mcmullen 	 3539.5379079851273 1.2568985609024892 
rmcmullen 	 4003.2533717797305 1.2568985609024892 
call 	 1264.136859653145 1.2568985609024892 
updated 	 716.6872532223116 1.2568985609024892 
september 	 1587.5492882207443 1.2568985609024892 
