term 	 tf-idf weight 	 BM25 ranking 
 globe1 	 3739.960175429494 1.2883825311355048 
gif 	 143.99233806393528 1.4617503823334814 
amip 	 718.3815499323906 1.7573403030251167 
modeling 	 976.1236847518386 1.6380907234539088 
participants 	 1120.6378149652562 1.5671930122930267 
address 	 889.0786162404717 1.4617503823334814 
list 	 358.60262915207096 1.7573403030251167 
subproject 	 249.33067836196628 1.9289709192272324 
leader's 	 6106.654990023851 0.9502686466133602 
bmrc 	 7479.920350858988 0.9502686466133602 
bryant 	 3739.960175429494 1.2883825311355048 
mcavaney 	 3739.960175429494 1.2883825311355048 
bureau 	 1969.2018353943588 1.2883825311355048 
meteorology 	 911.3538267193939 1.6890303700616924 
research 	 102.46914051211718 1.853731576442015 
centre 	 407.5046599873659 1.8174806630647065 
gpo 	 3739.960175429494 1.2883825311355048 
box 	 248.34027875240722 1.8433613625746499 
melbourne 	 3739.960175429494 1.2883825311355048 
victoria 	 638.5613777176806 1.7813549165954372 
australia 	 1261.8831661349616 1.5671930122930267 
fax 	 47.843112258930766 1.964989341591498 
email 	 72.0879084282744 1.9626199410280138 
bma 	 3739.960175429494 1.2883825311355048 
bom 	 3306.7431875795282 1.2883825311355048 
gov 	 193.36455287979533 1.8628139383803062 
ccc 	 7479.920350858988 0.9502686466133602 
george 	 1703.649839166068 1.2883825311355048 
boer 	 6613.4863751590565 0.9502686466133602 
canadian 	 1224.7557679015697 1.4617503823334814 
climate 	 247.18941333780896 1.8314084739112044 
modelling 	 2204.4954583863523 1.4617503823334814 
analysis 	 512.6442039920108 1.4617503823334814 
atmospheric 	 209.1676811189287 1.9043770732351188 
environment 	 760.4388322197995 1.4617503823334814 
service 	 948.7676012703791 1.2883825311355048 
university 	 111.13043251069817 1.9213890028561336 
v8w 	 2493.306783619663 1.4617503823334814 
canada 	 654.1601126751791 1.6380907234539088 
gboer 	 7479.920350858988 0.9502686466133602 
uvic 	 2493.306783619663 1.4617503823334814 
doe 	 1367.0307400790907 1.5671930122930267 
ccsr 	 3306.7431875795282 1.2883825311355048 
akimasa 	 7479.920350858988 0.9502686466133602 
sumi 	 3739.960175429494 1.2883825311355048 
center 	 176.49085020953146 1.8174806630647065 
system 	 674.1634389054756 1.2883825311355048 
tokyo 	 1367.0307400790907 1.5671930122930267 
komaba 	 7479.920350858988 0.9502686466133602 
meguro 	 7479.920350858988 0.9502686466133602 
japan 	 531.2393908754259 1.6890303700616924 
tel 	 4373.787038623988 0.9502686466133602 
cnrm 	 7479.920350858988 0.9502686466133602 
michel 	 2620.1105071619595 1.2883825311355048 
deque 	 3739.960175429494 1.2883825311355048 
national 	 203.52664182653558 1.7273995704311618 
recherches 	 7479.920350858988 0.9502686466133602 
meteorologiques 	 7479.920350858988 0.9502686466133602 
avenue 	 773.3911306977565 1.6380907234539088 
coriolis 	 6106.654990023851 0.9502686466133602 
toulouse 	 7479.920350858988 0.9502686466133602 
cedex 	 1869.980087714747 1.5671930122930267 
france 	 817.7001408439739 1.5671930122930267 
meteo 	 6613.4863751590565 0.9502686466133602 
cola 	 3306.7431875795282 1.2883825311355048 
david 	 786.9376180898324 1.5671930122930267 
straus 	 3739.960175429494 1.2883825311355048 
ocean 	 4014.1844480592613 0.9502686466133602 
land 	 945.9850891595346 1.4617503823334814 
atmosphere 	 3866.9556534887824 0.9502686466133602 
studies 	 669.5508718444615 1.2883825311355048 
institute 	 213.76152582946506 1.8314084739112044 
global 	 750.1304194472126 1.5671930122930267 
society 	 1897.5352025407583 0.9502686466133602 
powder 	 5747.052399459125 0.9502686466133602 
mill 	 4273.733654032067 0.9502686466133602 
suite 	 5047.532664539846 0.9502686466133602 
calverton 	 7479.920350858988 0.9502686466133602 
iges 	 7479.920350858988 0.9502686466133602 
org 	 3187.436345252555 0.9502686466133602 
csiro 	 2493.306783619663 1.4617503823334814 
barrie 	 7479.920350858988 0.9502686466133602 
hunt 	 5047.532664539846 0.9502686466133602 
division 	 1593.7181726262775 1.2883825311355048 
private 	 2404.366587675964 0.9502686466133602 
bag 	 6106.654990023851 0.9502686466133602 
mordialloc 	 7479.920350858988 0.9502686466133602 
bgh 	 7479.920350858988 0.9502686466133602 
atmos 	 678.5172211137613 1.7813549165954372 
dar 	 6613.4863751590565 0.9502686466133602 
csu 	 7479.920350858988 0.9502686466133602 
randall 	 1526.6637475059626 1.5671930122930267 
department 	 171.74047054828316 1.853731576442015 
science 	 151.8871045090884 1.7813549165954372 
colorado 	 2366.694814594357 1.2883825311355048 
fort 	 2523.766332269923 1.2883825311355048 
collins 	 2440.3092118795967 1.2883825311355048 
redfish 	 3739.960175429494 1.2883825311355048 
colostate 	 3306.7431875795282 1.2883825311355048 
edu 	 97.64171004155685 1.853731576442015 
derf 	 7479.920350858988 0.9502686466133602 
william 	 977.6458837336686 1.4617503823334814 
stern 	 7479.920350858988 0.9502686466133602 
dynamical 	 6106.654990023851 0.9502686466133602 
extended 	 3674.2673037047093 0.9502686466133602 
range 	 1418.9776337393018 1.2883825311355048 
forecasting 	 4373.787038623988 0.9502686466133602 
geophysical 	 1526.6637475059626 1.5671930122930267 
fluid 	 2734.0614801581814 1.2883825311355048 
dynamics 	 817.7001408439739 1.5671930122930267 
laboratory 	 573.4549211513231 1.7273995704311618 
noaa 	 2204.4954583863523 1.4617503823334814 
princeton 	 1915.6841331530418 1.4617503823334814 
jersey 	 3735.2550089164993 0.9502686466133602 
wfs 	 7479.920350858988 0.9502686466133602 
gfdl 	 2204.4954583863523 1.4617503823334814 
dnm 	 7479.920350858988 0.9502686466133602 
vener 	 7479.920350858988 0.9502686466133602 
galin 	 3739.960175429494 1.2883825311355048 
numerical 	 2523.766332269923 1.2883825311355048 
mathematics 	 4482.551259861025 0.9502686466133602 
russian 	 1282.5691549767903 1.2883825311355048 
academy 	 1220.1546059397983 1.5671930122930267 
sciences 	 298.83675065740164 1.8628139383803062 
leninsky 	 7479.920350858988 0.9502686466133602 
prospect 	 5240.221014323919 0.9502686466133602 
moscow 	 1090.266854458632 1.4617503823334814 
russia 	 498.738058530729 1.6380907234539088 
inm 	 6613.4863751590565 0.9502686466133602 
ras 	 6613.4863751590565 0.9502686466133602 
ecmwf 	 1436.7630998647812 1.5671930122930267 
laura 	 1899.6858134504687 1.2883825311355048 
ferranti 	 3739.960175429494 1.2883825311355048 
european 	 2361.9896480813622 0.9502686466133602 
medium 	 3866.9556534887824 0.9502686466133602 
weather 	 3674.2673037047093 0.9502686466133602 
forecasts 	 4880.618423759193 0.9502686466133602 
shinfield 	 3739.960175429494 1.2883825311355048 
park 	 1424.5778846773558 1.4617503823334814 
reading 	 445.06907261844384 1.7573403030251167 
rg2 	 3739.960175429494 1.2883825311355048 
united 	 287.2429363956457 1.6890303700616924 
kingdom 	 682.4762665802042 1.6890303700616924 
int 	 5747.052399459125 0.9502686466133602 
richard 	 3507.3530629240563 0.9502686466133602 
wetherald 	 7479.920350858988 0.9502686466133602 
giss 	 3739.960175429494 1.2883825311355048 
kenneth 	 2241.2756299305124 1.2883825311355048 
goddard 	 1869.980087714747 1.5671930122930267 
space 	 435.8574963701175 1.6890303700616924 
broadway 	 5047.532664539846 0.9502686466133602 
york 	 516.6259188752686 1.5671930122930267 
cdkkl 	 7479.920350858988 0.9502686466133602 
nasagiss 	 7479.920350858988 0.9502686466133602 
nasa 	 538.0706039635489 1.6890303700616924 
gla 	 7479.920350858988 0.9502686466133602 
lau 	 1526.6637475059626 1.5671930122930267 
code 	 935.9444426682594 1.4617503823334814 
flight 	 1457.9290128746627 1.4617503823334814 
greenbelt 	 2493.306783619663 1.4617503823334814 
gsfc 	 1526.6637475059626 1.5671930122930267 
wei 	 1653.3715937897641 1.5671930122930267 
min 	 2734.0614801581814 1.2883825311355048 
data 	 2099.838984353776 0.9502686466133602 
assimilation 	 5047.532664539846 0.9502686466133602 
office 	 1025.0817867709416 1.2883825311355048 
dao 	 6613.4863751590565 0.9502686466133602 
iap 	 3739.960175429494 1.2883825311355048 
qing 	 7479.920350858988 0.9502686466133602 
cun 	 7479.920350858988 0.9502686466133602 
zeng 	 6613.4863751590565 0.9502686466133602 
physics 	 1045.2746722099787 1.5671930122930267 
chinese 	 3735.2550089164993 0.9502686466133602 
beijing 	 5240.221014323919 0.9502686466133602 
china 	 3035.735273997221 0.9502686466133602 
whj 	 7479.920350858988 0.9502686466133602 
sgi50s 	 7479.920350858988 0.9502686466133602 
jma 	 2493.306783619663 1.4617503823334814 
nobuo 	 7479.920350858988 0.9502686466133602 
sato 	 3739.960175429494 1.2883825311355048 
prediction 	 1424.5778846773558 1.4617503823334814 
section 	 1062.4787817508518 1.4617503823334814 
meteorological 	 1322.6972750318114 1.6380907234539088 
agency 	 1320.4595436120621 1.2883825311355048 
ote 	 6613.4863751590565 0.9502686466133602 
machi 	 7479.920350858988 0.9502686466133602 
chiyoda 	 7479.920350858988 0.9502686466133602 
admd 	 7479.920350858988 0.9502686466133602 
ati 	 6613.4863751590565 0.9502686466133602 
sprint 	 6106.654990023851 0.9502686466133602 
com 	 603.3475876780792 0.9502686466133602 
llnl 	 630.9415830674808 1.7573403030251167 
michael 	 1152.1085232579123 1.4617503823334814 
wehner 	 7479.920350858988 0.9502686466133602 
lawrence 	 1338.0614826864205 1.4617503823334814 
livermore 	 911.3538267193939 1.6890303700616924 
lab 	 5240.221014323919 0.9502686466133602 
systems 	 1971.5212917786716 0.9502686466133602 
usa 	 2694.118605247619 0.9502686466133602 
mwehner 	 7479.920350858988 0.9502686466133602 
lmd 	 3739.960175429494 1.2883825311355048 
jan 	 4014.1844480592613 0.9502686466133602 
polcher 	 3739.960175429494 1.2883825311355048 
laboratoire 	 2493.306783619663 1.4617503823334814 
meteorologie 	 7479.920350858988 0.9502686466133602 
dynamique 	 2493.306783619663 1.4617503823334814 
ecole 	 2493.306783619663 1.4617503823334814 
normale 	 7479.920350858988 0.9502686466133602 
superieure 	 7479.920350858988 0.9502686466133602 
rue 	 7479.920350858988 0.9502686466133602 
lhomond 	 7479.920350858988 0.9502686466133602 
paris 	 4373.787038623988 0.9502686466133602 
ens 	 6613.4863751590565 0.9502686466133602 
mgo 	 2493.306783619663 1.4617503823334814 
valentin 	 2734.0614801581814 1.2883825311355048 
meleshko 	 3739.960175429494 1.2883825311355048 
main 	 1121.4259616629781 1.2883825311355048 
observatory 	 3306.7431875795282 1.2883825311355048 
karbyshev 	 3739.960175429494 1.2883825311355048 
street 	 889.0786162404717 1.4617503823334814 
petersburg 	 2734.0614801581814 1.2883825311355048 
vmeleshk 	 3739.960175429494 1.2883825311355048 
spb 	 3739.960175429494 1.2883825311355048 
mpi 	 6613.4863751590565 0.9502686466133602 
erich 	 6613.4863751590565 0.9502686466133602 
roeckner 	 3739.960175429494 1.2883825311355048 
max 	 4880.618423759193 0.9502686466133602 
planck 	 7479.920350858988 0.9502686466133602 
bundesstrasse 	 7479.920350858988 0.9502686466133602 
hamburg 	 6613.4863751590565 0.9502686466133602 
germany 	 2837.9552674786037 0.9502686466133602 
dkrz 	 6613.4863751590565 0.9502686466133602 
d400 	 7479.920350858988 0.9502686466133602 
mri 	 3306.7431875795282 1.2883825311355048 
akio 	 7479.920350858988 0.9502686466133602 
kitoh 	 3739.960175429494 1.2883825311355048 
nagamine 	 7479.920350858988 0.9502686466133602 
tsukuba 	 1869.980087714747 1.5671930122930267 
ibaraki 	 7479.920350858988 0.9502686466133602 
ncar 	 1526.6637475059626 1.5671930122930267 
williamson 	 5240.221014323919 0.9502686466133602 
boulder 	 6106.654990023851 0.9502686466133602 
wmson 	 7479.920350858988 0.9502686466133602 
ucar 	 6106.654990023851 0.9502686466133602 
nmc 	 6613.4863751590565 0.9502686466133602 
huug 	 7479.920350858988 0.9502686466133602 
van 	 2382.9985459768386 0.9502686466133602 
den 	 5747.052399459125 0.9502686466133602 
dool 	 7479.920350858988 0.9502686466133602 
branch 	 4181.098688839915 0.9502686466133602 
wwb 	 3306.7431875795282 1.2883825311355048 
camp 	 3938.4036707887176 0.9502686466133602 
springs 	 7479.920350858988 0.9502686466133602 
emmail 	 7479.920350858988 0.9502686466133602 
wd51hd 	 7479.920350858988 0.9502686466133602 
sgi45 	 7479.920350858988 0.9502686466133602 
nrl 	 7479.920350858988 0.9502686466133602 
tom 	 3938.4036707887176 0.9502686466133602 
rosmond 	 3739.960175429494 1.2883825311355048 
naval 	 5047.532664539846 0.9502686466133602 
gracehopper 	 7479.920350858988 0.9502686466133602 
ave 	 5468.122960316363 0.9502686466133602 
monterey 	 5747.052399459125 0.9502686466133602 
nrlmry 	 7479.920350858988 0.9502686466133602 
navy 	 4880.618423759193 0.9502686466133602 
mil 	 6106.654990023851 0.9502686466133602 
ntu 	 3739.960175429494 1.2883825311355048 
prof 	 508.88791583532094 1.8314084739112044 
wen 	 2204.4954583863523 1.4617503823334814 
shung 	 7479.920350858988 0.9502686466133602 
kau 	 7479.920350858988 0.9502686466133602 
taiwan 	 2300.8444923082156 1.2883825311355048 
ln144 	 7479.920350858988 0.9502686466133602 
sec 	 4733.389629188714 0.9502686466133602 
keelung 	 7479.920350858988 0.9502686466133602 
taipei 	 7479.920350858988 0.9502686466133602 
asalpha1 	 7479.920350858988 0.9502686466133602 
rpn 	 3739.960175429494 1.2883825311355048 
harold 	 5747.052399459125 0.9502686466133602 
ritchie 	 7479.920350858988 0.9502686466133602 
recherche 	 7479.920350858988 0.9502686466133602 
prevision 	 7479.920350858988 0.9502686466133602 
numerique 	 7479.920350858988 0.9502686466133602 
trans 	 6106.654990023851 0.9502686466133602 
highway 	 5047.532664539846 0.9502686466133602 
dorval 	 7479.920350858988 0.9502686466133602 
quebec 	 6613.4863751590565 0.9502686466133602 
h9p 	 7479.920350858988 0.9502686466133602 
hritchie 	 7479.920350858988 0.9502686466133602 
aes 	 7479.920350858988 0.9502686466133602 
sunya 	 2493.306783619663 1.4617503823334814 
chyung 	 2493.306783619663 1.4617503823334814 
wang 	 976.1236847518386 1.6380907234539088 
albany 	 957.8420665765209 1.6890303700616924 
fuller 	 2440.3092118795967 1.2883825311355048 
asrc 	 3306.7431875795282 1.2883825311355048 
