term 	 tf-idf weight 	 BM25 ranking 
 law 	 38.89454388012879 1.921056767242439 
leading 	 501.6882753760825 1.553210413628753 
attorneys 	 618.1119280524948 1.6781756475319352 
web 	 1335.9240318238249 1.2695905052728855 
header 	 1800.0543567381624 1.2695905052728855 
gif 	 56.24340724777312 1.748514985401634 
webhead 	 1945.3208086437128 1.2695905052728855 
illinois 	 145.44380156384 1.9005968680246084 
personal 	 155.16144371590147 1.8250087090408478 
injury 	 236.9557597566469 1.879834486298671 
transportation 	 186.81811369614417 1.879834486298671 
automobile 	 569.4670724288433 1.748514985401634 
accidents 	 187.7682151208823 1.921056767242439 
maritime 	 397.5432398505527 1.8658215236819062 
railroad 	 139.1100304387438 1.930582167078268 
aviation 	 711.9496094331904 1.748514985401634 
resources 	 609.6818165752677 1.553210413628753 
occur 	 941.6369407955488 1.553210413628753 
virtually 	 2277.868289715373 1.2695905052728855 
circumstances 	 1403.09696961296 1.2695905052728855 
serious 	 1045.2936302746316 1.553210413628753 
costly 	 2541.826075093788 1.2695905052728855 
people 	 762.8105033799171 1.2695905052728855 
involved 	 243.87272663010705 1.7936218880722128 
related 	 517.3780595178016 1.553210413628753 
activities 	 584.0386408340789 1.553210413628753 
chapter 	 1681.3630232652977 1.2695905052728855 
provides 	 579.143811751921 1.553210413628753 
brief 	 1263.5161433670687 1.2695905052728855 
overview 	 1129.7721161532281 1.2695905052728855 
laws 	 1286.7686151410223 1.2695905052728855 
issues 	 301.3731654299143 1.6781756475319352 
regarding 	 620.5328213723689 1.553210413628753 
stressed 	 2090.587260549263 1.2695905052728855 
tort 	 1112.8802435099503 1.553210413628753 
litigation 	 821.7164396271608 1.6781756475319352 
involving 	 1726.2773826033033 1.2695905052728855 
extremely 	 2090.587260549263 1.2695905052728855 
complicated 	 798.8532077294125 1.6781756475319352 
retaining 	 2847.7984377327616 1.2695905052728855 
inexperienced 	 2993.0648896383123 1.2695905052728855 
lawyer 	 2541.826075093788 1.2695905052728855 
result 	 584.0386408340789 1.553210413628753 
plaintiff 	 1423.8992188663808 1.553210413628753 
losing 	 2090.587260549263 1.2695905052728855 
lawsuit 	 635.456518773447 1.748514985401634 
receiving 	 2132.601837809822 1.2695905052728855 
recovery 	 710.8672792699407 1.6781756475319352 
deserves 	 3444.3037041828366 1.2695905052728855 
plaintiffs 	 3180.3459188044217 1.2695905052728855 
choose 	 659.5709144300027 1.6781756475319352 
appropriate 	 1562.6716897924334 1.2695905052728855 
levels 	 1494.0819940991885 1.2695905052728855 
experience 	 584.0386408340789 1.553210413628753 
familiarity 	 2847.7984377327616 1.2695905052728855 
subject 	 575.5294742138078 1.2695905052728855 
matter 	 819.6742230023694 1.553210413628753 
share 	 1599.88181720224 1.2695905052728855 
requires 	 415.00421215188265 1.748514985401634 
residents 	 1945.3208086437128 1.2695905052728855 
carry 	 1883.2738815910975 1.2695905052728855 
minimum 	 863.1386913016516 1.553210413628753 
vehicle 	 349.9905437917085 1.7936218880722128 
liability 	 637.8528039231375 1.6781756475319352 
insurance 	 215.7948410138516 1.8481089208908343 
vehicles 	 956.7792058847062 1.553210413628753 
purpose 	 1230.1242087207734 1.2695905052728855 
requirement 	 1749.9527189585426 1.2695905052728855 
ensure 	 1749.9527189585426 1.2695905052728855 
coverage 	 1562.6716897924334 1.2695905052728855 
motorists 	 1148.1012347276123 1.6781756475319352 
uninsured 	 1148.1012347276123 1.6781756475319352 
drivers 	 3180.3459188044217 1.2695905052728855 
person 	 250.4388237723284 1.7936218880722128 
accident 	 103.69124748322989 1.9466694977867431 
files 	 1978.7127432900083 1.2695905052728855 
claim 	 1581.0109306977527 1.2695905052728855 
company 	 1208.7780340630063 1.2695905052728855 
reimbursement 	 2847.7984377327616 1.2695905052728855 
medical 	 1241.0656427447377 1.2695905052728855 
bills 	 2090.587260549263 1.2695905052728855 
resulting 	 799.94090860112 1.553210413628753 
economic 	 973.4402420317379 1.2695905052728855 
losses 	 2132.601837809822 1.2695905052728855 
lost 	 1703.4329334061665 1.2695905052728855 
wages 	 1978.7127432900083 1.2695905052728855 
requirements 	 1432.035067046573 1.2695905052728855 
death 	 589.0082030126506 1.553210413628753 
damage 	 512.780157936691 1.748514985401634 
property 	 739.0035516514283 1.553210413628753 
illinois' 	 2628.755011692352 1.2695905052728855 
mandatory 	 1066.300918904911 1.553210413628753 
cover 	 1544.8349575959708 1.2695905052728855 
underinsured 	 3895.5425187273613 1.2695905052728855 
motorist 	 1947.7712593636807 1.553210413628753 
safety 	 369.50177582571416 1.748514985401634 
responsibility 	 589.0082030126506 1.553210413628753 
fault 	 1364.5535521299485 1.553210413628753 
pay 	 1417.4052378868828 1.2695905052728855 
damages 	 616.2873297203705 1.748514985401634 
cause 	 819.6742230023694 1.553210413628753 
license 	 569.4670724288433 1.748514985401634 
plate 	 1496.5324448191561 1.553210413628753 
driver's 	 1423.8992188663808 1.553210413628753 
suspensions 	 3895.5425187273613 1.2695905052728855 
inquiries 	 3895.5425187273613 1.2695905052728855 
department 	 417.39803962054737 1.6781756475319352 
motor 	 1945.3208086437128 1.2695905052728855 
proving 	 1198.2798115941187 1.553210413628753 
jury 	 2132.601837809822 1.2695905052728855 
awards 	 2051.120631746764 1.2695905052728855 
award 	 989.3563716450042 1.553210413628753 
injured 	 599.1399057970593 1.748514985401634 
reduced 	 989.3563716450042 1.553210413628753 
amount 	 1544.8349575959708 1.2695905052728855 
money 	 1230.1242087207734 1.2695905052728855 
received 	 1310.8824830049298 1.2695905052728855 
benefit 	 1286.7686151410223 1.2695905052728855 
system 	 702.2086379639434 1.2695905052728855 
auto 	 1112.8802435099503 1.553210413628753 
checklist 	 3444.3037041828366 1.2695905052728855 
particularly 	 579.143811751921 1.553210413628753 
deal 	 1447.0012434108519 1.2695905052728855 
try 	 1800.0543567381624 1.2695905052728855 
collect 	 2090.587260549263 1.2695905052728855 
following 	 958.9729799848916 1.2695905052728855 
information 	 270.3748453546534 1.553210413628753 
driver 	 876.2516705641174 1.6781756475319352 
name 	 1275.0385680587788 1.2695905052728855 
address 	 1389.096430014113 1.2695905052728855 
model 	 1361.9675046573432 1.2695905052728855 
car 	 210.1703779081622 1.8658215236819062 
apparently 	 2396.5596231882373 1.2695905052728855 
drinking 	 2396.5596231882373 1.2695905052728855 
verbal 	 2334.512696135622 1.2695905052728855 
statements 	 2132.601837809822 1.2695905052728855 
names 	 2051.120631746764 1.2695905052728855 
addresses 	 1854.3357841574843 1.2695905052728855 
passengers 	 1364.5535521299485 1.553210413628753 
moving 	 1978.7127432900083 1.2695905052728855 
attempt 	 1348.8155421936378 1.2695905052728855 
note 	 1774.5216724753764 1.2695905052728855 
position 	 472.41012434229566 1.553210413628753 
location 	 671.3035014456526 1.6781756475319352 
tire 	 3180.3459188044217 1.2695905052728855 
marks 	 2847.7984377327616 1.2695905052728855 
blood 	 2013.9105043369577 1.2695905052728855 
broken 	 2225.7604870199007 1.2695905052728855 
glass 	 2465.149318881482 1.2695905052728855 
