term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 926.965404029706 1.2410457017987329 
logo_asm 	 2780.896212089118 0.7055588101793462 
gif 	 119.57123752829186 1.5316608477442584 
subject 	 1835.3290145435715 0.7055588101793462 
index 	 451.38488323206553 1.0431247068439458 
anthropology 	 920.3433439265295 1.2410457017987329 
ant 	 2780.896212089118 0.7055588101793462 
idx 	 146.3629585310062 1.8238862542632963 
html 	 27.19209157220229 1.884739829293916 
architecture 	 2664.4544793215514 0.7055588101793462 
arc 	 1313.5240309489955 1.0431247068439458 
art 	 1174.918445404741 1.0431247068439458 
black 	 1199.5362000335151 1.0431247068439458 
studies 	 555.9950439796409 1.3711231807200968 
blk 	 2780.896212089118 0.7055588101793462 
stu 	 2780.896212089118 0.7055588101793462 
business 	 188.6590878281183 1.6899552936609088 
bus 	 2645.6670207822012 0.7055588101793462 
ecology 	 2761.0300317795886 0.7055588101793462 
eco 	 2761.0300317795886 0.7055588101793462 
economics 	 101.04031007299965 1.8681762665712958 
ecn 	 2761.0300317795886 0.7055588101793462 
education 	 1127.3681470042575 1.0431247068439458 
edu 	 2270.2869285182464 0.7055588101793462 
film 	 2572.1726202245 0.7055588101793462 
flm 	 2780.896212089118 0.7055588101793462 
gen 	 496.76377213821587 1.4631364397610414 
healthcare 	 2741.352159329956 0.7055588101793462 
med 	 1360.929529181845 1.0431247068439458 
history 	 1142.977463708651 1.0431247068439458 
law 	 434.11329621046974 1.3711231807200968 
linguistics 	 2741.352159329956 0.7055588101793462 
lin 	 2721.85905836369 0.7055588101793462 
literature 	 2608.5946070597884 0.7055588101793462 
lit 	 2761.0300317795886 0.7055588101793462 
mass 	 2349.836890809482 0.7055588101793462 
media 	 898.8482820647118 1.0431247068439458 
mda 	 2780.896212089118 0.7055588101793462 
medicine 	 2554.1984819697946 0.7055588101793462 
music 	 2664.4544793215514 0.7055588101793462 
mus 	 2761.0300317795886 0.7055588101793462 
philosophy 	 888.1514931071837 1.2410457017987329 
phi 	 2780.896212089118 0.7055588101793462 
political 	 196.5938116095913 1.6899552936609088 
science 	 283.7858660647808 1.6269036842815274 
psi 	 2761.0300317795886 0.7055588101793462 
psychology 	 2741.352159329956 0.7055588101793462 
psy 	 2741.352159329956 0.7055588101793462 
religion 	 2645.6670207822012 0.7055588101793462 
rel 	 2761.0300317795886 0.7055588101793462 
sci 	 2683.4135151989053 0.7055588101793462 
shakespeare 	 2780.896212089118 0.7055588101793462 
sha 	 1370.676079664978 1.0431247068439458 
sociology 	 2761.0300317795886 0.7055588101793462 
soc 	 2761.0300317795886 0.7055588101793462 
sports 	 2627.048061897991 0.7055588101793462 
recreation 	 2683.4135151989053 0.7055588101793462 
spt 	 2702.5472911967277 0.7055588101793462 
urban 	 1322.8335103911006 1.0431247068439458 
urb 	 2780.896212089118 0.7055588101793462 
women's 	 2645.6670207822012 0.7055588101793462 
