term 	 tf-idf weight 	 BM25 ranking 
 nemzet 	 3550.786026594842 0.8343891356490636 
eeeeeee 	 3667.9322035768378 0.8343891356490636 
zzzzzzz 	 7335.8644071536755 0.5271583725248196 
tttttttnn 	 14671.728814307351 0.30358906571162786 
eeee 	 7335.8644071536755 0.5271583725248196 
hazai 	 3751.1487852839186 0.8343891356490636 
sajto 	 15728.011791632549 0.30358906571162786 
sajtokivonatok 	 21618.25431555581 0.30358906571162786 
napi 	 5374.4426696085075 0.6986612737793231 
hetilapokbol 	 16123.328008825525 0.30358906571162786 
szent 	 5179.750501879039 0.6986612737793231 
hirek 	 7864.0058958162745 0.5271583725248196 
sorok 	 16123.328008825525 0.30358906571162786 
kozt 	 16996.852599039732 0.30358906571162786 
olvaso 	 8061.664004412763 0.5271583725248196 
szabad 	 7255.8221572113425 0.5271583725248196 
velemenyeivel 	 19922.02112831765 0.30358906571162786 
tarkitva 	 19922.02112831765 0.30358906571162786 
magyarnemzet 	 21149.669607627824 0.30358906571162786 
nsz 	 1149.0323128583518 1.4571699467199701 
nepszabadsag 	 7677.981654993771 0.5271583725248196 
magyar 	 236.71906843965616 1.8296070894033474 
hirlap 	 5179.750501879039 0.6986612737793231 
nszv 	 17235.484692875274 0.30358906571162786 
nepszava 	 8165.3290292676475 0.5271583725248196 
esti 	 17235.484692875274 0.30358906571162786 
hvg 	 18585.9137290599 0.30358906571162786 
heti 	 6003.566391821697 0.6986612737793231 
vilaggazdasag 	 8741.738631071736 0.5271583725248196 
gazdasag 	 5307.526996460811 0.6986612737793231 
copyright 	 4931.494820398527 0.30358906571162786 
egyszer 	 16123.328008825525 0.30358906571162786 
mar 	 556.3599219007975 1.6346358385911457 
megjelent 	 15922.580989382433 0.30358906571162786 
hetilap 	 6003.566391821697 0.6986612737793231 
anyagot 	 18291.767670200476 0.30358906571162786 
szabadon 	 17483.47726214347 0.30358906571162786 
utankozolhetonek 	 18894.41393710322 0.30358906571162786 
tart 	 4030.8320022063813 0.8343891356490636 
kulfold 	 8383.449992473645 0.5271583725248196 
pufajkas 	 3602.139835093018 0.944478585714643 
york 	 10453.202192154635 0.30358906571162786 
ment 	 19922.02112831765 0.30358906571162786 
hazudozni 	 30889.903601536647 0.30358906571162786 
otthon 	 10809.127157777904 0.5271583725248196 
olcsobb 	 27659.95318246429 0.30358906571162786 
nem 	 182.0915911074278 1.8662998898194099 
tudja 	 8061.664004412763 0.5271583725248196 
meg 	 338.17009777093733 1.7651563477426282 
szocialista 	 16766.89998494729 0.30358906571162786 
internacionale 	 30889.903601536647 0.30358906571162786 
haromnapos 	 27659.95318246429 0.30358906571162786 
kongresszusa 	 33453.65948010457 0.30358906571162786 
hetfon 	 4890.152119401914 0.8343891356490636 
nyilt 	 10574.834803813912 0.5271583725248196 
yorkban 	 33453.65948010457 0.30358906571162786 
ensz 	 23943.37810028819 0.30358906571162786 
szekhazaban 	 30889.903601536647 0.30358906571162786 
mszp 	 2559.327218331257 1.0355671985478745 
kuldottseget 	 37836.42910278511 0.30358906571162786 
vezeto 	 17483.47726214347 0.30358906571162786 
horn 	 2050.7875607162528 1.112183348744907 
gyula 	 2967.194362967033 0.944478585714643 
szonoklatot 	 18918.214551392553 0.5271583725248196 
tartott 	 4502.674793866273 0.8343891356490636 
inkabb 	 5059.27961830904 0.6986612737793231 
rosztovi 	 16726.829740052286 0.5271583725248196 
orosz 	 3224.665601765105 0.944478585714643 
tajszolassal 	 37836.42910278511 0.30358906571162786 
elmotyogott 	 37836.42910278511 0.30358906571162786 
szovegfelolvasast 	 37836.42910278511 0.30358906571162786 
kelet 	 5913.864911165015 0.6986612737793231 
kozep 	 17483.47726214347 0.30358906571162786 
europai 	 3145.6023583265096 0.944478585714643 
terseg 	 7981.126033429397 0.6986612737793231 
tamogatasat 	 24688.120234743503 0.30358906571162786 
egyetemes 	 27659.95318246429 0.30358906571162786 
biztonsagi 	 11638.591779891878 0.5271583725248196 
piacgazdasagi 	 30889.903601536647 0.30358906571162786 
erdeknek 	 37836.42910278511 0.30358906571162786 
nevezte 	 9609.370718757851 0.5271583725248196 
esztet 	 37836.42910278511 0.30358906571162786 
ugy 	 676.3401955418747 1.5796687575523936 
kell 	 887.6965066487105 1.4823151088930389 
erteni 	 27659.95318246429 0.30358906571162786 
hogy 	 127.95625321062494 1.9041434862108488 
evszazad 	 25532.43923030836 0.30358906571162786 
rablasat 	 37836.42910278511 0.30358906571162786 
csak 	 458.1659389154635 1.6945514886172188 
lehet 	 1291.1949187617608 1.3262717363050156 
haboritatlanul 	 37836.42910278511 0.30358906571162786 
csinalni 	 24688.120234743503 0.30358906571162786 
kozben 	 10809.127157777904 0.5271583725248196 
aldozatot 	 26507.133978856113 0.30358906571162786 
lefogjak 	 37836.42910278511 0.30358906571162786 
mint 	 835.4790650811393 1.5052338387729114 
mondta 	 5118.654436662514 0.6986612737793231 
tersegunk 	 29070.889857424037 0.30358906571162786 
orszagainak 	 37836.42910278511 0.30358906571162786 
bevonasa 	 37836.42910278511 0.30358906571162786 
jelentosen 	 23277.183559783756 0.30358906571162786 
novelne 	 33453.65948010457 0.30358906571162786 
szervezet 	 6003.566391821697 0.6986612737793231 
nemzetkozi 	 7677.981654993771 0.5271583725248196 
versenykepesseget 	 33453.65948010457 0.30358906571162786 
barom 	 37836.42910278511 0.30358906571162786 
valaki 	 5374.4426696085075 0.6986612737793231 
hazudozik 	 30889.903601536647 0.30358906571162786 
baj 	 22124.36435617558 0.30358906571162786 
kirohogtetessel 	 37836.42910278511 0.30358906571162786 
jaratja 	 33453.65948010457 0.30358906571162786 
orszagot 	 19922.02112831765 0.30358906571162786 
bocsathato 	 37836.42910278511 0.30358906571162786 
bun 	 26507.133978856113 0.30358906571162786 
segitene 	 30889.903601536647 0.30358906571162786 
megteremteni 	 29070.889857424037 0.30358906571162786 
erintett 	 24688.120234743503 0.30358906571162786 
allamok 	 20713.42768121583 0.30358906571162786 
szamara 	 7588.919427463561 0.5271583725248196 
szabadsag 	 7049.889869209274 0.6986612737793231 
demokracia 	 16330.658058535295 0.30358906571162786 
biztonsag 	 25532.43923030836 0.30358906571162786 
garanciait 	 37836.42910278511 0.30358906571162786 
garanciaja 	 37836.42910278511 0.30358906571162786 
tagsag 	 8229.373411581168 0.6986612737793231 
igen 	 3184.5161978764863 0.944478585714643 
definicio 	 37836.42910278511 0.30358906571162786 
szerint 	 526.042374310347 1.6570591732293602 
szuksegszeruseg 	 30889.903601536647 0.30358906571162786 
felismerese 	 30889.903601536647 0.30358906571162786 
utalt 	 23277.183559783756 0.30358906571162786 
arra 	 1196.2927437511473 1.364578190254868 
fejlodesi 	 16726.829740052286 0.5271583725248196 
vonulatokon 	 37836.42910278511 0.30358906571162786 
kivul 	 4370.869315535868 0.8343891356490636 
rekedo 	 37836.42910278511 0.30358906571162786 
orszagok 	 18585.9137290599 0.30358906571162786 
sajat 	 7502.297570567837 0.5271583725248196 
erobol 	 33453.65948010457 0.30358906571162786 
keptelenek 	 29070.889857424037 0.30358906571162786 
urra 	 30889.903601536647 0.30358906571162786 
lenni 	 9961.010564158825 0.5271583725248196 
gazdasagi 	 2119.4245449764526 1.112183348744907 
szocialis 	 17741.594733495047 0.30358906571162786 
valsagokon 	 37836.42910278511 0.30358906571162786 
marpedig 	 23943.37810028819 0.30358906571162786 
allandosult 	 33453.65948010457 0.30358906571162786 
fenyegetesek 	 37836.42910278511 0.30358906571162786 
felerositik 	 37836.42910278511 0.30358906571162786 
felelem 	 29070.889857424037 0.30358906571162786 
kenyszer 	 14535.444928712019 0.5271583725248196 
uralmanak 	 33453.65948010457 0.30358906571162786 
diktatura 	 23277.183559783756 0.30358906571162786 
kialakulasanak 	 37836.42910278511 0.30358906571162786 
veszelyet 	 29070.889857424037 0.30358906571162786 
igaz 	 2721.7763430892155 1.0355671985478745 
epp 	 10574.834803813912 0.5271583725248196 
azt 	 826.7271041914535 1.5052338387729114 
