term 	 tf-idf weight 	 BM25 ranking 
 law 	 86.73258089398448 1.8321117665383664 
leading 	 1038.8261063086932 1.2534179306034532 
attorneys 	 1919.8499516469194 1.2534179306034532 
web 	 2766.2451534539414 0.9127110706572422 
header 	 3727.3014944439983 0.9127110706572422 
gif 	 116.46100302611086 1.541047547335507 
webhead 	 4028.099001615553 0.9127110706572422 
illinois 	 132.5124847673499 1.9090327595681964 
workers' 	 118.7090087469095 1.9460855571259508 
compensation 	 76.19865115990689 1.9552079178021151 
basics 	 4033.1730531831668 1.2534179306034532 
covered 	 367.44319731133754 1.7871066400183313 
employers 	 283.14496790523685 1.85284987941332 
employees 	 197.23846550055984 1.8690279789712907 
nature 	 760.9355932327671 1.4315456495114312 
injury 	 116.20774829685666 1.9392071837752536 
available 	 421.94979341130374 1.6151764674580935 
benefits 	 113.91868574649983 1.9090327595681964 
employer's 	 1883.6847806156381 1.4315456495114312 
responsibilities 	 2014.0495008077764 1.2534179306034532 
reporting 	 1891.164771528651 1.2534179306034532 
collecting 	 2825.527170923457 1.2534179306034532 
payment 	 2207.947217640277 1.2534179306034532 
employer 	 120.24712524408632 1.9359379859363222 
carrier 	 1315.8147270454785 1.541047547335507 
refuses 	 2416.9916393170647 1.2534179306034532 
resources 	 841.6293791535696 1.4315456495114312 
thousands 	 4247.174518578553 0.9127110706572422 
suffer 	 5263.258908181914 0.9127110706572422 
related 	 214.26286458678854 1.7871066400183313 
injuries 	 330.83076006735723 1.85284987941332 
system 	 727.0178525156648 1.2534179306034532 
compensate 	 6585.416741241721 0.9127110706572422 
accidental 	 1130.210868369383 1.6151764674580935 
occurring 	 4833.983278634129 0.9127110706572422 
workplace 	 1152.1985931270453 1.541047547335507 
subject 	 397.2420538864377 1.4315456495114312 
act 	 307.52146374968686 1.7407815362378651 
carry 	 1949.8104396196616 1.2534179306034532 
insurance 	 347.5405563759521 1.7662168709015238 
demonstrate 	 4247.174518578553 0.9127110706572422 
self 	 813.0906888490046 1.4315456495114312 
insured 	 2825.527170923457 1.2534179306034532 
financial 	 2264.466360727112 0.9127110706572422 
cover 	 639.7657520243837 1.6151764674580935 
reasonably 	 2254.448413022482 1.2534179306034532 
anticipated 	 4833.983278634129 0.9127110706572422 
claims 	 1676.5269567547587 1.2534179306034532 
obtain 	 1207.8526703308323 1.4315456495114312 
information 	 223.94180739666533 1.6151764674580935 
coverage 	 462.2517967610709 1.7091358526601963 
industrial 	 177.63073151153077 1.85284987941332 
commission 	 178.11573299531486 1.8690279789712907 
complicated 	 4962.46140101036 0.9127110706572422 
regulations 	 3481.532035885747 0.9127110706572422 
procedures 	 1452.6687519495163 1.2534179306034532 
frequently 	 3481.532035885747 0.9127110706572422 
change 	 2159.3742028259403 0.9127110706572422 
worker 	 945.5823857643255 1.541047547335507 
questions 	 1088.165200620394 1.2534179306034532 
concerning 	 1320.0860136276758 1.2534179306034532 
consult 	 6197.62130757672 0.9127110706572422 
attorney 	 3782.329543057302 0.9127110706572422 
particularly 	 2398.4204554273106 0.9127110706572422 
suffering 	 1919.8499516469194 1.2534179306034532 
chapter 	 1740.7660179428735 1.2534179306034532 
provides 	 1199.2102277136553 1.2534179306034532 
outline 	 3782.329543057302 0.9127110706572422 
illinois' 	 5443.2592254397705 0.9127110706572422 
program 	 227.21796258084325 1.7091358526601963 
employment 	 687.4662709440711 1.6151764674580935 
issues 	 624.0415161283019 1.4315456495114312 
including 	 591.7658037741751 1.2534179306034532 
discrimination 	 3674.431973113375 0.9127110706572422 
persons 	 3273.736919478603 0.9127110706572422 
disabilities 	 2207.947217640277 1.2534179306034532 
discussed 	 2664.460972672962 0.9127110706572422 
c15 	 8066.3461063663335 0.9127110706572422 
html 	 176.5652188792326 1.4315456495114312 
requires 	 3437.331354720355 0.9127110706572422 
policies 	 2524.888137460709 0.9127110706572422 
covering 	 4833.983278634129 0.9127110706572422 
employee 	 85.96203506948414 1.9472785848534842 
accidentally 	 6585.416741241721 0.9127110706572422 
injured 	 451.1328546373054 1.8045694056588235 
job 	 558.8423189182529 1.6686890348846135 
company 	 834.3229851085164 1.4315456495114312 
pays 	 5104.487376117109 0.9127110706572422 
medical 	 214.1521359984519 1.819384547469117 
care 	 296.05121918588463 1.7662168709015238 
lost 	 1763.615663772283 1.2534179306034532 
wages 	 1365.7474541499903 1.4315456495114312 
due 	 2592.8689281497595 0.9127110706572422 
regardless 	 1390.041658907434 1.4315456495114312 
fault 	 2825.527170923457 1.2534179306034532 
premium 	 4962.46140101036 0.9127110706572422 
charged 	 3899.620879239323 0.9127110706572422 
notion 	 4833.983278634129 0.9127110706572422 
paying 	 4608.794372508181 0.9127110706572422 
originated 	 7131.983706971527 0.9127110706572422 
germany 	 1530.225480224463 1.2534179306034532 
half 	 3437.331354720355 0.9127110706572422 
century 	 2689.195611597691 0.9127110706572422 
chief 	 2934.9650701559417 0.9127110706572422 
proponents 	 7131.983706971527 0.9127110706572422 
german 	 1617.8812886637481 1.2534179306034532 
bertha 	 7131.983706971527 0.9127110706572422 
von 	 2825.527170923457 1.2534179306034532 
krupp 	 2377.327902323842 1.4315456495114312 
famed 	 7131.983706971527 0.9127110706572422 
manufacturer 	 4833.983278634129 0.9127110706572422 
believed 	 4028.099001615553 0.9127110706572422 
workers 	 808.9406443318741 1.541047547335507 
business 	 306.2529508577835 1.541047547335507 
successfully 	 4247.174518578553 0.9127110706572422 
persuaded 	 6585.416741241721 0.9127110706572422 
chancellor 	 6197.62130757672 0.9127110706572422 
otto 	 5896.8238004051655 0.9127110706572422 
bismark 	 6585.416741241721 0.9127110706572422 
support 	 1872.1245483849054 0.9127110706572422 
united 	 1858.5766956543857 0.9127110706572422 
york 	 2228.5175636603585 0.9127110706572422 
massachusetts 	 4962.46140101036 0.9127110706572422 
