term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 232.18786613460844 1.7343336786497912 
logo_asm 	 696.5635984038253 1.3702929827504688 
gif 	 29.95040631729854 1.8577168811297737 
subject 	 459.71632348875585 1.3702929827504688 
index 	 113.06365090591237 1.6263191239026158 
anthropology 	 691.5874838754269 1.3702929827504688 
ant 	 696.5635984038253 1.3702929827504688 
idx 	 36.66124202125396 1.9527695065438395 
html 	 6.81112120305645 1.969826080474504 
architecture 	 667.3970757452826 1.3702929827504688 
arc 	 329.0137264419449 1.6263191239026158 
art 	 294.295564359569 1.6263191239026158 
black 	 300.4618612800712 1.6263191239026158 
studies 	 185.688775124864 1.7343336786497912 
blk 	 696.5635984038253 1.3702929827504688 
stu 	 696.5635984038253 1.3702929827504688 
business 	 472.55648203574907 1.3702929827504688 
bus 	 662.6911612749252 1.3702929827504688 
ecology 	 691.5874838754269 1.3702929827504688 
eco 	 691.5874838754269 1.3702929827504688 
economics 	 658.0274528838899 1.3702929827504688 
ecn 	 691.5874838754269 1.3702929827504688 
education 	 564.770169982865 1.3702929827504688 
edu 	 568.665319282027 1.3702929827504688 
film 	 644.282159208449 1.3702929827504688 
flm 	 696.5635984038253 1.3702929827504688 
gen 	 124.43023194213501 1.8316555151900642 
healthcare 	 686.6585370190642 1.3702929827504688 
med 	 340.8879360185739 1.6263191239026158 
history 	 572.5898662124263 1.3702929827504688 
law 	 217.47486900717175 1.6263191239026158 
linguistics 	 686.6585370190642 1.3702929827504688 
lin 	 681.7758720371478 1.3702929827504688 
literature 	 163.35130005673048 1.7939062375209647 
lit 	 691.5874838754269 1.3702929827504688 
mass 	 588.591128719138 1.3702929827504688 
media 	 450.29008350062634 1.3702929827504688 
mda 	 696.5635984038253 1.3702929827504688 
medicine 	 639.7799665820294 1.3702929827504688 
music 	 667.3970757452826 1.3702929827504688 
mus 	 691.5874838754269 1.3702929827504688 
philosophy 	 667.3970757452826 1.3702929827504688 
phi 	 696.5635984038253 1.3702929827504688 
political 	 492.43151270225184 1.3702929827504688 
science 	 284.3326596410135 1.6263191239026158 
psi 	 691.5874838754269 1.3702929827504688 
psychology 	 686.6585370190642 1.3702929827504688 
psy 	 686.6585370190642 1.3702929827504688 
religion 	 662.6911612749252 1.3702929827504688 
rel 	 691.5874838754269 1.3702929827504688 
sci 	 672.1459671981844 1.3702929827504688 
shakespeare 	 139.31271968076504 1.8316555151900642 
sha 	 343.3292685095321 1.6263191239026158 
sociology 	 691.5874838754269 1.3702929827504688 
soc 	 691.5874838754269 1.3702929827504688 
sports 	 658.0274528838899 1.3702929827504688 
recreation 	 672.1459671981844 1.3702929827504688 
spt 	 676.9386278527448 1.3702929827504688 
urban 	 662.6911612749252 1.3702929827504688 
urb 	 696.5635984038253 1.3702929827504688 
women's 	 662.6911612749252 1.3702929827504688 
wom 	 696.5635984038253 1.3702929827504688 
home 	 232.2330471077 1.3702929827504688 
page 	 127.6274577101269 1.6263191239026158 
topic 	 686.6585370190642 1.3702929827504688 
search 	 315.4454306175967 1.6263191239026158 
custom 	 338.4693139263724 1.6263191239026158 
biography 	 205.4044910036964 1.8767908565971858 
specific 	 560.9039811693557 1.3702929827504688 
paper 	 119.35605486851408 1.8316555151900642 
click 	 319.8899832910147 1.6263191239026158 
catalog 	 681.7758720371478 1.3702929827504688 
button 	 622.1511597106751 1.3702929827504688 
title 	 300.4618612800712 1.6263191239026158 
description 	 635.3164198625058 1.3702929827504688 
written 	 572.5898662124263 1.3702929827504688 
pgs 	 28.81614516147612 1.9624243262625638 
