term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 1295.340383954806 1.078416427708074 
logo_asm 	 3886.0211518644173 0.5612123475961115 
gif 	 167.0887090893905 1.4012612692701498 
subject 	 2564.68664315554 0.5612123475961115 
index 	 630.7647139962535 0.8764792159819955 
anthropology 	 3858.260174466564 0.5612123475961115 
ant 	 3886.0211518644173 0.5612123475961115 
idx 	 204.52742904549564 1.7622196687604206 
html 	 37.998197327051464 1.8425417010257372 
architecture 	 3723.30560910974 0.5612123475961115 
arc 	 1835.5169623232352 0.8764792159819955 
art 	 1641.829677321365 0.8764792159819955 
black 	 3352.4609983595637 0.5612123475961115 
studies 	 1035.929108917751 1.078416427708074 
blk 	 3886.0211518644173 0.5612123475961115 
stu 	 3886.0211518644173 0.5612123475961115 
business 	 202.79383940616984 1.6705524718140272 
bus 	 3697.052036266458 0.5612123475961115 
ecology 	 3858.260174466564 0.5612123475961115 
eco 	 3858.260174466564 0.5612123475961115 
economics 	 407.89265829405224 1.5565933948529356 
ecn 	 3858.260174466564 0.5612123475961115 
education 	 1050.2552968719817 1.078416427708074 
edu 	 3172.4963293022315 0.5612123475961115 
film 	 3594.351045891751 0.5612123475961115 
flm 	 3886.0211518644173 0.5612123475961115 
gen 	 694.1771208925647 1.3221019074725848 
healthcare 	 3830.762338254433 0.5612123475961115 
med 	 1901.761350749775 0.8764792159819955 
history 	 290.3991611682253 1.621974694197344 
law 	 1213.2588365188562 0.8764792159819955 
linguistics 	 3830.762338254433 0.5612123475961115 
lin 	 3803.52270149955 0.5612123475961115 
literature 	 3645.2470881890395 0.5612123475961115 
lit 	 3858.260174466564 0.5612123475961115 
mass 	 3283.65935464273 0.5612123475961115 
media 	 1256.0495502262663 0.8764792159819955 
mda 	 3886.0211518644173 0.5612123475961115 
medicine 	 3569.2340058739755 0.5612123475961115 
music 	 3723.30560910974 0.5612123475961115 
mus 	 3858.260174466564 0.5612123475961115 
philosophy 	 3723.30560910974 0.5612123475961115 
phi 	 3886.0211518644173 0.5612123475961115 
political 	 171.69997816697506 1.723793036338326 
science 	 1586.2481646511158 0.8764792159819955 
psi 	 3858.260174466564 0.5612123475961115 
psychology 	 3830.762338254433 0.5612123475961115 
psy 	 3830.762338254433 0.5612123475961115 
religion 	 3697.052036266458 0.5612123475961115 
rel 	 3858.260174466564 0.5612123475961115 
sci 	 3749.798943926794 0.5612123475961115 
shakespeare 	 3886.0211518644173 0.5612123475961115 
sha 	 1915.3811691272165 0.8764792159819955 
sociology 	 3858.260174466564 0.5612123475961115 
soc 	 3858.260174466564 0.5612123475961115 
sports 	 3671.0339246464705 0.5612123475961115 
recreation 	 3749.798943926794 0.5612123475961115 
spt 	 3776.5364603861785 0.5612123475961115 
urban 	 924.2630090666145 1.2188222478538244 
urb 	 3886.0211518644173 0.5612123475961115 
women's 	 3697.052036266458 0.5612123475961115 
wom 	 3886.0211518644173 0.5612123475961115 
home 	 1295.5924416527648 0.5612123475961115 
page 	 712.0139515713041 0.8764792159819955 
topic 	 3830.762338254433 0.5612123475961115 
search 	 1759.8215273493229 0.8764792159819955 
custom 	 1888.2682301930893 0.8764792159819955 
