term 	 tf-idf weight 	 BM25 ranking 
 lancaster 	 196.19387477628752 1.9205676839466315 
county 	 185.09543270735134 1.8710276637039875 
solid 	 172.28723558403917 1.9205676839466315 
waste 	 66.65354431533815 1.9594791762536754 
management 	 97.48721777832648 1.9016857707990928 
authority 	 127.37051676863693 1.9016857707990928 
pennsylvania 	 233.07991255638956 1.8710276637039875 
haulers 	 1143.165814132465 1.6572838886757373 
bring 	 561.6976580820728 1.6572838886757373 
tons 	 980.9693738814377 1.6572838886757373 
processing 	 666.5354431533815 1.6572838886757373 
disposal 	 839.1335958459839 1.6572838886757373 
traditionally 	 913.6517689277209 1.6572838886757373 
posed 	 913.6517689277209 1.6572838886757373 
challenge 	 676.9371555949567 1.6572838886757373 
officials 	 549.0459283048283 1.6572838886757373 
goal 	 629.0152630357895 1.6572838886757373 
implement 	 839.1335958459839 1.6572838886757373 
available 	 183.11619372819933 1.812584353987157 
technology 	 438.2966054642477 1.6572838886757373 
minimizing 	 980.9693738814377 1.6572838886757373 
impact 	 438.2966054642477 1.6572838886757373 
environment 	 427.06244817463937 1.6572838886757373 
past 	 402.77399845313477 1.6572838886757373 
authority's 	 1023.6326181712232 1.6572838886757373 
board 	 514.7407153439294 1.6572838886757373 
directors 	 886.0905385841272 1.6572838886757373 
staff 	 475.65005953274857 1.6572838886757373 
operate 	 711.2423685558555 1.6572838886757373 
system 	 252.40679152621004 1.6572838886757373 
founded 	 800.0429400348029 1.6572838886757373 
innovation 	 980.9693738814377 1.6572838886757373 
reliability 	 1023.6326181712232 1.6572838886757373 
efficiency 	 647.0241466616436 1.6572838886757373 
facet 	 1400.2410896808026 1.6572838886757373 
operations 	 509.48206707454773 1.6572838886757373 
designed 	 442.164462120831 1.6572838886757373 
implemented 	 766.5573426228854 1.6572838886757373 
assure 	 1023.6326181712232 1.6572838886757373 
environmental 	 175.20879966749814 1.8710276637039875 
safety 	 531.2652260719946 1.6572838886757373 
quality 	 509.48206707454773 1.6572838886757373 
service 	 118.40619663854332 1.8710276637039875 
community 	 360.6606956620685 1.6572838886757373 
click 	 287.90098496191325 1.6572838886757373 
history 	 128.8327198977959 1.812584353987157 
htm 	 13.956187834912782 1.9630949136624856 
organization 	 342.1425626513271 1.6572838886757373 
information 	 97.18542828416113 1.812584353987157 
web 	 120.04847290582758 1.9016857707990928 
page 	 57.43235596955711 1.812584353987157 
educational 	 484.8277064106164 1.6572838886757373 
edu 	 255.89939367691215 1.6572838886757373 
recycling 	 944.8981148018593 1.6572838886757373 
landfill 	 537.9241045893741 1.812584353987157 
reclamation 	 1400.2410896808026 1.6572838886757373 
composting 	 1143.165814132465 1.6572838886757373 
operational 	 766.5573426228854 1.6572838886757373 
oper 	 1400.2410896808026 1.6572838886757373 
hours 	 612.2938654639677 1.6572838886757373 
rates 	 612.2938654639677 1.6572838886757373 
locations 	 818.7729336304105 1.6572838886757373 
directions 	 818.7729336304105 1.6572838886757373 
telephone 	 582.0583202976461 1.6572838886757373 
facilities 	 604.3609023718582 1.6572838886757373 
frey 	 1075.8482091787482 1.6572838886757373 
farm 	 699.2397376691687 1.6572838886757373 
freyfarm 	 1400.2410896808026 1.6572838886757373 
resource 	 323.5120733308218 1.812584353987157 
recovery 	 766.5573426228854 1.6572838886757373 
facility 	 656.5764933793834 1.6572838886757373 
transfer 	 596.6880838312783 1.6572838886757373 
station 	 647.0241466616436 1.6572838886757373 
trnstn 	 1238.0446494297755 1.6572838886757373 
household 	 861.4361779201959 1.6572838886757373 
hazardous 	 913.6517689277209 1.6572838886757373 
hhw 	 1400.2410896808026 1.6572838886757373 
special 	 386.8494880538011 1.6572838886757373 
events 	 430.7475637051839 1.6572838886757373 
services 	 329.75872071101094 1.6572838886757373 
evntsrv 	 1400.2410896808026 1.6572838886757373 
tours 	 1023.6326181712232 1.6572838886757373 
house 	 419.861880046619 1.6572838886757373 
infectious 	 1143.165814132465 1.6572838886757373 
containers 	 980.9693738814377 1.6572838886757373 
battery 	 886.0905385841272 1.6572838886757373 
bags 	 1238.0446494297755 1.6572838886757373 
hauler 	 1238.0446494297755 1.6572838886757373 
haulinfo 	 1400.2410896808026 1.6572838886757373 
rules 	 542.9676644864653 1.6572838886757373 
regulations 	 604.3609023718582 1.6572838886757373 
licensing 	 861.4361779201959 1.6572838886757373 
compliance 	 782.7016745508321 1.6572838886757373 
finance 	 310.25261714990245 1.812584353987157 
annual 	 687.8228392535216 1.6572838886757373 
report 	 369.0687858209674 1.6572838886757373 
lcswma 	 215.16964183574962 1.9205676839466315 
mission 	 306.14693273198384 1.812584353987157 
statement 	 531.2652260719946 1.6572838886757373 
related 	 371.9399874874519 1.6572838886757373 
sites 	 637.8464997837758 1.6572838886757373 
federal 	 416.3430167433165 1.6572838886757373 
protection 	 235.59639095480304 1.812584353987157 
agency 	 494.3800531283561 1.6572838886757373 
epa 	 358.6160697262494 1.8710276637039875 
http 	 14.667081096083564 1.9426114159409027 
www 	 16.959547635886857 1.933365324404525 
gov 	 271.48383224323265 1.812584353987157 
office 	 383.7906209670405 1.6572838886757373 
inel 	 1238.0446494297755 1.6572838886757373 
program 	 276.1001652132205 1.6572838886757373 
epaorgs 	 1400.2410896808026 1.6572838886757373 
oswer 	 700.1205448404013 1.812584353987157 
html 	 91.95013624126207 1.6572838886757373 
department 	 450.09742521294044 1.6572838886757373 
padep 	 1400.2410896808026 1.6572838886757373 
dep 	 1075.8482091787482 1.6572838886757373 
association 	 454.1670930075178 1.6572838886757373 
north 	 412.8762866695935 1.6572838886757373 
america 	 458.3087940487776 1.6572838886757373 
swana 	 700.1205448404013 1.812584353987157 
org 	 298.34404191563914 1.812584353987157 
southeastern 	 861.4361779201959 1.6572838886757373 
public 	 252.40679152621004 1.6572838886757373 
spsa 	 700.1205448404013 1.812584353987157 
com 	 28.236667103334106 1.9016857707990928 
bldg 	 1143.165814132465 1.6572838886757373 
gif 	 26.955365685568683 1.8710276637039875 
harrisburg 	 1238.0446494297755 1.6572838886757373 
pike 	 1023.6326181712232 1.6572838886757373 
thank 	 980.9693738814377 1.6572838886757373 
time 	 223.11861607497266 1.6572838886757373 
visit 	 596.6880838312783 1.6572838886757373 
mailn 	 1400.2410896808026 1.6572838886757373 
please 	 416.3430167433165 1.6572838886757373 
mail 	 412.8762866695935 1.6572838886757373 
comments 	 264.86600792361213 1.6572838886757373 
pringle 	 700.1205448404013 1.812584353987157 
mailto 	 169.98717262630169 1.6572838886757373 
cpringle 	 1400.2410896808026 1.6572838886757373 
site 	 233.40941139238117 1.812584353987157 
created 	 434.49164358025115 1.6572838886757373 
maintained 	 818.7729336304105 1.6572838886757373 
date 	 582.0583202976461 1.6572838886757373 
update 	 737.269167171648 1.6572838886757373 
visitor 	 1143.165814132465 1.6572838886757373 
counter 	 383.2786713114427 1.812584353987157 
digits 	 466.7470298936009 1.8710276637039875 
provided 	 537.0432974181415 1.6572838886757373 
