term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 378.19831272310256 1.600630422892855 
logo_asm 	 1134.5949381693076 1.1438225105634834 
gif 	 48.78460413606127 1.7781668595766185 
subject 	 374.4035826874771 1.4553270825183706 
index 	 184.16329291789958 1.4553270825183706 
anthropology 	 1126.489613158628 1.1438225105634834 
ant 	 1134.5949381693076 1.1438225105634834 
idx 	 59.71552306154251 1.9241945306775112 
html 	 11.094268574978488 1.9513132368924442 
architecture 	 1087.0871599158738 1.1438225105634834 
arc 	 535.9127428775527 1.4553270825183706 
art 	 479.36219810106724 1.4553270825183706 
black 	 978.8122942470012 1.1438225105634834 
studies 	 181.47506830472284 1.739577270680206 
blk 	 1134.5949381693076 1.1438225105634834 
stu 	 1134.5949381693076 1.1438225105634834 
business 	 769.721808238999 1.1438225105634834 
bus 	 1079.4219492305033 1.1438225105634834 
ecology 	 1126.489613158628 1.1438225105634834 
eco 	 1126.489613158628 1.1438225105634834 
economics 	 1071.8254857551053 1.1438225105634834 
ecn 	 1126.489613158628 1.1438225105634834 
education 	 459.9618595918141 1.4553270825183706 
edu 	 926.2683181382248 1.1438225105634834 
film 	 1049.4365170183776 1.1438225105634834 
flm 	 1134.5949381693076 1.1438225105634834 
gen 	 202.67770472113145 1.739577270680206 
healthcare 	 1118.4611170291296 1.1438225105634834 
med 	 555.2540034764079 1.4553270825183706 
history 	 932.6608013113943 1.1438225105634834 
law 	 354.2331039405278 1.4553270825183706 
linguistics 	 1118.4611170291296 1.1438225105634834 
lin 	 1110.5080069528158 1.1438225105634834 
literature 	 177.3827578821163 1.7781668595766185 
lit 	 1126.489613158628 1.1438225105634834 
mass 	 958.7243962021345 1.1438225105634834 
media 	 733.4532706250587 1.1438225105634834 
mda 	 1134.5949381693076 1.1438225105634834 
medicine 	 1042.1031378749594 1.1438225105634834 
music 	 1087.0871599158738 1.1438225105634834 
mus 	 1126.489613158628 1.1438225105634834 
philosophy 	 1087.0871599158738 1.1438225105634834 
phi 	 1134.5949381693076 1.1438225105634834 
political 	 802.0951754977064 1.1438225105634834 
science 	 463.1341590691124 1.4553270825183706 
psi 	 1126.489613158628 1.1438225105634834 
psychology 	 1118.4611170291296 1.1438225105634834 
psy 	 1118.4611170291296 1.1438225105634834 
religion 	 1079.4219492305033 1.1438225105634834 
rel 	 1126.489613158628 1.1438225105634834 
sci 	 1094.8223734939656 1.1438225105634834 
shakespeare 	 1134.5949381693076 1.1438225105634834 
sha 	 559.2305585145648 1.4553270825183706 
