term 	 tf-idf weight 	 BM25 ranking 
 law 	 96.63362957694237 1.8147217801734616 
leading 	 1513.5418937613304 1.0707628795210014 
attorneys 	 2797.170107592396 1.0707628795210014 
web 	 4030.345312599066 0.7310865153490248 
header 	 5430.578735228496 0.7310865153490248 
gif 	 169.68057117454134 1.3947841908106253 
webhead 	 5868.832670009604 0.7310865153490248 
illinois 	 344.7627703516786 1.779398517002861 
tax 	 46.60608074836385 1.965879133464039 
understanding 	 2413.339392461751 1.0707628795210014 
avoidance 	 3009.922910010059 1.266984363057594 
versus 	 3094.0099237716167 1.0707628795210014 
evasion 	 2938.1127138174106 1.3947841908106253 
federal 	 151.9319369906863 1.859663761638546 
disputes 	 671.4890317215184 1.7042083395928078 
irs 	 98.96295040618962 1.9674775153143378 
audit 	 150.62861942977784 1.9302048252972284 
audited 	 1469.0563569087053 1.643443721207587 
process 	 236.44983858131718 1.764427924053333 
time 	 187.2670777654899 1.7042083395928078 
limits 	 3037.8803613807872 1.0707628795210014 
records 	 994.9287833644588 1.5512585580566591 
taxpayer 	 95.94776320325475 1.965879133464039 
rights 	 301.5857017341132 1.5512585580566591 
result 	 880.9922354824356 1.3947841908106253 
appealing 	 1586.1366645050014 1.4846367542693675 
court 	 68.21385382333342 1.9365804844121115 
district 	 309.1090963856862 1.8042751275574882 
claims 	 542.8122227277194 1.6766560683489888 
resources 	 1226.2315286777527 1.266984363057594 
saying 	 5773.0087875808385 0.7310865153490248 
life 	 1216.7020775821095 1.0707628795210014 
death 	 3553.954257194611 0.7310865153490248 
taxes 	 293.4416335004802 1.8402942635566188 
laws 	 776.4096958946138 1.4846367542693675 
affect 	 2205.8338624805533 1.0707628795210014 
people 	 575.3301953295535 1.3947841908106253 
touch 	 6714.890317215184 0.7310865153490248 
helpful 	 7042.984539493643 0.7310865153490248 
simple 	 5139.081845176207 0.7310865153490248 
easy 	 5430.578735228496 0.7310865153490248 
understand 	 2413.339392461751 1.0707628795210014 
unfortunately 	 7042.984539493643 0.7310865153490248 
system 	 423.6982380833133 1.4846367542693675 
exists 	 6433.840260304901 0.7310865153490248 
characteristics 	 4714.419660141842 0.7310865153490248 
unclear 	 6307.086604790711 0.7310865153490248 
written 	 432.525575862002 1.4846367542693675 
writing 	 2095.3804827555437 1.0707628795210014 
legislation 	 4608.231637567021 0.7310865153490248 
involves 	 6075.7607227615745 0.7310865153490248 
compromise 	 7042.984539493643 0.7310865153490248 
redrafting 	 11752.450855269642 0.7310865153490248 
bill 	 2205.8338624805533 1.0707628795210014 
author 	 5072.499197685169 0.7310865153490248 
sponsors 	 8233.435257705742 0.7310865153490248 
fully 	 5072.499197685169 0.7310865153490248 
created 	 3646.758923041082 0.7310865153490248 
perfectly 	 4514.884365015088 1.0707628795210014 
difficult 	 4885.310004549475 0.7310865153490248 
know 	 1221.3275011373687 1.3947841908106253 
apply 	 1736.0003990951805 1.266984363057594 
particular 	 927.789533766359 1.3947841908106253 
finally 	 2639.7136252185696 1.0707628795210014 
courts 	 631.2937196526567 1.6766560683489888 
jurisdictions 	 11752.450855269642 0.7310865153490248 
similar 	 1941.0242397365344 1.0707628795210014 
situations 	 2755.3765662331384 1.0707628795210014 
reach 	 5279.427250437139 0.7310865153490248 
completely 	 3357.445158607592 1.0707628795210014 
interpretations 	 6307.086604790711 0.7310865153490248 
interpretation 	 5208.001197285542 0.7310865153490248 
valid 	 5969.572700186753 0.7310865153490248 
jurisdiction 	 7230.173732629337 0.7310865153490248 
collectors 	 3463.7032642166364 1.266984363057594 
task 	 3216.9201301524504 1.0707628795210014 
collect 	 3153.5433023953556 1.0707628795210014 
help 	 1126.8491922534995 1.266984363057594 
ensure 	 2639.7136252185696 1.0707628795210014 
pays 	 2479.0339284604356 1.266984363057594 
fair 	 2755.3765662331384 1.0707628795210014 
share 	 1608.8929283078337 1.266984363057594 
effective 	 4108.915789780372 0.7310865153490248 
encourage 	 6433.840260304901 0.7310865153490248 
pay 	 328.93582502774876 1.764427924053333 
impression 	 7930.683322525007 0.7310865153490248 
cheating 	 10391.10979264991 0.7310865153490248 
noticed 	 7930.683322525007 0.7310865153490248 
punished 	 9029.768730030177 0.7310865153490248 
simply 	 2604.000598642771 1.0707628795210014 
threat 	 5594.340215184792 0.7310865153490248 
hang 	 7930.683322525007 0.7310865153490248 
return 	 124.22530459300164 1.865116750573555 
submitted 	 6714.890317215184 0.7310865153490248 
complexity 	 6872.09419508601 0.7310865153490248 
chapter 	 1690.833065895056 1.266984363057594 
describe 	 1989.8575667289176 1.266984363057594 
aspects 	 3711.158135065436 0.7310865153490248 
explains 	 5868.832670009604 0.7310865153490248 
consumers 	 2102.3622015969036 1.266984363057594 
manage 	 7042.984539493643 0.7310865153490248 
government 	 289.66919042669076 1.643443721207587 
calculate 	 9029.768730030177 0.7310865153490248 
everyone's 	 11752.450855269642 0.7310865153490248 
filed 	 1547.0049618858084 1.3947841908106253 
collection 	 1893.8811589579698 1.266984363057594 
assumes 	 3965.3416612625033 1.0707628795210014 
taxpayers 	 611.2417525088182 1.8147217801734616 
honest 	 4116.717628852871 1.0707628795210014 
reporting 	 5510.753132466277 0.7310865153490248 
income 	 294.6512287588651 1.8042751275574882 
