term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 199.59226185032685 1.7672896221942904 
logo_asm 	 598.7767855509805 1.433661672695707 
gif 	 25.745830045831628 1.8764573998055583 
subject 	 395.17922422975744 1.433661672695707 
index 	 97.19125375950544 1.6701257250778172 
anthropology 	 594.4992409467611 1.433661672695707 
ant 	 598.7767855509805 1.433661672695707 
idx 	 31.514567660577924 1.9592648954776914 
html 	 5.854944572627372 1.9740069819462047 
architecture 	 573.7047939579641 1.433661672695707 
arc 	 282.82526099913343 1.6701257250778172 
art 	 63.245248686888154 1.9058897212870156 
black 	 516.5632768930454 1.433661672695707 
studies 	 159.62092784771963 1.7672896221942904 
blk 	 598.7767855509805 1.433661672695707 
stu 	 598.7767855509805 1.433661672695707 
business 	 406.21682205765353 1.433661672695707 
bus 	 569.6595174805607 1.433661672695707 
ecology 	 594.4992409467611 1.433661672695707 
eco 	 594.4992409467611 1.433661672695707 
economics 	 565.6505219982669 1.433661672695707 
ecn 	 594.4992409467611 1.433661672695707 
education 	 242.74256344455836 1.6701257250778172 
edu 	 488.83345715205013 1.433661672695707 
film 	 553.8348560888013 1.433661672695707 
flm 	 598.7767855509805 1.433661672695707 
gen 	 106.96214168871991 1.853558061552008 
healthcare 	 590.2622423990802 1.433661672695707 
med 	 293.03251423135106 1.6701257250778172 
history 	 164.06901935702214 1.7672896221942904 
law 	 186.94474316578032 1.6701257250778172 
linguistics 	 590.2622423990802 1.433661672695707 
lin 	 586.0650284627021 1.433661672695707 
literature 	 561.6771625027579 1.433661672695707 
lit 	 594.4992409467611 1.433661672695707 
mass 	 505.96198949510523 1.433661672695707 
media 	 387.0762833168846 1.433661672695707 
mda 	 598.7767855509805 1.433661672695707 
medicine 	 549.9647020426291 1.433661672695707 
music 	 191.23493131932136 1.7672896221942904 
mus 	 594.4992409467611 1.433661672695707 
philosophy 	 95.61746565966068 1.8764573998055583 
phi 	 598.7767855509805 1.433661672695707 
political 	 423.30170418828186 1.433661672695707 
science 	 162.94448571735006 1.7672896221942904 
