term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 721.121930398832 1.355248900743899 
logo_asm 	 2163.3657911964956 0.8239841890708326 
gif 	 93.0190503893022 1.6156761430645863 
subject 	 475.92427079124406 1.355248900743899 
index 	 351.1496081020163 1.1671229495685609 
anthropology 	 2147.9111278054124 0.8239841890708326 
ant 	 2163.3657911964956 0.8239841890708326 
idx 	 113.86135743139451 1.8602619183187536 
html 	 21.15377065949263 1.9091723328744648 
architecture 	 2072.7813025550604 0.8239841890708326 
arc 	 1021.8407080841174 1.1671229495685609 
art 	 304.6713695132718 1.6156761430645863 
black 	 1866.330407566596 0.8239841890708326 
studies 	 192.23549476067652 1.7262492728252805 
blk 	 2163.3657911964956 0.8239841890708326 
stu 	 2163.3657911964956 0.8239841890708326 
business 	 1467.6513817071823 0.8239841890708326 
bus 	 2058.1658181903927 0.8239841890708326 
ecology 	 2147.9111278054124 0.8239841890708326 
eco 	 2147.9111278054124 0.8239841890708326 
economics 	 2043.6814161682348 0.8239841890708326 
ecn 	 2147.9111278054124 0.8239841890708326 
education 	 97.44698979939392 1.8530690208134366 
edu 	 1766.14325123168 0.8239841890708326 
film 	 2000.9917060031637 0.8239841890708326 
flm 	 2163.3657911964956 0.8239841890708326 
gen 	 386.4515857433616 1.5558799641880576 
healthcare 	 2132.6029563188245 0.8239841890708326 
med 	 1058.719262826917 1.1671229495685609 
history 	 444.58299708320595 1.474048173251438 
law 	 675.426756628043 1.1671229495685609 
linguistics 	 2132.6029563188245 0.8239841890708326 
lin 	 2117.438525653834 0.8239841890708326 
literature 	 289.9036808699118 1.6612811413281066 
lit 	 2147.9111278054124 0.8239841890708326 
mass 	 1828.0282170796306 0.8239841890708326 
media 	 1398.497086256753 0.8239841890708326 
mda 	 2163.3657911964956 0.8239841890708326 
medicine 	 1987.0089346730338 0.8239841890708326 
music 	 2072.7813025550604 0.8239841890708326 
mus 	 2147.9111278054124 0.8239841890708326 
philosophy 	 1036.3906512775302 1.1671229495685609 
phi 	 2163.3657911964956 0.8239841890708326 
political 	 1529.3786404118014 0.8239841890708326 
science 	 441.53581280792 1.474048173251438 
psi 	 2147.9111278054124 0.8239841890708326 
psychology 	 2132.6029563188245 0.8239841890708326 
psy 	 2132.6029563188245 0.8239841890708326 
religion 	 2058.1658181903927 0.8239841890708326 
rel 	 2147.9111278054124 0.8239841890708326 
sci 	 2087.5302635097455 0.8239841890708326 
shakespeare 	 2163.3657911964956 0.8239841890708326 
sha 	 1066.3014781594122 1.1671229495685609 
