term 	 tf-idf weight 	 BM25 ranking 
 law 	 615.6211676510708 1.2118065015605148 
leading 	 1134.3857778088993 1.2118065015605148 
attorneys 	 2096.453359661918 1.2118065015605148 
web 	 1510.3534369006684 1.2118065015605148 
header 	 2035.0844954827764 1.2118065015605148 
gif 	 63.58701648903382 1.7202715795036359 
webhead 	 2199.318149250035 1.2118065015605148 
appendix 	 2516.374375494081 1.2118065015605148 
community 	 189.06429630148324 1.8043950070492023 
resources 	 229.7623230923692 1.8043950070492023 
zone 	 241.10521545745453 1.877858715199022 
cook 	 1287.642904170902 1.509189922832196 
lake 	 349.4088932769863 1.8043950070492023 
counties 	 495.33120548017695 1.8043950070492023 
mchenry 	 1797.7992290630218 1.509189922832196 
kane 	 1127.954817600511 1.6436426523371803 
dupage 	 1198.5328193753478 1.6436426523371803 
northwestern 	 1797.7992290630218 1.509189922832196 
illinois 	 113.04848477926734 1.9218724598495802 
central 	 429.2915717340631 1.6436426523371803 
southern 	 602.9252521560925 1.6436426523371803 
specialized 	 1319.6630909030857 1.509189922832196 
african 	 1081.7042942106664 1.509189922832196 
american 	 163.2063745419449 1.7697772798149343 
domestic 	 267.0789183524695 1.8043950070492023 
abuse 	 375.3525040169408 1.7697772798149343 
assault 	 602.7630386436364 1.7202715795036359 
victim 	 1064.5849284570259 1.509189922832196 
services 	 61.011166023957784 1.9262988419117322 
gay 	 1028.4807110779745 1.6436426523371803 
lesbian 	 1127.954817600511 1.6436426523371803 
aids 	 270.4260735526666 1.8496193546527666 
hiv 	 1393.5099068331574 1.509189922832196 
arc 	 465.6809666562913 1.509189922832196 
southeast 	 659.8315454515429 1.7202715795036359 
asian 	 629.0935938735203 1.7202715795036359 
spanish 	 1032.5647417248422 1.509189922832196 
speaking 	 1081.7042942106664 1.509189922832196 
women 	 755.1767184503342 1.509189922832196 
crisis 	 185.25528177642633 1.8496193546527666 
intervention 	 688.3764944832282 1.6436426523371803 
talkline 	 4404.177102585772 1.2118065015605148 
help 	 211.140785513894 1.8043950070492023 
lines 	 1787.4409293295637 1.2118065015605148 
box 	 237.61197871030322 1.8496193546527666 
elk 	 4404.177102585772 1.2118065015605148 
grove 	 1127.954817600511 1.6436426523371803 
village 	 1830.7475373464426 1.2118065015605148 
talk 	 2276.863488774195 1.2118065015605148 
line 	 299.4098515355581 1.7202715795036359 
adults 	 2318.9320813603968 1.2118065015605148 
teen 	 1691.9322264007665 1.509189922832196 
kids 	 1485.9936164405308 1.509189922832196 
fax 	 58.21805062932077 1.9575582761739119 
information 	 101.89241483923446 1.8043950070492023 
referral 	 676.7728905603065 1.7697772798149343 
service 	 139.65859090699982 1.8496193546527666 
west 	 109.12694455950177 1.8971689361444544 
street 	 65.43618615529871 1.9472278130404692 
chicago 	 91.53737686732212 1.937005809766997 
phone 	 32.764471793949056 1.9748142065900147 
professional 	 1482.0422542114106 1.2118065015605148 
supported 	 2237.0700139192722 1.2118065015605148 
united 	 169.12864094975617 1.8043950070492023 
crusade 	 3595.5984581260436 1.2118065015605148 
mercy 	 3595.5984581260436 1.2118065015605148 
trained 	 2639.3261818061715 1.2118065015605148 
experienced 	 892.9532189790428 1.2118065015605148 
social 	 157.43725889375898 1.8043950070492023 
consultants 	 2971.9872328810616 1.2118065015605148 
link 	 1003.1090253009808 1.509189922832196 
people 	 862.4094170316728 1.2118065015605148 
qualified 	 2787.019813666315 1.2118065015605148 
providers 	 2575.285808341804 1.2118065015605148 
lutheran 	 2202.088551292886 1.509189922832196 
child 	 534.157836704939 1.6436426523371803 
family 	 628.2754194949778 1.509189922832196 
madison 	 677.3686185355386 1.7202715795036359 
river 	 1159.4660406801984 1.509189922832196 
forest 	 2411.0521545745455 1.2118065015605148 
toll 	 527.8652363612342 1.7697772798149343 
free 	 186.2723866625165 1.7697772798149343 
metro 	 2575.285808341804 1.2118065015605148 
connection 	 2163.4085884213328 1.2118065015605148 
telephone 	 1830.7475373464426 1.2118065015605148 
libertyville 	 4404.177102585772 1.2118065015605148 
hotline 	 1298.0069258978842 1.6436426523371803 
office 	 1207.1363121014608 1.2118065015605148 
county 	 158.77650171632936 1.888342560036624 
urban 	 133.99469634569917 1.829962855002994 
league 	 398.14568766661637 1.829962855002994 
avenue 	 455.37269775483895 1.7697772798149343 
waukegan 	 4404.177102585772 1.2118065015605148 
center 	 127.01065984856591 1.8652021492587991 
elgin 	 3894.0207776936527 1.2118065015605148 
red 	 938.3812600423522 1.509189922832196 
cross 	 1003.1090253009808 1.509189922832196 
arlington 	 1198.5328193753478 1.6436426523371803 
heights 	 957.9027093031377 1.6436426523371803 
northwest 	 1436.8540639547064 1.509189922832196 
highway 	 1485.9936164405308 1.509189922832196 
suburban 	 1797.7992290630218 1.509189922832196 
region 	 1689.161824357915 1.2118065015605148 
department 	 1415.6910468236076 1.2118065015605148 
human 	 567.1928889044497 1.509189922832196 
division 	 1876.7625200847044 1.2118065015605148 
farm 	 2199.318149250035 1.2118065015605148 
road 	 487.9186457742055 1.7202715795036359 
north 	 99.89380242893519 1.9047021109288667 
wheaton 	 3894.0207776936527 1.2118065015605148 
senior 	 989.2205846032929 1.509189922832196 
tdd 	 1436.8540639547064 1.509189922832196 
joliet 	 1947.0103888468263 1.509189922832196 
east 	 181.84748478183417 1.8496193546527666 
geneva 	 2873.7081279094127 1.2118065015605148 
rock 	 2575.285808341804 1.2118065015605148 
chapter 	 950.4479148412129 1.509189922832196 
church 	 1951.674583096822 1.2118065015605148 
rockford 	 973.5051944234132 1.7202715795036359 
main 	 660.2956062271614 1.509189922832196 
assistance 	 446.8602323323909 1.7202715795036359 
urbana 	 3383.864452801533 1.2118065015605148 
infoline 	 4404.177102585772 1.2118065015605148 
springfield 	 379.4772481290325 1.8043950070492023 
mclean 	 3595.5984581260436 1.2118065015605148 
bloomington 	 1947.0103888468263 1.509189922832196 
path 	 2709.4744741421546 1.2118065015605148 
call 	 695.369752395153 1.509189922832196 
south 	 261.9046669428042 1.7697772798149343 
champaign 	 1073.210266344758 1.6436426523371803 
civic 	 2873.7081279094127 1.2118065015605148 
plaza 	 3085.4421332339234 1.2118065015605148 
quincy 	 4404.177102585772 1.2118065015605148 
peoria 	 1797.7992290630218 1.509189922832196 
serving 	 2363.551803017293 1.2118065015605148 
tri 	 3595.5984581260436 1.2118065015605148 
tazewell 	 3894.0207776936527 1.2118065015605148 
woodford 	 3894.0207776936527 1.2118065015605148 
lebanon 	 1542.7210666169617 1.509189922832196 
edgemont 	 2202.088551292886 1.509189922832196 
hour 	 1118.5350069596361 1.509189922832196 
effingham 	 3894.0207776936527 1.2118065015605148 
elder 	 2873.7081279094127 1.2118065015605148 
catholic 	 2873.7081279094127 1.2118065015605148 
belleville 	 2202.088551292886 1.509189922832196 
belt 	 3219.6307990342743 1.2118065015605148 
serves 	 1099.6590746250174 1.509189922832196 
taylor 	 2516.374375494081 1.2118065015605148 
michigan 	 1159.4660406801984 1.509189922832196 
committee 	 1539.797363176351 1.2118065015605148 
black 	 850.5381919312784 1.2118065015605148 
concerns 	 2065.1294834496844 1.2118065015605148 
broadway 	 990.6624109603539 1.6436426523371803 
louis 	 2709.4744741421546 1.2118065015605148 
waukegon 	 4404.177102585772 1.2118065015605148 
william 	 1726.9136890271523 1.2118065015605148 
alton 	 1947.0103888468263 1.509189922832196 
coalition 	 1003.1090253009808 1.509189922832196 
violence 	 446.8602323323909 1.7202715795036359 
vine 	 3383.864452801533 1.2118065015605148 
provides 	 130.9523334714021 1.877858715199022 
emergency 	 2065.1294834496844 1.2118065015605148 
shelter 	 2787.019813666315 1.2118065015605148 
food 	 1586.297034769798 1.2118065015605148 
medical 	 1403.1095438711627 1.2118065015605148 
care 	 727.3899391273367 1.509189922832196 
counseling 	 386.48868022673287 1.8043950070492023 
victims 	 698.8177865539726 1.6436426523371803 
sexual 	 678.3614984942589 1.6436426523371803 
seventh 	 2787.019813666315 1.2118065015605148 
action 	 1482.0422542114106 1.2118065015605148 
rape 	 1258.1871877470405 1.509189922832196 
golf 	 3085.4421332339234 1.2118065015605148 
mst 	 4404.177102585772 1.2118065015605148 
parents 	 2129.1698569140517 1.2118065015605148 
bolingbrook 	 2202.088551292886 1.509189922832196 
manor 	 4404.177102585772 1.2118065015605148 
court 	 1354.8299439616042 1.2118065015605148 
term 	 1441.5182582047023 1.2118065015605148 
support 	 204.4337785773428 1.7697772798149343 
affected 	 926.6977390625866 1.509189922832196 
stopping 	 3383.864452801533 1.2118065015605148 
woman 	 2035.0844954827764 1.2118065015605148 
olney 	 4404.177102585772 1.2118065015605148 
legal 	 1256.5508389899555 1.2118065015605148 
southeastern 	 2709.4744741421546 1.2118065015605148 
university 	 1766.707163882075 1.2118065015605148 
alliance 	 1787.4409293295637 1.2118065015605148 
promotes 	 3085.4421332339234 1.2118065015605148 
individual 	 1236.3851939875033 1.2118065015605148 
rights 	 169.52678956948114 1.7202715795036359 
foundation 	 938.3812600423522 1.509189922832196 
halstead 	 4404.177102585772 1.2118065015605148 
persons 	 893.7204646647818 1.509189922832196 
pastoral 	 3595.5984581260436 1.2118065015605148 
network 	 915.3737686732213 1.509189922832196 
interfaith 	 4404.177102585772 1.2118065015605148 
midwest 	 3894.0207776936527 1.2118065015605148 
cleveland 	 3085.4421332339234 1.2118065015605148 
chinese 	 1099.6590746250174 1.509189922832196 
mutual 	 2199.318149250035 1.2118065015605148 
aid 	 1653.2522635292132 1.2118065015605148 
association 	 714.2456847297716 1.509189922832196 
argyle 	 4404.177102585772 1.2118065015605148 
employment 	 938.3812600423522 1.509189922832196 
organizing 	 2639.3261818061715 1.2118065015605148 
immigrants 	 1354.7372370710773 1.509189922832196 
refugees 	 1436.8540639547064 1.509189922832196 
ainslie 	 4404.177102585772 1.2118065015605148 
fosters 	 4404.177102585772 1.2118065015605148 
self 	 1331.8280719425832 1.2118065015605148 
sufficiency 	 3383.864452801533 1.2118065015605148 
vietnamese 	 3383.864452801533 1.2118065015605148 
immigration 	 2575.285808341804 1.2118065015605148 
youth 	 1159.4660406801984 1.509189922832196 
elderly 	 2276.863488774195 1.2118065015605148 
refugee 	 3595.5984581260436 1.2118065015605148 
businesses 	 2129.1698569140517 1.2118065015605148 
centro 	 4404.177102585772 1.2118065015605148 
hispano 	 4404.177102585772 1.2118065015605148 
sembrador 	 4404.177102585772 1.2118065015605148 
hispanic 	 1127.954817600511 1.6436426523371803 
mujeres 	 3894.0207776936527 1.2118065015605148 
latinas 	 3894.0207776936527 1.2118065015605148 
accion 	 3894.0207776936527 1.2118065015605148 
operates 	 2461.830907988942 1.2118065015605148 
program 	 434.20880683104764 1.509189922832196 
advocacy 	 1181.7759015086465 1.509189922832196 
parental 	 2516.374375494081 1.2118065015605148 
milwaukee 	 4404.177102585772 1.2118065015605148 
agency 	 1554.9731585575646 1.2118065015605148 
latino 	 3894.0207776936527 1.2118065015605148 
sheffield 	 4404.177102585772 1.2118065015605148 
oasis 	 3894.0207776936527 1.2118065015605148 
women's 	 234.49071860497352 1.7202715795036359 
market 	 1390.739504790306 1.2118065015605148 
kindred 	 4404.177102585772 1.2118065015605148 
spirit 	 2276.863488774195 1.2118065015605148 
ridge 	 3894.0207776936527 1.2118065015605148 
evanston 	 4404.177102585772 1.2118065015605148 
ywca 	 4404.177102585772 1.2118065015605148 
metropolitan 	 2873.7081279094127 1.2118065015605148 
lincoln 	 2709.4744741421546 1.2118065015605148 
matteson 	 4404.177102585772 1.2118065015605148 
transitions 	 3595.5984581260436 1.2118065015605148 
agenda 	 2639.3261818061715 1.2118065015605148 
suite 	 2971.9872328810616 1.2118065015605148 
protects 	 2787.019813666315 1.2118065015605148 
logo 	 1830.7475373464426 1.2118065015605148 
llalogo 	 2199.318149250035 1.2118065015605148 
home 	 328.69908206012923 1.2118065015605148 
page 	 361.28388028712845 1.2118065015605148 
index 	 320.05710410289043 1.2118065015605148 
html 	 144.60534246489078 1.509189922832196 
contents 	 1808.7757564682775 1.2118065015605148 
copyright 	 574.0281808972506 1.2118065015605148 
weblocator 	 1099.6590746250174 1.509189922832196 
http 	 322.9265034488142 1.2118065015605148 
www 	 320.05710410289043 1.2118065015605148 
com 	 355.25105962485304 1.2118065015605148 
research 	 844.6736190694843 1.2118065015605148 
corporation 	 1635.9338174353102 1.2118065015605148 
common 	 1320.5912124543229 1.2118065015605148 
credits 	 1951.674583096822 1.2118065015605148 
reserved 	 816.0318727097247 1.2118065015605148 
