term 	 tf-idf weight 	 BM25 ranking 
 nemzet 	 418.1602728906484 1.7174544665412217 
subject 	 3126.955069576403 0.48475816855228093 
subscribe__ 	 10569.277573230127 0.48475816855228093 
subs 	 5116.082733631115 0.7803707816519148 
magyar 	 283.7516137472257 1.7991523625492745 
siliconvalley 	 819.9245347751482 1.5574373841640323 
com 	 142.26936117449108 1.586696235689186 
mailto 	 513.8842987856658 1.230652824299332 
unsubscribe 	 10569.277573230127 0.48475816855228093 
unsubs 	 5284.6387866150635 0.7803707816519148 
www_page___ 	 10569.277573230127 0.48475816855228093 
http 	 1551.8900036663802 0.48475816855228093 
www 	 769.0502562581001 0.7803707816519148 
htmlx 	 10569.277573230127 0.48475816855228093 
disclaimer_ 	 5284.6387866150635 0.7803707816519148 
dissemination 	 10232.16546726223 0.48475816855228093 
information 	 587.5980510103896 1.230652824299332 
public 	 1271.741911151289 0.9794689374060415 
benefit 	 6991.245148623342 0.48475816855228093 
responsibility 	 6400.374851169724 0.48475816855228093 
content 	 7328.35725459124 0.48475816855228093 
assumed 	 9019.16988252663 0.48475816855228093 
eeeeeee 	 2051.791270607508 1.1226859191611407 
zzzzzzz 	 4103.582541215016 0.7803707816519148 
tttttttnn 	 8207.165082430032 0.48475816855228093 
eeee 	 4103.582541215016 0.7803707816519148 
vitacikk 	 10569.277573230127 0.48475816855228093 
level 	 2624.677910416223 0.7803707816519148 
szerkesztosegnek 	 5284.6387866150635 0.7803707816519148 
alairassal 	 10569.277573230127 0.48475816855228093 
signed 	 2567.0057994909907 0.9794689374060415 
alairas 	 9780.018832231766 0.48475816855228093 
nelkul 	 2735.7216941433444 0.9794689374060415 
noname 	 5284.6387866150635 0.7803707816519148 
editor 	 4453.4373682939795 0.7803707816519148 
lobby 	 11144.107026863756 0.48475816855228093 
hungarian 	 1113.3593420734949 1.4381029001632442 
lobbytokes 	 21165.182624790592 0.48475816855228093 
laszlo 	 2932.678459961217 0.9794689374060415 
felhivasa 	 18713.521047150065 0.48475816855228093 
cseh 	 12683.827044902757 0.48475816855228093 
tibor 	 2896.702265873019 1.1226859191611407 
tolmacsolasaban 	 21165.182624790592 0.48475816855228093 
szerkesztve 	 17279.39095977149 0.48475816855228093 
romania 	 3126.391757433632 0.9794689374060415 
betiltotta 	 21165.182624790592 0.48475816855228093 
evben 	 10232.16546726223 0.48475816855228093 
erdelyben 	 17279.39095977149 0.48475816855228093 
tartando 	 18713.521047150065 0.48475816855228093 
reformatusokvilagkonferenciajat 	 21165.182624790592 0.48475816855228093 
tiltakozzunk 	 18713.521047150065 0.48475816855228093 
urgent 	 6905.098945934506 0.7803707816519148 
action 	 3561.130063278369 0.7803707816519148 
world 	 653.60161543802 1.3149577431188497 
congress 	 2705.8719985298667 0.9794689374060415 
reformed 	 7736.3003642555905 0.7803707816519148 
churches 	 14827.729382130961 0.48475816855228093 
due 	 6803.395696487908 0.48475816855228093 
held 	 6683.485908211022 0.48475816855228093 
historically 	 10750.701955478893 0.48475816855228093 
significant 	 3773.605278771058 0.7803707816519148 
towns 	 15472.600728511181 0.48475816855228093 
transsylvania 	 4233.036524958118 1.230652824299332 
erdely 	 11830.836849941423 0.48475816855228093 
selected 	 4627.528637064217 0.7803707816519148 
view 	 5801.142847694112 0.48475816855228093 
role 	 4637.38703729883 0.48475816855228093 
ofprotestantism 	 21165.182624790592 0.48475816855228093 
historic 	 12376.067804490436 0.48475816855228093 
hungary 	 4689.587636150448 0.7803707816519148 
protestant 	 15472.600728511181 0.48475816855228093 
princes 	 18713.521047150065 0.48475816855228093 
ofindependent 	 21165.182624790592 0.48475816855228093 
sixteenth 	 18713.521047150065 0.48475816855228093 
century 	 7056.146052092754 0.48475816855228093 
bethlen 	 16261.85946950954 0.48475816855228093 
bocskay 	 21165.182624790592 0.48475816855228093 
rakoczys 	 21165.182624790592 0.48475816855228093 
known 	 6455.213158947433 0.48475816855228093 
leaders 	 3664.17862729562 0.7803707816519148 
europe 	 7258.315361844652 0.48475816855228093 
days 	 3736.372324604691 0.7803707816519148 
diet 	 14282.49842758195 0.48475816855228093 
oftorda 	 21165.182624790592 0.48475816855228093 
declared 	 11586.809063492075 0.48475816855228093 
time 	 3372.5236968255485 0.48475816855228093 
world's 	 12683.827044902757 0.48475816855228093 
history 	 3894.7122246025992 0.48475816855228093 
theconcept 	 21165.182624790592 0.48475816855228093 
religious 	 2797.7886559226567 0.9794689374060415 
freedom 	 3401.697848243954 0.7803707816519148 
reasons 	 7780.503889621703 0.48475816855228093 
hungarianprotestant 	 21165.182624790592 0.48475816855228093 
dignified 	 18713.521047150065 0.48475816855228093 
suitablelocation 	 21165.182624790592 0.48475816855228093 
church 	 9379.175272300896 0.48475816855228093 
peopledispersed 	 21165.182624790592 0.48475816855228093 
romanian 	 11144.107026863756 0.48475816855228093 
government 	 1043.340047392266 1.1226859191611407 
furious 	 21165.182624790592 0.48475816855228093 
anti 	 6864.9102904597885 0.48475816855228093 
campaign 	 7861.817815582462 0.48475816855228093 
forbidden 	 15472.600728511181 0.48475816855228093 
realization 	 14827.729382130961 0.48475816855228093 
boundariesof 	 21165.182624790592 0.48475816855228093 
accept 	 9379.175272300896 0.48475816855228093 
outbreak 	 14282.49842758195 0.48475816855228093 
biased 	 16261.85946950954 0.48475816855228093 
chauvinisticanti 	 21165.182624790592 0.48475816855228093 
attack 	 10396.706762562844 0.48475816855228093 
adds 	 13810.197891869013 0.48475816855228093 
insult 	 21165.182624790592 0.48475816855228093 
injury 	 11586.809063492075 0.48475816855228093 
mobilize 	 21165.182624790592 0.48475816855228093 
allreligions 	 21165.182624790592 0.48475816855228093 
protestants 	 18713.521047150065 0.48475816855228093 
catholics 	 18713.521047150065 0.48475816855228093 
pope 	 14827.729382130961 0.48475816855228093 
jews 	 11586.809063492075 0.48475816855228093 
moslims 	 21165.182624790592 0.48475816855228093 
buddhists 	 21165.182624790592 0.48475816855228093 
nonsense 	 21165.182624790592 0.48475816855228093 
please 	 6293.184830004746 0.48475816855228093 
start 	 1271.741911151289 0.9794689374060415 
act 	 6455.213158947433 0.48475816855228093 
immediately 	 9641.29516980861 0.48475816855228093 
religous 	 21165.182624790592 0.48475816855228093 
political 	 1674.740635026793 0.7803707816519148 
connections 	 14282.49842758195 0.48475816855228093 
send 	 3737.4863403895592 0.48475816855228093 
mail 	 3120.3919357913514 0.7803707816519148 
fax 	 8393.36596776797 0.48475816855228093 
protests 	 13393.599294752385 0.48475816855228093 
newspapers 	 10750.701955478893 0.48475816855228093 
rumor 	 17279.39095977149 0.48475816855228093 
source 	 8692.44544922323 0.48475816855228093 
bishop 	 17279.39095977149 0.48475816855228093 
tokes 	 12092.956747449136 0.48475816855228093 
called 	 2063.049306010029 0.9794689374060415 
thepresident 	 18713.521047150065 0.48475816855228093 
american 	 3921.60969262812 0.48475816855228093 
coalition 	 4820.647584904305 0.7803707816519148 
friday 	 14282.49842758195 0.48475816855228093 
morning 	 13020.939150870654 0.48475816855228093 
cseh73171 	 21165.182624790592 0.48475816855228093 
compuserve 	 13020.939150870654 0.48475816855228093 
regionalis 	 9135.147485851548 0.48475816855228093 
hirekslovak 	 18713.521047150065 0.48475816855228093 
language 	 2541.092668469554 0.9794689374060415 
law 	 422.64209432877277 1.3826111024030736 
court 	 3255.4575487718707 0.7803707816519148 
opposition 	 3972.52259246116 0.7803707816519148 
christiandemocratic 	 17279.39095977149 0.48475816855228093 
movement 	 2947.1135836063313 0.7803707816519148 
kdh 	 9356.760523575032 0.7803707816519148 
christian 	 8692.44544922323 0.48475816855228093 
democratic 	 7399.814230373307 0.48475816855228093 
mkdh 	 10582.591312395296 0.7803707816519148 
agreed 	 9641.29516980861 0.48475816855228093 
february 	 587.1820874016737 1.7040800166148085 
theconstitutional 	 21165.182624790592 0.48475816855228093 
pravda 	 12683.827044902757 0.48475816855228093 
reported 	 806.4794846494058 1.4844419918347924 
