term 	 tf-idf weight 	 BM25 ranking 
 copyright 	 205.8234197537832 1.6217739296311922 
wireless 	 404.91302165983325 1.8871496575253748 
business 	 171.30172473795903 1.7144072914688937 
finance 	 699.7920142381132 1.6217739296311922 
newsnet 	 1396.23924352358 1.6217739296311922 
january 	 612.3468660597358 1.6217739296311922 
sample 	 9715.08578432221 0.6002085625550716 
issue 	 1873.1464837249378 0.9233237228713409 
headlines 	 12133.177025738105 0.6002085625550716 
stocks 	 1717.326936040068 1.4402001783031706 
despite 	 2271.949318175689 1.1252443773892415 
december's 	 7895.803922366748 0.9233237228713409 
downdraft 	 7895.803922366748 0.9233237228713409 
words 	 788.2104839275635 1.5883976299773335 
austrian 	 3687.7182018135527 1.1252443773892415 
gsm 	 877.3115469296387 1.770592664210813 
license 	 1538.9898659904939 1.4402001783031706 
awarded 	 3077.9797319809877 1.1252443773892415 
special 	 4362.8025597178685 0.6002085625550716 
report 	 1387.425250401044 1.1252443773892415 
survey 	 6409.044310462933 0.6002085625550716 
ahead 	 4996.5660925716065 0.9233237228713409 
late 	 1530.8671651493396 1.2633889509362115 
signposts 	 6981.1962176179 0.9233237228713409 
industry 	 297.3054108002237 1.7144072914688937 
trends 	 3242.771210135723 0.9233237228713409 
financial 	 1108.2950159419229 1.2633889509362115 
intercel 	 1754.6230938592773 1.5883976299773335 
prepares 	 5531.5773027203295 0.9233237228713409 
launch 	 3238.361928107403 1.1252443773892415 
offerings 	 2255.943977819071 1.5001861749643932 
stock 	 886.7367944185088 1.548560677174281 
notes 	 1164.0817526934375 1.2633889509362115 
cellular 	 436.3247636011188 1.8641405590323517 
operator 	 1427.5903121633162 1.5001861749643932 
closes 	 3490.59810880895 1.2633889509362115 
track 	 2942.3785172929424 1.1252443773892415 
debt 	 2771.5859432563802 1.1252443773892415 
financing 	 1908.5867025802252 1.2633889509362115 
technology 	 260.158511430533 1.7813467169596162 
lack 	 2872.912767114811 0.9233237228713409 
handsets 	 3158.321568946699 1.3638517799779162 
seen 	 1246.658136257343 1.2633889509362115 
impeding 	 6981.1962176179 0.9233237228713409 
