term 	 tf-idf weight 	 BM25 ranking 
 car 	 173.04350623467732 1.8881993321130068 
graphic 	 229.0721238561188 1.8881993321130068 
images 	 85.15248137623904 1.9240510304892324 
gif 	 15.435978640453861 1.9240510304892324 
auto101 	 236.32191313901694 1.9240510304892324 
auto101_auto 	 801.8474616120835 1.7882363244086714 
text 	 350.629820393896 1.7882363244086714 
version 	 304.2288046737063 1.7882363244086714 
please 	 238.41865061369407 1.7882363244086714 
select 	 507.41936824903013 1.7882363244086714 
visit 	 341.6931762110739 1.7882363244086714 
service 	 101.70788685618464 1.8881993321130068 
department 	 128.87404909943166 1.8881993321130068 
submit 	 414.53764605399743 1.7882363244086714 
question 	 262.4503350535735 1.7882363244086714 
cgi 	 207.26882302699872 1.8881993321130068 
ais 	 280.87584636776205 1.8881993321130068 
secure 	 207.26882302699872 1.8881993321130068 
graphical 	 801.8474616120835 1.7882363244086714 
index 	 58.27126623612407 1.7882363244086714 
page 	 32.88861410222501 1.8881993321130068 
html 	 2.9252892346460397 1.9869281752398045 
automotive 	 60.066186882137735 1.9708267366558834 
body 	 285.92768298293566 1.7882363244086714 
overview 	 38.7581831962449 1.9612905291390677 
bodytext 	 801.8474616120835 1.7882363244086714 
emergencies 	 561.7516927355241 1.7882363244086714 
tips 	 164.43368638362713 1.9240510304892324 
emerotext 	 801.8474616120835 1.7882363244086714 
engines 	 507.41936824903013 1.7882363244086714 
engtext 	 801.8474616120835 1.7882363244086714 
facttext 	 801.8474616120835 1.7882363244086714 
fuel 	 448.2137794436389 1.7882363244086714 
systems 	 52.8367706196684 1.942492316706286 
fueltext 	 801.8474616120835 1.7882363244086714 
history 	 147.55200398550986 1.7882363244086714 
histtext 	 801.8474616120835 1.7882363244086714 
brake 	 801.8474616120835 1.7882363244086714 
braketext 	 801.8474616120835 1.7882363244086714 
cooling 	 586.1827813459141 1.7882363244086714 
system 	 48.18021376711132 1.9240510304892324 
coolingtext 	 801.8474616120835 1.7882363244086714 
drive 	 407.29263840378053 1.7882363244086714 
line 	 218.04847883567822 1.7882363244086714 
drivetext 	 801.8474616120835 1.7882363244086714 
electrical 	 468.8699705404915 1.7882363244086714 
electronics 	 541.0955016386715 1.7882363244086714 
electext 	 801.8474616120835 1.7882363244086714 
emission 	 654.6334149305568 1.7882363244086714 
control 	 188.8361904926302 1.7882363244086714 
exhtext 	 801.8474616120835 1.7882363244086714 
environment 	 244.5571284418875 1.7882363244086714 
environmental 	 300.9997327621122 1.7882363244086714 
envrotext 	 801.8474616120835 1.7882363244086714 
suspenion 	 801.8474616120835 1.7882363244086714 
susptext 	 801.8474616120835 1.7882363244086714 
auto 	 458.1442477122376 1.7882363244086714 
insight 	 458.1442477122376 1.7882363244086714 
program 	 158.10864161782712 1.7882363244086714 
autointext 	 801.8474616120835 1.7882363244086714 
auto101_buttons 	 400.92373080604176 1.8881993321130068 
maps 	 468.8699705404915 1.7882363244086714 
map 	 355.3320572486062 1.7882363244086714 
home 	 29.92233491579981 1.8881993321130068 
copyright 	 104.51056554379292 1.7882363244086714 
information 	 111.30638794938112 1.7882363244086714 
mailto 	 97.34308176036079 1.7882363244086714 
webmaster 	 480.5294950571019 1.7882363244086714 
autoshop 	 586.1827813459141 1.7882363244086714 
online 	 438.96873466438734 1.7882363244086714 
com 	 32.33943069954504 1.8881993321130068 
site 	 267.32359937247077 1.7882363244086714 
created 	 248.81145401604124 1.7882363244086714 
periscope 	 586.1827813459141 1.7882363244086714 
marketing 	 314.41091620874784 1.7882363244086714 
communications 	 143.55170692345254 1.7882363244086714 
http 	 58.79368405182215 1.7882363244086714 
www 	 58.27126623612407 1.7882363244086714 
mpls 	 586.1827813459141 1.7882363244086714 
modified 	 400.41933695584873 1.7882363244086714 
january 	 310.9302010307109 1.7882363244086714 
