term 	 tf-idf weight 	 BM25 ranking 
 united 	 193.0272532578739 1.7797983399694934 
flag 	 265.069819234568 1.883484969183682 
sailing 	 214.55662291314064 1.9207850235521318 
school 	 86.65075512996461 1.9207850235521318 
vessels 	 182.20975448700986 1.9207850235521318 
westward_ 	 279.2503597654022 1.9207850235521318 
corwith 	 279.2503597654022 1.9207850235521318 
cramer_ 	 209.43776982405168 1.9399946018893386 
ssv 	 209.43776982405168 1.9399946018893386 
fly 	 530.139638469136 1.7797983399694934 
inspected 	 740.7104740178144 1.7797983399694934 
certificated 	 837.7510792962067 1.7797983399694934 
coast 	 234.14152657503524 1.883484969183682 
guard 	 586.904753604279 1.7797983399694934 
required 	 290.0678585362662 1.7797983399694934 
meet 	 145.0339292681331 1.883484969183682 
safety 	 105.95032998586785 1.9207850235521318 
standards 	 301.7412837877333 1.7797983399694934 
passenger 	 643.669868739422 1.7797983399694934 
vessel 	 370.3552370089072 1.883484969183682 
comparable 	 530.139638469136 1.7797983399694934 
route 	 515.3891662770403 1.7797983399694934 
ships 	 565.3236584284629 1.7797983399694934 
exceed 	 515.3891662770403 1.7797983399694934 
requirements 	 307.9645305476501 1.7797983399694934 
class 	 284.5769586948069 1.7797983399694934 
operational 	 458.6240511418972 1.7797983399694934 
fully 	 361.5834458635049 1.7797983399694934 
equipped 	 612.4297715554326 1.7797983399694934 
modern 	 235.1819662476229 1.7797983399694934 
navigational 	 837.7510792962067 1.7797983399694934 
equipment 	 348.2400206908994 1.7797983399694934 
built 	 123.7474826238927 1.9207850235521318 
guard's 	 837.7510792962067 1.7797983399694934 
regulations 	 361.5834458635049 1.7797983399694934 
return 	 106.26197134228246 1.883484969183682 
sea 	 112.01947597078374 1.9207850235521318 
home 	 62.524281913611546 1.7797983399694934 
page 	 68.72247722852987 1.7797983399694934 
bilboard 	 683.9453588826713 1.7797983399694934 
index 	 60.880427410875896 1.7797983399694934 
htm 	 91.84841566566531 1.7797983399694934 
owner 	 449.5886581826373 1.7797983399694934 
operator 	 530.139638469136 1.7797983399694934 
education 	 76.02675365153952 1.883484969183682 
association 	 135.8619508996848 1.883484969183682 
box 	 180.79172293175245 1.883484969183682 
woods 	 251.0228705522174 1.883484969183682 
hole 	 341.97267944133563 1.883484969183682 
displacement 	 740.7104740178144 1.7797983399694934 
tons 	 293.4523768021395 1.883484969183682 
construction 	 336.05842791235125 1.7797983399694934 
steel 	 251.0228705522174 1.883484969183682 
abeking 	 837.7510792962067 1.7797983399694934 
rasmussen 	 740.7104740178144 1.7797983399694934 
lemwerder 	 837.7510792962067 1.7797983399694934 
germany 	 317.8509899576036 1.7797983399694934 
astace 	 837.7510792962067 1.7797983399694934 
shipyard 	 740.7104740178144 1.7797983399694934 
bilbao 	 837.7510792962067 1.7797983399694934 
spain 	 449.5886581826373 1.7797983399694934 
length 	 239.32908462579576 1.883484969183682 
feet 	 57.32800639273715 1.9695403653183248 
deck 	 837.7510792962067 1.7797983399694934 
draft 	 449.5886581826373 1.7797983399694934 
inches 	 370.3552370089072 1.883484969183682 
beam 	 612.4297715554326 1.7797983399694934 
sail 	 643.669868739422 1.7797983399694934 
auxiliary 	 612.4297715554326 1.7797983399694934 
engine 	 546.6292634610296 1.7797983399694934 
horsepower 	 370.3552370089072 1.883484969183682 
cummins 	 418.87553964810337 1.883484969183682 
diesel 	 321.834934369711 1.883484969183682 
complement 	 683.9453588826713 1.7797983399694934 
persons 	 170.00117534384438 1.883484969183682 
operation 	 332.22257152601526 1.7797983399694934 
world 	 77.61172702402273 1.883484969183682 
oceans 	 306.2148857777163 1.883484969183682 
classification 	 458.6240511418972 1.7797983399694934 
american 	 77.61172702402273 1.883484969183682 
bureau 	 220.5506055641682 1.883484969183682 
shipping 	 234.14152657503524 1.883484969183682 
rig 	 837.7510792962067 1.7797983399694934 
staysail 	 837.7510792962067 1.7797983399694934 
schooner 	 837.7510792962067 1.7797983399694934 
brigantine 	 837.7510792962067 1.7797983399694934 
top 	 130.77123828127145 1.7797983399694934 
document 	 371.2424478716781 1.7797983399694934 
