term 	 tf-idf weight 	 BM25 ranking 
document 	 835.2955077112757 1.5644845329409613 
abuses 	 1192.814186555556 1.5644845329409613 
suspected 	 1129.6029174849784 1.5644845329409613 
belonging 	 1229.9158427873167 1.5644845329409613 
armed 	 992.4777250387568 1.5644845329409613 
accused 	 824.2417419707257 1.5644845329409613 
supporting 	 846.7513156251013 1.5644845329409613 
december 	 765.0052890472997 1.5644845329409613 
example 	 555.7950012859914 1.5644845329409613 
director 	 747.5007859335343 1.5644845329409613 
minister 	 238.3882424682027 1.8301742664208671 
justice 	 336.07171693889825 1.7556362144179616 
claimed 	 957.4416499790362 1.5644845329409613 
allegations 	 367.39811124441496 1.8301742664208671 
aim 	 1053.6368695876586 1.5644845329409613 
undermining 	 1666.5985665400822 1.5644845329409613 
forces 	 336.07171693889825 1.7556362144179616 
struggle 	 813.562753192886 1.5644845329409613 
terrorism 	 1102.194333733245 1.5644845329409613 
statements 	 1031.9041150692688 1.5644845329409613 
decades 	 1076.9808808160808 1.5644845329409613 
documented 	 1159.6256241233407 1.5644845329409613 
widespread 	 1192.814186555556 1.5644845329409613 
systematic 	 1129.6029174849784 1.5644845329409613 
ill 	 1011.5744809109339 1.5644845329409613 
treatment 	 516.6412205325545 1.5644845329409613 
factors 	 590.014661201872 1.5644845329409613 
contribute 	 1076.9808808160808 1.5644845329409613 
gross 	 1102.194333733245 1.5644845329409613 
abuse 	 803.2339590036439 1.5644845329409613 
unchanged 	 1666.5985665400822 1.5644845329409613 
principal 	 1031.9041150692688 1.5644845329409613 
incommunicado 	 1884.9399284164651 1.5644845329409613 
detention 	 1377.9669859997234 1.5644845329409613 
failure 	 692.9201937322127 1.5644845329409613 
judicial 	 925.9153605335867 1.5644845329409613 
system 	 339.7783732083597 1.5644845329409613 
investigate 	 974.4728246791731 1.5644845329409613 
complete 	 700.1618919729927 1.5644845329409613 
impunity 	 1538.8770574860105 1.5644845329409613 
enjoyed 	 1271.9782314640413 1.5644845329409613 
protected 	 1159.6256241233407 1.5644845329409613 
ranking 	 1320.5356956096277 1.5644845329409613 
gendarmerie 	 1884.9399284164651 1.5644845329409613 
prosecutors 	 1271.9782314640413 1.5644845329409613 
courts 	 911.2615556085955 1.5644845329409613 
turkish 	 596.407093277778 1.7556362144179616 
law 	 263.4791682202273 1.5644845329409613 
send 	 166.42750879597276 1.7556362144179616 
letters 	 538.4904404080404 1.7556362144179616 
highlighting 	 1320.5356956096277 1.5644845329409613 
campaign 	 700.1618919729927 1.5644845329409613 
add 	 957.4416499790362 1.5644845329409613 
voice 	 883.8529718568622 1.5644845329409613 
prime 	 353.786999328602 1.7556362144179616 
prompt 	 1884.9399284164651 1.5644845329409613 
impartial 	 1666.5985665400822 1.5644845329409613 
investigation 	 640.2981570633154 1.5644845329409613 
inflicting 	 1884.9399284164651 1.5644845329409613 
brought 	 824.2417419707257 1.5644845329409613 
basbakanlik 	 1884.9399284164651 1.5644845329409613 
ankara 	 1666.5985665400822 1.5644845329409613 
fax 	 747.5007859335343 1.5644845329409613 
home 	 140.67963430562597 1.5644845329409613 
page 	 77.3127868820961 1.7556362144179616 
index 	 136.98096167447076 1.5644845329409613 
html 	 123.77902955554511 1.5644845329409613 
webmaster 	 564.8014587424892 1.7556362144179616 
iol 	 512.9590191620035 1.8301742664208671 
mailto 	 228.8288862277138 1.5644845329409613 
october 	 678.9178885224 1.5644845329409613 
ireland 	 1031.9041150692688 1.5644845329409613 
line 	 512.5766480092435 1.5644845329409613 
http 	 138.2090334054028 1.5644845329409613 
www 	 136.98096167447076 1.5644845329409613 
