term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 541.1763341445104 1.473808188078436 
logo_asm 	 1623.529002433531 0.9656769067728296 
gif 	 69.80748549339583 1.6970518903563119 
subject 	 1071.4926616699463 0.9656769067728296 
index 	 263.5252786499342 1.3024708181359559 
anthropology 	 1611.9308278019564 0.9656769067728296 
ant 	 1623.529002433531 0.9656769067728296 
idx 	 85.44889486492269 1.8932707401757702 
html 	 15.87515172712388 1.9310557681924942 
architecture 	 1555.5485688524664 0.9656769067728296 
arc 	 766.8550700916102 1.3024708181359559 
art 	 457.2900307740996 1.473808188078436 
black 	 1400.6145225824857 0.9656769067728296 
studies 	 324.5982626701949 1.5775713274839733 
blk 	 1623.529002433531 0.9656769067728296 
stu 	 1623.529002433531 0.9656769067728296 
business 	 1101.4201081294766 0.9656769067728296 
bus 	 1544.5801682023257 0.9656769067728296 
ecology 	 1611.9308278019564 0.9656769067728296 
eco 	 1611.9308278019564 0.9656769067728296 
economics 	 766.8550700916102 1.3024708181359559 
ecn 	 1611.9308278019564 0.9656769067728296 
education 	 1316.3489346523702 0.9656769067728296 
edu 	 1325.4276287881091 0.9656769067728296 
film 	 1501.6730326166157 0.9656769067728296 
flm 	 1623.529002433531 0.9656769067728296 
gen 	 290.01815598820696 1.6471517397703381 
healthcare 	 1600.4425901290494 0.9656769067728296 
med 	 794.5311124125222 1.3024708181359559 
history 	 266.9149684036387 1.6471517397703381 
law 	 506.8837331474849 1.3024708181359559 
linguistics 	 1600.4425901290494 0.9656769067728296 
lin 	 1589.0622248250445 0.9656769067728296 
literature 	 1522.936735913518 0.9656769067728296 
lit 	 1611.9308278019564 0.9656769067728296 
mass 	 1371.8700923222987 0.9656769067728296 
media 	 1049.5222715437676 0.9656769067728296 
mda 	 1623.529002433531 0.9656769067728296 
medicine 	 1491.1794605719608 0.9656769067728296 
music 	 1555.5485688524664 0.9656769067728296 
mus 	 1611.9308278019564 0.9656769067728296 
philosophy 	 1555.5485688524664 0.9656769067728296 
phi 	 1623.529002433531 0.9656769067728296 
political 	 104.34038346068694 1.8225369161527463 
science 	 441.8092095960364 1.473808188078436 
psi 	 1611.9308278019564 0.9656769067728296 
psychology 	 1600.4425901290494 0.9656769067728296 
psy 	 1600.4425901290494 0.9656769067728296 
religion 	 514.8600560674419 1.473808188078436 
rel 	 1611.9308278019564 0.9656769067728296 
sci 	 1566.6171389311528 0.9656769067728296 
shakespeare 	 1623.529002433531 0.9656769067728296 
sha 	 800.2212950645247 1.3024708181359559 
sociology 	 1611.9308278019564 0.9656769067728296 
soc 	 1611.9308278019564 0.9656769067728296 
sports 	 1533.7101401832203 0.9656769067728296 
recreation 	 1566.6171389311528 0.9656769067728296 
spt 	 1577.7877249183207 0.9656769067728296 
urban 	 772.2900841011628 1.3024708181359559 
urb 	 1623.529002433531 0.9656769067728296 
women's 	 1544.5801682023257 0.9656769067728296 
wom 	 1623.529002433531 0.9656769067728296 
home 	 541.2816405664084 0.9656769067728296 
page 	 297.470151432065 1.3024708181359559 
topic 	 1600.4425901290494 0.9656769067728296 
search 	 735.2305036702445 1.3024708181359559 
custom 	 788.8938624591603 1.3024708181359559 
europe 	 177.65415038078513 1.8578621242162927 
specific 	 653.6688703627491 1.3024708181359559 
paper 	 347.73927524192084 1.5775713274839733 
click 	 745.5897302859804 1.3024708181359559 
catalog 	 1589.0622248250445 0.9656769067728296 
button 	 1450.090779941035 0.9656769067728296 
title 	 700.3072612912429 1.3024708181359559 
description 	 1480.7759632179943 0.9656769067728296 
written 	 1334.5748420181935 0.9656769067728296 
pgs 	 29.850570885221412 1.961101690311365 
pages 	 1410.34951467957 0.9656769067728296 
footnotes 	 1611.9308278019564 0.9656769067728296 
sources 	 1410.34951467957 0.9656769067728296 
price 	 695.4785504838417 1.3024708181359559 
hungary's 	 2173.140850780625 1.3024708181359559 
foreign 	 262.8357331976456 1.7345868771743633 
policy 	 214.05093296998655 1.7872948216206324 
examination 	 463.4654622834059 1.5775713274839733 
hungarian 	 3052.058857999606 0.9656769067728296 
world 	 223.96526941217985 1.6970518903563119 
war 	 333.9469939609736 1.6970518903563119 
result 	 724.8897416189491 1.473808188078436 
changing 	 2487.158105330992 0.9656769067728296 
series 	 1375.840713673627 1.3024708181359559 
personalities 	 4589.494584461377 0.9656769067728296 
ideologies 	 4894.087671537835 0.9656769067728296 
shifting 	 4894.087671537835 0.9656769067728296 
relationship 	 446.34226257361314 1.5775713274839733 
soviet 	 213.9699133697526 1.8477607095160156 
union 	 454.0303297629643 1.6471517397703381 
british 	 330.9535351508986 1.7872948216206324 
relations 	 718.8144391636746 1.473808188078436 
period 	 2331.2738434106145 0.9656769067728296 
circumstances 	 2612.2173996480915 0.9656769067728296 
confusion 	 4346.28170156125 0.9656769067728296 
attempts 	 2535.6445708827955 0.9656769067728296 
realign 	 7252.530772192875 0.9656769067728296 
rest 	 3749.400201622723 0.9656769067728296 
western 	 427.6974867038867 1.6471517397703381 
nato 	 937.4313523612478 1.473808188078436 
entering 	 3621.7032566454377 0.9656769067728296 
common 	 1087.3346124284235 1.3024708181359559 
market 	 763.3950542598963 1.473808188078436 
inevitable 	 4732.2476236769135 0.9656769067728296 
loosening 	 7252.530772192875 0.9656769067728296 
ties 	 4143.812150949492 0.9656769067728296 
rise 	 927.2029579355947 1.473808188078436 
communism 	 1323.457976152332 1.473808188078436 
west 	 308.06333107014626 1.7345868771743633 
position 	 586.3400621637095 1.473808188078436 
focuses 	 1208.941053878487 1.3024708181359559 
ambiguous 	 6412.436389354221 0.9656769067728296 
communist 	 646.5379697300709 1.5775713274839733 
party 	 201.0876795600866 1.8225369161527463 
italy 	 626.0559091236685 1.6471517397703381 
french 	 420.4927030953865 1.7345868771743633 
students' 	 6412.436389354221 0.9656769067728296 
objectives 	 1438.0491310340374 1.3024708181359559 
folly 	 6412.436389354221 0.9656769067728296 
valid 	 3683.8707294431492 0.9656769067728296 
intentions 	 4461.797639484092 0.9656769067728296 
examines 	 180.39211138150344 1.7872948216206324 
efforts 	 2290.1851627796887 0.9656769067728296 
educational 	 2511.158889613962 0.9656769067728296 
reform 	 1231.8116926360924 1.3024708181359559 
eventual 	 4346.28170156125 0.9656769067728296 
repression 	 4461.797639484092 0.9656769067728296 
intervention 	 1133.5765099370549 1.473808188078436 
garibaldi 	 3206.2181946771107 1.3024708181359559 
enemies 	 5080.918295488472 0.9656769067728296 
hibbert 	 6412.436389354221 0.9656769067728296 
reviews 	 2586.1518789202837 0.9656769067728296 
study 	 735.2305036702445 1.3024708181359559 
contending 	 5301.892022322745 0.9656769067728296 
main 	 2174.669224856847 0.9656769067728296 
asset 	 4732.2476236769135 0.9656769067728296 
wisdom 	 4589.494584461377 0.9656769067728296 
