term 	 tf-idf weight 	 BM25 ranking 
 mkext 	 2248.5853675540793 1.453924638525459 
gif 	 73.436092412607 1.6837942812164712 
morrison 	 445.4187862175331 1.8283260710860811 
knudsen 	 519.0656741520273 1.8283260710860811 
plaza 	 1781.6751448701325 1.453924638525459 
box 	 1097.6640320856397 1.453924638525459 
boise 	 1124.2926837770397 1.6837942812164712 
idaho 	 415.25253932162184 1.8602619183187536 
telex 	 2248.5853675540793 1.453924638525459 
phone 	 964.9047909427252 1.453924638525459 
fax 	 1008.5328064182605 1.453924638525459 
news 	 387.8238044320977 1.6837942812164712 
release 	 1070.235160602172 1.453924638525459 
information 	 176.51199581524992 1.6837942812164712 
contact 	 686.1575819935719 1.453924638525459 
brent 	 1953.9978158161025 1.453924638525459 
brandon 	 2248.5853675540793 1.453924638525459 
vice 	 1229.4798766147717 1.453924638525459 
president 	 359.86382840199485 1.6837942812164712 
corporate 	 1057.1572056688017 1.453924638525459 
communications 	 455.2945928542338 1.453924638525459 
december 	 516.0749965795276 1.6837942812164712 
wins 	 1781.6751448701325 1.453924638525459 
role 	 557.2206646457458 1.453924638525459 
nuclear 	 176.19286761146697 1.8821795988624719 
cleanup 	 2248.5853675540793 1.453924638525459 
job 	 1057.1572056688017 1.453924638525459 
inel 	 321.2264810791542 1.8981539747716425 
corporation 	 188.93257402445838 1.8602619183187536 
nyse 	 2543.172919292056 1.453924638525459 
team 	 172.9411253603096 1.8981539747716425 
led 	 487.69957564681647 1.6837942812164712 
bnfl 	 195.62868609938894 1.9438399058700568 
perform 	 1269.9867030316097 1.453924638525459 
engineering 	 238.50000827883582 1.8602619183187536 
construction 	 204.03547408964184 1.8602619183187536 
services 	 149.73018835702953 1.8283260710860811 
totaling 	 1953.9978158161025 1.453924638525459 
largest 	 1070.235160602172 1.453924638525459 
privatization 	 1564.5742547695866 1.453924638525459 
effort 	 1112.0721915478046 1.453924638525459 
undertaken 	 1659.4102640781257 1.453924638525459 
national 	 484.3934075471546 1.453924638525459 
laboratory 	 1364.8227123401489 1.453924638525459 
department 	 817.4846398098277 1.453924638525459 
energy 	 906.8601885652811 1.453924638525459 
doe 	 619.7206021691877 1.777468568960344 
total 	 487.69957564681647 1.6837942812164712 
life 	 526.5767647376747 1.453924638525459 
cycle 	 614.7399383073858 1.6837942812164712 
cost 	 863.8943388949493 1.453924638525459 
project 	 467.4461624383975 1.6837942812164712 
involves 	 1314.764922186186 1.453924638525459 
design 	 199.01288175459968 1.8283260710860811 
operation 	 504.26640320913026 1.6837942812164712 
advanced 	 356.7450535340573 1.777468568960344 
mixed 	 391.14356369239664 1.8283260710860811 
waste 	 50.441161563423634 1.9691833379070514 
treatment 	 99.57937357203431 1.8981539747716425 
facility 	 170.357148770597 1.8981539747716425 
amwtp 	 508.6345838584112 1.8602619183187536 
meet 	 440.2815709925469 1.6837942812164712 
milestones 	 2543.172919292056 1.453924638525459 
agreed 	 1158.4818906329263 1.453924638525459 
getting 	 1192.500041394179 1.453924638525459 
addition 	 944.6628701222919 1.453924638525459 
includes 	 581.7466996345206 1.453924638525459 
science 	 464.7745397978106 1.453924638525459 
applications 	 997.198801408342 1.453924638525459 
international 	 286.70654964723036 1.6837942812164712 
saic 	 1271.586459646028 1.6837942812164712 
bel 	 929.5809032537817 1.6837942812164712 
gts 	 1271.586459646028 1.6837942812164712 
duratek 	 1271.586459646028 1.6837942812164712 
manufacturing 	 1291.7863531463188 1.453924638525459 
sciences 	 1524.0674283527485 1.453924638525459 
msc 	 1271.586459646028 1.6837942812164712 
rocky 	 519.0656741520273 1.8283260710860811 
mountain 	 1781.6751448701325 1.453924638525459 
remediation 	 2248.5853675540793 1.453924638525459 
rmrs 	 635.793229823014 1.8283260710860811 
pajarito 	 2543.172919292056 1.453924638525459 
scientific 	 1142.442251240216 1.453924638525459 
psc 	 1271.586459646028 1.6837942812164712 
american 	 471.2140569315665 1.453924638525459 
subsidiary 	 1859.1618065075634 1.453924638525459 
fuel 	 1421.573554205571 1.453924638525459 
radioactive 	 890.8375724350662 1.6837942812164712 
management 	 177.060117759781 1.8283260710860811 
company 	 789.140805647892 1.453924638525459 
headquartered 	 2248.5853675540793 1.453924638525459 
united 	 292.98779512355856 1.6837942812164712 
kingdom 	 696.1257919118083 1.6837942812164712 
brings 	 1609.3524739241627 1.453924638525459 
experience 	 190.64241348270627 1.8283260710860811 
licensing 	 1564.5742547695866 1.453924638525459 
private 	 817.4846398098277 1.453924638525459 
facilities 	 1097.6640320856397 1.453924638525459 
completed 	 1249.250883259601 1.453924638525459 
fixed 	 1314.764922186186 1.453924638525459 
price 	 487.75310883767776 1.453924638525459 
capital 	 997.198801408342 1.453924638525459 
projects 	 1142.442251240216 1.453924638525459 
contracts 	 1291.7863531463188 1.453924638525459 
sites 	 1158.4818906329263 1.453924638525459 
announcement 	 1859.1618065075634 1.453924638525459 
chief 	 925.3413611396701 1.453924638525459 
executive 	 1020.1773704482092 1.453924638525459 
officer 	 1291.7863531463188 1.453924638525459 
robert 	 906.8601885652811 1.453924638525459 
tinstman 	 2248.5853675540793 1.453924638525459 
noted 	 964.9047909427252 1.453924638525459 
jointly 	 929.5809032537817 1.6837942812164712 
owned 	 657.382461093093 1.6837942812164712 
environmental 	 954.6633315216245 1.453924638525459 
restoration 	 1564.5742547695866 1.453924638525459 
contractor 	 2248.5853675540793 1.453924638525459 
flats 	 749.5284558513597 1.777468568960344 
site 	 282.6182331674131 1.777468568960344 
colorado 	 804.6762369620814 1.6837942812164712 
majority 	 528.5786028344008 1.6837942812164712 
treated 	 782.2871273847933 1.6837942812164712 
produced 	 1126.9860024675943 1.453924638525459 
inel's 	 1271.586459646028 1.6837942812164712 
treat 	 402.3381184810407 1.8283260710860811 
percent 	 587.5753468615353 1.6837942812164712 
approximately 	 1175.1506937230706 1.453924638525459 
cubic 	 1271.586459646028 1.6837942812164712 
meters 	 762.0337141763742 1.6837942812164712 
transuranic 	 2543.172919292056 1.453924638525459 
alpha 	 1953.9978158161025 1.453924638525459 
wastes 	 1716.161105943548 1.453924638525459 
currently 	 897.9124896562023 1.453924638525459 
stored 	 1781.6751448701325 1.453924638525459 
additional 	 528.5786028344008 1.6837942812164712 
flexibility 	 1716.161105943548 1.453924638525459 
capacity 	 1175.1506937230706 1.453924638525459 
optional 	 1364.8227123401489 1.453924638525459 
facility's 	 2543.172919292056 1.453924638525459 
integrated 	 1453.0694423709028 1.453924638525459 
process 	 665.1656609785018 1.453924638525459 
achieve 	 1112.0721915478046 1.453924638525459 
volume 	 1392.2515838236166 1.453924638525459 
reduction 	 1269.9867030316097 1.453924638525459 
result 	 762.5696539308251 1.453924638525459 
forms 	 769.0583295864102 1.453924638525459 
accepted 	 1364.8227123401489 1.453924638525459 
isolation 	 1392.2515838236166 1.453924638525459 
pilot 	 1859.1618065075634 1.453924638525459 
plant 	 624.6254416298005 1.6837942812164712 
wipp 	 2543.172919292056 1.453924638525459 
low 	 840.0563155682557 1.453924638525459 
level 	 630.7538094016934 1.453924638525459 
storage 	 858.080552971774 1.6837942812164712 
disposal 	 762.0337141763742 1.6837942812164712 
plutonium 	 1124.2926837770397 1.6837942812164712 
contaminated 	 1124.2926837770397 1.6837942812164712 
employ 	 1609.3524739241627 1.453924638525459 
proven 	 521.5247515898621 1.777468568960344 
technologies 	 484.3564807903009 1.777468568960344 
sellafield 	 2543.172919292056 1.453924638525459 
including 	 186.5730464421546 1.6837942812164712 
encapsulation 	 2543.172919292056 1.453924638525459 
plants 	 1487.087593132156 1.453924638525459 
complex 	 964.9047909427252 1.453924638525459 
designed 	 803.0764803476632 1.453924638525459 
levels 	 975.3991512936329 1.453924638525459 
contamination 	 1953.9978158161025 1.453924638525459 
contract 	 1192.500041394179 1.453924638525459 
executed 	 1659.4102640781257 1.453924638525459 
phases 	 1859.1618065075634 1.453924638525459 
phase 	 454.94090411338294 1.777468568960344 
extends 	 976.9989079080513 1.6837942812164712 
obtain 	 1142.442251240216 1.453924638525459 
permits 	 1781.6751448701325 1.453924638525459 
authorization 	 1609.3524739241627 1.453924638525459 
basis 	 840.0563155682557 1.453924638525459 
operations 	 308.44712037989 1.777468568960344 
assist 	 1269.9867030316097 1.453924638525459 
finalizing 	 2543.172919292056 1.453924638525459 
business 	 386.22404781767955 1.453924638525459 
approach 	 863.8943388949493 1.453924638525459 
manage 	 1524.0674283527485 1.453924638525459 
completion 	 1609.3524739241627 1.453924638525459 
date 	 1057.1572056688017 1.453924638525459 
iii 	 1175.1506937230706 1.453924638525459 
entail 	 2076.2626966081093 1.453924638525459 
transportation 	 1097.6640320856397 1.453924638525459 
decades 	 1453.0694423709028 1.453924638525459 
