term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 274.6068032168927 1.6932427466242002 
logo_asm 	 823.8204096506779 1.295759210251159 
gif 	 35.42211516372808 1.8338818894825202 
subject 	 271.85147975537006 1.572638202719201 
index 	 133.71951020603098 1.572638202719201 
anthropology 	 272.6450657585817 1.6932427466242002 
ant 	 823.8204096506779 1.295759210251159 
idx 	 43.35896892898305 1.9443808178688482 
html 	 8.05546065361484 1.9644116286976476 
architecture 	 789.3253876602861 1.295759210251159 
arc 	 389.1220033880695 1.572638202719201 
art 	 348.0611001560288 1.572638202719201 
black 	 710.7078641817069 1.295759210251159 
studies 	 219.61268596498337 1.6932427466242002 
blk 	 823.8204096506779 1.295759210251159 
stu 	 823.8204096506779 1.295759210251159 
business 	 139.72222906345465 1.7607584238697747 
bus 	 783.7597388155366 1.295759210251159 
ecology 	 817.9351972757452 1.295759210251159 
eco 	 817.9351972757452 1.295759210251159 
economics 	 194.56100169403476 1.7607584238697747 
ecn 	 817.9351972757452 1.295759210251159 
education 	 667.9493356528116 1.295759210251159 
edu 	 672.5560987662435 1.295759210251159 
film 	 761.9875536792233 1.295759210251159 
flm 	 823.8204096506779 1.295759210251159 
gen 	 147.16267816233275 1.8039155846372232 
healthcare 	 812.1057697437009 1.295759210251159 
med 	 403.1655397142749 1.572638202719201 
history 	 677.1976302320041 1.295759210251159 
law 	 257.2058546911743 1.572638202719201 
linguistics 	 812.1057697437009 1.295759210251159 
lin 	 806.3310794285499 1.295759210251159 
literature 	 386.38865205726637 1.572638202719201 
lit 	 817.9351972757452 1.295759210251159 
mass 	 696.1222003120575 1.295759210251159 
media 	 532.5546179863177 1.295759210251159 
mda 	 823.8204096506779 1.295759210251159 
medicine 	 756.6628450922078 1.295759210251159 
music 	 789.3253876602861 1.295759210251159 
mus 	 817.9351972757452 1.295759210251159 
philosophy 	 789.3253876602861 1.295759210251159 
phi 	 823.8204096506779 1.295759210251159 
political 	 582.3949621382402 1.295759210251159 
science 	 168.13902469156088 1.7607584238697747 
psi 	 817.9351972757452 1.295759210251159 
psychology 	 812.1057697437009 1.295759210251159 
psy 	 812.1057697437009 1.295759210251159 
religion 	 783.7597388155366 1.295759210251159 
rel 	 817.9351972757452 1.295759210251159 
sci 	 794.9418650516989 1.295759210251159 
shakespeare 	 823.8204096506779 1.295759210251159 
sha 	 406.05288487185044 1.572638202719201 
sociology 	 817.9351972757452 1.295759210251159 
soc 	 817.9351972757452 1.295759210251159 
sports 	 778.244006776139 1.295759210251159 
recreation 	 794.9418650516989 1.295759210251159 
spt 	 800.610107941227 1.295759210251159 
urban 	 391.8798694077683 1.572638202719201 
urb 	 823.8204096506779 1.295759210251159 
women's 	 783.7597388155366 1.295759210251159 
wom 	 823.8204096506779 1.295759210251159 
home 	 274.6602384062221 1.295759210251159 
page 	 150.9440124840924 1.572638202719201 
topic 	 812.1057697437009 1.295759210251159 
search 	 373.0748842881191 1.572638202719201 
custom 	 400.3050539706135 1.572638202719201 
math 	 2205.4152198516244 1.295759210251159 
statistics 	 645.8982020093497 1.6932427466242002 
specific 	 663.376823882988 1.295759210251159 
paper 	 117.63457330791051 1.8338818894825202 
click 	 378.3314225461039 1.572638202719201 
catalog 	 806.3310794285499 1.295759210251159 
button 	 735.8133908116637 1.295759210251159 
title 	 355.35393209085345 1.572638202719201 
description 	 751.3838427220021 1.295759210251159 
written 	 677.1976302320041 1.295759210251159 
pgs 	 30.29389619539797 1.9605353919487545 
pages 	 715.6476497755244 1.295759210251159 
footnotes 	 817.9351972757452 1.295759210251159 
sources 	 715.6476497755244 1.295759210251159 
price 	 705.8074398474631 1.295759210251159 
multiple 	 459.4363660967294 1.7607584238697747 
regression 	 813.458824144564 1.7607584238697747 
theory 	 1193.6442829043738 1.295759210251159 
application 	 1058.5726882422132 1.295759210251159 
marketing 	 1443.0053243908949 1.295759210251159 
management 	 1024.8656227977913 1.295759210251159 
finance 	 1630.8150388648717 1.295759210251159 
national 	 233.6485848168628 1.6932427466242002 
bureau 	 968.8473030140245 1.572638202719201 
economic 	 61.30729634915707 1.9300676466734121 
research 	 705.8074398474631 1.295759210251159 
examines 	 137.30340160844634 1.8338818894825202 
development 	 715.6476497755244 1.295759210251159 
formed 	 1751.791869826195 1.295759210251159 
goal 	 1653.1811400299596 1.295759210251159 
correct 	 1700.5121803286786 1.295759210251159 
gathering 	 2205.4152198516244 1.295759210251159 
influential 	 2057.1005549092383 1.295759210251159 
material 	 1182.9483611365742 1.295759210251159 
regarding 	 1172.4352846206048 1.295759210251159 
trends 	 377.8522724959207 1.7607584238697747 
individual 	 1033.1207803020577 1.295759210251159 
maintain 	 1548.6932324007903 1.295759210251159 
decent 	 3680.1208126226225 1.295759210251159 
standard 	 656.1400187854681 1.572638202719201 
living 	 1352.8441877628916 1.295759210251159 
demand 	 738.1283327360572 1.572638202719201 
curve 	 650.7670593156512 1.8039155846372232 
estimations 	 3680.1208126226225 1.295759210251159 
pricing 	 2328.8276975608474 1.295759210251159 
forecasting 	 717.301074334334 1.6932427466242002 
provides 	 1094.2348516971779 1.295759210251159 
study 	 149.22995371524766 1.8039155846372232 
utility 	 2328.8276975608474 1.295759210251159 
setting 	 1427.0304002528896 1.295759210251159 
changing 	 1262.0480484971617 1.295759210251159 
prices 	 1700.5121803286786 1.295759210251159 
american 	 227.29148628463798 1.6932427466242002 
economy 	 176.91304082686676 1.855903256791191 
brief 	 1193.6442829043738 1.295759210251159 
retrospective 	 3004.4742550917344 1.295759210251159 
analysis 	 126.11047418203465 1.8338818894825202 
crucially 	 3680.1208126226225 1.295759210251159 
effected 	 2827.5497805338896 1.295759210251159 
fiscal 	 2205.4152198516244 1.295759210251159 
phillips 	 706.8874451334724 1.7607584238697747 
doctrine 	 1807.739513422717 1.295759210251159 
relation 	 1238.3912857880673 1.295759210251159 
unemployment 	 514.2751387273096 1.7607584238697747 
rate 	 331.3765884454571 1.7607584238697747 
change 	 985.1744322981849 1.295759210251159 
monetary 	 2205.4152198516244 1.295759210251159 
wage 	 1837.7454643869175 1.295759210251159 
rates 	 178.80376413121562 1.886101149344856 
set 	 912.7378653695092 1.295759210251159 
forth 	 2151.903223003002 1.295759210251159 
toallings 	 3680.1208126226225 1.295759210251159 
klopmans 	 3680.1208126226225 1.295759210251159 
econometrics 	 1502.2371275458672 1.572638202719201 
klopmans' 	 3680.1208126226225 1.295759210251159 
contributions 	 1476.2566654721145 1.295759210251159 
field 	 1286.6513292845868 1.295759210251159 
supporters 	 2328.8276975608474 1.295759210251159 
critics 	 2151.903223003002 1.295759210251159 
theories 	 631.0240242485809 1.572638202719201 
identity 	 903.8697567113585 1.572638202719201 
production 	 676.4220938814458 1.572638202719201 
income 	 295.2513330944229 1.8039155846372232 
statistical 	 951.2710907582405 1.572638202719201 
examination 	 313.565741808905 1.6932427466242002 
notions 	 2264.030980431284 1.295759210251159 
inflation 	 514.2751387273096 1.7607584238697747 
cure 	 2401.264264489523 1.295759210251159 
review 	 414.8812424306981 1.572638202719201 
past 	 1058.5726882422132 1.295759210251159 
various 	 751.3838427220021 1.295759210251159 
includes 	 420.91084738262373 1.572638202719201 
synopsis 	 2578.188739047368 1.295759210251159 
exhibits 	 2328.8276975608474 1.295759210251159 
gross 	 1075.951611501501 1.572638202719201 
product 	 794.1922114501982 1.572638202719201 
projections 	 2102.6769577837767 1.295759210251159 
investments 	 2205.4152198516244 1.295759210251159 
money 	 581.0494534280151 1.572638202719201 
aggregates 	 3253.835296578256 1.295759210251159 
