term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 477.3246709574931 1.521023563794698 
logo_asm 	 1431.9740128724793 1.0284298833707446 
gif 	 61.571123756138725 1.7279334105398052 
subject 	 945.0706727105385 1.0284298833707446 
index 	 232.4327746508083 1.35836710503737 
anthropology 	 1421.744269736214 1.0284298833707446 
ant 	 1431.9740128724793 1.0284298833707446 
idx 	 75.36705330907786 1.9052669138681457 
html 	 14.002093396283357 1.9389419387103055 
architecture 	 1372.0143730225136 1.0284298833707446 
arc 	 676.3762953200753 1.35836710503737 
art 	 605.0037659622678 1.35836710503737 
black 	 36.334132319954314 1.9459310432340293 
studies 	 229.0399622405534 1.6821672596172388 
blk 	 1431.9740128724793 1.0284298833707446 
stu 	 1431.9740128724793 1.0284298833707446 
business 	 971.4670755696457 1.0284298833707446 
bus 	 1362.3400988517212 1.0284298833707446 
ecology 	 1421.744269736214 1.0284298833707446 
eco 	 1421.744269736214 1.0284298833707446 
economics 	 1352.7525906401506 1.0284298833707446 
ecn 	 1421.744269736214 1.0284298833707446 
education 	 1161.0371379070823 1.0284298833707446 
edu 	 1169.0446659855518 1.0284298833707446 
film 	 1324.4954388342921 1.0284298833707446 
flm 	 1431.9740128724793 1.0284298833707446 
gen 	 255.79984220411987 1.6821672596172388 
healthcare 	 1411.611492448807 1.0284298833707446 
med 	 700.7869300074144 1.35836710503737 
history 	 588.5563144048881 1.35836710503737 
law 	 298.0520961136751 1.521023563794698 
linguistics 	 1411.611492448807 1.0284298833707446 
lin 	 1401.5738600148288 1.0284298833707446 
literature 	 167.9062882313893 1.788766355758862 
lit 	 1421.744269736214 1.0284298833707446 
mass 	 1210.0075319245357 1.0284298833707446 
media 	 925.6924985810954 1.0284298833707446 
mda 	 1431.9740128724793 1.0284298833707446 
medicine 	 1315.2399697619028 1.0284298833707446 
music 	 1372.0143730225136 1.0284298833707446 
mus 	 1421.744269736214 1.0284298833707446 
philosophy 	 1372.0143730225136 1.0284298833707446 
phi 	 1431.9740128724793 1.0284298833707446 
political 	 506.16277603721846 1.35836710503737 
science 	 584.5223329927759 1.35836710503737 
psi 	 1421.744269736214 1.0284298833707446 
psychology 	 1411.611492448807 1.0284298833707446 
psy 	 1411.611492448807 1.0284298833707446 
religion 	 1362.3400988517212 1.0284298833707446 
rel 	 1421.744269736214 1.0284298833707446 
sci 	 690.888498975826 1.35836710503737 
shakespeare 	 1431.9740128724793 1.0284298833707446 
sha 	 705.8057462244035 1.35836710503737 
sociology 	 710.872134868107 1.35836710503737 
soc 	 1421.744269736214 1.0284298833707446 
sports 	 1352.7525906401506 1.0284298833707446 
recreation 	 1381.776997951652 1.0284298833707446 
spt 	 1391.6296022588158 1.0284298833707446 
urban 	 681.1700494258606 1.35836710503737 
urb 	 1431.9740128724793 1.0284298833707446 
women's 	 1362.3400988517212 1.0284298833707446 
wom 	 1431.9740128724793 1.0284298833707446 
home 	 477.417552611791 1.0284298833707446 
page 	 262.37260056178013 1.35836710503737 
topic 	 1411.611492448807 1.0284298833707446 
search 	 648.4830102504054 1.35836710503737 
custom 	 695.8148011294079 1.35836710503737 
specific 	 1153.0891459039253 1.0284298833707446 
paper 	 306.71063138086913 1.6178899596770018 
click 	 657.6199848809514 1.35836710503737 
catalog 	 1401.5738600148288 1.0284298833707446 
button 	 1278.9992110205992 1.0284298833707446 
title 	 617.6802494392233 1.35836710503737 
description 	 1306.0639477558052 1.0284298833707446 
written 	 1177.1126288097762 1.0284298833707446 
pgs 	 20.90800396670903 1.9725950827961471 
pages 	 1243.946890422822 1.0284298833707446 
footnotes 	 1421.744269736214 1.0284298833707446 
sources 	 1243.946890422822 1.0284298833707446 
price 	 1226.8425255234765 1.0284298833707446 
fitzgerald 	 4316.649934714477 1.0284298833707446 
ellison 	 746.0587639240568 1.7621784010828794 
discusses 	 240.38376593952097 1.7279334105398052 
views 	 951.0057369628319 1.35836710503737 
commercial 	 2453.4157476068085 1.0284298833707446 
america 	 697.9089755529106 1.521023563794698 
comparison 	 347.9012296646866 1.6821672596172388 
autobiographies 	 5655.853548036025 1.0284298833707446 
frederick 	 1967.682209821986 1.35836710503737 
douglass 	 6396.827884054607 1.0284298833707446 
william 	 836.0827597690334 1.521023563794698 
lovett 	 6396.827884054607 1.0284298833707446 
trench 	 6396.827884054607 1.0284298833707446 
examines 	 130.17945571567995 1.8418191986728099 
backgrounds 	 4316.649934714477 1.0284298833707446 
life 	 220.74923980571535 1.7279334105398052 
events 	 1967.8168615420582 1.0284298833707446 
contributing 	 3307.0204748636065 1.0284298833707446 
attitudes 	 875.7161610799767 1.521023563794698 
slavery 	 1011.998702720547 1.6178899596770018 
reform 	 2172.948348891061 1.0284298833707446 
held 	 2019.9735470391809 1.0284298833707446 
uncle 	 1438.8833115714922 1.521023563794698 
tom's 	 1740.8037824894657 1.521023563794698 
cabin 	 2338.169377831277 1.35836710503737 
boy 	 1277.8259458110495 1.521023563794698 
discussion 	 317.3062692943107 1.6821672596172388 
white 	 376.4190005656785 1.7279334105398052 
society 	 405.69302630321414 1.6178899596770018 
underlying 	 3142.2333981282673 1.0284298833707446 
social 	 343.0035932556284 1.6178899596770018 
protests 	 4047.994810882188 1.0284298833707446 
invisible 	 491.48792120174437 1.827366483935442 
parallels 	 4676.338755662554 1.0284298833707446 
mans 	 3740.4626754312344 1.0284298833707446 
struggle 	 2760.9478830577623 1.0284298833707446 
identity 	 785.5583495320668 1.6178899596770018 
confessions 	 4676.338755662554 1.0284298833707446 
nat 	 4914.879212017444 1.0284298833707446 
turner 	 4676.338755662554 1.0284298833707446 
soul 	 1787.8377993479476 1.35836710503737 
ice 	 3575.675598695895 1.0284298833707446 
styron 	 5655.853548036025 1.0284298833707446 
cleaver 	 5222.411347468397 1.0284298833707446 
respectively 	 2955.8496272705 1.0284298833707446 
langston 	 1066.1379806757677 1.7279334105398052 
hughes 	 560.179626431227 1.788766355758862 
theme 	 812.3056538314205 1.6178899596770018 
youth 	 3368.1228192585113 1.0284298833707446 
modern 	 598.5940998064497 1.521023563794698 
