term 	 tf-idf weight 	 BM25 ranking 
 law 	 79.2689463363419 1.8454426494534604 
leading 	 1898.8631498105487 0.9575055364081447 
attorneys 	 3509.280623781906 0.9575055364081447 
web 	 5056.400636580498 0.6294213829252128 
header 	 6813.108963137991 0.6294213829252128 
gif 	 212.87827259372193 1.2950177433257133 
webhead 	 7362.934673576204 0.6294213829252128 
illinois 	 232.90256395996215 1.8454426494534604 
criminal 	 134.56592584353368 1.9076881758126691 
felonies 	 925.9567935642319 1.713059667671722 
white 	 226.33824803200847 1.8270265376467065 
collar 	 469.5238028834232 1.8198722285464275 
crime 	 84.28227284652567 1.9404866004991614 
codes 	 2209.001260859513 1.2950177433257133 
attempt 	 1276.2985775595714 1.2950177433257133 
conspiracy 	 1262.2864347768646 1.5254663193961024 
aiding 	 3009.359579083754 1.2950177433257133 
abetting 	 3259.1260856783833 1.2950177433257133 
offenses 	 1539.8234256250878 1.5254663193961024 
crimes 	 159.0986084901208 1.8942373675937165 
causing 	 1008.9729125121739 1.5720919815365018 
harm 	 740.051925916471 1.713059667671722 
persons 	 997.3402286838871 1.4674372847472281 
homicide 	 1629.5630428391917 1.5720919815365018 
suicide 	 1866.0915274113586 1.3932385919925765 
assault 	 576.5559500069566 1.7307966449753611 
battery 	 717.7275105428303 1.713059667671722 
rape 	 1684.8767557656022 1.3932385919925765 
kidnapping 	 1197.640442152846 1.610374888623972 
intimidation 	 3592.9213264585383 1.1588556333940698 
stalking 	 1862.3577632447905 1.5254663193961024 
hate 	 2405.1687592285302 1.2950177433257133 
federal 	 219.20281907169485 1.8036280534564149 
drug 	 805.9252588158207 1.5720919815365018 
gun 	 1511.8082210793182 1.4674372847472281 
laws 	 270.57500151113493 1.7841636265509664 
property 	 294.43039069756963 1.794355393943267 
bribery 	 1629.5630428391917 1.5720919815365018 
computer 	 219.90011921345342 1.8454426494534604 
embezzlement 	 2948.883799122648 1.3932385919925765 
false 	 783.7826373214186 1.6695096978954136 
statements 	 1153.111900013913 1.5254663193961024 
fraud 	 201.7945825024348 1.8967449267994863 
obstruction 	 2457.4031659355396 1.4674372847472281 
justice 	 584.1839227777392 1.610374888623972 
perjury 	 2607.3008685427067 1.3932385919925765 
racketeer 	 4914.806331871079 1.1588556333940698 
influenced 	 2339.520415854604 1.1588556333940698 
corrupt 	 3316.5654627803156 1.1588556333940698 
organizations 	 1327.6616486660266 1.2950177433257133 
act 	 449.6931078215006 1.6423703246572348 
securities 	 538.8505631584753 1.7604160135431688 
insider 	 1796.4606632292691 1.4674372847472281 
trading 	 1318.793397335736 1.4674372847472281 
tax 	 974.519543142978 1.4674372847472281 
defenses 	 3316.5654627803156 1.1588556333940698 
punishment 	 2747.2605784804136 1.1588556333940698 
victims' 	 6018.719158167508 0.9575055364081447 
rights 	 252.24275935942123 1.610374888623972 
resources 	 2307.612897145099 0.9575055364081447 
chapter 	 1060.6447745329476 1.4674372847472281 
outlines 	 8241.78173544124 0.6294213829252128 
system 	 885.9406471803156 1.1588556333940698 
operates 	 8241.78173544124 0.6294213829252128 
describes 	 4961.61972062081 0.6294213829252128 
serious 	 3956.3801920072083 0.9575055364081447 
violations 	 3744.660675473564 0.9575055364081447 
includes 	 843.1905105290934 1.2950177433257133 
information 	 186.06440970642814 1.6695096978954136 
accused 	 537.2835058772139 1.6928205637082805 
victims 	 779.8401386182013 1.610374888623972 
domestic 	 2682.4013104095848 0.9575055364081447 
abuse 	 1570.7686309404592 1.2950177433257133 
protective 	 9330.457637056794 0.6294213829252128 
covered 	 1343.2938251856613 1.3932385919925765 
family 	 1402.2378927858924 1.1588556333940698 
c16 	 6518.252171356767 0.9575055364081447 
html 	 138.31815366206945 1.5254663193961024 
procedure 	 6716.469125928306 0.6294213829252128 
process 	 964.098934500605 1.2950177433257133 
civil 	 1051.6784195894193 1.2950177433257133 
c03 	 5664.294844906914 0.9575055364081447 
private 	 4739.48741762686 0.6294213829252128 
causes 	 2710.0878688193206 0.9575055364081447 
action 	 708.8028172315442 1.5254663193961024 
result 	 4421.109711260125 0.6294213829252128 
conduct 	 1169.760207927302 1.4674372847472281 
personal 	 1174.555444903168 1.1588556333940698 
injury 	 4035.8916500486957 0.9575055364081447 
chapters 	 9330.457637056794 0.6294213829252128 
finally 	 6623.47695777857 0.6294213829252128 
misdemeanors 	 3259.1260856783833 1.2950177433257133 
juvenile 	 9949.696388340946 0.6294213829252128 
driving 	 4310.804505267803 0.9575055364081447 
influence 	 2120.587889291718 0.9575055364081447 
dui 	 13036.504342713533 0.6294213829252128 
c12 	 13036.504342713533 0.6294213829252128 
defines 	 6716.469125928306 0.6294213829252128 
prohibited 	 3023.6164421586363 1.1588556333940698 
government 	 264.3010128536812 1.6695096978954136 
range 	 1864.7258077512745 1.1588556333940698 
penalties 	 981.7783381597836 1.610374888623972 
imposed 	 3811.271492078544 0.9575055364081447 
violating 	 2267.7123316189773 1.2950177433257133 
prohibitions 	 11328.589689813827 0.6294213829252128 
violate 	 9330.457637056794 0.6294213829252128 
incur 	 3776.196563271276 1.1588556333940698 
ranging 	 7912.760384014417 0.6294213829252128 
fines 	 2065.904732687062 1.3932385919925765 
imprisonment 	 4120.89086772062 0.9575055364081447 
execution 	 9070.849326475909 0.6294213829252128 
defined 	 1119.411520988051 1.4674372847472281 
statutes 	 1147.7248514928121 1.610374888623972 
collected 	 8241.78173544124 0.6294213829252128 
organized 	 3406.5544815689955 0.9575055364081447 
books 	 5781.406698047423 0.6294213829252128 
rules 	 2858.7015497748944 0.9575055364081447 
known 	 2248.465539107503 0.9575055364081447 
addition 	 1825.6073035147665 1.1588556333940698 
code 	 1106.9602112326036 1.3932385919925765 
applies 	 7622.542984157088 0.6294213829252128 
regulates 	 12037.438316335016 0.6294213829252128 
nationwide 	 8836.005043438052 0.6294213829252128 
activity 	 708.8028172315442 1.5254663193961024 
violates 	 4974.848194170473 0.9575055364081447 
exception 	 8424.38377882801 0.6294213829252128 
prosecuted 	 1924.1350073828244 1.3932385919925765 
court 	 566.9668787230626 1.5720919815365018 
list 	 5655.020020676498 0.6294213829252128 
elements 	 774.3108196626631 1.5254663193961024 
trial 	 6204.84573111471 0.6294213829252128 
prosecutor 	 1436.9348350892676 1.4674372847472281 
attempts 	 2577.4868905343264 0.9575055364081447 
prove 	 2017.9458250243479 1.2950177433257133 
person 	 78.99145696044768 1.929957917812425 
committing 	 1796.4606632292691 1.4674372847472281 
judge 	 3358.234562964153 0.9575055364081447 
jury 	 8071.7833000973915 0.6294213829252128 
decides 	 8621.609010535605 0.6294213829252128 
proven 	 9070.849326475909 0.6294213829252128 
reasonable 	 1524.5085968314174 1.3932385919925765 
doubt 	 4665.228818528397 0.9575055364081447 
guilty 	 896.8648111219323 1.610374888623972 
found 	 769.2042990483665 1.4674372847472281 
intent 	 574.773934035707 1.746468484154669 
commit 	 647.9178090339935 1.7307966449753611 
takes 	 2043.00812138661 1.1588556333940698 
substantial 	 2540.847661385696 1.1588556333940698 
step 	 1971.5427770857941 1.1588556333940698 
merely 	 8071.7833000973915 0.6294213829252128 
thinking 	 8071.7833000973915 0.6294213829252128 
preparation 	 4418.002521719026 0.9575055364081447 
example 	 483.06133445103444 1.610374888623972 
buys 	 12037.438316335016 0.6294213829252128 
kill 	 2332.6144092641985 1.2950177433257133 
buying 	 4310.804505267803 0.9575055364081447 
mere 	 9620.675036914121 0.6294213829252128 
person's 	 8071.7833000973915 0.6294213829252128 
house 	 2210.5548556300623 0.9575055364081447 
charge 	 6813.108963137991 0.6294213829252128 
attempting 	 8071.7833000973915 0.6294213829252128 
doctrines 	 9949.696388340946 0.6294213829252128 
apply 	 2177.9556941805117 1.1588556333940698 
wide 	 2628.8276524998264 0.9575055364081447 
agreement 	 5105.194310238286 0.6294213829252128 
people 	 360.89959299695 1.5720919815365018 
conspire 	 13036.504342713533 0.6294213829252128 
murder 	 475.20602603588986 1.746468484154669 
occurs 	 1767.2010086876105 1.3932385919925765 
charged 	 1425.6180781076694 1.3932385919925765 
conspirator 	 12037.438316335016 0.6294213829252128 
conspirators 	 5389.381989687808 0.9575055364081447 
criminally 	 6518.252171356767 0.9575055364081447 
liable 	 3110.152545685598 1.1588556333940698 
acts 	 1169.760207927302 1.4674372847472281 
reasonably 	 2747.2605784804136 1.1588556333940698 
foreseeable 	 10778.763979375615 0.6294213829252128 
intentionally 	 1291.1904579294137 1.5720919815365018 
aids 	 7242.715709062722 0.6294213829252128 
advises 	 6018.719158167508 0.9575055364081447 
robbery 	 1539.8234256250878 1.5254663193961024 
lends 	 12037.438316335016 0.6294213829252128 
robber 	 14744.418995613238 0.6294213829252128 
car 	 6363.868647197686 0.6294213829252128 
getaway 	 14744.418995613238 0.6294213829252128 
equally 	 8621.609010535605 0.6294213829252128 
penalize 	 6518.252171356767 0.9575055364081447 
variety 	 1718.3245936895512 1.1588556333940698 
activities 	 1105.2774278150312 1.2950177433257133 
offense 	 5164.761831717655 0.9575055364081447 
violation 	 2587.793771952907 1.1588556333940698 
major 	 3300.6398201288953 0.6294213829252128 
distinction 	 7763.38131585872 0.6294213829252128 
felony 	 829.1356907212012 1.713059667671722 
sentenced 	 4535.4246632379545 0.9575055364081447 
penitentiary 	 7372.209497806619 0.9575055364081447 
death 	 636.9612517986268 1.5254663193961024 
violent 	 2060.44543386031 1.2950177433257133 
called 	 1077.8951420713975 1.2950177433257133 
suicide_ 	 14744.418995613238 0.6294213829252128 
unlawful 	 1295.835618067987 1.5254663193961024 
killing 	 1231.658430076515 1.5254663193961024 
human 	 3797.7262996210975 0.6294213829252128 
types 	 4870.3500272004285 0.6294213829252128 
manslaughter 	 3776.196563271276 1.1588556333940698 
reckless 	 4012.4794387783386 1.1588556333940698 
forms 	 743.1214604317313 1.4674372847472281 
divided 	 8241.78173544124 0.6294213829252128 
subcategories 	 14744.418995613238 0.6294213829252128 
degree 	 1306.773416508307 1.3932385919925765 
seriousness 	 10329.52366343531 0.6294213829252128 
cause 	 886.4065330163872 1.5254663193961024 
bodily 	 1796.4606632292691 1.4674372847472281 
knowing 	 4120.89086772062 0.9575055364081447 
actions 	 758.6637992377296 1.5254663193961024 
create 	 5257.655304999653 0.6294213829252128 
strong 	 5984.041372103322 0.6294213829252128 
probability 	 11328.589689813827 0.6294213829252128 
commission 	 1383.7002640407545 1.2950177433257133 
forcible 	 12037.438316335016 0.6294213829252128 
similar 	 1623.4500090668096 1.1588556333940698 
time 	 783.1399857674255 1.1588556333940698 
offender 	 1924.1350073828244 1.3932385919925765 
unreasonable 	 10778.763979375615 0.6294213829252128 
belief 	 6813.108963137991 0.6294213829252128 
justified 	 10329.52366343531 0.6294213829252128 
acting 	 2690.594433365797 1.1588556333940698 
intense 	 8836.005043438052 0.6294213829252128 
sudden 	 14744.418995613238 0.6294213829252128 
passion 	 9620.675036914121 0.6294213829252128 
resulting 	 6055.466662959016 0.6294213829252128 
provoked 	 11328.589689813827 0.6294213829252128 
require 	 2238.823041976102 1.1588556333940698 
proof 	 3110.152545685598 1.1588556333940698 
involuntary 	 11328.589689813827 0.6294213829252128 
unintentionally 	 14744.418995613238 0.6294213829252128 
engaged 	 4974.848194170473 0.9575055364081447 
recklessly 	 5664.294844906914 0.9575055364081447 
motor 	 7362.934673576204 0.6294213829252128 
vehicle 	 2207.825652592857 1.1588556333940698 
life 	 3052.906231326189 0.6294213829252128 
attempted 	 9070.849326475909 0.6294213829252128 
induce 	 4974.848194170473 0.9575055364081447 
battery_ 	 14744.418995613238 0.6294213829252128 
separate 	 2121.2895490658952 1.1588556333940698 
apprehension 	 11328.589689813827 0.6294213829252128 
means 	 736.8516185433541 1.4674372847472281 
knowingly 	 809.1849778438448 1.7307966449753611 
legal 	 2103.3568391788385 0.9575055364081447 
justification 	 4035.8916500486957 0.9575055364081447 
insulting 	 13036.504342713533 0.6294213829252128 
provoking 	 13036.504342713533 0.6294213829252128 
physical 	 1551.9846647659938 1.1588556333940698 
contact 	 1326.0331623781656 1.1588556333940698 
aggravated 	 871.4299761395253 1.713059667671722 
mask 	 5389.381989687808 0.9575055364081447 
weapon 	 2267.7123316189773 1.2950177433257133 
knows 	 4535.4246632379545 0.9575055364081447 
employee 	 3456.84717881795 0.9575055364081447 
disability 	 2690.594433365797 1.1588556333940698 
police 	 6055.466662959016 0.6294213829252128 
officer 	 1872.330337736782 1.2950177433257133 
senior 	 3311.738478889285 0.9575055364081447 
citizen 	 3956.3801920072083 0.9575055364081447 
committed 	 1293.8968859764534 1.4674372847472281 
particular 	 931.1907988595962 1.3932385919925765 
circumstances 	 1770.2155315547022 1.1588556333940698 
include 	 1402.2378927858924 1.1588556333940698 
unborn 	 10778.763979375615 0.6294213829252128 
child 	 1788.2675402730565 1.1588556333940698 
institutionalized 	 6018.719158167508 0.9575055364081447 
mentally 	 4310.804505267803 0.9575055364081447 
retarded 	 4810.3375184570605 0.9575055364081447 
statute 	 1295.835618067987 1.5254663193961024 
transmission 	 8836.005043438052 0.6294213829252128 
hiv 	 4665.228818528397 0.9575055364081447 
infected 	 12037.438316335016 0.6294213829252128 
contaminates 	 14744.418995613238 0.6294213829252128 
sexual 	 486.6506402241422 1.7307966449753611 
donation 	 10778.763979375615 0.6294213829252128 
blood 	 7622.542984157088 0.6294213829252128 
body 	 5257.655304999653 0.6294213829252128 
fluids 	 13036.504342713533 0.6294213829252128 
sells 	 11328.589689813827 0.6294213829252128 
shares 	 4212.191889414005 0.9575055364081447 
paraphernalia 	 13036.504342713533 0.6294213829252128 
rape_ 	 14744.418995613238 0.6294213829252128 
carries 	 9330.457637056794 0.6294213829252128 
severe 	 3811.271492078544 0.9575055364081447 
penetration 	 3776.196563271276 1.1588556333940698 
force 	 602.2417486265157 1.610374888623972 
threat 	 2339.520415854604 1.1588556333940698 
consent 	 2637.586794671472 1.1588556333940698 
victim 	 445.5056494086467 1.7604160135431688 
minor 	 7362.934673576204 0.6294213829252128 
following 	 1209.8870571852397 1.1588556333940698 
dangerous 	 1905.635746039272 1.2950177433257133 
displayed 	 9949.696388340946 0.6294213829252128 
caused 	 6813.108963137991 0.6294213829252128 
occurred 	 6447.402070526566 0.6294213829252128 
course 	 5847.117258857868 0.6294213829252128 
age 	 1195.5851679172265 1.2950177433257133 
severely 	 11328.589689813827 0.6294213829252128 
statutory 	 9330.457637056794 0.6294213829252128 
unable 	 2414.2385696875745 1.1588556333940698 
kidnapping_ 	 14744.418995613238 0.6294213829252128 
secretly 	 7372.209497806619 0.9575055364081447 
confining 	 4012.4794387783386 1.1588556333940698 
deceit 	 13036.504342713533 0.6294213829252128 
enticement 	 14744.418995613238 0.6294213829252128 
intention 	 9620.675036914121 0.6294213829252128 
child's 	 8241.78173544124 0.6294213829252128 
parent 	 7362.934673576204 0.6294213829252128 
constitutes 	 9330.457637056794 0.6294213829252128 
additional 	 3064.512182079915 0.9575055364081447 
wearing 	 14744.418995613238 0.6294213829252128 
ransom 	 14744.418995613238 0.6294213829252128 
intimidation_ 	 14744.418995613238 0.6294213829252128 
intending 	 4345.501447571178 1.1588556333940698 
threatening 	 2332.6144092641985 1.2950177433257133 
phone 	 932.3629038756372 1.4674372847472281 
mail 	 483.06133445103444 1.610374888623972 
threats 	 8071.7833000973915 0.6294213829252128 
hurt 	 9620.675036914121 0.6294213829252128 
physically 	 4035.8916500486957 0.9575055364081447 
confine 	 14744.418995613238 0.6294213829252128 
restrain 	 13036.504342713533 0.6294213829252128 
accuse 	 11328.589689813827 0.6294213829252128 
expose 	 9949.696388340946 0.6294213829252128 
hatred 	 9330.457637056794 0.6294213829252128 
ridicule 	 10778.763979375615 0.6294213829252128 
strike 	 7912.760384014417 0.6294213829252128 
boycott 	 10778.763979375615 0.6294213829252128 
stalking_ 	 14744.418995613238 0.6294213829252128 
putting 	 9949.696388340946 0.6294213829252128 
surveillance 	 9620.675036914121 0.6294213829252128 
combined 	 9620.675036914121 0.6294213829252128 
believe 	 6363.868647197686 0.6294213829252128 
stalker 	 13036.504342713533 0.6294213829252128 
watching 	 12037.438316335016 0.6294213829252128 
occur 	 7128.0903905383475 0.6294213829252128 
occasions 	 12037.438316335016 0.6294213829252128 
commits 	 3776.196563271276 1.1588556333940698 
form 	 1898.8631498105487 0.9575055364081447 
protection 	 1240.4049301552025 1.2950177433257133 
described 	 6055.466662959016 0.6294213829252128 
detail 	 7489.321350947128 0.6294213829252128 
crime_ 	 14744.418995613238 0.6294213829252128 
prohibits 	 5164.761831717655 0.9575055364081447 
theft 	 1719.6340451907165 1.5254663193961024 
ancestry 	 9620.675036914121 0.6294213829252128 
color 	 7489.321350947128 0.6294213829252128 
gender 	 9949.696388340946 0.6294213829252128 
national 	 702.0855036448171 1.2950177433257133 
origin 	 7242.715709062722 0.6294213829252128 
race 	 6283.074523761837 0.6294213829252128 
orientation 	 7912.760384014417 0.6294213829252128 
youths 	 7372.209497806619 0.9575055364081447 
chased 	 14744.418995613238 0.6294213829252128 
beat 	 11328.589689813827 0.6294213829252128 
black 	 2847.453946900367 0.6294213829252128 
referring 	 10329.52366343531 0.6294213829252128 
racial 	 7622.542984157088 0.6294213829252128 
insults 	 13036.504342713533 0.6294213829252128 
contain 	 4535.4246632379545 0.9575055364081447 
harsh 	 13036.504342713533 0.6294213829252128 
distributing 	 12037.438316335016 0.6294213829252128 
controlled 	 1940.84532896468 1.2950177433257133 
substances 	 2405.1687592285302 1.2950177433257133 
especially 	 2138.0633596018083 0.9575055364081447 
firearms 	 14744.418995613238 0.6294213829252128 
remotely 	 13036.504342713533 0.6294213829252128 
involved 	 1153.8064485725495 1.2950177433257133 
possesses 	 14744.418995613238 0.6294213829252128 
distribute 	 5164.761831717655 0.9575055364081447 
grams 	 7372.209497806619 0.9575055364081447 
crack 	 5164.761831717655 0.9575055364081447 
cocaine 	 5664.294844906914 0.9575055364081447 
subject 	 1089.174058727206 0.9575055364081447 
mandatory 	 2017.9458250243479 1.2950177433257133 
sentence 	 3316.5654627803156 1.1588556333940698 
parole 	 5389.381989687808 0.9575055364081447 
available 	 1285.4652460008067 1.1588556333940698 
carried 	 7622.542984157088 0.6294213829252128 
transaction 	 10329.52366343531 0.6294213829252128 
consecutively 	 13036.504342713533 0.6294213829252128 
conviction 	 9330.457637056794 0.6294213829252128 
receive 	 932.3629038756372 1.4674372847472281 
carrying 	 9070.849326475909 0.6294213829252128 
judges 	 9070.849326475909 0.6294213829252128 
depart 	 11328.589689813827 0.6294213829252128 
sentences 	 9070.849326475909 0.6294213829252128 
substance 	 8424.38377882801 0.6294213829252128 
harsher 	 12037.438316335016 0.6294213829252128 
quantities 	 10329.52366343531 0.6294213829252128 
contraband 	 14744.418995613238 0.6294213829252128 
increase 	 5154.973781068653 0.6294213829252128 
depending 	 7128.0903905383475 0.6294213829252128 
value 	 665.1362848997115 1.5254663193961024 
level 	 3656.8879679194642 0.6294213829252128 
violence 	 2992.020686051661 0.9575055364081447 
definition 	 1301.4449261840487 1.2950177433257133 
obtaining 	 2267.7123316189773 1.2950177433257133 
exerting 	 14744.418995613238 0.6294213829252128 
control 	 3472.3311445809018 0.6294213829252128 
deprive 	 6018.719158167508 0.9575055364081447 
concealing 	 13036.504342713533 0.6294213829252128 
abandoning 	 12037.438316335016 0.6294213829252128 
broader 	 9620.675036914121 0.6294213829252128 
writing 	 5257.655304999653 0.6294213829252128 
bad 	 8071.7833000973915 0.6294213829252128 
checks 	 9330.457637056794 0.6294213829252128 
