term 	 tf-idf weight 	 BM25 ranking 
 nemzet 	 430.160065850332 1.710519927920793 
subject 	 2370.1912755256817 0.593596535911051 
subscribe__ 	 8011.374943124108 0.593596535911051 
subs 	 3877.9241755343564 0.9154801491937352 
magyar 	 223.0459600705425 1.8386551567138743 
siliconvalley 	 621.4921339361528 1.645562095990151 
com 	 117.64180964108583 1.645562095990151 
mailto 	 389.5176152231751 1.3569824803270314 
unsubscribe 	 8011.374943124108 0.593596535911051 
unsubs 	 4005.687471562054 0.9154801491937352 
www_page___ 	 8011.374943124108 0.593596535911051 
http 	 1176.3124398726507 0.593596535911051 
www 	 1165.8601849182733 0.593596535911051 
htmlx 	 8011.374943124108 0.593596535911051 
disclaimer_ 	 4005.687471562054 0.9154801491937352 
dissemination 	 7755.848351068713 0.593596535911051 
information 	 1113.479201836906 0.9154801491937352 
public 	 963.9638291763093 1.1174657873582063 
benefit 	 5299.272898914102 0.593596535911051 
responsibility 	 4851.400897932154 0.593596535911051 
content 	 5554.799490969498 0.593596535911051 
assumed 	 6836.41347329768 0.593596535911051 
eeeeeee 	 1555.231098812194 1.2560265923222391 
zzzzzzz 	 3110.462197624388 0.9154801491937352 
tttttttnn 	 6220.924395248776 0.593596535911051 
eeee 	 3110.462197624388 0.9154801491937352 
vitacikk 	 8011.374943124108 0.593596535911051 
level 	 1989.4717211834586 0.9154801491937352 
szerkesztosegnek 	 4005.687471562054 0.9154801491937352 
alairassal 	 8011.374943124108 0.593596535911051 
signed 	 2918.635516724065 0.9154801491937352 
alairas 	 7413.127082050712 0.593596535911051 
nelkul 	 6220.924395248776 0.593596535911051 
noname 	 4005.687471562054 0.9154801491937352 
editor 	 3375.647606558145 0.9154801491937352 
hazai 	 6362.062244723192 0.593596535911051 
sajtosajtokivonatok 	 8447.088193107642 0.593596535911051 
napi 	 3418.20673664884 0.9154801491937352 
hetilapokbol 	 6836.41347329768 0.593596535911051 
szent 	 6588.760602026429 0.593596535911051 
hirek 	 6668.796396230724 0.593596535911051 
sorok 	 6836.41347329768 0.593596535911051 
koztolvaso 	 12326.277986359932 0.593596535911051 
szabad 	 3076.523676021447 0.9154801491937352 
velemenyeive 	 13097.553622603156 0.593596535911051 
tarkitval 	 13097.553622603156 0.593596535911051 
magyarnemzet 	 8967.62046782385 0.593596535911051 
nsz 	 1217.9960583477941 1.433813056604757 
nepszabadsag 	 6511.04501566924 0.593596535911051 
hirlap 	 2196.2535340088098 1.1174657873582063 
nszv 	 2435.9921166955883 1.1174657873582063 
nepszava 	 6924.322988286119 0.593596535911051 
esti 	 7307.976350086765 0.593596535911051 
vilaggazdasag 	 7413.127082050712 0.593596535911051 
