term 	 tf-idf weight 	 BM25 ranking 
 nemzet 	 670.2610135428295 1.5826584659263114 
subject 	 4748.33917972713 0.3480356704991677 
subscribe__ 	 16049.643722312414 0.3480356704991677 
subs 	 7768.866373291693 0.5928967346993992 
magyar 	 211.66137269773563 1.8462573738489647 
siliconvalley 	 1245.0705898437434 1.3971325523405538 
com 	 235.67853770319732 1.3971325523405538 
mailto 	 780.3428240819371 1.026005398730186 
unsubscribe 	 16049.643722312414 0.3480356704991677 
unsubs 	 8024.821861156207 0.5928967346993992 
www_page___ 	 16049.643722312414 0.3480356704991677 
http 	 2356.5737092711697 0.3480356704991677 
www 	 2335.6341115986743 0.3480356704991677 
htmlx 	 16049.643722312414 0.3480356704991677 
disclaimer_ 	 8024.821861156207 0.5928967346993992 
dissemination 	 15537.732746583386 0.3480356704991677 
information 	 1487.1308698411094 0.7745396018421961 
public 	 1931.163642859365 0.7745396018421961 
benefit 	 10616.335225687297 0.3480356704991677 
responsibility 	 9719.087736961432 0.3480356704991677 
content 	 11128.246201416327 0.3480356704991677 
assumed 	 13695.776488281179 0.3480356704991677 
eeeeeee 	 3115.6830405521423 0.9146476630017202 
zzzzzzz 	 6231.366081104285 0.5928967346993992 
tttttttnn 	 12462.73216220857 0.3480356704991677 
eeee 	 6231.366081104285 0.5928967346993992 
vitacikk 	 16049.643722312414 0.3480356704991677 
level 	 7971.244024227047 0.3480356704991677 
szerkesztosegnek 	 8024.821861156207 0.5928967346993992 
alairassal 	 16049.643722312414 0.3480356704991677 
signed 	 5847.068765507256 0.5928967346993992 
alairas 	 7425.569854101897 0.5928967346993992 
nelkul 	 2077.1220270347612 1.1166387408245018 
noname 	 8024.821861156207 0.5928967346993992 
editor 	 6762.627114816784 0.5928967346993992 
hazai 	 12745.48165475877 0.3480356704991677 
sajtosajtokivonatok 	 16922.532892644962 0.3480356704991677 
napi 	 6847.888244140589 0.5928967346993992 
hetilapokbol 	 13695.776488281179 0.3480356704991677 
szent 	 6599.819692928749 0.5928967346993992 
hirek 	 13359.979650934434 0.3480356704991677 
sorok 	 6847.888244140589 0.5928967346993992 
koztolvaso 	 24693.93474999597 0.3480356704991677 
szabad 	 1540.8437769406185 1.2552428543760905 
velemenyeive 	 26239.075161134482 0.3480356704991677 
tarkitval 	 26239.075161134482 0.3480356704991677 
magyarnemzet 	 17965.344846207347 0.3480356704991677 
nsz 	 1830.0606572321901 1.2552428543760905 
nepszabadsag 	 6521.97366265563 0.5928967346993992 
hirlap 	 6599.819692928749 0.5928967346993992 
nszv 	 7320.2426289287605 0.5928967346993992 
nepszava 	 6935.945313331731 0.5928967346993992 
esti 	 7320.2426289287605 0.5928967346993992 
vilaggazdasag 	 14851.139708203795 0.3480356704991677 
copyright 	 4189.001847281431 0.3480356704991677 
egyszer 	 13695.776488281179 0.3480356704991677 
marmegjelent 	 26239.075161134482 0.3480356704991677 
hetilap 	 15298.982329815437 0.3480356704991677 
anyagot 	 15537.732746583386 0.3480356704991677 
szabadon 	 7425.569854101897 0.5928967346993992 
utankozolhetonek 	 16049.643722312414 0.3480356704991677 
tart 	 4565.258829427059 0.7745396018421961 
kulfold 	 14242.45133941988 0.3480356704991677 
horn 	 1742.0180276145807 1.1918405835853911 
peto 	 15070.394640772085 0.3480356704991677 
csocseleknek 	 26239.075161134482 0.3480356704991677 
sikerult 	 14640.485257857521 0.3480356704991677 
megutaltatni 	 32139.721763570902 0.3480356704991677 
demokraciat 	 22516.181654347016 0.3480356704991677 
esliberalizmust 	 32139.721763570902 0.3480356704991677 
magyarorszagon 	 2520.4492999360964 1.026005398730186 
demokracia 	 2311.981771110577 1.1166387408245018 
helyere 	 10485.52062160425 0.5928967346993992 
kisebbsegekuralmat 	 32139.721763570902 0.3480356704991677 
sikkasztottak 	 32139.721763570902 0.3480356704991677 
liberalizmus 	 18793.288147559553 0.3480356704991677 
