term 	 tf-idf weight 	 BM25 ranking 
 nemzet 	 1171.4280644435933 1.369049569114939 
magyar 	 188.94001039412794 1.8616193805253989 
internet 	 5398.4448754615505 0.35659047025601437 
vilaglap 	 23976.70261054347 0.35659047025601437 
junius 	 3170.1956854861423 1.040726235692997 
vasarnap 	 18247.439525139278 0.35659047025601437 
nemzetstrategia 	 23976.70261054347 0.35659047025601437 
emlekeztet 	 18701.203856140197 0.35659047025601437 
majd 	 901.0985111104563 1.4765449547396479 
arra 	 845.7106697086239 1.5046745797483723 
emlekmuve 	 31206.2277037837 0.35659047025601437 
amiert 	 18247.439525139278 0.35659047025601437 
epittetjuk 	 31206.2277037837 0.35659047025601437 
pongratz 	 25476.964618379505 0.35659047025601437 
andras 	 3604.947569274008 0.9292951755435027 
irasa 	 6787.313354641117 0.7885735851927052 
nek 	 4489.661119471852 0.7885735851927052 
apon 	 13795.732578581792 0.6052650636701848 
azstarnet 	 12738.482309189752 0.6052650636701848 
com 	 359.5951622561352 1.205994671105175 
felmerult 	 22813.008990439866 0.35659047025601437 
sulyos 	 7427.312683856591 0.6052650636701848 
kerdes 	 6259.088219867542 0.6052650636701848 
szabadsagharcos 	 15603.11385189185 0.6052650636701848 
vilagszovetseg 	 27591.465157163584 0.35659047025601437 
fuggetlensegi 	 15603.11385189185 0.6052650636701848 
balja 	 27591.465157163584 0.35659047025601437 
elott 	 1973.324895986789 1.1311497596907927 
utan 	 986.6624479933945 1.4450279884440864 
valoban 	 4609.593727740003 0.7885735851927052 
melto 	 19747.701532975316 0.35659047025601437 
emlekmu 	 6369.241154594876 0.9292951755435027 
lesz 	 976.1900537029944 1.4450279884440864 
amit 	 1673.4686634908476 1.205994671105175 
osok 	 25476.964618379505 0.35659047025601437 
kezdemenyeztunk 	 31206.2277037837 0.35659047025601437 
kivitelezni 	 31206.2277037837 0.35659047025601437 
probalunk 	 31206.2277037837 0.35659047025601437 
ehhez 	 3504.6096118927803 0.9292951755435027 
nagy 	 845.7106697086239 1.5046745797483723 
vallalkozashoz 	 27591.465157163584 0.35659047025601437 
eloszor 	 4738.418086000556 0.7885735851927052 
lelek 	 23976.70261054347 0.35659047025601437 
kellett 	 1705.7224938005297 1.2689676114611166 
megtalaltatott 	 31206.2277037837 0.35659047025601437 
kezdemenyezojeben 	 31206.2277037837 0.35659047025601437 
leglelkesebb 	 31206.2277037837 0.35659047025601437 
kivitelezojeben 	 31206.2277037837 0.35659047025601437 
lassan 	 18701.203856140197 0.35659047025601437 
gyorgy 	 2533.017512623281 1.040726235692997 
los 	 16132.938986355199 0.35659047025601437 
angelesben 	 27591.465157163584 0.35659047025601437 
elo 	 2563.2515135820836 1.040726235692997 
bajtarsunkban 	 31206.2277037837 0.35659047025601437 
balon 	 31206.2277037837 0.35659047025601437 
tervezomuveszhez 	 31206.2277037837 0.35659047025601437 
csai 	 15603.11385189185 0.6052650636701848 
karolyhoz 	 31206.2277037837 0.35659047025601437 
intezett 	 25476.964618379505 0.35659047025601437 
kerdeseink 	 27591.465157163584 0.35659047025601437 
muveszetenek 	 27591.465157163584 0.35659047025601437 
elismerese 	 23976.70261054347 0.35659047025601437 
korul 	 17083.74590503567 0.35659047025601437 
forogtak 	 31206.2277037837 0.35659047025601437 
valaszok 	 23976.70261054347 0.35659047025601437 
mindent 	 14215.25425800167 0.35659047025601437 
megmagyaraztak 	 31206.2277037837 0.35659047025601437 
kielegitettek 	 31206.2277037837 0.35659047025601437 
csak 	 450.54925555522817 1.6988647912941757 
