term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 374.1796765784651 1.60403385908868 
logo_asm 	 1122.5390297353954 1.149049258488124 
gif 	 48.266231719031104 1.7802650272484153 
subject 	 740.8505366991873 1.149049258488124 
index 	 182.2064220368357 1.4595506950434798 
anthropology 	 1114.519829783861 1.149049258488124 
ant 	 1122.5390297353954 1.149049258488124 
idx 	 59.08100156502081 1.924969801724301 
html 	 10.976383784925588 1.951818106639837 
architecture 	 1075.5360566818208 1.149049258488124 
arc 	 530.2182745352882 1.4595506950434798 
art 	 474.2686210256132 1.4595506950434798 
black 	 968.4116913565372 1.149049258488124 
studies 	 299.2446029896846 1.60403385908868 
blk 	 1122.5390297353954 1.149049258488124 
stu 	 1122.5390297353954 1.149049258488124 
business 	 761.5429460499187 1.149049258488124 
bus 	 1067.9522945161295 1.149049258488124 
ecology 	 1114.519829783861 1.149049258488124 
eco 	 1114.519829783861 1.149049258488124 
economics 	 530.2182745352882 1.4595506950434798 
ecn 	 1114.519829783861 1.149049258488124 
education 	 910.1488508570018 1.149049258488124 
edu 	 916.4260337660359 1.149049258488124 
film 	 1038.285479647462 1.149049258488124 
flm 	 1122.5390297353954 1.149049258488124 
gen 	 200.52410455290217 1.7419874703160652 
healthcare 	 1106.5766423499533 1.149049258488124 
med 	 549.3540199683941 1.4595506950434798 
history 	 230.68764802212172 1.6875609854592821 
law 	 233.64607721539733 1.60403385908868 
linguistics 	 1106.5766423499533 1.149049258488124 
lin 	 1098.7080399367883 1.149049258488124 
literature 	 1052.9876111349242 1.149049258488124 
lit 	 1114.519829783861 1.149049258488124 
mass 	 948.5372420512264 1.149049258488124 
media 	 725.6597884106247 1.149049258488124 
mda 	 1122.5390297353954 1.149049258488124 
medicine 	 1031.0300230687321 1.149049258488124 
music 	 1075.5360566818208 1.149049258488124 
mus 	 1114.519829783861 1.149049258488124 
philosophy 	 1075.5360566818208 1.149049258488124 
phi 	 1122.5390297353954 1.149049258488124 
political 	 66.13102686610368 1.8837462605570139 
science 	 305.4753445886786 1.60403385908868 
psi 	 1114.519829783861 1.149049258488124 
psychology 	 1106.5766423499533 1.149049258488124 
psy 	 1106.5766423499533 1.149049258488124 
religion 	 1067.9522945161295 1.149049258488124 
rel 	 1114.519829783861 1.149049258488124 
sci 	 1083.1890779078433 1.149049258488124 
shakespeare 	 1122.5390297353954 1.149049258488124 
sha 	 553.2883211749767 1.4595506950434798 
sociology 	 1114.519829783861 1.149049258488124 
soc 	 1114.519829783861 1.149049258488124 
sports 	 1060.4365490705763 1.149049258488124 
recreation 	 1083.1890779078433 1.149049258488124 
spt 	 1090.9126348857696 1.149049258488124 
urban 	 1067.9522945161295 1.149049258488124 
urb 	 1122.5390297353954 1.149049258488124 
women's 	 1067.9522945161295 1.149049258488124 
wom 	 1122.5390297353954 1.149049258488124 
home 	 374.25248745433197 1.149049258488124 
page 	 205.67655684824297 1.4595506950434798 
topic 	 1106.5766423499533 1.149049258488124 
search 	 508.35244395681923 1.4595506950434798 
custom 	 545.4563174428848 1.4595506950434798 
russia 	 98.33941012911787 1.9165112008187115 
specific 	 903.9183388844616 1.149049258488124 
paper 	 240.43359129763172 1.6875609854592821 
click 	 515.5150115343661 1.4595506950434798 
catalog 	 1098.7080399367883 1.149049258488124 
button 	 1002.620522764511 1.149049258488124 
title 	 484.2058456782686 1.4595506950434798 
description 	 511.91842292767296 1.4595506950434798 
written 	 922.7505920884869 1.149049258488124 
pgs 	 32.77999499364297 1.9573657293951636 
pages 	 975.1426512388446 1.149049258488124 
footnotes 	 1114.519829783861 1.149049258488124 
sources 	 975.1426512388446 1.149049258488124 
price 	 961.7343651905269 1.149049258488124 
lenin 	 1090.6555304293877 1.60403385908868 
stalin 	 845.9664745768783 1.6875609854592821 
vanlaue 	 2507.269301607933 1.4595506950434798 
discusses 	 565.3178555397154 1.4595506950434798 
ability 	 894.0574564914183 1.4595506950434798 
captivate 	 5014.538603215866 1.149049258488124 
masses 	 2865.1110416630977 1.149049258488124 
due 	 1611.8873603779662 1.149049258488124 
social 	 358.51201889394025 1.60403385908868 
factors 	 1569.6263050386308 1.149049258488124 
ready 	 2386.994450267238 1.149049258488124 
changes 	 1385.3840640559201 1.149049258488124 
leadership 	 761.4179014512879 1.60403385908868 
examines 	 187.08983828923255 1.7802650272484153 
conflict 	 876.5965966995802 1.4595506950434798 
communist 	 1788.1149129828366 1.149049258488124 
theory 	 1626.4616407705125 1.149049258488124 
practices 	 903.0685564790019 1.4595506950434798 
noting 	 1656.3933939910548 1.149049258488124 
kosygin 	 5014.538603215866 1.149049258488124 
brezhnev 	 1477.8937553022104 1.60403385908868 
analysis 	 206.2060046137464 1.7419874703160652 
critique 	 2136.857325857313 1.149049258488124 
cause 	 2110.2519166696948 1.149049258488124 
effect 	 330.4269685021054 1.6875609854592821 
events 	 1542.5917024997611 1.149049258488124 
century 	 1671.7699721950037 1.149049258488124 
happened 	 3173.264407408114 1.149049258488124 
varied 	 3173.264407408114 1.149049258488124 
influential 	 2803.008560998279 1.149049258488124 
context 	 2059.4484835875223 1.149049258488124 
global 	 2011.5497327896453 1.149049258488124 
world 	 929.1232463733006 1.149049258488124 
sino 	 1221.9432108653632 1.60403385908868 
soviet 	 43.71040046973607 1.9668949488840282 
dispute 	 660.0764552241891 1.6875609854592821 
policy 	 190.28431594290882 1.8086524701952322 
era 	 2011.5497327896453 1.149049258488124 
positions 	 2136.857325857313 1.149049258488124 
reference 	 2011.5497327896453 1.149049258488124 
foreign 	 318.0268999458311 1.6875609854592821 
objectives 	 1988.5893924200054 1.149049258488124 
position's 	 4433.681265906632 1.149049258488124 
relations 	 186.3757735207795 1.830544353965821 
china 	 1017.5784638438685 1.4595506950434798 
growing 	 876.5965966995802 1.4595506950434798 
rift 	 3852.8239285973973 1.149049258488124 
chinese 	 2504.114957977621 1.149049258488124 
discussed 	 1656.3933939910548 1.149049258488124 
analyzed 	 2504.114957977621 1.149049258488124 
light 	 1687.4339796591876 1.149049258488124 
reflection 	 2640.3058208967564 1.149049258488124 
incidents 	 2865.1110416630977 1.149049258488124 
developments 	 2222.151223689045 1.149049258488124 
past 	 1442.4128662552432 1.149049258488124 
east 	 828.1966969955274 1.4595506950434798 
germany 	 951.282605658828 1.4595506950434798 
occupied 	 4093.9015053119897 1.149049258488124 
struggle 	 2164.335197382979 1.149049258488124 
establish 	 2386.994450267238 1.149049258488124 
independence 	 386.18677699605223 1.7802650272484153 
industrialization 	 3005.102364610831 1.149049258488124 
determination 	 1296.2035350494398 1.4595506950434798 
jews 	 2745.1925346922135 1.149049258488124 
union's 	 4433.681265906632 1.149049258488124 
treatment 	 1374.4296597024784 1.149049258488124 
judaism 	 4433.681265906632 1.149049258488124 
focusing 	 1703.3963670446296 1.149049258488124 
heavy 	 2932.1868306935216 1.149049258488124 
handed 	 3173.264407408114 1.149049258488124 
oppression 	 3271.9665912881633 1.149049258488124 
jewry 	 5014.538603215866 1.149049258488124 
russian 	 214.95859037411006 1.830544353965821 
food 	 602.0457043193345 1.60403385908868 
production 	 614.4625633307876 1.60403385908868 
future 	 318.0268999458311 1.6875609854592821 
military 	 1516.4020710433217 1.149049258488124 
dependency 	 3271.9665912881633 1.149049258488124 
attempted 	 1542.4861476434278 1.4595506950434798 
projection 	 3271.9665912881633 1.149049258488124 
role 	 549.3540199683941 1.4595506950434798 
