term 	 tf-idf weight 	 BM25 ranking 
 shared 	 379.43242253886416 1.7675656831861901 
vision 	 602.2898783610486 1.640465522215284 
line 	 1210.6572257742134 1.206637675631683 
june 	 1556.5342910369634 1.206637675631683 
earthsave 	 908.670262515549 1.717660283861495 
recipes 	 3634.681050062196 1.206637675631683 
summer 	 1271.863135439943 1.505174949825268 
salads 	 742.0080988052116 1.802478844757231 
appetizing 	 4452.04859283127 1.206637675631683 
hot 	 1334.007254934641 1.505174949825268 
day 	 516.6397121655674 1.505174949825268 
plateful 	 4452.04859283127 1.206637675631683 
crisp 	 4452.04859283127 1.206637675631683 
colourful 	 1817.340525031098 1.505174949825268 
vegetables 	 1817.340525031098 1.505174949825268 
offer 	 1806.869635083146 1.206637675631683 
incorporating 	 2817.3135072931227 1.206637675631683 
essential 	 914.2181812584229 1.505174949825268 
omega 	 1968.1735452473354 1.505174949825268 
fatty 	 1968.1735452473354 1.505174949825268 
acids 	 1968.1735452473354 1.505174949825268 
cold 	 741.0745937690334 1.640465522215284 
pressed 	 855.1613970395177 1.717660283861495 
oils 	 1211.5603500207321 1.640465522215284 
flax 	 562.3352986420958 1.82827332035263 
canola 	 2226.024296415635 1.505174949825268 
soybean 	 4452.04859283127 1.206637675631683 
walnut 	 4452.04859283127 1.206637675631683 
dressings 	 3936.3470904946707 1.206637675631683 
main 	 1334.9454647636092 1.206637675631683 
dishes 	 4452.04859283127 1.206637675631683 
include 	 1270.2090002833245 1.206637675631683 
light 	 499.38380304949703 1.640465522215284 
source 	 914.2181812584229 1.505174949825268 
protein 	 726.9362100124392 1.7675656831861901 
sprouted 	 4452.04859283127 1.206637675631683 
beans 	 4452.04859283127 1.206637675631683 
nuts 	 3634.681050062196 1.206637675631683 
seeds 	 1084.8755953267664 1.640465522215284 
selecting 	 3004.291441934117 1.206637675631683 
vegetable 	 1211.5603500207321 1.640465522215284 
extra 	 622.1474848993794 1.717660283861495 
virgin 	 779.7448869313992 1.717660283861495 
olive 	 787.2694180989341 1.7675656831861901 
oil 	 154.220580591684 1.8961092680291403 
full 	 640.3073821562655 1.505174949825268 
bodied 	 4452.04859283127 1.206637675631683 
press 	 1210.6572257742134 1.206637675631683 
chemicals 	 3118.9795477255966 1.206637675631683 
heat 	 847.908756959962 1.640465522215284 
types 	 1470.592703018311 1.206637675631683 
poorer 	 3634.681050062196 1.206637675631683 
quality 	 1619.891700442152 1.206637675631683 
lighter 	 4452.04859283127 1.206637675631683 
flavour 	 890.409718566254 1.7675656831861901 
contains 	 2152.3130075326826 1.206637675631683 
natural 	 557.0741322761479 1.640465522215284 
beta 	 3420.645588158071 1.206637675631683 
sistosterol 	 4452.04859283127 1.206637675631683 
vitamin 	 1817.340525031098 1.505174949825268 
anti 	 1444.0184495623644 1.206637675631683 
oxidants 	 4452.04859283127 1.206637675631683 
refrigeration 	 4452.04859283127 1.206637675631683 
found 	 1393.5584378863261 1.206637675631683 
supermarkets 	 3936.3470904946707 1.206637675631683 
food 	 801.7696969216914 1.505174949825268 
stores 	 1452.4720429107358 1.505174949825268 
vegans 	 2226.024296415635 1.505174949825268 
don 	 1130.692996165719 1.505174949825268 
eat 	 1710.3227940790355 1.505174949825268 
fish 	 3254.6267859802992 1.206637675631683 
available 	 582.2155903153005 1.505174949825268 
richest 	 4452.04859283127 1.206637675631683 
form 	 1146.7160580024743 1.206637675631683 
container 	 3634.681050062196 1.206637675631683 
dark 	 2668.014509869282 1.206637675631683 
minimize 	 3254.6267859802992 1.206637675631683 
peroxidation 	 4452.04859283127 1.206637675631683 
look 	 1191.820776633902 1.206637675631683 
expiry 	 4452.04859283127 1.206637675631683 
date 	 1850.6469671002083 1.206637675631683 
refrigerate 	 1484.0161976104232 1.640465522215284 
freeze 	 3420.645588158071 1.206637675631683 
periods 	 2223.2237813071006 1.206637675631683 
heated 	 3634.681050062196 1.206637675631683 
excessively 	 3936.3470904946707 1.206637675631683 
cooked 	 4452.04859283127 1.206637675631683 
grains 	 3936.3470904946707 1.206637675631683 
wonderful 	 3634.681050062196 1.206637675631683 
