term 	 tf-idf weight 	 BM25 ranking 
 nemzet 	 673.5804964994928 1.581024561258616 
subject 	 3976.546198177738 0.4020070373379819 
subscribe__ 	 13440.941624085131 0.4020070373379819 
subs 	 6506.118217662639 0.6694518893391839 
magyar 	 224.5268321664976 1.8376708827067212 
siliconvalley 	 955.8059120630661 1.5023439113346317 
com 	 167.0066122692923 1.5316608477442584 
mailto 	 653.5062414300043 1.114201499259894 
unsubscribe 	 13440.941624085131 0.4020070373379819 
unsubs 	 6720.470812042566 0.6694518893391839 
www_page___ 	 13440.941624085131 0.4020070373379819 
http 	 986.7686226309553 0.6694518893391839 
www 	 652.0003868907613 0.8602104553653607 
htmlx 	 13440.941624085131 0.4020070373379819 
disclaimer_ 	 6720.470812042566 0.6694518893391839 
dissemination 	 13012.236435325278 0.4020070373379819 
information 	 1868.1198992399861 0.6694518893391839 
public 	 1617.2731457049754 0.8602104553653607 
benefit 	 8890.760723355328 0.4020070373379819 
responsibility 	 8139.351450540406 0.4020070373379819 
content 	 9319.465912115182 0.4020070373379819 
assumed 	 11469.670944756794 0.4020070373379819 
eeeeeee 	 2609.2612765599583 1.0031301062405062 
zzzzzzz 	 5218.522553119917 0.6694518893391839 
tttttttnn 	 10437.045106239833 0.4020070373379819 
eeee 	 5218.522553119917 0.6694518893391839 
vitacikk 	 13440.941624085131 0.4020070373379819 
level 	 3337.8007466927256 0.6694518893391839 
szerkesztosegnek 	 6720.470812042566 0.6694518893391839 
alairassal 	 13440.941624085131 0.4020070373379819 
signed 	 4896.688755772042 0.6694518893391839 
alairas 	 12437.241930273816 0.4020070373379819 
nelkul 	 3479.0150354132775 0.8602104553653607 
noname 	 6720.470812042566 0.6694518893391839 
editor 	 5663.432649868906 0.6694518893391839 
hazai 	 3557.9455398190867 0.8602104553653607 
sajtosajtokivonatok 	 14171.951768966122 0.4020070373379819 
napi 	 11469.670944756794 0.4020070373379819 
hetilapokbol 	 11469.670944756794 0.4020070373379819 
batthyany 	 16130.012453483912 0.4020070373379819 
alapitvany 	 4638.284407838011 0.8602104553653607 
anemzeti 	 15378.60318066899 0.4020070373379819 
szovetseg 	 12812.292407281666 0.4020070373379819 
hirszolgalata 	 15738.635279784557 0.4020070373379819 
egyeb 	 12620.859261625925 0.4020070373379819 
hirszerkesztok 	 16558.717642243766 0.4020070373379819 
alapjan 	 1864.7423965091255 1.2030030220352834 
szent 	 3684.725250269163 0.8602104553653607 
hirek 	 11188.454379054754 0.4020070373379819 
sorok 	 11469.670944756794 0.4020070373379819 
kozt 	 12091.07116724351 0.4020070373379819 
olvaso 	 11469.670944756794 0.4020070373379819 
szabad 	 10323.165605926497 0.4020070373379819 
velemenyei 	 16558.717642243766 0.4020070373379819 
nsz 	 2452.1654325020713 1.114201499259894 
nepszabadsag 	 10923.7898099516 0.4020070373379819 
hirlap 	 2763.5439377018724 1.0031301062405062 
nszv 	 6130.4135812551785 0.6694518893391839 
nepszava 	 11617.159567814606 0.4020070373379819 
esti 	 12260.827162510357 0.4020070373379819 
vilaggazdasag1 	 21974.187316101827 0.4020070373379819 
kulfold 	 11927.489503762916 0.4020070373379819 
dubrovniki 	 10987.093658050913 0.6694518893391839 
repulogeptores 	 26915.745390530985 0.4020070373379819 
egy 	 594.3357322054349 1.620974472481952 
kis 	 5734.835472378397 0.6694518893391839 
esotol 	 26915.745390530985 0.4020070373379819 
lezuhan 	 26915.745390530985 0.4020070373379819 
air 	 10923.7898099516 0.4020070373379819 
force 	 9894.460417166643 0.4020070373379819 
megtalaltak 	 26915.745390530985 0.4020070373379819 
repulogep 	 10987.093658050913 0.6694518893391839 
szerencsetlensegben 	 26915.745390530985 0.4020070373379819 
elhunyt 	 20680.193354213716 0.4020070373379819 
ron 	 21974.187316101827 0.4020070373379819 
brownamerikai 	 26915.745390530985 0.4020070373379819 
kereskedelmi 	 7689.301590334495 0.6694518893391839 
miniszter 	 2418.214233448702 1.114201499259894 
holttestet 	 23797.96937237235 0.4020070373379819 
legikatasztrofaaldozatainak 	 26915.745390530985 0.4020070373379819 
szama 	 13440.941624085131 0.4020070373379819 
biztosnak 	 21974.187316101827 0.4020070373379819 
latszik 	 13440.941624085131 0.4020070373379819 
hogy 	 112.2634160832488 1.9154022727562359 
szerencsetlensegnem 	 26915.745390530985 0.4020070373379819 
fegyveres 	 17562.41733605508 0.4020070373379819 
tamadas 	 17032.62924167267 0.4020070373379819 
kovetkezmenye 	 16130.012453483912 0.4020070373379819 
magyarazatul 	 26915.745390530985 0.4020070373379819 
rossz 	 6720.470812042566 0.6694518893391839 
idoszolgalhat 	 26915.745390530985 0.4020070373379819 
amerikai 	 3684.725250269163 0.8602104553653607 
riporterek 	 23797.96937237235 0.4020070373379819 
viszont 	 10553.8828440817 0.4020070373379819 
arrol 	 1778.9727699095433 1.2030030220352834 
tudositanak 	 26915.745390530985 0.4020070373379819 
ket 	 1702.0163724158344 1.2030030220352834 
reszet 	 14171.951768966122 0.4020070373379819 
egymastol 	 20680.193354213716 0.4020070373379819 
merfoldnyire 	 26915.745390530985 0.4020070373379819 
talaltak 	 9081.520770040092 0.6694518893391839 
meg 	 459.2594294314724 1.6939340458108423 
amely 	 1021.2098234495007 1.4311231942116651 
szakertok 	 15738.635279784557 0.4020070373379819 
szerint 	 481.12892607106636 1.6816791710459327 
teljes 	 2730.9474524879 1.0031301062405062 
bizonyitek 	 18856.411297943192 0.4020070373379819 
gep 	 18856.411297943192 0.4020070373379819 
mar 	 989.4460417166645 1.4311231942116651 
levegobendarabokra 	 26915.745390530985 0.4020070373379819 
szakadt 	 23797.96937237235 0.4020070373379819 
fold 	 6285.47043264773 0.8602104553653607 
levego 	 23797.96937237235 0.4020070373379819 
raketatamadas 	 26915.745390530985 0.4020070373379819 
vagy 	 631.4817154682745 1.6019995127814628 
idozitett 	 21974.187316101827 0.4020070373379819 
bombamiatt 	 26915.745390530985 0.4020070373379819 
forras 	 16558.717642243766 0.4020070373379819 
ksfo 	 26915.745390530985 0.4020070373379819 
radioallomas 	 26915.745390530985 0.4020070373379819 
san 	 11054.17575080749 0.4020070373379819 
francisco 	 12812.292407281666 0.4020070373379819 
penteki 	 18856.411297943192 0.4020070373379819 
amerikailapok 	 26915.745390530985 0.4020070373379819 
los 	 13914.853223514034 0.4020070373379819 
angeles 	 14734.93558597324 0.4020070373379819 
times 	 7319.269088081199 0.4020070373379819 
tudositasaban 	 23797.96937237235 0.4020070373379819 
azt 	 416.57780292255575 1.7158154074733756 
kozlik 	 17562.41733605508 0.4020070373379819 
hivatalos 	 4480.3138746950435 0.8602104553653607 
embargo 	 21974.187316101827 0.4020070373379819 
alatt 	 1290.3957007408121 1.33611275003504 
ben 	 2473.615104291661 1.0031301062405062 
iran 	 13671.658862240334 0.4020070373379819 
oriasi 	 14171.951768966122 0.4020070373379819 
mennyisegu 	 23797.96937237235 0.4020070373379819 
fegyvertszallitott 	 26915.745390530985 0.4020070373379819 
boszniaba 	 11898.984686186175 0.6694518893391839 
melyrol 	 10340.096677106858 0.6694518893391839 
clinton 	 12620.859261625925 0.4020070373379819 
tudott 	 7869.317639892279 0.6694518893391839 
titokban 	 11898.984686186175 0.6694518893391839 
jovahagytaazt 	 26915.745390530985 0.4020070373379819 
kulugyminiszterhelyettese 	 26915.745390530985 0.4020070373379819 
strobe 	 26915.745390530985 0.4020070373379819 
talbott 	 26915.745390530985 0.4020070373379819 
nemzetbiztonsagitanacsadoja 	 26915.745390530985 0.4020070373379819 
anthony 	 18163.041540080183 0.4020070373379819 
lake 	 12812.292407281666 0.4020070373379819 
altal 	 10437.045106239833 0.4020070373379819 
clintoni 	 23797.96937237235 0.4020070373379819 
titkos 	 4814.880439298815 0.8602104553653607 
engedelyt 	 18163.041540080183 0.4020070373379819 
charlesredman 	 26915.745390530985 0.4020070373379819 
peter 	 3106.488637371727 0.8602104553653607 
galbraith 	 21974.187316101827 0.4020070373379819 
diplomatak 	 19676.4936604024 0.4020070373379819 
kozoltek 	 16558.717642243766 0.4020070373379819 
franjo 	 26915.745390530985 0.4020070373379819 
tudjman 	 26915.745390530985 0.4020070373379819 
horvathelnokkel 	 26915.745390530985 0.4020070373379819 
fegyverek 	 21974.187316101827 0.4020070373379819 
igy 	 1122.634160832488 1.387279250394937 
iranbol 	 26915.745390530985 0.4020070373379819 
horvatorszagon 	 26915.745390530985 0.4020070373379819 
keresztul 	 6957.426611757017 0.6694518893391839 
jutottakel 	 26915.745390530985 0.4020070373379819 
tanulsag 	 23797.96937237235 0.4020070373379819 
konkret 	 14734.93558597324 0.4020070373379819 
sulyos 	 6406.146203640833 0.6694518893391839 
pelda 	 5376.6708178279705 0.8602104553653607 
van 	 952.775774204784 1.387279250394937 
sajtokozlemenyek 	 26915.745390530985 0.4020070373379819 
alarca 	 26915.745390530985 0.4020070373379819 
mogott 	 3253.0591088313195 1.0031301062405062 
olykor 	 17562.41733605508 0.4020070373379819 
zaftos 	 26915.745390530985 0.4020070373379819 
megegyezesek 	 23797.96937237235 0.4020070373379819 
vannak 	 3641.2632699838664 0.8602104553653607 
kozos 	 11769.648747251824 0.4020070373379819 
celok 	 20680.193354213716 0.4020070373379819 
erdekeben 	 4086.942387503452 0.8602104553653607 
borisz 	 17562.41733605508 0.4020070373379819 
jelcin 	 7222.320658948223 0.6694518893391839 
tuzvonalban 	 26915.745390530985 0.4020070373379819 
