term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 147.7965070972219 1.8223145608435416 
logo_asm 	 443.3895212916657 1.5473695269161283 
gif 	 19.06458555966503 1.9070273069743138 
subject 	 292.6271212976504 1.5473695269161283 
index 	 71.96936240357114 1.7448078246996943 
anthropology 	 440.22203300531976 1.5473695269161283 
ant 	 443.3895212916657 1.5473695269161283 
idx 	 23.336290594298195 1.969675693744053 
html 	 4.335540611945548 1.9806872375821623 
architecture 	 424.82390783017024 1.5473695269161283 
arc 	 209.42989125439186 1.7448078246996943 
art 	 187.33044577503335 1.7448078246996943 
black 	 382.51106186039834 1.5473695269161283 
studies 	 118.19804724294227 1.8223145608435416 
blk 	 443.3895212916657 1.5473695269161283 
stu 	 443.3895212916657 1.5473695269161283 
business 	 300.80037606506335 1.5473695269161283 
bus 	 210.9142061365387 1.7448078246996943 
ecology 	 440.22203300531976 1.5473695269161283 
eco 	 440.22203300531976 1.5473695269161283 
economics 	 418.8597825087837 1.5473695269161283 
ecn 	 440.22203300531976 1.5473695269161283 
education 	 359.4979351237083 1.5473695269161283 
edu 	 361.9773474660595 1.5473695269161283 
film 	 410.11037441922423 1.5473695269161283 
flm 	 443.3895212916657 1.5473695269161283 
gen 	 79.20462840932055 1.8894604840178384 
healthcare 	 437.08456875636585 1.5473695269161283 
med 	 216.98828235028455 1.7448078246996943 
history 	 182.23773626568567 1.7448078246996943 
law 	 92.2874123607357 1.8223145608435416 
linguistics 	 437.08456875636585 1.5473695269161283 
lin 	 433.9765647005691 1.5473695269161283 
literature 	 415.91754091367534 1.5473695269161283 
lit 	 440.22203300531976 1.5473695269161283 
mass 	 374.6608915500667 1.5473695269161283 
media 	 286.62695699751407 1.5473695269161283 
mda 	 443.3895212916657 1.5473695269161283 
medicine 	 407.24455565125334 1.5473695269161283 
music 	 424.82390783017024 1.5473695269161283 
mus 	 440.22203300531976 1.5473695269161283 
philosophy 	 424.82390783017024 1.5473695269161283 
phi 	 443.3895212916657 1.5473695269161283 
political 	 313.4515975085488 1.5473695269161283 
science 	 180.98867373302974 1.7448078246996943 
psi 	 440.22203300531976 1.5473695269161283 
psychology 	 437.08456875636585 1.5473695269161283 
