term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 1162.72539118177 1.1318097416814263 
logo_asm 	 3488.1761735453097 0.6058321611740383 
gif 	 149.98241932739498 1.4455664105237414 
subject 	 2302.1178968552313 0.6058321611740383 
index 	 566.1879749211458 0.9299634415458056 
anthropology 	 3463.257323099253 0.6058321611740383 
ant 	 3488.1761735453097 0.6058321611740383 
idx 	 183.58821966027946 1.7839333408435727 
html 	 34.107999255305764 1.8575135789564214 
architecture 	 3342.119202385992 0.6058321611740383 
arc 	 1647.599507028509 0.9299634415458056 
art 	 736.8708169156902 1.2695905052728855 
black 	 3009.2411029742516 0.6058321611740383 
studies 	 697.4041881131911 1.2695905052728855 
blk 	 3488.1761735453097 0.6058321611740383 
stu 	 3488.1761735453097 0.6058321611740383 
business 	 1183.2087300202793 0.9299634415458056 
bus 	 3318.5534306921254 0.6058321611740383 
ecology 	 3463.257323099253 0.6058321611740383 
eco 	 3463.257323099253 0.6058321611740383 
economics 	 3295.199014057018 0.6058321611740383 
ecn 	 3463.257323099253 0.6058321611740383 
education 	 2828.1952358372705 0.6058321611740383 
edu 	 2847.7009450199967 0.6058321611740383 
film 	 3226.366812651541 0.6058321611740383 
flm 	 3488.1761735453097 0.6058321611740383 
gen 	 623.1083153409991 1.3696295478756 
healthcare 	 3438.5746738416215 0.6058321611740383 
med 	 1707.0618949853201 0.9299634415458056 
history 	 124.66755949976238 1.8180923973951262 
law 	 435.61889145744243 1.3696295478756 
linguistics 	 3438.5746738416215 0.6058321611740383 
lin 	 3414.1237899706402 0.6058321611740383 
literature 	 1090.6840649941698 1.1318097416814263 
lit 	 3463.257323099253 0.6058321611740383 
mass 	 2947.4832676627607 0.6058321611740383 
media 	 2254.9141873762137 0.6058321611740383 
mda 	 3488.1761735453097 0.6058321611740383 
medicine 	 3203.8212172684703 0.6058321611740383 
music 	 835.529800596498 1.2695905052728855 
mus 	 3463.257323099253 0.6058321611740383 
philosophy 	 668.4238404771984 1.3696295478756 
phi 	 3488.1761735453097 0.6058321611740383 
political 	 117.42597610592159 1.8024788447572313 
science 	 711.9252362549992 1.2695905052728855 
psi 	 3463.257323099253 0.6058321611740383 
psychology 	 1719.2873369208107 0.9299634415458056 
psy 	 3438.5746738416215 0.6058321611740383 
religion 	 829.6383576730314 1.2695905052728855 
rel 	 3463.257323099253 0.6058321611740383 
sci 	 3365.900189584754 0.6058321611740383 
shakespeare 	 3488.1761735453097 0.6058321611740383 
sha 	 1719.2873369208107 0.9299634415458056 
sociology 	 3463.257323099253 0.6058321611740383 
soc 	 3463.257323099253 0.6058321611740383 
sports 	 3295.199014057018 0.6058321611740383 
recreation 	 3365.900189584754 0.6058321611740383 
spt 	 3389.900359477976 0.6058321611740383 
urban 	 1659.2767153460627 0.9299634415458056 
urb 	 3488.1761735453097 0.6058321611740383 
women's 	 1659.2767153460627 0.9299634415458056 
wom 	 3488.1761735453097 0.6058321611740383 
home 	 1162.9516435931746 0.6058321611740383 
page 	 639.1190382253278 0.9299634415458056 
topic 	 3438.5746738416215 0.6058321611740383 
search 	 1579.6536564004264 0.9299634415458056 
custom 	 1694.950179738988 0.9299634415458056 
renaissance 	 597.3106458712181 1.7176602838614952 
specific 	 1404.4172759278867 0.9299634415458056 
paper 	 747.1229973019488 1.2695905052728855 
click 	 1601.9106086342351 0.9299634415458056 
catalog 	 3414.1237899706402 0.6058321611740383 
button 	 3115.541576704996 0.6058321611740383 
title 	 1504.6205514871258 0.9299634415458056 
description 	 1060.489716232029 1.1318097416814263 
written 	 955.7846228315116 1.1318097416814263 
pgs 	 22.63566877842649 1.9703641221800117 
pages 	 3030.1568780739276 0.6058321611740383 
footnotes 	 3463.257323099253 0.6058321611740383 
sources 	 1515.0784390369638 0.9299634415458056 
price 	 2988.491989207795 0.6058321611740383 
factors 	 286.90909015306715 1.7615444569745136 
fall 	 1348.8155421936378 1.2695905052728855 
ottoman 	 2120.230612536281 1.4455664105237414 
empire 	 501.7886677199582 1.7615444569745136 
examines 	 145.34067389772125 1.8250087090408478 
major 	 436.0220216931637 1.553210413628753 
internal 	 1157.6009947286814 1.3696295478756 
external 	 1342.6070028913052 1.4455664105237414 
contributing 	 1611.1284034695661 1.3696295478756 
demise 	 1559.4897738627983 1.5051749498252678 
underlying 	 7654.23364707765 0.6058321611740383 
process 	 2037.7545661035515 0.9299634415458056 
economic 	 278.12578343763937 1.7176602838614952 
growth 	 1198.361811846473 1.2695905052728855 
western 	 656.3674300901231 1.5051749498252678 
society 	 1317.6484446443026 1.1318097416814263 
abstract 	 4355.032394295656 0.9299634415458056 
peoples 	 5083.652150187576 0.9299634415458056 
empires 	 4240.461225072562 1.1318097416814263 
west 	 1544.3834980051226 1.1318097416814263 
africa 	 1014.0123842716436 1.5051749498252678 
analysis 	 228.8443726620336 1.7176602838614952 
various 	 795.3672871740217 1.2695905052728855 
tribes 	 11972.259558553249 0.6058321611740383 
comprising 	 5458.214208519794 0.9299634415458056 
ghana 	 11972.259558553249 0.6058321611740383 
mali 	 13777.214816731346 0.6058321611740383 
zaire 	 11972.259558553249 0.6058321611740383 
eastern 	 1949.7594629665177 1.1318097416814263 
fronts 	 6360.691837608843 0.9299634415458056 
world 	 144.35781226468225 1.7936218880722128 
war 	 153.74787345727992 1.8481089208908343 
compares 	 2834.8104757737656 0.9299634415458056 
strategy 	 755.2819435484806 1.553210413628753 
tactics 	 1945.3208086437128 1.2695905052728855 
former's 	 15582.170074909445 0.6058321611740383 
campaigns 	 7533.09552636439 0.6058321611740383 
closely 	 7654.23364707765 0.6058321611740383 
resembled 	 13777.214816731346 0.6058321611740383 
kind 	 6640.0673944301225 0.6058321611740383 
warfare 	 9586.23849275295 0.6058321611740383 
anticipated 	 9338.050784542487 0.6058321611740383 
clausewitz 	 15582.170074909445 0.6058321611740383 
moltke 	 7791.085037454723 0.9299634415458056 
conforming 	 11972.259558553249 0.6058321611740383 
model 	 2723.9350093146863 0.9299634415458056 
believing 	 10515.020046769409 0.6058321611740383 
afn 	 269.9486424813118 1.7176602838614952 
comparison 	 706.2167150349578 1.4455664105237414 
safavid 	 7791.085037454723 0.9299634415458056 
contrasts 	 3362.7260465305953 0.9299634415458056 
administrative 	 3708.6715683149687 0.9299634415458056 
structures 	 6557.393784018956 0.6058321611740383 
dynasties 	 15582.170074909445 0.6058321611740383 
created 	 4835.112136252025 0.6058321611740383 
middle 	 763.7369643727419 1.553210413628753 
east 	 514.7074460564089 1.6258517779666193 
centuries 	 2225.7604870199007 1.2695905052728855 
age 	 722.0092247811822 1.5051749498252678 
imperialism 	 1065.137610305883 1.5927449615490525 
brief 	 1263.5161433670687 1.2695905052728855 
overview 	 645.5840663732732 1.5051749498252678 
analyzes 	 525.515983385665 1.553210413628753 
describes 	 2621.7649660098596 0.9299634415458056 
impact 	 696.7792189431631 1.5051749498252678 
european 	 351.46405963450667 1.7176602838614952 
colonial 	 2903.354929530437 1.1318097416814263 
expansion 	 3089.6699151919415 0.9299634415458056 
colonies 	 11972.259558553249 0.6058321611740383 
colonizing 	 15582.170074909445 0.6058321611740383 
nations 	 2301.7031768044044 1.1318097416814263 
examination 	 569.00710220933 1.5051749498252678 
particular 	 2460.2484174415467 0.9299634415458056 
attention 	 5556.385720056452 0.6058321611740383 
effect 	 1369.0243850111096 1.1318097416814263 
period 	 455.343315949688 1.6539805914932058 
politics 	 916.927107084216 1.4455664105237414 
powers 	 6813.731733624666 0.6058321611740383 
describe 	 7914.850973160033 0.6058321611740383 
salient 	 5986.1297792766245 0.9299634415458056 
characteristics 	 6250.686759169734 0.6058321611740383 
entire 	 6999.8108758341705 0.6058321611740383 
era 	 1041.781126528289 1.4455664105237414 
romantic 	 4669.025392271244 0.9299634415458056 
movement 	 482.1590030289879 1.5927449615490525 
observes 	 311.1017792862658 1.699208208353543 
reaction 	 6557.393784018956 0.6058321611740383 
enlightment 	 6888.607408365673 0.9299634415458056 
manifested 	 10515.020046769409 0.6058321611740383 
arts 	 7914.850973160033 0.6058321611740383 
name 	 5100.154272235115 0.6058321611740383 
romanticism 	 10167.304300375152 0.6058321611740383 
context 	 3199.76363440448 0.9299634415458056 
highlighting 	 10916.428417039588 0.6058321611740383 
features 	 3549.0433449507527 0.9299634415458056 
