term 	 tf-idf weight 	 BM25 ranking 
 nemzet 	 685.6728986987667 1.5751009025458251 
subject 	 4317.797161382853 0.3762114884233922 
subscribe__ 	 14594.388370838546 0.3762114884233922 
subs 	 7064.446726337112 0.6332963042325953 
magyar 	 365.6922126393423 1.748447441879292 
siliconvalley 	 957.9962529362141 1.5014877352152696 
com 	 168.38569246969934 1.528704810110829 
mailto 	 709.5874795785106 1.073403776924698 
unsubscribe 	 14594.388370838546 0.3762114884233922 
unsubs 	 7297.194185419273 0.6332963042325953 
www_page___ 	 14594.388370838546 0.3762114884233922 
http 	 1071.4490780190274 0.6332963042325953 
www 	 1061.9285981239923 0.6332963042325953 
htmlx 	 14594.388370838546 0.3762114884233922 
disclaimer_ 	 7297.194185419273 0.6332963042325953 
dissemination 	 14128.893452674223 0.3762114884233922 
information 	 1352.2895491163617 0.8201024877093248 
public 	 1756.0609256609828 0.8201024877093248 
benefit 	 9653.72951820085 0.3762114884233922 
responsibility 	 8837.837368705947 0.3762114884233922 
content 	 10119.224436365173 0.3762114884233922 
assumed 	 12453.951288170783 0.3762114884233922 
eeeeeee 	 2833.1774287947615 0.9619825968155191 
zzzzzzz 	 5666.354857589523 0.6332963042325953 
tttttttnn 	 11332.709715179046 0.3762114884233922 
eeee 	 5666.354857589523 0.6332963042325953 
vitacikk 	 14594.388370838546 0.3762114884233922 
level 	 7248.474364983224 0.3762114884233922 
szerkesztosegnek 	 7297.194185419273 0.6332963042325953 
alairassal 	 14594.388370838546 0.3762114884233922 
signed 	 2658.451298709499 0.9619825968155191 
alairas 	 13504.555266219946 0.3762114884233922 
nelkul 	 3777.569905059682 0.8201024877093248 
noname 	 7297.194185419273 0.6332963042325953 
editor 	 4099.630215200791 0.8201024877093248 
hazai 	 11589.821709521846 0.3762114884233922 
sajtosajtokivonatok 	 15388.130822505678 0.3762114884233922 
napi 	 6226.975644085392 0.6332963042325953 
hetilapokbol 	 12453.951288170783 0.3762114884233922 
szent 	 12002.799992650907 0.3762114884233922 
hirek 	 12148.601864673949 0.3762114884233922 
sorok 	 12453.951288170783 0.3762114884233922 
koztolvaso 	 22454.883135166692 0.3762114884233922 
szabad 	 2241.8115081967544 1.073403776924698 
velemenyeivel 	 15388.130822505678 0.3762114884233922 
tarkitva 	 15388.130822505678 0.3762114884233922 
magyarnemzet 	 16336.388797035315 0.3762114884233922 
nsz 	 2218.833550529887 1.163223664790235 
nepszabadsag 	 11861.224862561941 0.3762114884233922 
hirlap 	 3000.699998162727 0.9619825968155191 
nszv 	 4437.667101059774 0.8201024877093248 
nepszava 	 12614.09678283827 0.3762114884233922 
esti 	 13313.00130317932 0.3762114884233922 
hvg 	 14356.097209035039 0.3762114884233922 
heti 	 13911.79104427827 0.3762114884233922 
vilaggazdasag 	 6752.277633109973 0.6332963042325953 
gazdasag 	 6149.445322801186 0.6332963042325953 
copyright 	 3809.1761351931686 0.3762114884233922 
egyszer 	 6226.975644085392 0.6332963042325953 
mar 	 976.6875111654047 1.4363914832661335 
megjelentnapi 	 29225.54479487624 0.3762114884233922 
hetilap 	 6955.895522139135 0.6332963042325953 
anyagot 	 14128.893452674223 0.3762114884233922 
szabadon 	 13504.555266219946 0.3762114884233922 
utankozolhetonek 	 14594.388370838546 0.3762114884233922 
tart 	 6226.975644085392 0.6332963042325953 
kulfold 	 12951.057967180543 0.3762114884233922 
bizonyitsa 	 29225.54479487624 0.3762114884233922 
hogy 	 161.33479969382748 1.8806308621884207 
motozaskor 	 29225.54479487624 0.3762114884233922 
nem 	 130.60436165690797 1.9022566465498494 
nyulkalt 	 29225.54479487624 0.3762114884233922 
tapizo 	 29225.54479487624 0.3762114884233922 
egyesult 	 15388.130822505678 0.3762114884233922 
allamok 	 15999.427612693044 0.3762114884233922 
hadserege 	 25840.213965021467 0.3762114884233922 
taszari 	 23859.92237702119 0.3762114884233922 
tamaszpontot 	 25840.213965021467 0.3762114884233922 
ellatoelelmezesi 	 29225.54479487624 0.3762114884233922 
