term 	 tf-idf weight 	 BM25 ranking 
 nemzet 	 458.2383991303798 1.6945105598074754 
subject 	 2164.2029998086045 0.6322347838202613 
subscribe__ 	 14630.246818924144 0.37546250598635483 
subs 	 7081.804089301085 0.6322347838202613 
magyar 	 305.4922660869198 1.785414787111851 
siliconvalley 	 960.3500520834775 1.5005687525036289 
com 	 181.78398703211545 1.5005687525036289 
mailto 	 711.3309377592932 1.0721832843181949 
unsubscribe 	 14630.246818924144 0.37546250598635483 
unsubs 	 7315.123409462072 0.6322347838202613 
www_page___ 	 14630.246818924144 0.37546250598635483 
http 	 1074.0816310362732 0.6322347838202613 
www 	 709.6918395324961 0.8189154652029742 
htmlx 	 14630.246818924144 0.37546250598635483 
disclaimer_ 	 7315.123409462072 0.6322347838202613 
dissemination 	 14163.60817860217 0.37546250598635483 
information 	 2033.418191791679 0.6322347838202613 
public 	 1760.3755716699777 0.8189154652029742 
benefit 	 9677.448755346306 0.37546250598635483 
responsibility 	 8859.551956835445 0.37546250598635483 
content 	 10144.08739566828 0.37546250598635483 
assumed 	 12484.550677085208 0.37546250598635483 
eeeeeee 	 2840.138552698434 0.9607574335032155 
zzzzzzz 	 5680.277105396868 0.6322347838202613 
tttttttnn 	 11360.554210793736 0.37546250598635483 
eeee 	 5680.277105396868 0.6322347838202613 
vitacikk 	 14630.246818924144 0.37546250598635483 
level 	 3633.1419421537535 0.6322347838202613 
szerkesztosegnek 	 7315.123409462072 0.6322347838202613 
alairassal 	 14630.246818924144 0.37546250598635483 
signed 	 2664.9831200822496 0.9607574335032155 
alairas 	 6768.8679958448865 0.6322347838202613 
nelkul 	 1893.425701798956 1.1620291212159621 
noname 	 7315.123409462072 0.6322347838202613 
editor 	 6164.554525068511 0.6322347838202613 
usa 	 811.7172117718366 1.5005687525036289 
beli 	 23918.54626492542 0.37546250598635483 
feltetelezesek 	 23918.54626492542 0.37546250598635483 
brown 	 812.7914899402302 1.612414619876744 
dubrovniki 	 23918.54626492542 0.37546250598635483 
halalarol 	 29297.352030244485 0.37546250598635483 
rendszeresen 	 17557.256774623664 0.37546250598635483 
va'daskodas 	 29297.352030244485 0.37546250598635483 
hangzik 	 19116.406242180008 0.37546250598635483 
amikor 	 1221.9690643476793 1.350665516132039 
sajto 	 4059.483669768199 0.8189154652029742 
feltetelezeseket 	 29297.352030244485 0.37546250598635483 
investigative 	 18539.740499606356 0.37546250598635483 
reporting 	 13737.600476860944 0.37546250598635483 
anyagokat 	 25903.703434222993 0.37546250598635483 
ismertet 	 29297.352030244485 0.37546250598635483 
alabbi 	 3657.561704731036 0.9607574335032155 
nem 	 177.38260611498572 1.8695318951165616 
hanem 	 1605.2283175575217 1.2360106141081482 
san 	 6016.145450861879 0.6322347838202613 
francisco 	 6972.986174527683 0.6322347838202613 
konzervativ 	 8369.6799880564 0.6322347838202613 
riporterek 	 8634.567811407664 0.8189154652029742 
interpretacioja 	 29297.352030244485 0.37546250598635483 
adubrovnik 	 29297.352030244485 0.37546250598635483 
repulogeplezuhanasrol 	 29297.352030244485 0.37546250598635483 
kozvetlenul 	 17557.256774623664 0.37546250598635483 
iserintett 	 29297.352030244485 0.37546250598635483 
negy 	 12811.071646630708 0.37546250598635483 
itteni 	 6590.058646823224 0.8189154652029742 
hatalmas 	 15425.93949774525 0.37546250598635483 
nemzetkozi 	 2972.591980298079 0.9607574335032155 
konstrukcios 	 29297.352030244485 0.37546250598635483 
vallalatanakfoembere 	 29297.352030244485 0.37546250598635483 
veszett 	 21417.54401096713 0.37546250598635483 
oda 	 7573.045951792431 0.6322347838202613 
osszefoglaljuk 	 29297.352030244485 0.37546250598635483 
rendkivuli 	 17557.256774623664 0.37546250598635483 
figyelmet 	 3434.400119215236 0.9607574335032155 
kivaltohir 	 29297.352030244485 0.37546250598635483 
erkezesekor 	 29297.352030244485 0.37546250598635483 
hallott 	 25903.703434222993 0.37546250598635483 
riporter 	 11959.27313246271 0.6322347838202613 
reakciokat 	 29297.352030244485 0.37546250598635483 
ronald 	 19770.17594046967 0.37546250598635483 
clinton 	 3434.400119215236 0.9607574335032155 
adminisztracio 	 22510.0548382015 0.37546250598635483 
legkorruptabb 	 25903.703434222993 0.37546250598635483 
minisztere 	 25903.703434222993 0.37546250598635483 
volt 	 523.7010275775768 1.658324794582169 
mintegy 	 6972.986174527683 0.6322347838202613 
tiz 	 15425.93949774525 0.37546250598635483 
evig 	 15425.93949774525 0.37546250598635483 
hivatasos 	 8565.624536441219 0.6322347838202613 
lobby 	 15425.93949774525 0.37546250598635483 
alkalmazott 	 18539.740499606356 0.37546250598635483 
