term 	 tf-idf weight 	 BM25 ranking 
 law 	 93.90960252582416 1.8194731973139782 
leading 	 1903.4870048831394 0.9562917431680902 
attorneys 	 3517.8259499761803 0.9562917431680902 
web 	 5068.7133004682755 0.6283728021709025 
header 	 6829.699325872904 0.6283728021709025 
gif 	 213.39664501075208 1.2939071326475873 
webhead 	 7380.863897619002 0.6283728021709025 
illinois 	 233.46969682674776 1.8450954419903685 
real 	 140.7866290938172 1.8825896630913979 
estate 	 250.25194449187507 1.8643485141611718 
encumbrance 	 2463.387102216227 1.4664863967877866 
easement 	 2956.064522659472 1.392210094398681 
deed 	 739.016130664868 1.8031969285081366 
restriction 	 4986.962272565368 0.9562917431680902 
lien 	 1633.531134664287 1.5712733608340275 
assessment 	 1615.7754783076925 1.2939071326475873 
ownership 	 590.1322149391194 1.7302295383235597 
joint 	 388.7471833363772 1.7599026476842707 
tenancy 	 1452.027675257144 1.6096113192373687 
tenants 	 709.8088388404193 1.7724189149985492 
common 	 340.9134923455453 1.712461403575649 
advantages 	 1535.9872341187884 1.2939071326475873 
disadvantages 	 2697.146205524967 1.1576700396859483 
residential 	 2271.2351082662462 1.392210094398681 
title 	 129.7448946436671 1.8194731973139782 
deeds 	 3267.062269328574 1.2939071326475873 
recording 	 4822.051002674083 0.9562917431680902 
buying 	 1728.5206376642 1.392210094398681 
selling 	 2310.176550779312 1.1576700396859483 
home 	 45.96279057339896 1.8332629094609725 
agents 	 1876.889583689063 1.2939071326475873 
seller 	 754.1718912679456 1.7599026476842707 
disclosures 	 6534.124538657148 0.9562917431680902 
warranties 	 6033.375130143565 0.9562917431680902 
foreclosure 	 1478.032261329736 1.6416555055921094 
landlord 	 232.05288962090634 1.9194274574732288 
tenant 	 174.7103929435574 1.9350183926463875 
leases 	 2271.2351082662462 1.392210094398681 
security 	 428.6539365435444 1.6416555055921094 
deposits 	 5177.3383621520325 0.9562917431680902 
repairs 	 811.1553958093735 1.7302295383235597 
call 	 777.8819241014619 1.4664863967877866 
inspector 	 1847.5403266621702 1.5712733608340275 
withhold 	 2839.043885332808 1.2939071326475873 
rent 	 516.1897973332377 1.8194731973139782 
criminal 	 1011.7020195825737 1.4664863967877866 
civil 	 1405.6524331092348 1.1576700396859483 
action 	 994.740317364724 1.392210094398681 
eviction 	 1343.665692117942 1.6688381863251673 
tenant's 	 1633.531134664287 1.5712733608340275 
rights 	 162.55092012291087 1.7302295383235597 
privacy 	 2022.8596541437253 1.2939071326475873 
access 	 887.2630606615493 1.4664863967877866 
sublease 	 7390.161306648681 0.9562917431680902 
utilities 	 1928.8204010696331 1.392210094398681 
utility 	 519.6209948487166 1.7836948933077303 
suspension 	 5177.3383621520325 0.9562917431680902 
cold 	 3690.431948809501 0.9562917431680902 
weather 	 3630.176096060253 0.9562917431680902 
rule 	 2583.7632384820563 0.9562917431680902 
discrimination 	 1122.1373607307169 1.4664863967877866 
housing 	 820.0959886243337 1.6096113192373687 
resources 	 2313.232084394641 0.9562917431680902 
involves 	 2547.034790431278 1.1576700396859483 
possession 	 2952.5070964951287 1.1576700396859483 
land 	 801.1142297911028 1.5245854746436536 
buildings 	 4676.588953638449 0.9562917431680902 
attached 	 2697.146205524967 1.1576700396859483 
referred 	 8444.897700367364 0.6283728021709025 
property 	 68.38780010411854 1.9481408714759987 
distinguish 	 9973.924545130736 0.6283728021709025 
personal 	 1766.1233455220122 0.9562917431680902 
includes 	 1690.4874683497246 0.9562917431680902 
stumbling 	 14780.322613297361 0.6283728021709025 
block 	 6463.10191323077 0.6283728021709025 
consumers 	 7932.028469365101 0.6283728021709025 
entering 	 7380.863897619002 0.6283728021709025 
market 	 2333.645772304386 0.9562917431680902 
unfamiliar 	 6534.124538657148 0.9562917431680902 
terms 	 1107.9688501230223 1.2939071326475873 
frequently 	 3189.682540295918 0.9562917431680902 
professionals 	 7145.447753502321 0.6283728021709025 
concepts 	 3035.106058747721 0.9562917431680902 
responsibilities 	 2460.287965873001 1.1576700396859483 
regarding 	 2354.4025634251166 0.9562917431680902 
evolved 	 9353.177907276899 0.6283728021709025 
updated 	 2646.0650455293116 0.6283728021709025 
society 	 3749.5295602205383 0.6283728021709025 
changed 	 3465.2648261689674 0.9562917431680902 
chapter 	 3189.682540295918 0.9562917431680902 
summarizes 	 8444.897700367364 0.6283728021709025 
involved 	 4626.464168789282 0.6283728021709025 
encounter 	 11356.175541331231 0.6283728021709025 
process 	 966.4465780099408 1.2939071326475873 
goes 	 3274.8887365823034 0.9562917431680902 
buy 	 1945.5714133696265 1.2939071326475873 
sell 	 1005.0931285646228 1.5245854746436536 
house 	 340.9134923455453 1.712461403575649 
landlords 	 2178.041512885716 1.4664863967877866 
legal 	 843.3914598655408 1.392210094398681 
held 	 2333.645772304386 0.9562917431680902 
owner 	 377.7156413983381 1.8116861044590096 
creates 	 9092.937433602068 0.6283728021709025 
kind 	 2099.458072739683 1.1576700396859483 
obligation 	 4428.760644742692 0.9562917431680902 
attaches 	 14780.322613297361 0.6283728021709025 
bought 	 9973.924545130736 0.6283728021709025 
sold 	 1945.5714133696265 1.2939071326475873 
person's 	 4045.7193082874505 0.9562917431680902 
particular 	 933.4583089217543 1.392210094398681 
purpose 	 1555.7638482029238 1.1576700396859483 
forms 	 4469.586056655136 0.6283728021709025 
easements 	 7390.161306648681 0.9562917431680902 
public 	 444.0489850924066 1.4664863967877866 
companies 	 1075.5732527129342 1.392210094398681 
permit 	 9973.924545130736 0.6283728021709025 
run 	 5668.790361635937 0.6283728021709025 
gas 	 3820.5521856469168 0.9562917431680902 
water 	 1432.8313368392835 1.2939071326475873 
electrical 	 4321.3015941605 0.9562917431680902 
lines 	 5998.612901418509 0.6283728021709025 
near 	 5998.612901418509 0.6283728021709025 
lake 	 2345.21729998412 1.1576700396859483 
shore 	 9644.102005348166 0.6283728021709025 
cross 	 6732.8241643843 0.6283728021709025 
person 	 593.8785471559631 1.5712733608340275 
owns 	 3214.7006684493886 1.1576700396859483 
locked 	 5678.087770665616 0.9562917431680902 
receive 	 5607.799608537721 0.6283728021709025 
adjacent 	 11356.175541331231 0.6283728021709025 
called 	 1440.6931823140433 1.1576700396859483 
restrictions 	 2022.8596541437253 1.2939071326475873 
known 	 1502.6271324663237 1.1576700396859483 
covenants 	 7390.161306648681 0.9562917431680902 
conditions 	 4667.291544608772 0.6283728021709025 
usually 	 777.4943666727544 1.5712733608340275 
included 	 5668.790361635937 0.6283728021709025 
seller's 	 13068.249077314296 0.6283728021709025 
buyer 	 757.078369422082 1.7459295456429813 
imposed 	 2547.034790431278 1.1576700396859483 
maintain 	 6219.954933382035 0.6283728021709025 
standards 	 5323.578363969295 0.6283728021709025 
limit 	 3630.176096060253 0.9562917431680902 
color 	 3753.779167378126 0.9562917431680902 
paint 	 2271.2351082662462 1.392210094398681 
trees 	 8091.438616574901 0.6283728021709025 
plant 	 7260.352192120506 0.6283728021709025 
size 	 6829.699325872904 0.6283728021709025 
build 	 7641.1043712938335 0.6283728021709025 
charge 	 6829.699325872904 0.6283728021709025 
provides 	 1098.6829608504186 1.2939071326475873 
debt 	 3891.142826739253 0.9562917431680902 
holder 	 11356.175541331231 0.6283728021709025 
liens 	 2956.064522659472 1.392210094398681 
voluntary 	 9092.937433602068 0.6283728021709025 
takes 	 3071.9744682375767 0.9562917431680902 
mortgage 	 1892.6959235552051 1.4664863967877866 
example 	 726.3564302520628 1.4664863967877866 
nonpayment 	 4926.774204432454 1.1576700396859483 
taxes 	 1230.1439829365006 1.4664863967877866 
mechanics 	 4986.962272565368 0.9562917431680902 
arises 	 11356.175541331231 0.6283728021709025 
furnishes 	 14780.322613297361 0.6283728021709025 
labor 	 5323.578363969295 0.6283728021709025 
materials 	 5861.355369066126 0.6283728021709025 
improve 	 3149.1871091095245 0.9562917431680902 
piece 	 1206.4139571953376 1.5245854746436536 
worker 	 6930.529652337935 0.6283728021709025 
supplier 	 10805.010969585133 0.6283728021709025 
paid 	 1637.4443682911517 1.2939071326475873 
file 	 1732.6324130844837 1.2939071326475873 
notice 	 357.50277784553583 1.8116861044590096 
county 	 1953.7851230220422 1.1576700396859483 
recorder 	 6033.375130143565 0.9562917431680902 
collect 	 7932.028469365101 0.6283728021709025 
amount 	 837.3364812951608 1.5245854746436536 
owed 	 11356.175541331231 0.6283728021709025 
subsequent 	 6463.10191323077 0.6283728021709025 
sale 	 1501.5116669512506 1.392210094398681 
value 	 933.4583089217543 1.392210094398681 
placed 	 6829.699325872904 0.6283728021709025 
local 	 966.4465780099408 1.2939071326475873 
taxing 	 14780.322613297361 0.6283728021709025 
authority 	 1075.5732527129342 1.392210094398681 
levying 	 14780.322613297361 0.6283728021709025 
calculated 	 9353.177907276899 0.6283728021709025 
multiplying 	 14780.322613297361 0.6283728021709025 
assessed 	 5402.505484792567 0.9562917431680902 
tax 	 1172.2710738132253 1.392210094398681 
rate 	 2661.7891819846477 0.9562917431680902 
properties 	 9092.937433602068 0.6283728021709025 
reassessed 	 14780.322613297361 0.6283728021709025 
periodically 	 10805.010969585133 0.6283728021709025 
property's 	 7390.161306648681 0.9562917431680902 
actual 	 1554.9887333455088 1.2939071326475873 
special 	 1361.1370875967077 1.1576700396859483 
levied 	 10805.010969585133 0.6283728021709025 
pay 	 384.1333045403336 1.7302295383235597 
improvements 	 9092.937433602068 0.6283728021709025 
benefit 	 4882.209645773157 0.6283728021709025 
streets 	 10805.010969585133 0.6283728021709025 
sidewalks 	 14780.322613297361 0.6283728021709025 
street 	 878.409672845586 1.4664863967877866 
lighting 	 9644.102005348166 0.6283728021709025 
assessments 	 10805.010969585133 0.6283728021709025 
typically 	 3891.142826739253 0.9562917431680902 
following 	 909.6249080501851 1.2939071326475873 
loans 	 9353.177907276899 0.6283728021709025 
encumber 	 4926.774204432454 1.1576700396859483 
possess 	 4356.083025771432 1.1576700396859483 
owned 	 7641.1043712938335 0.6283728021709025 
persons 	 5998.612901418509 0.6283728021709025 
parties 	 603.7082463910284 1.6096113192373687 
popular 	 5607.799608537721 0.6283728021709025 
husband 	 9092.937433602068 0.6283728021709025 
wife 	 7932.028469365101 0.6283728021709025 
requirement 	 3319.8027771333336 0.9562917431680902 
married 	 9092.937433602068 0.6283728021709025 
owners 	 764.1104371293834 1.6416555055921094 
entire 	 3319.8027771333336 0.9562917431680902 
dies 	 5177.3383621520325 0.9562917431680902 
remaining 	 9353.177907276899 0.6283728021709025 
automatically 	 2753.9503363825575 1.1576700396859483 
deceased 	 10805.010969585133 0.6283728021709025 
share 	 2023.4040391651474 1.1576700396859483 
survivorship 	 7390.161306648681 0.9562917431680902 
surviving 	 4222.448850183682 0.9562917431680902 
required 	 852.9376316483066 1.4664863967877866 
death 	 1489.8620188850457 1.1576700396859483 
certificate 	 4546.468716801034 0.9562917431680902 
affidavit 	 12066.75026028713 0.6283728021709025 
allows 	 7380.863897619002 0.6283728021709025 
avoid 	 3366.41208219215 0.9562917431680902 
probate 	 9973.924545130736 0.6283728021709025 
